game_pk,game_date,matchup,side,pitcher,opp_team,n_opp,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%
822716,2026-07-04,Pittsburgh Pirates @ Washington Nationals,away,Braxton Ashcraft,Washington Nationals,9,0.274,0.333,0.318,0.287,-0.031,0.219,0.254,0.245,0.227,-0.018,0.34,0.432,0.4,0.367,-0.033,40.1,40.754,39.497,41.376,1.879,90.1,89.535,88.996,90.639,1.643,12.8,13.591,13.974,12.417,-1.557,27.6,21.688,22.092,27.095,5.003,5.5,8.785,9.023,5.355,-3.668
822716,2026-07-04,Pittsburgh Pirates @ Washington Nationals,home,Carson Palmquist,Pittsburgh Pirates,9,0.296,0.326,0.318,0.303,-0.015,0.23,0.253,0.245,0.238,-0.007,0.409,0.411,0.4,0.42,0.02,41.7,40.509,39.497,42.768,3.271,91.8,88.575,88.996,91.379,2.383,13.9,10.475,13.974,10.401,-3.573,23.5,22.795,22.092,24.248,2.156,5.9,8.74,9.023,5.715,-3.308
822882,2026-07-04,Detroit Tigers @ Texas Rangers,away,Jack Flaherty,Texas Rangers,9,0.324,0.329,0.318,0.335,0.017,0.238,0.262,0.245,0.255,0.01,0.391,0.407,0.4,0.398,-0.002,47.2,41.699,39.497,49.831,10.334,90.9,89.527,88.996,91.431,2.435,22.1,11.538,13.974,19.664,5.69,26.7,19.782,22.092,23.908,1.816,11.3,8.556,9.023,10.715,1.692
822882,2026-07-04,Detroit Tigers @ Texas Rangers,home,Cal Quantrill,Detroit Tigers,9,0.338,0.337,0.318,0.358,0.04,0.259,0.252,0.245,0.266,0.021,0.448,0.434,0.4,0.486,0.086,37.6,41.983,39.497,39.967,0.47,87.8,89.193,88.996,87.997,-0.999,19.5,17.764,13.974,23.29,9.316,16.8,23.017,22.092,17.503,-4.589,7.4,10.044,9.023,8.237,-0.786
823118,2026-07-04,Toronto Blue Jays @ Seattle Mariners,away,Shane Bieber,Seattle Mariners,9,0.542,0.332,0.318,0.566,0.248,0.415,0.252,0.245,0.427,0.182,0.831,0.418,0.4,0.868,0.468,60.6,39.921,39.497,61.251,21.754,94.5,89.248,88.996,94.752,5.756,18.9,14.048,13.974,18.974,5.0,14.0,22.021,22.092,13.955,-8.137,9.3,9.168,9.023,9.449,0.426
823118,2026-07-04,Toronto Blue Jays @ Seattle Mariners,home,Logan Gilbert,Toronto Blue Jays,9,0.305,0.305,0.318,0.293,-0.025,0.24,0.255,0.245,0.25,0.005,0.406,0.378,0.4,0.384,-0.016,44.3,35.061,39.497,39.325,-0.172,90.6,87.855,88.996,89.459,0.463,18.1,13.156,13.974,17.282,3.308,27.0,18.072,22.092,22.087,-0.005,5.6,7.168,9.023,4.449,-4.574
823526,2026-07-04,Minnesota Twins @ New York Yankees,away,Zebby Matthews,New York Yankees,9,0.32,0.333,0.318,0.335,0.017,0.244,0.249,0.245,0.248,0.003,0.455,0.416,0.4,0.473,0.073,37.9,41.386,39.497,39.713,0.216,90.1,90.069,88.996,91.173,2.177,16.3,16.002,13.974,18.328,4.354,20.1,21.938,22.092,19.96,-2.132,5.2,11.609,9.023,6.69,-2.333
823526,2026-07-04,Minnesota Twins @ New York Yankees,home,Brendan Beck,Minnesota Twins,9,0.481,0.317,0.318,0.479,0.161,0.365,0.243,0.245,0.362,0.117,0.618,0.411,0.4,0.635,0.235,77.8,38.1,39.497,75.048,35.551,97.8,88.65,88.996,97.454,8.458,24.7,16.266,13.974,26.992,13.018,7.7,20.161,22.092,7.027,-15.065,23.1,8.031,9.023,20.56,11.537
823932,2026-07-04,San Diego Padres @ Los Angeles Dodgers,away,Wandy Peralta,Los Angeles Dodgers,9,0.316,0.356,0.318,0.354,0.036,0.26,0.269,0.245,0.285,0.04,0.373,0.462,0.4,0.431,0.031,34.8,44.246,39.497,38.984,-0.513,88.0,90.285,88.996,89.289,0.293,7.4,14.914,13.974,8.34,-5.634,16.0,20.95,22.092,15.173,-6.919,9.6,10.872,9.023,11.567,2.544
823932,2026-07-04,San Diego Padres @ Los Angeles Dodgers,home,Yoshinobu Yamamoto,San Diego Padres,9,0.293,0.323,0.318,0.298,-0.02,0.241,0.253,0.245,0.249,0.004,0.385,0.408,0.4,0.393,-0.007,36.4,43.117,39.497,39.736,0.239,88.2,89.514,88.996,88.718,-0.278,8.1,9.448,13.974,3.574,-10.4,24.1,21.144,22.092,23.066,0.974,5.1,8.779,9.023,4.962,-4.061
