season,player_id,player_name,role,pa,woba
2023,592656,"Ramos, Henry",BAT,86.0,0.303
2023,592663,"Realmuto, J.T.",BAT,540.0,0.324
2023,592669,"Renfroe, Hunter",BAT,548.0,0.308
2023,592696,"Rosario, Eddie",BAT,516.0,0.322
2023,592885,"Yelich, Christian",BAT,632.0,0.353
2023,593160,"Merrifield, Whit",BAT,592.0,0.304
2023,593428,"Bogaerts, Xander",BAT,665.0,0.343
2023,593643,"Alberto, Hanser",BAT,90.0,0.279
2023,593871,"Polanco, Jorge",BAT,343.0,0.34
2023,594777,"Calhoun, Kole",BAT,174.0,0.286
2023,594807,"Duvall, Adam",BAT,353.0,0.347
2023,595281,"Kiermaier, Kevin",BAT,408.0,0.32
2023,595453,"Wallach, Chad",BAT,172.0,0.275
2023,595751,"Alfaro, Jorge",BAT,52.0,0.223
2023,595777,"Profar, Jurickson",BAT,521.0,0.304
2023,595879,"Báez, Javier",BAT,547.0,0.261
2023,595909,"Cave, Jake",BAT,203.0,0.271
2023,595956,"Gallagher, Cam",BAT,149.0,0.145
2023,595978,"Hedges, Austin",BAT,212.0,0.209
2023,596019,"Lindor, Francisco",BAT,687.0,0.346
2023,596059,"Odor, Rougned",BAT,157.0,0.291
2023,596103,"Slater, Austin",BAT,207.0,0.33
2023,596115,"Story, Trevor",BAT,168.0,0.249
2023,596117,"Stubbs, Garrett",BAT,125.0,0.252
2023,596129,"Vogelbach, Daniel",BAT,319.0,0.327
2023,596142,"Sánchez, Gary",BAT,267.0,0.329
2023,596146,"Kepler, Max",BAT,491.0,0.348
2023,596847,"Choi, Ji Man",BAT,117.0,0.267
2023,598265,"Bradley Jr., Jackie",BAT,113.0,0.18
2023,600301,"Motter, Taylor",BAT,82.0,0.204
2023,600303,"La Stella, Tommy",BAT,24.0,0.249
2023,600869,"Candelario, Jeimer",BAT,576.0,0.346
2023,602074,"Daza, Yonathan",BAT,80.0,0.286
2023,602104,"Urías, Ramón",BAT,396.0,0.31
2023,605113,"Ahmed, Nick",BAT,210.0,0.247
2023,605119,"Anderson, Brian",BAT,361.0,0.299
2023,605131,"Barnes, Austin",BAT,200.0,0.229
2023,605137,"Bell, Josh",BAT,617.0,0.323
2023,605141,"Betts, Mookie",BAT,693.0,0.416
2023,605170,"Caratini, Victor",BAT,226.0,0.312
2023,605204,"Davis, J.D.",BAT,546.0,0.321
2023,605242,"Fulmer, Michael",BAT,1.0,0.0
2023,605361,"Martini, Nick",BAT,79.0,0.382
2023,605421,"Pérez, Michael",BAT,8.0,0.486
2023,605612,"Castro, Harold",BAT,270.0,0.258
2023,606115,"Arcia, Orlando",BAT,533.0,0.321
2023,606132,"Tapia, Raimel",BAT,169.0,0.293
2023,606192,"Hernández, Teoscar",BAT,678.0,0.317
2023,606466,"Marte, Ketel",BAT,650.0,0.361
2023,606992,"Haase, Eric",BAT,293.0,0.233
2023,607043,"Nimmo, Brandon",BAT,682.0,0.359
2023,607054,"Peterson, Jace",BAT,430.0,0.275
2023,607208,"Turner, Trea",BAT,691.0,0.333
2023,607461,"Beaty, Matt",BAT,72.0,0.3
2023,607680,"Pillar, Kevin",BAT,206.0,0.28
2023,607732,"Stallings, Jacob",BAT,276.0,0.256
2023,608070,"Ramírez, José",BAT,691.0,0.346
2023,608324,"Bregman, Alex",BAT,724.0,0.351
2023,608336,"Gallo, Joey",BAT,332.0,0.32
2023,608348,"Kelly, Carson",BAT,151.0,0.255
2023,608360,"Okey, Chris",BAT,2.0,0.0
2023,608369,"Seager, Corey",BAT,536.0,0.419
2023,608385,"Winker, Jesse",BAT,197.0,0.269
2023,608596,"Murphy, Tom",BAT,159.0,0.367
2023,608671,"Jankowski, Travis",BAT,287.0,0.312
2023,608701,"Refsnyder, Rob",BAT,243.0,0.314
2023,608703,"Reynolds, Matt",BAT,5.0,0.177
2023,608841,"Meneses, Joey",BAT,657.0,0.314
2023,609280,"Andujar, Miguel",BAT,90.0,0.33
2023,613564,"Vosler, Jason",BAT,65.0,0.241
2023,614173,"Cordero, Franchy",BAT,71.0,0.286
2023,614177,"Reyes, Franmil",BAT,65.0,0.227
2023,620443,"Torrens, Luis",BAT,30.0,0.289
2023,621020,"Swanson, Dansby",BAT,638.0,0.325
2023,621028,"Newman, Kevin",BAT,253.0,0.296
2023,621035,"Taylor, Chris",BAT,384.0,0.323
2023,621043,"Correa, Carlos",BAT,580.0,0.309
2023,621311,"Dahl, David",BAT,9.0,0.223
2023,621433,"Phillips, Brett",BAT,71.0,0.268
2023,621438,"Taylor, Tyrone",BAT,243.0,0.302
2023,621439,"Buxton, Byron",BAT,347.0,0.311
2023,621458,"Rios, Edwin",BAT,34.0,0.219
2023,621466,"Stewart, DJ",BAT,185.0,0.358
2023,621493,"Ward, Taylor",BAT,409.0,0.329
2023,621512,"Nido, Tomás",BAT,61.0,0.128
2023,621532,"Bemboom, Anthony",BAT,13.0,0.243
2023,621545,"Remillard, Zach",BAT,160.0,0.27
2023,621550,"Wisdom, Patrick",BAT,302.0,0.333
2023,621563,"Wendle, Joey",BAT,318.0,0.242
2023,621566,"Olson, Matt",BAT,720.0,0.413
2023,622110,"Duffy, Matt",BAT,209.0,0.281
2023,622250,"Sborz, Josh",BAT,1.0,0.0
2023,622534,"Margot, Manuel",BAT,336.0,0.299
2023,622569,"Reyes, Pablo",BAT,185.0,0.315
2023,622666,"Camargo, Johan",BAT,20.0,0.248
2023,622761,"Mateo, Jorge",BAT,350.0,0.265
2023,623168,"Heineman, Tyler",BAT,47.0,0.325
2023,623205,"Velazquez, Andrew",BAT,94.0,0.249
2023,623507,"Lester, Josh",BAT,23.0,0.184
2023,623912,"Ramírez, Harold",BAT,434.0,0.349
2023,623993,"Santander, Anthony",BAT,656.0,0.34
2023,624413,"Alonso, Pete",BAT,658.0,0.346
2023,624414,"Arroyo, Christian",BAT,206.0,0.274
2023,624415,"Biggio, Cavan",BAT,338.0,0.318
2023,624424,"Conforto, Michael",BAT,470.0,0.315
2023,624428,"Frazier, Adam",BAT,455.0,0.302
2023,624431,"Trevino, Jose",BAT,168.0,0.252
2023,624503,"Gordon, Nick",BAT,93.0,0.213
2023,624512,"McGuire, Reese",BAT,206.0,0.293
2023,624585,"Soler, Jorge",BAT,580.0,0.361
2023,624641,"Sosa, Edmundo",BAT,300.0,0.309
2023,628451,"Ibáñez, Andy",BAT,383.0,0.32
2023,630105,"Cronenworth, Jake",BAT,522.0,0.301
2023,640449,"Frazier, Clint",BAT,76.0,0.256
2023,640457,"Meadows, Austin",BAT,21.0,0.227
2023,640458,"Mercado, Óscar",BAT,32.0,0.304
2023,640492,"Azócar, José",BAT,102.0,0.28
2023,641313,"Anderson, Tim",BAT,524.0,0.26
2023,641343,"Bauers, Jake",BAT,272.0,0.297
2023,641355,"Bellinger, Cody",BAT,556.0,0.37
2023,641432,"Calhoun, Willie",BAT,149.0,0.307
2023,641470,"Collins, Zack",BAT,6.0,0.526
2023,641487,"Crawford, J.P.",BAT,638.0,0.359
2023,641505,"Davis, Jonathan",BAT,104.0,0.298
2023,641511,"Delay, Jason",BAT,187.0,0.296
2023,641525,"Dixon, Brandon",BAT,86.0,0.249
2023,641531,"Dozier, Hunter",BAT,91.0,0.247
2023,641553,"Engel, Adam",BAT,6.0,0.0
2023,641584,"Fraley, Jake",BAT,380.0,0.338
2023,641598,"Garver, Mitch",BAT,344.0,0.374
2023,641645,"Guillorme, Luis",BAT,120.0,0.269
2023,641658,"Hampson, Garrett",BAT,252.0,0.323
2023,641680,"Heim, Jonah",BAT,500.0,0.325
2023,641786,"Lewis, Kyle",BAT,54.0,0.204
2023,641796,"Locastro, Tim",BAT,67.0,0.327
2023,641820,"Mancini, Trey",BAT,263.0,0.28
2023,641856,"McKinney, Billy",BAT,147.0,0.315
2023,641857,"McMahon, Ryan",BAT,627.0,0.325
2023,641933,"O'Neill, Tyler",BAT,266.0,0.313
2023,641943,"Palacios, Joshua",BAT,264.0,0.297
2023,642086,"Smith, Dominic",BAT,586.0,0.306
2023,642133,"Tellez, Rowdy",BAT,351.0,0.288
2023,642136,"Thaiss, Matt",BAT,307.0,0.295
2023,642137,"Thomas, Cody",BAT,46.0,0.3
2023,642180,"Wade, Tyler",BAT,55.0,0.278
2023,642201,"White, Eli",BAT,17.0,0.176
2023,642215,"Wilson, Weston",BAT,22.0,0.441
2023,642336,"Mejía, Francisco",BAT,160.0,0.28
2023,642350,"Siri, Jose",BAT,364.0,0.319
2023,642708,"Rosario, Amed",BAT,545.0,0.297
2023,642715,"Adames, Willy",BAT,638.0,0.311
2023,642731,"Estrada, Thairo",BAT,530.0,0.316
2023,642851,"Wynns, Austin",BAT,145.0,0.245
2023,643217,"Benintendi, Andrew",BAT,621.0,0.299
2023,643265,"Cooper, Garrett",BAT,457.0,0.313
2023,643289,"Dubón, Mauricio",BAT,492.0,0.311
2023,643348,"Hamilton, Caleb",BAT,6.0,0.116
2023,643376,"Jansen, Danny",BAT,301.0,0.336
2023,643393,"Kemp, Tony",BAT,419.0,0.276
2023,643396,"Kiner-Falefa, Isiah",BAT,361.0,0.286
2023,643446,"McNeil, Jeff",BAT,648.0,0.314
2023,643565,"Tauchman, Mike",BAT,401.0,0.33
2023,644374,"Chang, Yu",BAT,112.0,0.236
2023,644433,"Tromp, Chadwick",BAT,16.0,0.133
2023,645277,"Albies, Ozzie",BAT,660.0,0.358
2023,645302,"Robles, Victor",BAT,126.0,0.338
2023,645444,"Herrera, Jose",BAT,120.0,0.256
2023,645801,"Ford, Mike",BAT,251.0,0.343
2023,646240,"Devers, Rafael",BAT,656.0,0.359
2023,647304,"Naylor, Josh",BAT,495.0,0.354
2023,647351,"Toro, Abraham",BAT,21.0,0.544
2023,649557,"Díaz, Aledmys",BAT,344.0,0.268
2023,649966,"Urías, Luis",BAT,177.0,0.298
2023,650333,"Arraez, Luis",BAT,617.0,0.369
2023,650391,"Jiménez, Eloy",BAT,489.0,0.325
2023,650402,"Torres, Gleyber",BAT,672.0,0.346
2023,650489,"Castro, Willi",BAT,409.0,0.327
2023,650490,"Díaz, Yandy",BAT,600.0,0.402
2023,650559,"De La Cruz, Bryan",BAT,626.0,0.309
2023,650619,"Viloria, Meibrys",BAT,4.0,0.174
2023,650859,"Rengifo, Luis",BAT,445.0,0.339
2023,650907,"Pinto, René",BAT,105.0,0.306
2023,655316,"Monasterio, Andruw",BAT,315.0,0.302
2023,656024,"Pérez, Carlos",BAT,53.0,0.267
2023,656180,"Adams, Riley",BAT,157.0,0.347
2023,656185,"Allen, Greg",BAT,28.0,0.349
2023,656248,"Bouchard, Sean",BAT,43.0,0.432
2023,656305,"Chapman, Matt",BAT,581.0,0.328
2023,656308,"Chavis, Michael",BAT,97.0,0.27
2023,656371,"Díaz, Isan",BAT,26.0,0.087
2023,656403,"Ellis, Drew",BAT,29.0,0.373
2023,656413,"Fairchild, Stuart",BAT,255.0,0.312
2023,656448,"Garrett, Stone",BAT,271.0,0.344
2023,656484,"Gray, Tristan",BAT,5.0,0.577
2023,656495,"Guthrie, Dalton",BAT,28.0,0.239
2023,656514,"Haseley, Adam",BAT,39.0,0.253
2023,656537,"Hill, Derek",BAT,50.0,0.19
2023,656541,"Hilliard, Sam",BAT,78.0,0.312
2023,656582,"Joe, Connor",BAT,472.0,0.332
2023,656669,"Luplow, Jordan",BAT,90.0,0.29
2023,656716,"McKinstry, Zach",BAT,518.0,0.289
2023,656775,"Mullins, Cedric",BAT,455.0,0.311
2023,656811,"O'Hearn, Ryan",BAT,368.0,0.339
2023,656821,"Padlo, Kevin",BAT,8.0,0.155
2023,656896,"Rivera, Emmanuel",BAT,283.0,0.295
2023,656941,"Schwarber, Kyle",BAT,720.0,0.35
2023,656976,"Smith, Pavin",BAT,228.0,0.293
2023,657041,"Thomas, Lane",BAT,682.0,0.334
2023,657061,"Tucker, Cole",BAT,10.0,0.495
2023,657077,"Verdugo, Alex",BAT,602.0,0.322
2023,657088,"Wall, Forrest",BAT,15.0,0.569
2023,657136,"Wong, Connor",BAT,403.0,0.292
2023,657247,"O'Keefe, Brian",BAT,21.0,0.185
2023,657557,"DeJong, Paul",BAT,400.0,0.266
2023,657656,"Laureano, Ramón",BAT,404.0,0.298
2023,657757,"Sheets, Gavin",BAT,344.0,0.261
2023,658668,"Olivares, Edward",BAT,385.0,0.329
2023,660162,"Moncada, Yoán",BAT,357.0,0.315
2023,660271,"Ohtani, Shohei",BAT,599.0,0.433
2023,660620,"Araúz, Jonathan",BAT,66.0,0.217
2023,660634,"Hernández, Yonny",BAT,27.0,0.197
2023,660636,"Castillo, Diego",BAT,1.0,0.0
2023,660644,"Bruján, Vidal",BAT,84.0,0.206
2023,660670,"Acuña Jr., Ronald",BAT,735.0,0.428
2023,660688,"Ruiz, Keibert",BAT,562.0,0.31
2023,660707,"Montero, Elehuris",BAT,307.0,0.306
2023,660757,"Gonzalez, Oscar",BAT,180.0,0.239
2023,660766,"Yepez, Juan",BAT,65.0,0.243
2023,660821,"Sánchez, Jesús",BAT,403.0,0.333
2023,661388,"Contreras, William",BAT,611.0,0.357
2023,661531,"Serven, Brian",BAT,23.0,0.131
2023,662139,"Varsho, Daulton",BAT,581.0,0.293
2023,663330,"Jones, Jahmai",BAT,11.0,0.257
2023,663368,"Perkins, Blake",BAT,168.0,0.303
2023,663457,"Nootbaar, Lars",BAT,503.0,0.344
2023,663527,"Nevin, Tyler",BAT,111.0,0.282
2023,663538,"Hoerner, Nico",BAT,688.0,0.322
2023,663550,"Cabbage, Trey",BAT,56.0,0.238
2023,663586,"Riley, Austin",BAT,715.0,0.363
2023,663609,"Baker, Luken",BAT,99.0,0.285
2023,663611,"Madrigal, Nick",BAT,294.0,0.294
2023,663616,"Larnach, Trevor",BAT,212.0,0.313
2023,663624,"Mountcastle, Ryan",BAT,470.0,0.333
2023,663630,"McKenna, Ryan",BAT,139.0,0.298
2023,663647,"Hayes, Ke'Bryan",BAT,525.0,0.324
2023,663656,"Tucker, Kyle",BAT,674.0,0.372
2023,663697,"India, Jonathan",BAT,529.0,0.327
2023,663698,"Bart, Joey",BAT,95.0,0.239
2023,663728,"Raleigh, Cal",BAT,569.0,0.326
2023,663731,"Kaiser, Connor",BAT,4.0,0.0
2023,663743,"Fortes, Nick",BAT,323.0,0.251
2023,663757,"Grisham, Trent",BAT,555.0,0.299
2023,663796,"Montes, Coco",BAT,41.0,0.247
2023,663837,"Vierling, Matt",BAT,530.0,0.315
2023,663845,"Rivas III, Alfonso",BAT,123.0,0.313
2023,663853,"Gonzalez, Romy",BAT,97.0,0.244
2023,663886,"Stephenson, Tyler",BAT,517.0,0.305
2023,663897,"Williams, Luke",BAT,19.0,0.046
2023,663898,"Rodgers, Brendan",BAT,192.0,0.307
2023,663905,"Blankenhorn, Travis",BAT,37.0,0.262
2023,663967,"Salazar, César",BAT,19.0,0.13
2023,663993,"Lowe, Nathaniel",BAT,724.0,0.34
2023,664023,"Happ, Ian",BAT,691.0,0.345
2023,664029,"Mathias, Mark",BAT,72.0,0.278
2023,664034,"France, Ty",BAT,665.0,0.315
2023,664040,"Lowe, Brandon",BAT,436.0,0.334
2023,664056,"Bader, Harrison",BAT,344.0,0.271
2023,664057,"Stevenson, Andrew",BAT,40.0,0.216
2023,664058,"Fletcher, David",BAT,97.0,0.276
2023,664059,"Haggerty, Sam",BAT,108.0,0.321
2023,664238,"Moore, Dylan",BAT,165.0,0.317
2023,664247,"Garlick, Kyle",BAT,30.0,0.28
2023,664314,"Florial, Estevan",BAT,71.0,0.288
2023,664670,"Lopez, Alejo",BAT,2.0,0.622
2023,664702,"Straw, Myles",BAT,518.0,0.268
2023,664728,"Isbel, Kyle",BAT,313.0,0.286
2023,664761,"Bohm, Alec",BAT,611.0,0.329
2023,664770,"Lukes, Nathan",BAT,31.0,0.266
2023,664774,"Wade Jr., LaMonte",BAT,519.0,0.347
2023,664874,"Zavala, Seby",BAT,193.0,0.239
2023,664901,"Mendick, Danny",BAT,69.0,0.226
2023,664913,"Brown, Seth",BAT,378.0,0.298
2023,664954,"Sullivan, Brett",BAT,86.0,0.232
2023,664983,"McCarthy, Jake",BAT,312.0,0.289
2023,665019,"Clemens, Kody",BAT,148.0,0.281
2023,665120,"Walsh, Jared",BAT,116.0,0.222
2023,665155,"Maton, Nick",BAT,293.0,0.268
2023,665161,"Peña, Jeremy",BAT,634.0,0.31
2023,665487,"Tatis Jr., Fernando",BAT,635.0,0.332
2023,665489,"Guerrero Jr., Vladimir",BAT,682.0,0.34
2023,665506,"Pache, Cristian",BAT,95.0,0.32
2023,665742,"Soto, Juan",BAT,708.0,0.395
2023,665750,"Taveras, Leody",BAT,554.0,0.316
2023,665804,"Amaya, Miguel",BAT,156.0,0.31
2023,665828,"Cabrera, Oswaldo",BAT,330.0,0.256
2023,665833,"Cruz, Oneil",BAT,40.0,0.335
2023,665839,"Valdez, Enmanuel",BAT,149.0,0.328
2023,665862,"Chisholm Jr., Jazz",BAT,383.0,0.325
2023,665877,"Fermín, José",BAT,61.0,0.281
2023,665923,"Ruiz, Esteury",BAT,497.0,0.29
2023,665926,"Giménez, Andrés",BAT,616.0,0.309
2023,666018,"Aranda, Jonathan",BAT,103.0,0.312
2023,666023,"Fermin, Freddy",BAT,235.0,0.333
2023,666134,"Jones, Nolan",BAT,424.0,0.395
