season,pool,n,pa,woba_wtd,woba_unw
2023,BAT,656,184104.0,0.3183704047712162,0.2903993902439024
2023,P,804,184103.0,0.3176966915259393,0.3300572139303482
2023,RP,504,69961.0,0.3103065850974114,0.3279285714285714
2023,SP,290,112962.0,0.3225408987093005,0.3326896551724138
2024,BAT,651,182449.0,0.3102223196619329,0.2815007680491551
2024,P,807,182122.0,0.3099110980551498,0.3257273853779429
2024,RP,498,70240.0,0.3028145928246014,0.320710843373494
2024,SP,295,111726.0,0.3142071138320534,0.3307728813559322
2025,BAT,673,182926.0,0.3130961755026623,0.27817682020802376
2025,P,819,182588.0,0.3124763511293185,0.3330500610500611
2025,RP,521,70782.0,0.3082741233646973,0.33116698656429944
2025,SP,278,111162.0,0.31495497562116553,0.327273381294964
