season,player_id,player_name,role,pa,woba
2024,444482,"Peralta, David",BAT,260.0,0.329
2024,453568,"Blackmon, Charlie",BAT,499.0,0.323
2024,455117,"Maldonado, Martín",BAT,147.0,0.181
2024,456781,"Solano, Donovan",BAT,309.0,0.333
2024,457705,"McCutchen, Andrew",BAT,515.0,0.325
2024,457759,"Turner, Justin",BAT,539.0,0.327
2024,467793,"Santana, Carlos",BAT,594.0,0.326
2024,493329,"Gurriel, Yuli",BAT,65.0,0.289
2024,500743,"Rojas, Miguel",BAT,337.0,0.327
2024,501303,"Adrianza, Ehire",BAT,28.0,0.262
2024,502054,"Pham, Tommy",BAT,478.0,0.297
2024,502110,"Martinez, J.D.",BAT,495.0,0.318
2024,502671,"Goldschmidt, Paul",BAT,654.0,0.31
2024,514888,"Altuve, Jose",BAT,682.0,0.344
2024,516782,"Marte, Starling",BAT,370.0,0.313
2024,518595,"d'Arnaud, Travis",BAT,341.0,0.319
2024,518692,"Freeman, Freddie",BAT,638.0,0.365
2024,518735,"Grandal, Yasmani",BAT,243.0,0.308
2024,518792,"Heyward, Jason",BAT,258.0,0.3
2024,518934,"LeMahieu, DJ",BAT,228.0,0.239
2024,519203,"Rizzo, Anthony",BAT,375.0,0.285
2024,519317,"Stanton, Giancarlo",BAT,459.0,0.33
2024,521692,"Perez, Salvador",BAT,652.0,0.335
2024,527038,"Flores, Wilmer",BAT,242.0,0.262
2024,541645,"García, Avisaíl",BAT,51.0,0.274
2024,542194,"Bethancourt, Christian",BAT,147.0,0.263
2024,542303,"Ozuna, Marcell",BAT,688.0,0.395
2024,542364,"Ortega, Rafael",BAT,17.0,0.133
2024,542932,"Berti, Jon",BAT,74.0,0.3
2024,542963,"Brantly, Rob",BAT,9.0,0.098
2024,543063,"Crawford, Brandon",BAT,80.0,0.248
2024,543228,"Gomes, Yan",BAT,96.0,0.184
2024,543257,"Grossman, Robbie",BAT,245.0,0.283
2024,543305,"Hicks, Aaron",BAT,63.0,0.196
2024,543309,"Higashioka, Kyle",BAT,263.0,0.314
2024,543510,"McCann, James",BAT,233.0,0.288
2024,543518,"McGough, Scott",BAT,1.0,0.0
2024,543685,"Rendon, Anthony",BAT,238.0,0.264
2024,543760,"Semien, Marcus",BAT,718.0,0.306
2024,543807,"Springer, George",BAT,614.0,0.298
2024,543877,"Vázquez, Christian",BAT,315.0,0.25
