game_pk,game_date,game_datetime_utc,matchup,side,pitcher,opp_team,n_opp,opp_xwOBA_neutral,opp_xwOBA_vs_sp,platoon_delta_sp,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,starter_xwOBA,mx_xwOBA_sp,edge_xwOBA_sp,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%,bullpen_xwOBA,expected_sp_ip,sp_share,bp_share,mx_xwOBA_bp,edge_xwOBA_bp,bullpen_pitchers,bullpen_relief_bf,opener,opener_reason,opener_confidence,pitching_basis,model_tag,snapshot_utc,scheduled_start_utc,lineup_status_away,lineup_status_home,lineup_posted_away,lineup_posted_home,lineup_savant_backfill_away,lineup_savant_backfill_home
822703,2026-07-28,2026-07-28T22:45:00Z,Toronto Blue Jays @ Washington Nationals,away,Shane Bieber,Washington Nationals,9,0.3269040938343524,0.33051631162983713,0.003612217795484707,0.33097480058143663,0.33051631162983713,0.31648363027003595,0.3443113111412053,0.027827680871169325,0.36343259925432586,0.3795469678134479,0.06306333754341192,0.309,0.2556305444887118,0.24408848074566267,0.3236114953303283,0.07952301458466562,0.56,0.4260727755644091,0.3983504881322584,0.5989719139916054,0.20062142585934706,46.9,38.88637450199203,39.3273084266431,46.37416180019772,7.046853373554619,89.5,89.09835325365206,88.92090944714485,89.67744380650723,0.7565343593623766,8.2,13.10124833997344,13.983413511643226,7.317834828330215,-6.6655786833130115,16.7,19.187330677290834,22.16621674572936,14.455710958095365,-7.710505787633997,9.1,8.120132802124836,8.917416859112773,8.286391638608213,-0.6310252205045597,0.28465861595832503,5.291666666666667,0.587962962962963,0.412037037037037,0.29403121678867933,-0.022452413481356626,8.0,1169.1733542319748,False,,,starter_bullpen_sequential,xw+plat_consol_v9,2026-07-28T10:47:13.909944+00:00,2026-07-28T22:45:00Z,projected,projected,0,0,0,0
822703,2026-07-28,2026-07-28T22:45:00Z,Toronto Blue Jays @ Washington Nationals,home,Cade Cavalli,Toronto Blue Jays,9,0.3044012639237093,0.30203738610166414,-0.0023638778220451684,0.31133633366043756,0.30203738610166414,0.31648363027003595,0.2980921346410702,-0.01839149562896575,0.3086407664827052,0.2945525184772136,-0.021931111792822366,0.244,0.2457038512616202,0.24408848074566267,0.24561478495293818,0.0015263042072755084,0.37,0.37108021248339973,0.3983504881322584,0.3446705419205419,-0.053679946211716456,40.7,33.91734395750332,39.3273084266431,35.10120459032432,-4.226103836318778,89.3,87.578406374502,88.92090944714485,87.95749692735714,-0.9634125197877097,8.4,13.816653386454185,13.983413511643226,8.233239874810957,-5.750173636832269,26.6,18.44871181938911,22.16621674572936,22.13890354069093,-0.02731320503843193,7.1,7.4823373173970795,8.917416859112773,5.9573972813921845,-2.9600195777205887,0.31520292592357824,5.303030303030303,0.5892255892255892,0.4107744107744108,0.3031694529088973,-0.013314177361138657,7.0,552.0961538461538,False,,,starter_bullpen_sequential,xw+plat_consol_v9,2026-07-28T10:47:13.909944+00:00,2026-07-28T22:45:00Z,projected,projected,0,0,0,0
822949,2026-07-28,2026-07-28T22:40:00Z,Texas Rangers @ Tampa Bay Rays,home,Griffin Jax,Texas Rangers,9,0.31567255600796584,0.3187827817715781,0.003110225763612251,0.3232337934061411,0.3187827817715781,0.31648363027003595,0.3242677284967702,0.0077840982267342596,0.33689023738940926,0.33933763631013025,0.0228540060400943,0.266,0.24763134130146086,0.24408848074566267,0.2698608987403395,0.02577241799467686,0.449,0.38814422310756974,0.3983504881322584,0.437496027662545,0.0391455395302866,39.9,38.54892430278885,39.3273084266431,39.11028090188994,-0.21702752475315634,88.8,88.8729614873838,88.92090944714485,88.75205204023896,-0.1688574069058859,10.3,12.204037184594954,13.983413511643226,8.52062367295173,-5.462789838691496,24.6,20.88193891102258,22.16621674572936,23.174712360878015,1.0084956151486537,8.1,8.23543160690571,8.917416859112773,7.480529066864007,-1.4368877922487657,0.3056755082847964,5.0625,0.5625,0.4375,0.3048921327367358,-0.011591497533300132,8.0,1151.9594746716698,False,,,starter_bullpen_sequential,xw+plat_consol_v9,2026-07-28T10:47:13.909944+00:00,2026-07-28T22:40:00Z,projected,projected,0,0,0,0
823026,2026-07-28,2026-07-28T23:45:00Z,Chicago Cubs @ St. Louis Cardinals,away,Colin Rea,St. Louis Cardinals,9,0.3241551519133797,0.3230422701072708,-0.0011128818061088563,0.3378953053092777,0.3230422701072708,0.31648363027003595,0.34536699114436303,0.02888336087432708,0.3506127455996505,0.3578786592229558,0.041395028952919855,0.277,0.2532260292164675,0.24408848074566267,0.2873696041643617,0.043281123418699025,0.479,0.40638671978751667,0.3983504881322584,0.48866323646524734,0.09031274833298897,39.6,41.15559096945551,39.3273084266431,41.44095966878635,2.1136512421432485,89.5,89.28066401062416,88.92090944714485,89.8597545634793,0.9388451163344484,11.6,12.244302788844621,13.983413511643226,9.860889277201396,-4.12252423444183,17.5,19.25144754316069,22.16621674572936,15.198819711542374,-6.9673970341869875,8.2,8.594475431606906,8.917416859112773,7.903039596848949,-1.0143772622638245,0.3201108247987041,5.247549019607844,0.5830610021786493,0.4169389978213507,0.32787026916117096,0.011386638891135004,7.0,726.1351351351351,False,,,starter_bullpen_sequential,xw+plat_consol_v9,2026-07-28T10:47:13.909944+00:00,2026-07-28T23:45:00Z,projected,projected,0,0,0,0
823193,2026-07-28,2026-07-29T01:45:00Z,Milwaukee Brewers @ San Francisco Giants,away,Logan Henderson,San Francisco Giants,9,0.3194814877565214,0.3207059233474909,0.0012244355909694637,0.2892148696111186,0.3207059233474909,0.31648363027003595,0.2925628791330077,-0.02392075113702824,0.28516275414114356,0.2889671870014807,-0.027516443268555235,0.214,0.2609699867197875,0.24408848074566267,0.22880054391516758,-0.015287936830495091,0.347,0.41869508632138114,0.3983504881322584,0.3647220206374686,-0.03362846749478976,36.6,39.248207171314746,39.3273084266431,36.52638433544421,-2.800924091198887,87.5,89.05505976095618,88.92090944714485,87.63415031381132,-1.2867591333335326,21.7,14.95362549800797,13.983413511643226,22.67021198636474,8.686798474721515,31.8,20.366002656042497,22.16621674572936,29.217384810916293,7.051168065186932,4.7,6.616414342629483,8.917416859112773,3.4872371564171263,-5.430179702695646,0.29419766450516527,4.963541666666666,0.5515046296296295,0.44849537037037046,0.2969844205540984,-0.01949920971593755,8.0,1150.358943577431,False,,,starter_bullpen_sequential,xw+plat_consol_v9,2026-07-28T10:47:13.909944+00:00,2026-07-29T01:45:00Z,projected,projected,0,0,0,0
823193,2026-07-28,2026-07-29T01:45:00Z,Milwaukee Brewers @ San Francisco Giants,home,Landen Roupp,Milwaukee Brewers,9,0.32603051167910635,0.3273133802050028,0.00128286852589643,0.29661586981717075,0.3273133802050028,0.31648363027003595,0.306318872026917,-0.010164758243118965,0.29065235731957556,0.30059818720371173,-0.015885443066324223,0.225,0.24956573705179286,0.24408848074566267,0.23004891777405678,-0.014039562971605885,0.325,0.4137551128818061,0.3983504881322584,0.3375680856249906,-0.060782402507267796,30.1,42.79248339973439,39.3273084266431,32.75214607515287,-6.575162351490228,86.6,90.34393094289508,88.92090944714485,88.02302149575021,-0.8978879513946367,9.5,8.959521912350597,13.983413511643226,4.4761084007073695,-9.507305110935857,24.7,22.6056839309429,22.16621674572936,25.18970194595186,3.023485200222499,9.8,10.484515272244357,8.917416859112773,11.522198781477341,2.604781922364568,0.307273243764486,5.770833333333334,0.6412037037037037,0.3587962962962963,0.31654228942064505,5.865915060909721e-05,7.0,837.0,False,,,starter_bullpen_sequential,xw+plat_consol_v9,2026-07-28T10:47:13.909944+00:00,2026-07-29T01:45:00Z,projected,projected,0,0,0,0
823275,2026-07-28,2026-07-29T01:40:00Z,Colorado Rockies @ San Diego Padres,away,Michael Lorenzen,San Diego Padres,9,0.31827375459040447,0.3159364371933261,-0.0023373173970783756,0.338020073727723,0.3159364371933261,0.31648363027003595,0.33852524120385774,0.022041610933821787,0.35252296052749754,0.3519134562595601,0.035429825989524155,0.292,0.24409003984063746,0.24408848074566267,0.29200186512583975,0.04791338438017709,0.474,0.39211447543160693,0.3983504881322584,0.46657972537207637,0.068229237239818,46.7,41.504302788844626,39.3273084266431,49.285115554105296,9.957807127462196,90.7,89.33662682602922,88.92090944714485,91.11571737888437,2.1948079317395184,11.7,10.060903054448872,13.983413511643226,7.777489542805645,-6.205923968837581,16.2,20.43484727755644,22.16621674572936,14.934642645330749,-7.231574100398612,8.1,9.353891102257636,8.917416859112773,8.49646474145262,-0.4209521176601534,0.320971356439355,4.863095238095238,0.5403439153439153,0.45965608465608465,0.32278686465636297,0.006303234386327017,7.0,1146.4395834962338,False,,,starter_bullpen_sequential,xw+plat_consol_v9,2026-07-28T10:47:13.909944+00:00,2026-07-29T01:40:00Z,projected,projected,0,0,0,0
823275,2026-07-28,2026-07-29T01:40:00Z,Colorado Rockies @ San Diego Padres,home,Michael King,Colorado Rockies,9,0.31687941345259724,0.3167120827753064,-0.0001673306772908556,0.3095904494341079,0.3167120827753064,0.31648363027003595,0.3098710803497995,-0.006612549920236466,0.3268821709424765,0.32711812959479714,0.010634499324761182,0.246,0.24885152722443563,0.24408848074566267,0.25080034711264826,0.006711866366985592,0.406,0.3933503320053121,0.3983504881322584,0.40090382603255115,0.0025533379002927736,34.0,37.52270916334662,39.3273084266431,32.43985318582054,-6.887455240822561,87.6,88.06146082337317,88.92090944714485,86.7405513762283,-2.1803580709165544,14.4,14.425683930942897,13.983413511643226,14.842270419299672,0.8588569076564454,21.0,21.646772908366533,22.16621674572936,20.507885323429356,-1.6583314223000052,10.0,8.542602921646747,8.917416859112773,9.579683283412953,0.6622664243001797,0.28180444176893626,5.5476190476190474,0.6164021164021164,0.3835978835978836,0.28215685639059634,-0.03432677387943961,6.0,1074.012767425811,False,,,starter_bullpen_sequential,xw+plat_consol_v9,2026-07-28T10:47:13.909944+00:00,2026-07-29T01:40:00Z,projected,projected,0,0,0,0
823350,2026-07-28,2026-07-28T22:40:00Z,Arizona Diamondbacks @ Pittsburgh Pirates,away,Brandon Pfaadt,Pittsburgh Pirates,9,0.3193995108526769,0.31640349491642195,-0.002996015936254981,0.3081520264051377,0.31640349491642195,0.31648363027003595,0.3091924877753754,-0.007291142494660563,0.3153904290184305,0.31531057046924016,-0.0011730598007957949,0.246,0.24284780876494028,0.24408848074566267,0.24474961200002004,0.0006611312543573777,0.407,0.4031638778220452,0.3983504881322584,0.41191790436338765,0.013567416231129281,37.9,40.932084993359894,39.3273084266431,39.446534311953116,0.11922588531001566,88.9,89.05861885790172,88.92090944714485,89.03770941075689,0.11679996361203848,9.9,12.090650730411687,13.983413511643226,8.007237218768461,-5.976176292874765,16.1,24.278539176626825,22.16621674572936,17.634244274860364,-4.531972470868997,7.1,9.210624169986719,8.917416859112773,7.33345010557375,-1.5839667535390234,0.29718379187757177,5.421875,0.6024305555555556,0.3975694444444444,0.29992185592047993,-0.016561774349556024,8.0,1144.0,False,,,starter_bullpen_sequential,xw+plat_consol_v9,2026-07-28T10:47:13.909944+00:00,2026-07-28T22:40:00Z,projected,projected,0,0,0,0
823350,2026-07-28,2026-07-28T22:40:00Z,Arizona Diamondbacks @ Pittsburgh Pirates,home,Bubba Chandler,Arizona Diamondbacks,9,0.31811781422906316,0.31711648620781485,-0.0010013280212483044,0.30955193761867494,0.31711648620781485,0.31648363027003595,0.31058131345022966,-0.005902316819806297,0.3103807435922576,0.31100139590336445,-0.005482234366671501,0.22,0.24700212483399736,0.24408848074566267,0.2226261038516666,-0.021462376893996077,0.36,0.3859915006640106,0.3983504881322584,0.3488308521738475,-0.04951963595841086,37.2,36.91168658698539,39.3273084266431,34.915044938738085,-4.412263487905015,89.1,88.42177954847277,88.92090944714485,88.6008701013279,-0.3200393458169515,17.5,14.79636122177955,13.983413511643226,18.31294771013632,4.329534198493095,20.4,20.143877822045155,22.16621674572936,18.538802190901325,-3.627414554828036,12.7,9.34788844621514,8.917416859112773,13.313068699442184,4.3956518403294105,0.3084100485079105,5.214912280701755,0.5794346978557505,0.4205653021442495,0.3100025439985758,-0.006481086271460157,7.0,864.2045454545455,False,,,starter_bullpen_sequential,xw+plat_consol_v9,2026-07-28T10:47:13.909944+00:00,2026-07-28T22:40:00Z,projected,projected,0,0,0,0
