game_pk,game_date,matchup,side,pitcher,throws,opp_team,n_opp,n_LHB,n_RHB,n_SW,n_platoon_adv,n_low_sample,pit_min_split_bf,pit_low_sample,reliable,opp_OPS_raw,opp_OPS_vs_hand,pit_OPS_raw,pit_OPS_allowed,mx_OPS,edge_OPS,model_tag,snapshot_utc
822789,2026-07-17,Chicago White Sox @ Toronto Blue Jays,away,Anthony Kay,L,Toronto Blue Jays,9,1,7,1,8,2,105,False,True,0.738,0.729,0.808,0.79,0.796,0.075,xw+plat_consol_v3,2026-07-17T23:29:05.332646+00:00
822789,2026-07-17,Chicago White Sox @ Toronto Blue Jays,home,Spencer Miles,R,Chicago White Sox,9,6,2,1,7,0,120,False,True,0.801,0.793,0.594,0.62,0.671,-0.05,xw+plat_consol_v3,2026-07-17T23:29:05.332646+00:00
823115,2026-07-17,San Francisco Giants @ Seattle Mariners,away,Landen Roupp,R,Seattle Mariners,9,6,2,1,7,0,179,False,True,0.74,0.742,0.675,0.693,0.696,-0.025,xw+plat_consol_v3,2026-07-17T23:29:05.332646+00:00
823115,2026-07-17,San Francisco Giants @ Seattle Mariners,home,Bryce Miller,R,San Francisco Giants,9,6,3,0,6,0,103,False,True,0.797,0.789,0.567,0.62,0.671,-0.05,xw+plat_consol_v3,2026-07-17T23:29:05.332646+00:00
823524,2026-07-17,Los Angeles Dodgers @ New York Yankees,away,Roki Sasaki,R,New York Yankees,9,6,2,1,7,0,159,False,True,0.749,0.755,0.795,0.797,0.813,0.092,xw+plat_consol_v3,2026-07-17T23:29:05.332646+00:00
823524,2026-07-17,Los Angeles Dodgers @ New York Yankees,home,Gerrit Cole,R,Los Angeles Dodgers,9,5,3,1,6,0,74,False,True,0.818,0.81,0.738,0.735,0.814,0.093,xw+plat_consol_v3,2026-07-17T23:29:05.332646+00:00
823766,2026-07-17,Miami Marlins @ Milwaukee Brewers,away,Sandy Alcantara,R,Milwaukee Brewers,9,5,4,0,5,0,209,False,True,0.793,0.782,0.69,0.697,0.747,0.026,xw+plat_consol_v3,2026-07-17T23:29:05.332646+00:00
823766,2026-07-17,Miami Marlins @ Milwaukee Brewers,home,Logan Henderson,R,Miami Marlins,9,5,3,1,6,0,35,True,False,0.778,0.773,0.591,0.662,0.698,-0.023,xw+plat_consol_v3,2026-07-17T23:29:05.332646+00:00
824009,2026-07-17,Detroit Tigers @ Los Angeles Angels,away,Troy Melton,R,Los Angeles Angels,9,2,7,0,2,0,73,False,True,0.712,0.711,0.469,0.581,0.585,-0.136,xw+plat_consol_v3,2026-07-17T23:29:05.332646+00:00
824009,2026-07-17,Detroit Tigers @ Los Angeles Angels,home,Reid Detmers,L,Detroit Tigers,9,3,6,0,6,2,115,False,True,0.744,0.732,0.64,0.65,0.67,-0.051,xw+plat_consol_v3,2026-07-17T23:29:05.332646+00:00
