game_pk,game_date,game_datetime_utc,matchup,side,pitcher,opp_team,n_opp,starter_rate_basis,starter_rate_bf,opp_xwOBA_neutral,opp_xwOBA_vs_sp,platoon_delta_sp,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,starter_xwOBA,mx_xwOBA_sp,edge_xwOBA_sp,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%,bullpen_xwOBA,expected_sp_ip,expected_sp_ip_raw,sp_share,bp_share,mx_xwOBA_bp,edge_xwOBA_bp,bullpen_pitchers,bullpen_relief_bf,sp_bf_per_ip,bp_bf_per_ip,opener,opener_reason,opener_confidence,pitching_basis,model_tag,model_metric,snapshot_utc,scheduled_start_utc,lineup_status_away,lineup_status_home,lineup_posted_away,lineup_posted_home,lineup_savant_backfill_away,lineup_savant_backfill_home
822777,2026-08-14,2026-08-14T23:15:00Z,New York Yankees @ Toronto Blue Jays,away,Gerrit Cole,Toronto Blue Jays,9,measured,329.0,0.30705609966659475,0.3059761527874446,-0.0010799468791501399,0.2925685107709512,0.3059761527874446,0.3154982790112137,0.28407635507643453,-0.03142192393477916,0.2944098552473691,0.2855242035982602,-0.029974075412953494,0.239,0.24698618857901727,0.24343892127113034,0.24248258562007322,-0.0009563356510571275,0.376,0.3685606905710492,0.39633008783228185,0.3496550575119545,-0.046675030320327326,43.3,33.54225763612218,39.17678783247826,37.07245631914828,-2.1043315133299814,90.2,87.82347941567066,88.89232734153263,89.13115207413803,0.23882473260539427,20.6,12.65527224435591,14.01658030711011,19.238691937245797,5.222111630135688,26.4,19.448871181938912,22.099220643133144,23.233860030386676,1.1346393872535323,5.2,7.247277556440902,8.931771708836349,4.219302118549387,-4.712469590286962,0.28901908759957295,5.940105568903231,6.1190476190476195,0.6584262953402049,0.3415737046597951,0.2812854448704251,-0.03421283414078857,7.0,1356.631417624521,4.073076923076923,4.1019238680696075,False,,,starter_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-08-15T04:02:13.264180+00:00,2026-08-14T23:15:00Z,posted,posted,9,9,0,0
822777,2026-08-14,2026-08-14T23:15:00Z,New York Yankees @ Toronto Blue Jays,home,Shane Bieber,New York Yankees,9,measured,195.0,0.32564355156659935,0.3283529805174625,0.002709428950863124,0.33115455068770144,0.3283529805174625,0.3154982790112137,0.34364403926332426,0.028145760252110574,0.37069433186820805,0.38579794828462205,0.07029966927340836,0.302,0.25088950863213816,0.24343892127113034,0.31124288265522804,0.0678039613840977,0.547,0.4385136786188579,0.39633008783228185,0.6052202181178374,0.2088901302855556,44.3,46.79758300132802,39.17678783247826,52.917378929167,13.740591096688739,89.5,91.12948207171316,88.89232734153263,91.7371547301805,2.8448273886478717,11.0,13.794820717131474,14.01658030711011,10.778240410021363,-3.2383398970887463,16.4,25.658539176626828,22.099220643133144,19.041397400022543,-3.057823243110601,11.8,9.519681274900398,8.931771708836349,12.576702887814806,3.6449311789784566,0.2769466003591265,5.0170580094986645,4.902777777777778,0.5782321284576759,0.4217678715423241,0.2858521917073156,-0.029646087303898117,7.0,1220.6349377394636,4.458904109589041,4.096797986077045,False,,,starter_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-08-15T04:02:13.264180+00:00,2026-08-14T23:15:00Z,posted,posted,9,9,0,0
822942,2026-08-14,2026-08-14T23:10:00Z,Baltimore Orioles @ Tampa Bay Rays,away,Chris Bassitt,Tampa Bay Rays,9,measured,261.0,0.31918815678116286,0.31920674907863966,1.859229747680491e-05,0.32039181539516237,0.31920674907863966,0.3154982790112137,0.32415026379893264,0.008651984787718947,0.3361047864296991,0.3400554721320095,0.024557193120795795,0.284,0.25160770252324044,0.24343892127113034,0.2935298396143295,0.05009091834319915,0.407,0.4050191235059761,0.39633008783228185,0.4159229599966432,0.01959287216436134,34.5,38.00278884462152,39.17678783247826,33.46614890291031,-5.710638929567949,87.4,88.89954847277556,88.89232734153263,87.40722113124293,-1.4851062102897004,9.8,13.599123505976095,14.01658030711011,9.382543198865987,-4.634037108244122,14.2,18.66714475431607,22.099220643133144,11.994696998224416,-10.104523644908728,8.4,8.629003984063745,8.931771708836349,8.115258184938405,-0.8165135238979442,0.299351552957812,4.9453825383279355,4.808333333333334,0.5724737784892929,0.42752622151070707,0.3028525883489418,-0.012645690662271891,8.0,995.0,4.621621621621622,4.2097038871429415,False,,,starter_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-08-15T04:02:13.264180+00:00,2026-08-14T23:10:00Z,posted,posted,9,9,0,0
822942,2026-08-14,2026-08-14T23:10:00Z,Baltimore Orioles @ Tampa Bay Rays,home,Steven Matz,Baltimore Orioles,9,measured,265.0,0.3204867635756341,0.32357175693552787,0.0030849933598937618,0.3082398041790141,0.32357175693552787,0.3154982790112137,0.3140403301991161,-0.001457948812097598,0.33764336411266127,0.3462835261287522,0.030785247117538495,0.274,0.23746932270916338,0.24343892127113034,0.2672809840043729,0.023842062733242547,0.466,0.42948180610889775,0.39633008783228185,0.5049793790357914,0.10864929120350952,35.9,42.283877822045156,39.17678783247826,38.74720970750386,-0.4295781249743982,87.9,90.04066401062417,88.89232734153263,89.04833666909154,0.1560093275589054,14.5,15.56990703851262,14.01658030711011,16.053326731402507,2.0367464242923976,18.1,25.455298804780877,22.099220643133144,20.848740134630006,-1.2504805085031379,7.5,9.350438247011953,8.931771708836349,7.8515538841202765,-1.0802178247160725,0.2967641641974304,2.4346329452591347,1.5,0.28072075787637935,0.7192792421236207,0.3014564352836996,-0.014041843727514103,8.0,1157.657894736842,4.209424083769633,3.999633192659851,True,reliever_spot_start,medium,opener_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-08-15T04:02:13.264180+00:00,2026-08-14T23:10:00Z,posted,posted,9,9,0,0
823185,2026-08-14,2026-08-15T02:15:00Z,Colorado Rockies @ San Francisco Giants,away,Kyle Freeland,San Francisco Giants,9,measured,509.0,0.3075561171322341,0.311794629748436,0.00423851261620195,0.3351480399367224,0.311794629748436,0.3154982790112137,0.32964282092414093,0.014144541912927244,0.3426631000018413,0.33864056161690825,0.023142282605694564,0.283,0.19845258964143428,0.24343892127113034,0.23070297294809042,-0.012735948323039925,0.479,0.3332416998671979,0.39633008783228185,0.40275209765032177,0.00642200981803992,42.5,34.96523240371846,39.17678783247826,37.931194959431956,-1.2455928730463057,90.1,87.54836653386454,88.89232734153263,88.7560391923319,-0.1362881492007375,14.3,22.3257636122178,14.01658030711011,22.609183305107685,8.592602997997576,18.9,25.78905710491368,22.099220643133144,22.05567278384189,-0.043547859291255264,5.1,4.743373173970784,8.931771708836349,2.7084439656376618,-6.223327743198688,0.3219704397622445,5.732306933996493,5.845238095238095,0.6368248461965096,0.3631751538034904,0.3138653516430567,-0.0016329273681570111,7.0,946.3333333333333,4.458100558659218,4.459992927536959,False,,,starter_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-08-15T04:02:13.264180+00:00,2026-08-15T02:15:00Z,posted,posted,9,9,0,0
823185,2026-08-14,2026-08-15T02:15:00Z,Colorado Rockies @ San Francisco Giants,home,Landen Roupp,Colorado Rockies,9,measured,522.0,0.30646404800552846,0.30855833751416056,0.002094289508632108,0.30142610024906435,0.30855833751416056,0.3154982790112137,0.293957098230888,-0.021541180780325686,0.29493863006611154,0.28845093433510866,-0.027047344676105034,0.226,0.24375883134130147,0.24343892127113034,0.22629699308344434,-0.017141928187686006,0.327,0.4596047808764941,0.39633008783228185,0.37920604052199364,-0.017124047310288215,29.0,41.38499335989376,39.17678783247826,30.634589353493674,-8.542198478984588,86.1,88.75508632138114,88.89232734153263,85.96275897984849,-2.9295683616841472,9.7,19.653227091633468,14.01658030711011,15.336646784523358,1.3200664774132491,23.6,22.933917662682603,22.099220643133144,24.491382098014768,2.3921614548816237,10.9,6.472403718459495,8.931771708836349,7.8986793248883655,-1.0330923839479835,0.3109042342679493,5.356187476674752,5.349637681159421,0.5936595883915193,0.40634041160848067,0.3020015528275776,-0.013496726183636065,8.0,823.6684210526316,4.237113402061856,4.26306900775562,False,,,starter_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-08-15T04:02:13.264180+00:00,2026-08-15T02:15:00Z,posted,posted,9,9,0,0
823346,2026-08-14,2026-08-14T22:40:00Z,Boston Red Sox @ Pittsburgh Pirates,away,Jake Bennett,Pittsburgh Pirates,9,measured,305.0,0.3153838644000156,0.31845371831767827,0.0030698539176626793,0.28238185775175734,0.31845371831767827,0.3154982790112137,0.28400175667544775,-0.03149652233576594,0.282740315805238,0.2853888939384433,-0.03010938507277039,0.225,0.23867250996015937,0.24343892127113034,0.2205946134686736,-0.022844307802456748,0.352,0.3818395750332005,0.39633008783228185,0.33913027180657773,-0.05719981602570412,35.5,36.48775564409031,39.17678783247826,33.063336660066,-6.113451172412262,87.8,87.78887118193892,88.89232734153263,86.69654384040628,-2.195783501126357,11.7,14.002177954847278,14.01658030711011,11.68559764773717,-2.330982659372939,18.0,23.18358565737052,22.099220643133144,18.883224371187847,-3.215996271945297,5.2,9.085737051792828,8.931771708836349,5.289637286920536,-3.642134421915813,0.2817817720211685,5.725704636231899,5.836538461538462,0.6260389358962265,0.3739610641037735,0.2816795846114953,-0.03381869439971841,7.0,900.4662162162163,4.0041322314049586,4.182582741907917,False,,,starter_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-08-15T04:02:13.264180+00:00,2026-08-14T22:40:00Z,posted,posted,9,9,0,0
823346,2026-08-14,2026-08-14T22:40:00Z,Boston Red Sox @ Pittsburgh Pirates,home,Bubba Chandler,Boston Red Sox,9,measured,508.0,0.32207529108192184,0.32120543716425914,-0.0008698539176626996,0.30701428145518,0.32120543716425914,0.3154982790112137,0.31290570585591504,-0.0025925731552986497,0.3134109011531601,0.3190803000017859,0.003582020990572199,0.231,0.2516525896414343,0.24343892127113034,0.23879397716533185,-0.004644944105798493,0.368,0.39353333333333335,0.39633008783228185,0.36540316042811116,-0.03092692740417069,37.4,36.22913678618858,39.17678783247826,34.586033995369036,-4.590753837109226,88.9,87.85564409030546,88.89232734153263,87.86331674877282,-1.0290105927598177,16.8,13.829057104913678,14.01658030711011,16.612476797803566,2.595896490693457,20.3,18.94531208499336,22.099220643133144,17.402868704551725,-4.696351938581419,12.2,9.704913678618858,8.931771708836349,13.256042668669537,4.324270959833187,0.29785731710688695,5.261885320783712,5.225378787878789,0.5887366102276058,0.4112633897723942,0.3040665781402605,-0.011431700870953188,8.0,748.795918367347,4.351648351648352,4.278992836466916,False,,,starter_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-08-15T04:02:13.264180+00:00,2026-08-14T22:40:00Z,posted,posted,9,9,0,0
823591,2026-08-14,2026-08-14T23:10:00Z,Washington Nationals @ New York Mets,away,Andrew Alvarez,New York Mets,9,measured,296.0,0.32161102189362034,0.3243942888258914,0.0027832669322710446,0.3146624998935822,0.3243942888258914,0.3154982790112137,0.3223503217231499,0.006852042711936235,0.31961067651798325,0.32862264236480393,0.01312436335359024,0.258,0.25261567065073043,0.24343892127113034,0.26772564833747314,0.0242867270663428,0.368,0.4103779548472776,0.39633008783228185,0.38104371083657446,-0.015286376995707396,42.3,42.33614873837982,39.17678783247826,45.711228273514685,6.534440441036423,89.7,89.38177954847278,88.89232734153263,90.18945220694015,1.2971248654075112,7.9,12.297397078353255,14.01658030711011,6.180816771243146,-7.835763535866963,22.0,21.873413014608236,22.099220643133144,21.775206198093162,-0.3240144450399818,10.8,8.508818061088977,8.931771708836349,10.28857857717607,1.3568068683397208,0.30825196167433405,5.111922603695219,5.027777777777778,0.5643717891934218,0.4356282108065782,0.3142243079914615,-0.0012739710197521847,9.0,737.9310344827586,4.226666666666667,4.289415005838402,False,,,starter_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-08-15T04:02:13.264180+00:00,2026-08-14T23:10:00Z,posted,posted,9,9,0,0
823591,2026-08-14,2026-08-14T23:10:00Z,Washington Nationals @ New York Mets,home,Robert Stock,Washington Nationals,9,measured,41.0,0.3143424234056504,0.3158308696207899,0.001488446215139494,0.31563483005955717,0.3158308696207899,0.3154982790112137,0.3152890012978429,-0.00020927771337081458,0.3284384957526338,0.32878472762385985,0.013286448612646162,0.255,0.25226879150066406,0.24343892127113034,0.2642492067282181,0.020810285457087768,0.453,0.42259840637450197,0.39633008783228185,0.4830243374524251,0.08669424962014327,29.6,39.377822045152726,39.17678783247826,29.75189128625372,-9.424896546224542,86.3,88.70193891102257,88.89232734153263,86.10961156948993,-2.7827157720427067,15.1,12.945365205843293,14.01658030711011,14.028784898733184,0.012204591623074634,19.5,21.052244355909696,22.099220643133144,18.57616481456322,-3.523055828569923,12.2,7.27543160690571,8.931771708836349,9.937587804269299,1.0058160954329498,0.3015913012822012,4.331924829190218,4.0,0.5230911107982789,0.47690888920172114,0.30048639510880243,-0.01501188390241126,7.0,211.0,5.027027027027026,4.253166343924637,False,,,starter_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-08-15T04:02:13.264180+00:00,2026-08-14T23:10:00Z,posted,posted,9,9,0,0
