game_pk,game_date,game_datetime_utc,matchup,side,pitcher,opp_team,n_opp,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%,model_tag,snapshot_utc,scheduled_start_utc
823762,2026-07-20,2026-07-20T23:40:00Z,New York Mets @ Milwaukee Brewers,away,Freddy Peralta,Milwaukee Brewers,9,0.303,0.338,0.317,0.323,0.006,0.233,0.252,0.244,0.241,-0.003,0.363,0.426,0.4,0.387,-0.013,39.0,43.663,39.393,43.227,3.834,87.8,90.484,88.946,89.338,0.392,15.8,9.139,13.93,11.009,-2.921,22.3,22.202,22.144,22.358,0.214,9.4,11.713,8.98,12.261,3.281,xw+plat_consol_v4,2026-07-20T18:48:31.052556+00:00,2026-07-20T23:40:00Z
823762,2026-07-20,2026-07-20T23:40:00Z,New York Mets @ Milwaukee Brewers,home,Jacob Misiorowski,New York Mets,9,0.224,0.335,0.317,0.237,-0.08,0.171,0.262,0.244,0.184,-0.06,0.248,0.436,0.4,0.27,-0.13,34.1,42.11,39.393,36.452,-2.941,87.3,89.65,88.946,88.004,-0.942,11.5,11.959,13.93,9.529,-4.401,39.6,21.047,22.144,37.638,15.494,6.4,8.885,8.98,6.332,-2.648,xw+plat_consol_v4,2026-07-20T18:48:31.052556+00:00,2026-07-20T23:40:00Z
824006,2026-07-20,2026-07-21T02:10:00Z,St. Louis Cardinals @ Los Angeles Angels,away,Kyle Leahy,Los Angeles Angels,9,0.353,0.317,0.317,0.353,0.036,0.275,0.239,0.244,0.269,0.025,0.466,0.409,0.4,0.476,0.076,50.4,39.877,39.393,51.019,11.626,91.9,88.647,88.946,91.601,2.655,9.4,15.82,13.93,11.29,-2.64,19.3,24.646,22.144,21.481,-0.663,8.5,8.371,8.98,7.924,-1.056,xw+plat_consol_v4,2026-07-20T18:48:31.052556+00:00,2026-07-21T02:10:00Z
824006,2026-07-20,2026-07-21T02:10:00Z,St. Louis Cardinals @ Los Angeles Angels,home,José Soriano,St. Louis Cardinals,9,0.322,0.327,0.317,0.332,0.015,0.242,0.255,0.244,0.253,0.009,0.381,0.411,0.4,0.391,-0.009,36.4,41.123,39.393,37.999,-1.394,88.1,89.222,88.946,88.376,-0.57,6.4,11.758,13.93,4.228,-9.702,24.7,19.082,22.144,21.285,-0.859,11.4,8.666,8.98,11.001,2.021,xw+plat_consol_v4,2026-07-20T18:48:31.052556+00:00,2026-07-21T02:10:00Z
824087,2026-07-20,2026-07-20T23:40:00Z,San Francisco Giants @ Kansas City Royals,away,Trevor McDonald,Kansas City Royals,9,0.306,0.323,0.317,0.312,-0.005,0.246,0.25,0.244,0.252,0.008,0.352,0.41,0.4,0.361,-0.039,37.6,43.314,39.393,41.343,1.95,89.0,90.074,88.946,90.128,1.182,3.3,16.217,13.93,5.587,-8.343,18.6,21.046,22.144,17.678,-4.466,7.2,8.911,8.98,7.145,-1.835,xw+plat_consol_v4,2026-07-20T18:48:31.052556+00:00,2026-07-20T23:40:00Z
824087,2026-07-20,2026-07-20T23:40:00Z,San Francisco Giants @ Kansas City Royals,home,Michael Wacha,San Francisco Giants,9,0.315,0.32,0.317,0.318,0.001,0.251,0.261,0.244,0.268,0.024,0.41,0.419,0.4,0.429,0.029,36.4,39.051,39.393,36.084,-3.309,88.4,89.065,88.946,88.519,-0.427,15.8,14.909,13.93,16.779,2.849,19.7,20.245,22.144,18.011,-4.133,7.0,6.549,8.98,5.105,-3.875,xw+plat_consol_v4,2026-07-20T18:48:31.052556+00:00,2026-07-20T23:40:00Z
824167,2026-07-20,2026-07-21T00:10:00Z,Miami Marlins @ Houston Astros,away,Janson Junk,Houston Astros,9,0.309,0.323,0.317,0.315,-0.002,0.25,0.251,0.244,0.257,0.013,0.403,0.417,0.4,0.42,0.02,41.1,37.102,39.393,38.71,-0.683,89.7,88.552,88.946,89.306,0.36,15.1,14.312,13.93,15.482,1.552,17.4,20.369,22.144,16.005,-6.139,6.2,8.501,8.98,5.869,-3.111,xw+plat_consol_v4,2026-07-20T18:48:31.052556+00:00,2026-07-21T00:10:00Z
824167,2026-07-20,2026-07-21T00:10:00Z,Miami Marlins @ Houston Astros,home,Ronel Blanco,Miami Marlins,9,,0.318,0.317,,,,0.251,0.244,,,,0.388,0.4,,,,38.889,39.393,,,,88.704,88.946,,,,12.096,13.93,,,,18.298,22.144,,,,8.738,8.98,,,xw+plat_consol_v4,2026-07-20T18:48:31.052556+00:00,2026-07-21T00:10:00Z
824328,2026-07-20,2026-07-21T00:40:00Z,Washington Nationals @ Colorado Rockies,away,Andrew Alvarez,Colorado Rockies,9,0.321,0.318,0.317,0.322,0.005,0.258,0.25,0.244,0.264,0.02,0.377,0.396,0.4,0.373,-0.027,43.0,37.792,39.393,41.252,1.859,89.6,88.18,88.946,88.834,-0.112,7.1,14.267,13.93,7.437,-6.493,25.0,21.639,22.144,24.43,2.286,10.4,8.491,8.98,9.834,0.854,xw+plat_consol_v4,2026-07-20T18:48:31.052556+00:00,2026-07-21T00:40:00Z
824328,2026-07-20,2026-07-21T00:40:00Z,Washington Nationals @ Colorado Rockies,home,Kyle Freeland,Washington Nationals,9,0.359,0.331,0.317,0.375,0.058,0.295,0.257,0.244,0.311,0.067,0.497,0.427,0.4,0.531,0.131,43.7,39.116,39.393,43.393,4.0,90.9,88.9,88.946,90.854,1.908,14.3,13.221,13.93,13.591,-0.339,19.7,19.138,22.144,17.026,-5.118,4.5,8.609,8.98,4.314,-4.666,xw+plat_consol_v4,2026-07-20T18:48:31.052556+00:00,2026-07-21T00:40:00Z
