game_pk,game_date,matchup,side,pitcher,throws,opp_team,n_opp,n_LHB,n_RHB,n_SW,n_platoon_adv,n_low_sample,pit_min_split_bf,pit_low_sample,reliable,opp_OPS_raw,opp_OPS_vs_hand,pit_OPS_raw,pit_OPS_allowed,mx_OPS,edge_OPS,model_tag,model_metric,snapshot_utc,lineup_status_away,lineup_status_home,lineup_posted_away,lineup_posted_home,lineup_savant_backfill_away,lineup_savant_backfill_home,selection_rule_tag,hybrid_action,hybrid_selection,pregame_market_utc,hybrid_price_source,pregame_away_ml,pregame_home_ml,pregame_p_home,hybrid_p,hybrid_ml,game_type
824298,2026-09-24,Arizona Diamondbacks @ Colorado Rockies,away,Eduardo Rodriguez,L,Colorado Rockies,9,4,3,2,5,1,236,False,True,0.7251067729083666,0.7601626927928529,0.6822071713147411,0.6747114609436763,0.7275325086869621,0.008694661866713194,xw+starter_velo_v14,xwOBA,2026-09-25T05:43:45.913079+00:00,posted,posted,9,9,0,0,lean,,,2026-09-25T05:43:45.913079+00:00,saved_pregame,-196.0,161.0,0.3665362326019119,,,R
824298,2026-09-24,Arizona Diamondbacks @ Colorado Rockies,home,Tanner Gordon,R,Arizona Diamondbacks,9,2,5,2,4,0,203,False,True,0.7218698539176627,0.7270938921538626,0.9484517928286853,0.9182199990026567,0.9295202187752405,0.21068237195499162,xw+starter_velo_v14,xwOBA,2026-09-25T05:43:45.913079+00:00,posted,posted,9,9,0,0,lean,,,2026-09-25T05:43:45.913079+00:00,saved_pregame,-196.0,161.0,0.3665362326019119,,,R
824623,2026-09-24,Miami Marlins @ Chicago Cubs,away,Tyler Phillips,R,Chicago Cubs,9,3,4,2,5,0,239,False,True,0.7586531208499336,0.7612662725783113,0.7062095617529881,0.7093890411525395,0.7473692386131431,0.028531391792894212,xw+starter_velo_v14,xwOBA,2026-09-25T05:43:45.913079+00:00,posted,posted,9,9,0,0,lean,,,2026-09-25T05:43:45.913079+00:00,saved_pregame,184.0,-226.0,0.6631674656968094,,,R
824623,2026-09-24,Miami Marlins @ Chicago Cubs,home,Matthew Boyd,L,Miami Marlins,9,3,6,0,6,1,134,False,True,0.7260464807436919,0.736401343281481,0.6707609561752989,0.6805821482761861,0.7047364732437296,-0.014101373576519305,xw+starter_velo_v14,xwOBA,2026-09-25T05:43:45.913079+00:00,posted,posted,9,9,0,0,lean,,,2026-09-25T05:43:45.913079+00:00,saved_pregame,184.0,-226.0,0.6631674656968094,,,R
824707,2026-09-24,Cleveland Guardians @ Boston Red Sox,away,Daniel Espino,R,Boston Red Sox,9,2,4,3,5,0,31,True,False,0.7235596281540505,0.7226197877566914,0.6607250996015935,0.7122181231283791,0.7107016741368906,-0.008136172683358311,xw+starter_velo_v14,xwOBA,2026-09-25T05:43:45.913079+00:00,posted,posted,9,9,0,0,lean,,,2026-09-25T05:43:45.913079+00:00,saved_pregame,106.0,-127.0,0.5354263026482748,,,R
824707,2026-09-24,Cleveland Guardians @ Boston Red Sox,home,Ranger Suarez,L,Cleveland Guardians,9,4,2,3,5,0,179,False,True,0.6840913678618857,0.7036009184831391,0.6545776892430278,0.6432706132968741,0.6403118964199755,-0.07852595040027333,xw+starter_velo_v14,xwOBA,2026-09-25T05:43:45.913079+00:00,posted,posted,9,9,0,0,lean,,,2026-09-25T05:43:45.913079+00:00,saved_pregame,106.0,-127.0,0.5354263026482748,,,R
824866,2026-09-24,Cincinnati Reds @ Atlanta Braves,away,Brady Singer,R,Atlanta Braves,9,4,4,1,5,0,255,False,True,0.7591978751660026,0.7566516393193662,0.8527851261620186,0.8505577803752049,0.8904907908601256,0.17165294403987674,xw+starter_velo_v14,xwOBA,2026-09-25T05:43:45.913079+00:00,posted,posted,9,9,0,0,lean,,,2026-09-25T05:43:45.913079+00:00,saved_pregame,194.0,-239.0,0.6745579171706698,,,R
824866,2026-09-24,Cincinnati Reds @ Atlanta Braves,home,Tyler Mahle,R,Cincinnati Reds,9,3,5,1,4,0,276,False,True,0.6869274900398408,0.7051959212170676,0.721985657370518,0.6927867090758021,0.6786472024168789,-0.040190644403369946,xw+starter_velo_v14,xwOBA,2026-09-25T05:43:45.913079+00:00,posted,posted,9,9,0,0,lean,,,2026-09-25T05:43:45.913079+00:00,saved_pregame,194.0,-239.0,0.6745579171706698,,,R
824950,2026-09-24,Houston Astros @ Athletics,away,Peter Lambert,R,Athletics,9,4,5,0,4,1,292,False,True,0.7277593625498008,0.7315310922238143,0.6786533864541833,0.6782787112592672,0.6916878124145699,-0.02715003440567898,xw+starter_velo_v14,xwOBA,2026-09-25T05:43:45.913079+00:00,posted,posted,9,9,0,0,lean,,,2026-09-25T05:43:45.913079+00:00,saved_pregame,-180.0,148.0,0.38546255506607924,,,R
824950,2026-09-24,Houston Astros @ Athletics,home,Mason Barnett,R,Houston Astros,9,2,6,1,3,0,109,False,True,0.7645713147410358,0.765964077200402,0.8818791500664012,0.8339290032529234,0.8967032404059437,0.17786539358569486,xw+starter_velo_v14,xwOBA,2026-09-25T05:43:45.913079+00:00,posted,posted,9,9,0,0,lean,,,2026-09-25T05:43:45.913079+00:00,saved_pregame,-180.0,148.0,0.38546255506607924,,,R
