game_pk,faced_pitcher,pitcher_side,batting_side,player_id,batting_order,PA,xwoba_raw,xwoba_shrunk,slot_weight,savant_backfill,model_tag,model_metric,snapshot_utc
823820,Eury Pérez,home,away,805999,6.0,416.0,0.322,0.3205638774978353,4.08,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823820,Eury Pérez,home,away,682626,7.0,367.0,0.326,0.32355666121816495,3.97,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823820,Eury Pérez,home,away,683146,8.0,422.0,0.308,0.3092623769901974,3.87,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
823820,Eury Pérez,home,away,703492,9.0,22.0,0.294,0.3108767277777298,3.76,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824715,Grayson Rodriguez,away,home,701350,1.0,169.0,0.356,0.34060580218915626,4.61,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824715,Grayson Rodriguez,away,home,681508,2.0,187.0,0.377,0.3552542187765959,4.5,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824715,Grayson Rodriguez,away,home,668939,3.0,355.0,0.334,0.3297339797557869,4.39,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824715,Grayson Rodriguez,away,home,677800,4.0,612.0,0.347,0.3424479786360716,4.29,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824715,Grayson Rodriguez,away,home,596115,5.0,205.0,0.252,0.2725211829143706,4.18,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824715,Grayson Rodriguez,away,home,702332,6.0,519.0,0.289,0.2931340238915719,4.08,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824715,Grayson Rodriguez,away,home,680776,7.0,561.0,0.296,0.2988123461253903,3.97,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824715,Grayson Rodriguez,away,home,643396,8.0,142.0,0.307,0.3101362016069547,3.87,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824715,Grayson Rodriguez,away,home,642201,9.0,196.0,0.275,0.2883748675300103,3.76,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824715,Brayan Bello,home,away,687263,1.0,616.0,0.305,0.30633933071073044,4.61,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824715,Brayan Bello,home,away,545361,2.0,553.0,0.375,0.36574879140717154,4.5,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824715,Brayan Bello,home,away,685133,3.0,268.0,0.311,0.3119754369263126,4.39,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824715,Brayan Bello,home,away,687093,4.0,393.0,0.314,0.31411959592065525,4.29,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824715,Brayan Bello,home,away,694208,5.0,291.0,0.289,0.29554465674906144,4.18,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824715,Brayan Bello,home,away,695681,6.0,79.0,0.249,0.2856422390440393,4.08,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824715,Brayan Bello,home,away,666139,7.0,298.0,0.291,0.29692703715799756,3.97,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824715,Brayan Bello,home,away,677347,8.0,1.0,0.698,0.3183857503849805,3.87,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824715,Brayan Bello,home,away,623168,9.0,175.0,0.243,0.2690325846868474,3.76,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824793,Joey Cantillo,away,home,677942,1.0,281.0,0.352,0.3421809994458872,4.61,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824793,Joey Cantillo,away,home,624413,2.0,623.0,0.392,0.3812931684493541,4.5,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824793,Joey Cantillo,away,home,702616,3.0,323.0,0.303,0.3057398600210001,4.39,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824793,Joey Cantillo,away,home,691723,4.0,380.0,0.317,0.3164978349768397,4.29,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824793,Joey Cantillo,away,home,683002,5.0,638.0,0.315,0.3149443913128497,4.18,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824793,Joey Cantillo,away,home,687952,6.0,153.0,0.345,0.33298008216949815,4.08,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824793,Joey Cantillo,away,home,694212,7.0,363.0,0.322,0.32039948334531976,3.97,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824793,Joey Cantillo,away,home,677956,8.0,41.0,0.158,0.26905645949562434,3.87,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824793,Joey Cantillo,away,home,687637,9.0,291.0,0.303,0.30596409408921493,3.76,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824793,Trevor Rogers,home,away,680757,1.0,559.0,0.322,0.3208755095430699,4.61,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824793,Trevor Rogers,home,away,666176,2.0,581.0,0.324,0.32261815093815427,4.5,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824793,Trevor Rogers,home,away,608070,3.0,471.0,0.335,0.3314255005059248,4.39,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824793,Trevor Rogers,home,away,682657,4.0,360.0,0.303,0.3055194799758327,4.29,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824793,Trevor Rogers,home,away,681807,5.0,181.0,0.259,0.27878277860812467,4.18,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824793,Trevor Rogers,home,away,694197,6.0,106.0,0.29,0.3019367028586555,4.08,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824793,Trevor Rogers,home,away,595978,7.0,218.0,0.275,0.28744956222919194,3.97,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824793,Trevor Rogers,home,away,690984,8.0,165.0,0.283,0.29492060675050197,3.87,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824793,Trevor Rogers,home,away,677587,9.0,530.0,0.291,0.29474438220457627,3.76,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
824062,Derek Law,away,home,695600,1.0,533.0,0.304,0.30567292383709793,4.61,False,xw+plat_consol_v12,xwOBA,2026-09-07T18:42:53.803559+00:00
