game_pk,game_date,matchup,side,pitcher,throws,opp_team,n_opp,n_LHB,n_RHB,n_SW,n_platoon_adv,n_low_sample,pit_min_split_bf,pit_low_sample,reliable,opp_OPS_raw,opp_OPS_vs_hand,pit_OPS_raw,pit_OPS_allowed,mx_OPS,edge_OPS,model_tag,snapshot_utc
822787,2026-07-21,Tampa Bay Rays @ Toronto Blue Jays,away,Drew Rasmussen,R,Toronto Blue Jays,9,3,5,1,4,0,153,False,True,0.705,0.707,0.559,0.603,0.591,-0.131,xw+plat_consol_v5,2026-07-21T14:02:06.341892+00:00
822787,2026-07-21,Tampa Bay Rays @ Toronto Blue Jays,home,Kevin Gausman,R,Tampa Bay Rays,9,4,4,1,5,0,193,False,True,0.75,0.746,0.703,0.704,0.725,0.003,xw+plat_consol_v5,2026-07-21T14:02:06.341892+00:00
822871,2026-07-21,Chicago White Sox @ Texas Rangers,away,Noah Schultz,L,Texas Rangers,9,4,5,0,5,1,45,True,False,0.744,0.735,0.693,0.731,0.762,0.04,xw+plat_consol_v5,2026-07-21T14:02:06.341892+00:00
822871,2026-07-21,Chicago White Sox @ Texas Rangers,home,Kumar Rocker,R,Chicago White Sox,9,5,4,0,5,0,177,False,True,0.769,0.766,0.737,0.738,0.782,0.06,xw+plat_consol_v5,2026-07-21T14:02:06.341892+00:00
823114,2026-07-21,Cincinnati Reds @ Seattle Mariners,away,Chase Burns,R,Seattle Mariners,9,6,2,1,7,0,161,False,True,0.731,0.734,0.67,0.677,0.671,-0.051,xw+plat_consol_v5,2026-07-21T14:02:06.341892+00:00
823114,2026-07-21,Cincinnati Reds @ Seattle Mariners,home,Luis Castillo,R,Cincinnati Reds,9,3,5,1,4,0,161,False,True,0.731,0.733,0.732,0.742,0.755,0.033,xw+plat_consol_v5,2026-07-21T14:02:06.341892+00:00
823437,2026-07-21,Los Angeles Dodgers @ Philadelphia Phillies,away,Justin Wrobleski,L,Philadelphia Phillies,9,5,4,0,4,0,97,False,True,0.685,0.699,0.638,0.61,0.612,-0.11,xw+plat_consol_v5,2026-07-21T14:02:06.341892+00:00
823437,2026-07-21,Los Angeles Dodgers @ Philadelphia Phillies,home,Zack Wheeler,R,Los Angeles Dodgers,9,5,3,1,6,0,141,False,True,0.796,0.789,0.552,0.588,0.633,-0.089,xw+plat_consol_v5,2026-07-21T14:02:06.341892+00:00
823519,2026-07-21,Pittsburgh Pirates @ New York Yankees,away,Bubba Chandler,R,New York Yankees,9,6,3,0,6,0,197,False,True,0.749,0.746,0.741,0.736,0.749,0.027,xw+plat_consol_v5,2026-07-21T14:02:06.341892+00:00
823519,2026-07-21,Pittsburgh Pirates @ New York Yankees,home,Will Warren,R,Pittsburgh Pirates,9,2,5,2,4,0,189,False,True,0.767,0.763,0.755,0.752,0.794,0.072,xw+plat_consol_v5,2026-07-21T14:02:06.341892+00:00
