game_pk,faced_pitcher,pitcher_side,batting_side,player_id,batting_order,PA,xwoba_raw,xwoba_shrunk,slot_weight,savant_backfill,model_tag,model_metric,snapshot_utc,scheduled_start_utc,lock_status
824223,Richard Lovelady,away,home,805808,1.0,689.0,0.357,0.3515940600023933,4.61,False,xw+starter_blend_v13,xwOBA,2026-09-24T05:34:45.687934+00:00,2026-09-23T17:10:00Z,late_snapshot
824223,Richard Lovelady,away,home,701678,2.0,345.0,0.304,0.3063251985210974,4.5,False,xw+starter_blend_v13,xwOBA,2026-09-24T05:34:45.687934+00:00,2026-09-23T17:10:00Z,late_snapshot
824223,Richard Lovelady,away,home,701162,3.0,131.0,0.315,0.3147173737744084,4.39,False,xw+starter_blend_v13,xwOBA,2026-09-24T05:34:45.687934+00:00,2026-09-23T17:10:00Z,late_snapshot
824223,Richard Lovelady,away,home,682985,4.0,574.0,0.373,0.3642977942757987,4.29,False,xw+starter_blend_v13,xwOBA,2026-09-24T05:34:45.687934+00:00,2026-09-23T17:10:00Z,late_snapshot
824223,Richard Lovelady,away,home,693307,5.0,594.0,0.34,0.33630362153009846,4.18,False,xw+starter_blend_v13,xwOBA,2026-09-24T05:34:45.687934+00:00,2026-09-23T17:10:00Z,late_snapshot
824223,Richard Lovelady,away,home,703601,6.0,188.0,0.326,0.3219538657704456,4.08,False,xw+starter_blend_v13,xwOBA,2026-09-24T05:34:45.687934+00:00,2026-09-23T17:10:00Z,late_snapshot
824223,Richard Lovelady,away,home,679529,7.0,598.0,0.315,0.3149064661058572,3.97,False,xw+starter_blend_v13,xwOBA,2026-09-24T05:34:45.687934+00:00,2026-09-23T17:10:00Z,late_snapshot
824223,Richard Lovelady,away,home,807726,8.0,70.0,0.326,0.3191453725993431,3.87,False,xw+starter_blend_v13,xwOBA,2026-09-24T05:34:45.687934+00:00,2026-09-23T17:10:00Z,late_snapshot
824223,Richard Lovelady,away,home,814430,9.0,72.0,0.306,0.3108529845458624,3.76,False,xw+starter_blend_v13,xwOBA,2026-09-24T05:34:45.687934+00:00,2026-09-23T17:10:00Z,late_snapshot
824223,Framber Valdez,home,away,695578,1.0,606.0,0.406,0.39301800756641414,4.61,False,xw+starter_blend_v13,xwOBA,2026-09-24T05:34:45.687934+00:00,2026-09-23T17:10:00Z,late_snapshot
824223,Framber Valdez,home,away,665953,2.0,217.0,0.343,0.3339612408261462,4.5,False,xw+starter_blend_v13,xwOBA,2026-09-24T05:34:45.687934+00:00,2026-09-23T17:10:00Z,late_snapshot
824223,Framber Valdez,home,away,691781,3.0,340.0,0.334,0.3295334394133826,4.39,False,xw+starter_blend_v13,xwOBA,2026-09-24T05:34:45.687934+00:00,2026-09-23T17:10:00Z,late_snapshot
824223,Framber Valdez,home,away,682928,4.0,638.0,0.331,0.32874351401339885,4.29,False,xw+starter_blend_v13,xwOBA,2026-09-24T05:34:45.687934+00:00,2026-09-23T17:10:00Z,late_snapshot
824223,Framber Valdez,home,away,686611,5.0,427.0,0.318,0.31730685643622075,4.18,False,xw+starter_blend_v13,xwOBA,2026-09-24T05:34:45.687934+00:00,2026-09-23T17:10:00Z,late_snapshot
824223,Framber Valdez,home,away,691002,6.0,39.0,0.331,0.31901952044523985,4.08,False,xw+starter_blend_v13,xwOBA,2026-09-24T05:34:45.687934+00:00,2026-09-23T17:10:00Z,late_snapshot
824223,Framber Valdez,home,away,695670,7.0,111.0,0.288,0.30048679308951814,3.97,False,xw+starter_blend_v13,xwOBA,2026-09-24T05:34:45.687934+00:00,2026-09-23T17:10:00Z,late_snapshot
824223,Framber Valdez,home,away,695734,8.0,642.0,0.327,0.3252947619162916,3.87,False,xw+starter_blend_v13,xwOBA,2026-09-24T05:34:45.687934+00:00,2026-09-23T17:10:00Z,late_snapshot
824223,Framber Valdez,home,away,660688,9.0,347.0,0.29,0.2954467859997502,3.76,False,xw+starter_blend_v13,xwOBA,2026-09-24T05:34:45.687934+00:00,2026-09-23T17:10:00Z,late_snapshot
824785,Max Scherzer,away,home,687637,1.0,344.0,0.293,0.2978079129321809,4.61,False,xw+starter_blend_v13,xwOBA,2026-09-24T05:34:45.687934+00:00,2026-09-23T17:35:00Z,late_snapshot
824785,Max Scherzer,away,home,624413,2.0,682.0,0.397,0.3864305797210848,4.5,False,xw+starter_blend_v13,xwOBA,2026-09-24T05:34:45.687934+00:00,2026-09-23T17:35:00Z,late_snapshot
824785,Max Scherzer,away,home,683002,3.0,690.0,0.323,0.32190470043277003,4.39,False,xw+starter_blend_v13,xwOBA,2026-09-24T05:34:45.687934+00:00,2026-09-23T17:35:00Z,late_snapshot
824785,Max Scherzer,away,home,691723,4.0,437.0,0.336,0.33196780883033217,4.29,False,xw+starter_blend_v13,xwOBA,2026-09-24T05:34:45.687934+00:00,2026-09-23T17:35:00Z,late_snapshot
824785,Max Scherzer,away,home,687952,5.0,201.0,0.334,0.32747080844481175,4.18,False,xw+starter_blend_v13,xwOBA,2026-09-24T05:34:45.687934+00:00,2026-09-23T17:35:00Z,late_snapshot
824785,Max Scherzer,away,home,681297,6.0,380.0,0.314,0.3140723194622674,4.08,False,xw+starter_blend_v13,xwOBA,2026-09-24T05:34:45.687934+00:00,2026-09-23T17:35:00Z,late_snapshot
824785,Max Scherzer,away,home,669236,7.0,277.0,0.283,0.29131488950103007,3.97,False,xw+starter_blend_v13,xwOBA,2026-09-24T05:34:45.687934+00:00,2026-09-23T17:35:00Z,late_snapshot
824785,Max Scherzer,away,home,665750,8.0,474.0,0.27,0.2777259814318612,3.87,False,xw+starter_blend_v13,xwOBA,2026-09-24T05:34:45.687934+00:00,2026-09-23T17:35:00Z,late_snapshot
824785,Max Scherzer,away,home,665966,9.0,277.0,0.26,0.2744156852569982,3.76,False,xw+starter_blend_v13,xwOBA,2026-09-24T05:34:45.687934+00:00,2026-09-23T17:35:00Z,late_snapshot
824785,Chris Bassitt,home,away,664770,1.0,433.0,0.289,0.29375555974087864,4.61,False,xw+starter_blend_v13,xwOBA,2026-09-24T05:34:45.687934+00:00,2026-09-23T17:35:00Z,late_snapshot
824785,Chris Bassitt,home,away,665489,2.0,596.0,0.335,0.3320326341119086,4.5,False,xw+starter_blend_v13,xwOBA,2026-09-24T05:34:45.687934+00:00,2026-09-23T17:35:00Z,late_snapshot
824785,Chris Bassitt,home,away,672960,3.0,617.0,0.328,0.3260958345075151,4.39,False,xw+starter_blend_v13,xwOBA,2026-09-24T05:34:45.687934+00:00,2026-09-23T17:35:00Z,late_snapshot
