game_pk,game_date,matchup,side,pitcher,opp_team,n_opp,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%
822712,2026-07-06,Houston Astros @ Washington Nationals,away,Mike Burrows,Washington Nationals,9,0.332,0.333,0.318,0.348,0.03,0.259,0.256,0.245,0.271,0.026,0.431,0.434,0.4,0.468,0.068,37.7,39.821,39.451,38.054,-1.397,88.0,89.425,88.98,88.445,-0.535,15.8,13.574,13.978,15.396,1.418,18.1,20.69,22.095,16.949,-5.146,8.3,8.521,9.011,7.849,-1.162
822712,2026-07-06,Houston Astros @ Washington Nationals,home,Miles Mikolas,Houston Astros,9,0.337,0.332,0.318,0.352,0.034,0.273,0.251,0.245,0.28,0.035,0.48,0.441,0.4,0.529,0.129,40.3,39.888,39.451,40.746,1.295,89.8,89.12,88.98,89.94,0.96,11.8,14.724,13.978,12.546,-1.432,13.2,20.764,22.095,12.405,-9.69,4.8,9.026,9.011,4.808,-4.203
822958,2026-07-06,New York Yankees @ Tampa Bay Rays,away,Cam Schlittler,Tampa Bay Rays,9,0.277,0.314,0.318,0.274,-0.044,0.221,0.25,0.245,0.226,-0.019,0.366,0.379,0.4,0.347,-0.053,40.6,34.689,39.451,35.699,-3.752,88.1,88.26,88.98,87.38,-1.6,12.9,11.732,13.978,10.654,-3.324,29.7,16.986,22.095,22.833,0.738,5.1,9.266,9.011,5.244,-3.767
822958,2026-07-06,New York Yankees @ Tampa Bay Rays,home,Griffin Jax,New York Yankees,9,0.354,0.323,0.318,0.36,0.042,0.278,0.244,0.245,0.277,0.032,0.483,0.409,0.4,0.494,0.094,41.4,40.343,39.451,42.336,2.885,88.9,89.158,88.98,89.078,0.098,10.8,15.387,13.978,12.209,-1.769,23.4,22.042,22.095,23.344,1.249,8.1,10.243,9.011,9.207,0.196
823036,2026-07-06,Milwaukee Brewers @ St. Louis Cardinals,away,Shane Drohan,St. Louis Cardinals,9,0.285,0.33,0.318,0.296,-0.022,0.23,0.258,0.245,0.242,-0.003,0.355,0.408,0.4,0.362,-0.038,36.2,41.024,39.451,37.643,-1.808,87.7,89.152,88.98,87.872,-1.108,13.5,12.159,13.978,11.681,-2.297,24.5,18.961,22.095,21.025,-1.07,7.5,8.54,9.011,7.108,-1.903
823036,2026-07-06,Milwaukee Brewers @ St. Louis Cardinals,home,Dustin May,Milwaukee Brewers,9,0.305,0.324,0.318,0.311,-0.007,0.243,0.25,0.245,0.248,0.003,0.379,0.408,0.4,0.387,-0.013,46.5,40.821,39.451,48.115,8.664,90.0,89.783,88.98,90.803,1.823,11.1,8.952,13.978,6.074,-7.904,22.2,21.284,22.095,21.385,-0.71,6.8,10.155,9.011,7.663,-1.348
823205,2026-07-06,Toronto Blue Jays @ San Francisco Giants,away,Kevin Gausman,San Francisco Giants,9,0.302,0.321,0.318,0.305,-0.013,0.241,0.266,0.245,0.262,0.017,0.404,0.425,0.4,0.429,0.029,39.8,38.125,39.451,38.462,-0.989,89.0,88.962,88.98,88.982,0.002,15.4,15.499,13.978,16.921,2.943,23.9,18.188,22.095,19.674,-2.421,5.7,6.016,9.011,3.805,-5.206
823205,2026-07-06,Toronto Blue Jays @ San Francisco Giants,home,Landen Roupp,Toronto Blue Jays,9,0.289,0.304,0.318,0.276,-0.042,0.229,0.254,0.245,0.237,-0.008,0.321,0.376,0.4,0.302,-0.098,29.3,34.786,39.451,25.835,-13.616,86.6,87.772,88.98,85.392,-3.588,9.6,13.342,13.978,8.964,-5.014,26.0,18.136,22.095,21.341,-0.754,10.5,7.128,9.011,8.306,-0.705
823282,2026-07-06,Arizona Diamondbacks @ San Diego Padres,away,Brandon Pfaadt,San Diego Padres,9,0.341,0.319,0.318,0.342,0.024,0.248,0.249,0.245,0.252,0.007,0.45,0.401,0.4,0.451,0.051,39.0,42.648,39.451,42.16,2.709,89.5,89.467,88.98,89.987,1.007,10.9,9.431,13.978,6.353,-7.625,17.4,21.691,22.095,17.082,-5.013,9.5,8.781,9.011,9.258,0.247
823282,2026-07-06,Arizona Diamondbacks @ San Diego Padres,home,Walker Buehler,Arizona Diamondbacks,9,0.326,0.324,0.318,0.332,0.014,0.262,0.257,0.245,0.275,0.03,0.414,0.399,0.4,0.413,0.013,41.7,37.605,39.451,39.749,0.298,90.5,88.51,88.98,90.03,1.05,10.6,13.742,13.978,10.364,-3.614,21.7,16.994,22.095,16.69,-5.405,8.5,9.149,9.011,8.63,-0.381
823930,2026-07-06,Colorado Rockies @ Los Angeles Dodgers,away,Kyle Freeland,Los Angeles Dodgers,9,0.36,0.354,0.318,0.401,0.083,0.294,0.267,0.245,0.32,0.075,0.491,0.457,0.4,0.561,0.161,43.6,44.073,39.451,48.708,9.257,90.8,90.265,88.98,92.085,3.105,14.5,14.978,13.978,15.5,1.522,19.2,20.885,22.095,18.149,-3.946,5.1,10.979,9.011,6.214,-2.797
823930,2026-07-06,Colorado Rockies @ Los Angeles Dodgers,home,Eric Lauer,Colorado Rockies,9,0.345,0.318,0.318,0.345,0.027,0.259,0.253,0.245,0.267,0.022,0.479,0.397,0.4,0.475,0.075,36.0,35.911,39.451,32.77,-6.681,88.2,87.735,88.98,86.955,-2.025,20.0,14.851,13.978,20.873,6.895,14.7,20.834,22.095,13.861,-8.234,8.4,7.955,9.011,7.416,-1.595
824089,2026-07-06,Philadelphia Phillies @ Kansas City Royals,away,Cristopher Sánchez,Kansas City Royals,9,0.267,0.324,0.318,0.272,-0.046,0.219,0.253,0.245,0.226,-0.019,0.348,0.413,0.4,0.359,-0.041,43.0,43.454,39.451,47.363,7.912,89.1,90.163,88.98,90.283,1.303,2.1,15.174,13.978,3.296,-10.682,28.6,21.218,22.095,27.465,5.37,4.8,8.278,9.011,4.41,-4.601
