game_pk,game_date,matchup,side,pitcher,opp_team,n_opp,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%
822708,2026-07-12,New York Yankees @ Washington Nationals,away,Will Warren,Washington Nationals,9,0.319,0.343,0.318,0.344,0.026,0.256,0.26,0.245,0.272,0.027,0.407,0.45,0.4,0.458,0.058,39.9,42.467,39.419,42.985,3.566,90.2,89.97,88.958,91.212,2.254,13.9,13.468,13.939,13.429,-0.51,22.9,21.45,22.101,22.225,0.124,7.6,9.123,8.978,7.723,-1.255
822708,2026-07-12,New York Yankees @ Washington Nationals,home,Cade Cavalli,New York Yankees,9,0.315,0.324,0.318,0.321,0.003,0.247,0.247,0.245,0.249,0.004,0.378,0.414,0.4,0.391,-0.009,39.0,39.595,39.419,39.174,-0.245,89.1,88.996,88.958,89.138,0.18,8.1,15.007,13.939,9.168,-4.771,25.5,22.424,22.101,25.873,3.772,7.5,9.754,8.978,8.148,-0.83
822876,2026-07-12,Houston Astros @ Texas Rangers,away,Cristian Javier,Texas Rangers,9,0.395,0.334,0.318,0.415,0.097,0.284,0.258,0.245,0.299,0.054,0.429,0.429,0.4,0.46,0.06,39.0,44.761,39.419,44.285,4.866,90.8,90.111,88.958,91.953,2.995,22.2,12.989,13.939,21.25,7.311,12.7,22.12,22.101,12.711,-9.39,19.0,8.689,8.978,18.388,9.41
822876,2026-07-12,Houston Astros @ Texas Rangers,home,MacKenzie Gore,Houston Astros,9,0.309,0.336,0.318,0.326,0.008,0.24,0.254,0.245,0.249,0.004,0.386,0.441,0.4,0.426,0.026,44.6,40.072,39.419,45.339,5.92,90.1,88.881,88.958,90.023,1.065,16.7,15.292,13.939,18.053,4.114,25.6,21.356,22.101,24.737,2.636,9.2,9.413,8.978,9.646,0.668
822951,2026-07-12,Seattle Mariners @ Tampa Bay Rays,away,Emerson Hancock,Tampa Bay Rays,9,0.322,0.32,0.318,0.324,0.006,0.252,0.251,0.245,0.258,0.013,0.435,0.387,0.4,0.421,0.021,43.6,35.379,39.419,39.131,-0.288,90.0,88.803,88.958,89.845,0.887,13.6,12.395,13.939,12.056,-1.883,24.0,18.19,22.101,19.753,-2.348,6.3,10.012,8.978,7.026,-1.952
822951,2026-07-12,Seattle Mariners @ Tampa Bay Rays,home,Ian Seymour,Seattle Mariners,9,0.28,0.318,0.318,0.28,-0.038,0.207,0.246,0.245,0.208,-0.037,0.364,0.386,0.4,0.351,-0.049,36.1,37.065,39.419,33.944,-5.475,88.0,88.575,88.958,87.617,-1.341,22.4,14.146,13.939,22.607,8.668,28.7,20.564,22.101,26.704,4.603,8.4,9.381,8.978,8.777,-0.201
823029,2026-07-12,Atlanta Braves @ St. Louis Cardinals,away,Danny Young,St. Louis Cardinals,9,0.291,0.342,0.318,0.313,-0.005,0.183,0.264,0.245,0.197,-0.048,0.425,0.435,0.4,0.462,0.062,75.0,42.941,39.419,81.701,42.282,96.7,89.95,88.958,97.692,8.734,-0.7,11.345,13.939,-3.294,-17.233,25.0,18.478,22.101,20.902,-1.199,8.3,8.708,8.978,8.05,-0.928
823029,2026-07-12,Atlanta Braves @ St. Louis Cardinals,home,Dustin May,Atlanta Braves,9,0.302,0.326,0.318,0.31,-0.008,0.244,0.257,0.245,0.256,0.011,0.375,0.432,0.4,0.405,0.005,46.9,40.226,39.419,47.86,8.441,90.2,89.353,88.958,90.595,1.637,10.8,14.499,13.939,11.36,-2.579,23.0,19.476,22.101,20.268,-1.833,6.5,7.255,8.978,5.253,-3.725
823199,2026-07-12,Colorado Rockies @ San Francisco Giants,away,Michael Lorenzen,San Francisco Giants,9,0.356,0.324,0.318,0.363,0.045,0.289,0.267,0.245,0.315,0.07,0.465,0.429,0.4,0.499,0.099,46.2,38.218,39.419,44.792,5.373,90.5,89.008,88.958,90.55,1.592,11.6,15.369,13.939,13.03,-0.909,16.3,17.851,22.101,13.166,-8.935,7.9,6.342,8.978,5.581,-3.397
823199,2026-07-12,Colorado Rockies @ San Francisco Giants,home,Trevor McDonald,Colorado Rockies,9,0.312,0.319,0.318,0.313,-0.005,0.251,0.251,0.245,0.257,0.012,0.358,0.401,0.4,0.359,-0.041,38.2,35.701,39.419,34.597,-4.822,89.0,87.72,88.958,87.762,-1.196,2.7,15.185,13.939,3.946,-9.993,18.8,20.391,22.101,17.345,-4.756,7.5,8.007,8.978,6.689,-2.289
