game_pk,game_date,game_datetime_utc,matchup,side,pitcher,opp_team,n_opp,opp_xwOBA_neutral,opp_xwOBA_vs_sp,platoon_delta_sp,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,starter_xwOBA,mx_xwOBA_sp,edge_xwOBA_sp,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%,bullpen_xwOBA,expected_sp_ip,sp_share,bp_share,mx_xwOBA_bp,edge_xwOBA_bp,bullpen_pitchers,bullpen_relief_bf,sp_bf_per_ip,bp_bf_per_ip,opener,opener_reason,opener_confidence,pitching_basis,model_tag,model_metric,snapshot_utc,scheduled_start_utc,lineup_status_away,lineup_status_home,lineup_posted_away,lineup_posted_home,lineup_savant_backfill_away,lineup_savant_backfill_home
822867,2026-08-03,2026-08-04T00:05:00Z,San Francisco Giants @ Texas Rangers,away,Logan Webb,Texas Rangers,9,0.3211317766439502,0.3242420024075624,0.0031102257636121955,0.29156973172850387,0.3242420024075624,0.31626787355915426,0.29789543298741644,-0.018372440571737814,0.2878477599930297,0.2951053265016962,-0.02116254705745807,0.257,0.24466215139442232,0.24375020625604035,0.2579615167271612,0.01421131047112087,0.382,0.3958998671978752,0.3971276901680692,0.3808189481966981,-0.01630874197137111,39.3,40.0206374501992,39.30657693123688,40.01394103954439,0.7073641083075088,88.4,89.2827888446215,88.90825455945561,88.7745342851659,-0.13372027428971478,5.8,11.895830013280214,13.956325876334835,3.7395041369453796,-10.216821739389456,19.1,22.204302788844622,22.154320376525312,19.1430915532083,-3.011228823317012,6.2,8.740451527224435,8.900766093864178,6.088329801874965,-2.8124362919892123,0.29849973317002954,5.932017543859649,0.650583823895577,0.349416176104423,0.3030903789306554,-0.013177494628498876,6.0,725.0,4.084033613445378,4.241100936918928,False,,,starter_bullpen_sequential,woba+plat_consol_v1,wOBA,2026-08-03T19:34:25.862610+00:00,2026-08-04T00:05:00Z,projected,projected,0,0,0,0
823431,2026-08-03,2026-08-03T22:40:00Z,Washington Nationals @ Philadelphia Phillies,away,Andrew Alvarez,Philadelphia Phillies,9,0.32028658734521454,0.32139946915132345,0.0011128818061089119,0.3158057517501328,0.32139946915132345,0.31626787355915426,0.3203863345174929,0.004118460958338621,0.32466700953385064,0.3299348850733339,0.01366701151417965,0.261,0.2538926958831342,0.24375020625604035,0.27186025662637114,0.02811005037033079,0.381,0.42050119521912355,0.3971276901680692,0.4034242873134403,0.006296597145371119,43.9,40.92693227091633,39.30657693123688,45.709712393332275,6.403135462095392,89.8,89.2756706507304,88.90825455945561,90.16741609127477,1.25916153181916,8.2,13.05760956175299,13.956325876334835,7.301283685418154,-6.6550421909166815,23.0,23.04010624169987,22.154320376525312,23.91959827937679,1.7652779028514765,11.1,7.527250996015935,8.900766093864178,9.387111758096253,0.4863456642320756,0.30705172749878873,4.4523809523809526,0.4969562357230397,0.5030437642769603,0.31095333469159836,-0.005314538867555896,7.0,473.0,4.369942196531792,4.330834194142774,False,,,starter_bullpen_sequential,woba+plat_consol_v1,wOBA,2026-08-03T19:34:25.862610+00:00,2026-08-03T22:40:00Z,projected,posted,0,9,0,0
823431,2026-08-03,2026-08-03T22:40:00Z,Washington Nationals @ Philadelphia Phillies,home,Aaron Nola,Washington Nationals,9,0.3237619194269268,0.32718024612015384,0.0034183266932270584,0.33740064077284726,0.32718024612015384,0.31626787355915426,0.3477831420315086,0.03151526847235436,0.35518526313698234,0.36744042480076256,0.0511725512416083,0.249,0.24871235059760957,0.24375020625604035,0.25406901700732454,0.010318810751284185,0.432,0.40630889774236384,0.3971276901680692,0.44198742160340593,0.044859731435336725,41.2,38.82525896414343,39.30657693123688,40.695496637141886,1.3889197059050034,88.6,88.94520584329351,88.90825455945561,88.63695128383789,-0.2713032756177256,14.1,12.856254980079681,13.956325876334835,12.999929103744845,-0.95639677258999,23.3,20.66517928286852,22.154320376525312,21.733850062086848,-0.4204703144384645,7.8,8.805657370517928,8.900766093864178,7.716653461704587,-1.1841126321595903,0.3081399857739375,5.568181818181818,0.6219679559567166,0.3780320440432834,0.3154414393205708,-0.0008264342385834733,8.0,1170.9136363636364,4.368421052631579,4.3079854994517985,False,,,starter_bullpen_sequential,woba+plat_consol_v1,wOBA,2026-08-03T19:34:25.862610+00:00,2026-08-03T22:40:00Z,projected,posted,0,9,0,0
823520,2026-08-03,2026-08-03T23:05:00Z,St. Louis Cardinals @ New York Yankees,away,Michael McGreevy,New York Yankees,9,0.3154187239190255,0.3200322697357585,0.004613545816733011,0.3090635715912706,0.3200322697357585,0.31626787355915426,0.3109037407163975,-0.005364132842756775,0.31192581257630125,0.315638527127521,-0.0006293464316332598,0.29,0.24328924302788849,0.24375020625604035,0.28945157241826647,0.045701366162226115,0.499,0.4151415670650731,0.3971276901680692,0.521634847164147,0.12450715699607778,42.6,41.73644090305445,39.30657693123688,45.23345763688639,5.926880705649509,90.2,89.40682602921648,88.90825455945561,90.69857146976086,1.7903169103052505,10.4,14.811181938911021,13.956325876334835,11.254856062576186,-2.7014698137586493,16.2,23.712536520584333,22.154320376525312,17.339421165024934,-4.814899211500379,6.2,8.366480743691898,8.900766093864178,5.827833252089202,-3.0729328417749757,0.30499911495615223,5.404761904761905,0.5867813001242269,0.4132186998757731,0.3041802208781985,-0.01208765268095574,7.0,1111.0,4.043103448275862,4.2802335345235125,False,,,starter_bullpen_sequential,woba+plat_consol_v1,wOBA,2026-08-03T19:34:25.862610+00:00,2026-08-03T23:05:00Z,posted,projected,9,0,0,0
823520,2026-08-03,2026-08-03T23:05:00Z,St. Louis Cardinals @ New York Yankees,home,Cam Schlittler,St. Louis Cardinals,9,0.3156897666443974,0.31679733636551294,0.001107569721115531,0.26818222287688287,0.31679733636551294,0.31626787355915426,0.2683189344635751,-0.04794893909557918,0.2587002936613094,0.25913338280800746,-0.057134490751146794,0.212,0.2537365205843294,0.24375020625604035,0.22068552552268786,-0.023064680733352494,0.342,0.4143402390438247,0.3971276901680692,0.35682317113928036,-0.04030451902878884,39.4,42.92377158034529,39.30657693123688,43.025791923427775,3.719214992190892,88.2,89.96098273572377,88.90825455945561,89.25272817626818,0.3444736168125644,13.6,12.042443559096947,13.956325876334835,11.686117682762111,-2.2702081935727243,30.7,20.012881806108897,22.154320376525312,27.7325352800511,5.578214903525787,4.8,8.85479415670651,8.900766093864178,4.775208280272759,-4.125557813591419,0.2894849690818147,6.311594202898551,0.6919919055161566,0.30800809448384336,0.28895581871171533,-0.027312054847438927,8.0,1276.2740740740742,3.936585365853659,4.113628182159485,False,,,starter_bullpen_sequential,woba+plat_consol_v1,wOBA,2026-08-03T19:34:25.862610+00:00,2026-08-03T23:05:00Z,posted,projected,9,0,0,0
823757,2026-08-03,2026-08-03T23:40:00Z,Pittsburgh Pirates @ Milwaukee Brewers,away,Bubba Chandler,Milwaukee Brewers,9,0.33118518555359916,0.33246805407949565,0.0012828685258964856,0.3073616792996623,0.33246805407949565,0.31626787355915426,0.322583087554172,0.006315213995017721,0.3152251995664572,0.3313719712257737,0.015104097666619465,0.222,0.249935192563081,0.24375020625604035,0.22763309045458088,-0.01611711580145947,0.362,0.4144650730411687,0.3971276901680692,0.3778038151341345,-0.01932387503393468,36.8,42.49320053120851,39.30657693123688,39.78341289510161,0.4768359638647297,88.8,90.23551128818062,88.90825455945561,90.12725672872499,1.2190021692693733,16.9,8.456812749003985,13.956325876334835,11.40048687266915,-2.5558390036656853,20.1,22.290756972111556,22.154320376525312,20.223785136473396,-1.930535240051917,12.3,10.547250996015936,8.900766093864178,14.575283282685898,5.674517188821721,0.29709138261610984,5.029166666666667,0.566361550448743,0.43363844955125697,0.31110420281018053,-0.0051636707489737255,7.0,767.6086956521739,4.423566878980892,4.289641399848655,False,,,starter_bullpen_sequential,woba+plat_consol_v1,wOBA,2026-08-03T19:34:25.862610+00:00,2026-08-03T23:40:00Z,projected,projected,0,0,0,0
823757,2026-08-03,2026-08-03T23:40:00Z,Pittsburgh Pirates @ Milwaukee Brewers,home,Brandon Sproat,Pittsburgh Pirates,9,0.329561959097518,0.3265367266937996,-0.0030252324037184364,0.31910190519161186,0.3265367266937996,0.31626787355915426,0.3307845465642632,0.014516673005108949,0.3424272838472197,0.35354550286691067,0.03727762930775641,0.244,0.23997583001328024,0.24375020625604035,0.24022175579918859,-0.003528450456851767,0.41,0.39474369189907044,0.3971276901680692,0.4075387279343935,0.010411037766324294,43.2,38.86786188579018,39.30657693123688,42.71782903923552,3.411252107998635,89.9,88.68741035856574,88.90825455945561,89.67915579911015,0.7709012396545347,13.1,13.055059760956176,13.956325876334835,12.198733884621342,-1.7575919917134932,24.1,22.753173970783532,22.154320376525312,24.75144727422628,2.597126897700967,11.6,9.874794156706507,8.900766093864178,12.869410454091124,3.9686443602269463,0.2929730005749374,4.652777777777778,0.5283446223012794,0.47165537769872057,0.30528790340159406,-0.010979970157560193,8.0,1264.2788235294117,4.294964028776978,4.10362341801441,False,,,starter_bullpen_sequential,woba+plat_consol_v1,wOBA,2026-08-03T19:34:25.862610+00:00,2026-08-03T23:40:00Z,projected,projected,0,0,0,0
824160,2026-08-03,2026-08-04T00:10:00Z,Toronto Blue Jays @ Houston Astros,away,Shane Bieber,Houston Astros,9,0.33208489664582164,0.32653111178526384,-0.005553784860557798,0.32244979553911324,0.32653111178526384,0.31626787355915426,0.33539330429587566,0.019125430736721405,0.3523850097755827,0.3638202885534644,0.04755241499431012,0.307,0.25194794156706507,0.24375020625604035,0.31732493378832666,0.0735747275322863,0.554,0.42149322709163345,0.3971276901680692,0.5879903456491333,0.19086265548106413,45.5,37.66770252324037,39.30657693123688,43.60289291549625,4.2963159842593655,89.0,88.41758300132803,88.90825455945561,88.5093284418724,-0.3989261175832155,8.1,14.126879150066403,13.956325876334835,8.270553273731567,-5.685772602603269,15.6,20.433970783532537,22.154320376525312,14.38861309240954,-7.765707284115772,12.8,8.53195219123506,8.900766093864178,12.269616670759719,3.3688505768955412,0.2907480806116967,4.470238095238096,0.5143298888743312,0.4856701111256688,0.3052888211924162,-0.010979052366738073,8.0,1331.831490326943,4.5,4.193410789408492,False,,,starter_bullpen_sequential,woba+plat_consol_v1,wOBA,2026-08-03T19:34:25.862610+00:00,2026-08-04T00:10:00Z,projected,projected,0,0,0,0
824160,2026-08-03,2026-08-04T00:10:00Z,Toronto Blue Jays @ Houston Astros,home,Cristian Javier,Toronto Blue Jays,9,0.313064460580189,0.31267402233317704,-0.0003904382470119594,0.3209586926025673,0.31267402233317704,0.31626787355915426,0.31754573758904003,0.001277864029885778,0.3528148624672409,0.3488057163223868,0.03253784276323257,0.258,0.2486605577689243,0.24375020625604035,0.2631974138187736,0.019447207562733243,0.419,0.380333598937583,0.3971276901680692,0.40128095295345506,0.004153262785385858,39.7,35.912669322709164,39.30657693123688,36.27212246453661,-3.034454466700275,90.9,87.99450199203187,88.90825455945561,89.98624743257626,1.0779928731206496,23.3,13.360876494023906,13.956325876334835,22.704550617689073,8.748224741354237,20.8,19.054475431606907,22.154320376525312,17.8896523225049,-4.264668054020412,14.9,7.077556440903056,8.900766093864178,11.847922960491264,2.947156866627086,0.30208795886785633,3.0833333333333335,0.37200641860071937,0.6279935813992806,0.2990281713613475,-0.01723970219780674,7.0,1220.1272727272726,4.734375,4.164959680582303,False,,,starter_bullpen_sequential,woba+plat_consol_v1,wOBA,2026-08-03T19:34:25.862610+00:00,2026-08-04T00:10:00Z,projected,projected,0,0,0,0
824324,2026-08-03,2026-08-04T00:40:00Z,Tampa Bay Rays @ Colorado Rockies,away,Ian Seymour,Colorado Rockies,9,0.33065852532965245,0.33074351868954627,8.499335989381462e-05,0.2934609047810787,0.33074351868954627,0.31626787355915426,0.3068539299644214,-0.009413943594732854,0.30002786608963455,0.3137602027631854,-0.0025076707959688638,0.208,0.2443646746347942,0.24375020625604035,0.20852434590617966,-0.035225860349860694,0.367,0.3908146082337317,0.3971276901680692,0.361165853635335,-0.035961836532734215,36.8,36.58613545816733,39.30657693123688,34.253040838837315,-5.053536092399568,88.6,87.79787516600267,88.90825455945561,87.48962060654706,-1.41863395290855,22.5,15.773253652058434,13.956325876334835,24.3169277757236,10.360601899388763,27.9,21.7858432934927,22.154320376525312,27.435959106761718,5.281638730236406,8.7,7.621354581673308,8.900766093864178,7.449446953365762,-1.4513191404984154,0.28695574743491936,4.369047619047619,0.4976360388079048,0.5023639611920951,0.30001265450678666,-0.016255219052367598,6.0,753.8571428571429,4.12340425531915,3.9271639235187874,False,,,starter_bullpen_sequential,woba+plat_consol_v1,wOBA,2026-08-03T19:34:25.862610+00:00,2026-08-04T00:40:00Z,projected,projected,0,0,0,0
