game_pk,game_date,game_datetime_utc,matchup,side,pitcher,opp_team,n_opp,starter_rate_basis,starter_rate_bf,opp_xwOBA_neutral,opp_xwOBA_vs_sp,platoon_delta_sp,opp_xwOBA_sd,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,starter_xwOBA,mx_xwOBA_sp,edge_xwOBA_sp,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%,bullpen_xwOBA,expected_sp_ip,expected_sp_ip_raw,sp_share,bp_share,mx_xwOBA_bp,edge_xwOBA_bp,bullpen_pitchers,bullpen_relief_bf,sp_bf_per_ip,bp_bf_per_ip,opener,opener_reason,opener_confidence,pitching_basis,model_tag,model_metric,snapshot_utc,scheduled_start_utc
822680,2026-09-16,2026-09-16T22:45:00Z,Philadelphia Phillies @ Washington Nationals,away,Zack Wheeler,Washington Nationals,9,measured,574.0,0.31845945112305923,0.3212862771522757,0.002826826029216467,0.03307679077508045,0.2954287717069592,0.3212862771522757,0.31660173767305444,0.29869498903058367,-0.01790674864247077,0.28883705306721874,0.29311077748863235,-0.023490960184422094,0.206,0.2414111553784861,0.24291167895530122,0.204727488698142,-0.03818419025715922,0.329,0.40274581673306775,0.3947083781912139,0.33569942019570936,-0.05900895799550454,35.1,39.096520584329355,39.034686003270615,35.15560167167683,-3.8790843315937877,86.7,89.03466135458169,88.84439833783405,86.89026301674765,-1.9541353210863974,14.7,13.239256308100929,14.028847541670547,13.910408766430383,-0.11843877524016477,30.0,22.47128818061089,22.081356967859453,30.529765285691912,8.44840831783246,7.8,8.874103585657371,8.900714622408184,7.776679840275546,-1.1240347821326386,0.30508613475192153,5.520272122674055,5.65,0.5943328510714544,0.4056671489285456,0.3068762784829831,-0.00972545919007134,10.0,1726.1789819376027,3.984478935698448,4.314463938639756,False,,,starter_bullpen_sequential,shadow_woba+plat_consol_v1,wOBA,2026-09-17T00:59:30.860754+00:00,2026-09-16T22:45:00Z
822680,2026-09-16,2026-09-16T22:45:00Z,Philadelphia Phillies @ Washington Nationals,home,Jared Simpson,Philadelphia Phillies,9,measured,14.0,0.32364950649756014,0.31806517714829047,-0.005584329349269668,0.027445097775212868,0.3068791982833611,0.31806517714829047,0.31660173767305444,0.3125704509074312,-0.004031286765623254,0.2961418751518022,0.29751074227664126,-0.01909099539641318,0.205,0.2598111553784861,0.24291167895530122,0.21926194360704404,-0.023649735348257178,0.272,0.4109622841965472,0.3947083781912139,0.28320083250756056,-0.11150754568365334,28.6,39.31896414342629,39.034686003270615,28.80828539027498,-10.226400612995636,90.6,89.31269588313414,88.84439833783405,91.06829754530007,2.223899207466019,11.2,12.234900398406374,14.028847541670547,9.406052856735826,-4.622794684934721,28.6,19.440318725099598,22.081356967859453,25.179300182825042,3.097943214965589,21.4,8.729057104913679,8.900714622408184,20.9872836024723,12.086568980064115,0.3098770859099517,1.8957506205835406,1.0,0.21826295055661527,0.7817370494433847,0.31677515943777335,0.00017342176471890625,8.0,732.4433481823681,4.615384615384616,4.41114750361627,True,reliever_spot_start,medium,opener_bullpen_sequential,shadow_woba+plat_consol_v1,wOBA,2026-09-17T00:59:30.860754+00:00,2026-09-16T22:45:00Z
822763,2026-09-16,2026-09-16T19:07:00Z,Detroit Tigers @ Toronto Blue Jays,away,Keider Montero,Toronto Blue Jays,9,measured,593.0,0.3147472439393716,0.31321762906553363,-0.001529614873837959,0.017377048670488966,0.2921589398198484,0.31321762906553363,0.31660173767305444,0.28968318816038635,-0.02691854951266809,0.28100313674935856,0.27799953626124035,-0.038602201411814085,0.231,0.24385551128818062,0.24291167895530122,0.2318975495531249,-0.011014129402176331,0.386,0.36397290836653384,0.3947083781912139,0.35594264118057534,-0.03876573701063857,37.1,32.03025232403718,39.034686003270615,30.442728836661143,-8.591957166609472,88.6,87.23604249667994,88.84439833783405,86.99164415884589,-1.8527541789881639,16.2,12.555033200531211,14.028847541670547,14.726185658860661,0.6973381171901138,16.5,18.59003984063745,22.081356967859453,13.891159760561246,-8.190197207298207,5.7,8.437450199203186,8.900714622408184,5.403326381724387,-3.4973882406837973,0.3065350950110142,5.1354102965112185,5.15625,0.5630651219086533,0.4369348780913467,0.3047395666066855,-0.011862171066368943,9.0,1607.7927626137302,4.046357615894039,4.1724784747554615,False,,,starter_bullpen_sequential,shadow_woba+plat_consol_v1,wOBA,2026-09-17T00:59:30.860754+00:00,2026-09-16T19:07:00Z
822763,2026-09-16,2026-09-16T19:07:00Z,Detroit Tigers @ Toronto Blue Jays,home,Max Scherzer,Detroit Tigers,9,measured,295.0,0.33037550471426375,0.3304846680608773,0.00010916334661353888,0.01644428608729816,0.3105450927734888,0.3304846680608773,0.31660173767305444,0.3241205560779463,0.0075188184048918805,0.3310890475121657,0.3456072438826753,0.029005506209620835,0.242,0.25064169986719786,0.24291167895530122,0.24970100914342291,0.006789330188121695,0.416,0.41701460823373177,0.3947083781912139,0.439509487536624,0.044801109345410095,35.5,41.13083665338645,39.034686003270615,37.406339097306365,-1.62834690596425,87.9,88.72594953519257,88.84439833783405,87.78155119735852,-1.062847140475526,20.4,15.780478087649403,14.028847541670547,22.151630545978858,8.12278300430831,17.3,23.580132802124833,22.081356967859453,18.474240422385808,-3.6071165454736445,9.5,9.476839309428952,8.900714622408184,10.114915179160802,1.2142005567526173,0.28319493732233486,5.033105254113503,5.025,0.5710546733773763,0.42894532662262375,0.29551534062332946,-0.02108639704972498,9.0,1717.9876000280392,4.334862385321101,4.131282568598806,False,,,starter_bullpen_sequential,shadow_woba+plat_consol_v1,wOBA,2026-09-17T00:59:30.860754+00:00,2026-09-16T19:07:00Z
822846,2026-09-16,2026-09-17T00:05:00Z,Boston Red Sox @ Texas Rangers,away,Jake Bennett,Texas Rangers,9,measured,418.0,0.32464290195584067,0.3324960228057743,0.007853120849933615,0.015896420722855086,0.2861057493121959,0.3324960228057743,0.31660173767305444,0.29777364042618193,-0.01882809724687251,0.2878729223307055,0.30232494127141823,-0.014276796401636205,0.237,0.2421046480743692,0.24291167895530122,0.23621260962172147,-0.006699069333579749,0.389,0.4107946879150066,0.3947083781912139,0.4048536652077953,0.010145287016581406,38.7,43.21933598937583,39.034686003270615,42.84877051780826,3.8140845145376474,88.5,89.83569721115539,88.84439833783405,89.49129887332133,0.6469005354872763,13.4,15.13203187250996,14.028847541670547,14.503184330839414,0.47433678916886635,19.9,23.49590969455511,22.081356967859453,21.17481292486765,-0.9065440429918041,4.5,8.166905710491367,8.900714622408184,4.129002811154926,-4.771711811253258,0.28326634812440965,5.581979926025058,5.729166666666666,0.6163802124158967,0.3836197875841033,0.29046084824874413,-0.02614088942431031,8.0,1158.8111111111111,3.9968944099378882,4.062455800713396,False,,,starter_bullpen_sequential,shadow_woba+plat_consol_v1,wOBA,2026-09-17T00:59:30.860754+00:00,2026-09-17T00:05:00Z
822846,2026-09-16,2026-09-17T00:05:00Z,Boston Red Sox @ Texas Rangers,home,MacKenzie Gore,Boston Red Sox,9,measured,704.0,0.3205355827591828,0.32645988554802746,0.005924302788844649,0.025538720375272092,0.3046889328863528,0.32645988554802746,0.31660173767305444,0.3116968929447175,-0.004904844728336966,0.3187017086658028,0.32862524413066024,0.012023506457605804,0.241,0.24002815405046482,0.24291167895530122,0.23813916800931811,-0.004772510945983105,0.379,0.39354900398406367,0.3947083781912139,0.3778867659041758,-0.0168216122870381,40.7,39.38804780876494,39.034686003270615,41.06843707369425,2.0337510704236337,88.9,88.31410358565738,88.84439833783405,88.36970524782332,-0.47469309001073157,15.6,14.320637450199204,14.028847541670547,15.891789908528654,1.8629423668581069,24.4,23.260956175298805,22.081356967859453,25.703462495688743,3.622105527829291,9.4,9.752377158034529,8.900714622408184,10.299436525549634,1.3987219031414497,0.2882192475798526,4.784178699339336,4.705645161290322,0.5403003799483668,0.45969962005163323,0.2918004340861329,-0.024801303586921564,8.0,1102.8820806100218,4.342105263157895,4.192416472950115,False,,,starter_bullpen_sequential,shadow_woba+plat_consol_v1,wOBA,2026-09-17T00:59:30.860754+00:00,2026-09-17T00:05:00Z
822926,2026-09-16,2026-09-16T22:40:00Z,Athletics @ Tampa Bay Rays,away,Brady Basso,Tampa Bay Rays,9,measured,162.0,0.3268785042375304,0.33198155868640156,0.005103054448871158,0.02642119109963328,0.3220600751218011,0.33198155868640156,0.31660173767305444,0.3345445505186069,0.017942812845552436,0.3279777624706315,0.34391020592539684,0.0273084682523424,0.272,0.25345444887118196,0.24291167895530122,0.28380525131378,0.040893572358478764,0.371,0.38673227091633466,0.3947083781912139,0.3635029820432475,-0.031205396147966413,33.9,35.08945551128818,39.034686003270615,30.47373153540934,-8.560954467861276,88.1,88.2407171314741,88.84439833783405,87.49631879364004,-1.3480795441940074,13.4,11.763001328021248,14.028847541670547,11.134153786350701,-2.894693755319846,17.3,17.08889774236388,22.081356967859453,13.388576226235159,-8.692780741624293,4.3,8.287569721115538,8.900714622408184,4.003785236645972,-4.8969293857622125,0.31836950507160555,3.454684599977311,3.0,0.3841039948169718,0.6158960051830282,0.32870365266320006,0.012101914990145624,9.0,1187.6181818181817,4.45,4.445296419271763,False,,,starter_bullpen_sequential,shadow_woba+plat_consol_v1,wOBA,2026-09-17T00:59:30.860754+00:00,2026-09-16T22:40:00Z
822926,2026-09-16,2026-09-16T22:40:00Z,Athletics @ Tampa Bay Rays,home,Nick Martinez,Athletics,9,measured,663.0,0.3204127115193469,0.3180501617185501,-0.0023625498007968093,0.021600741451960854,0.29016942977556015,0.3180501617185501,0.31660173767305444,0.292312168359232,-0.024289569313822423,0.2917485894722221,0.29308331263368304,-0.023518425039371404,0.268,0.24614900398406378,0.24291167895530122,0.27157168132647924,0.028660002371178023,0.417,0.38795431606905717,0.3947083781912139,0.40986449424294974,0.015156116051735835,32.9,39.326082337317395,39.034686003270615,33.14560052537212,-5.889085477898497,86.9,88.38929614873838,88.84439833783405,86.44489781090435,-2.3995005269296996,17.7,11.970597609561754,14.028847541670547,15.641750067891206,1.6129025262206582,14.8,22.433572377158036,22.081356967859453,15.036071907410696,-7.045285060448757,3.6,7.3470650730411675,8.900714622408184,2.9716079421712793,-5.929106680236905,0.2875915475716898,5.613297796146808,5.769345238095237,0.6201241809807805,0.3798758190192195,0.29105332221091273,-0.025548415462141705,9.0,1428.3906741836975,3.9805447470817117,4.041537064025929,False,,,starter_bullpen_sequential,shadow_woba+plat_consol_v1,wOBA,2026-09-17T00:59:30.860754+00:00,2026-09-16T22:40:00Z
823004,2026-09-16,2026-09-16T17:15:00Z,San Francisco Giants @ St. Louis Cardinals,away,Anthony Molina,St. Louis Cardinals,9,measured,94.0,0.32118972755756986,0.3207188112229085,-0.0004709163346613421,0.02389719143337846,0.31576243633953605,0.3207188112229085,0.31660173767305444,0.3201118262582736,0.0035100885852191732,0.3197019266355951,0.32385931489146136,0.007257577218406919,0.261,0.25789073634204274,0.24291167895530122,0.27709446690564,0.03418278795033877,0.441,0.42956264845605696,0.3947083781912139,0.4799419987922059,0.08523362060099199,37.1,42.80890736342043,39.034686003270615,40.68715867343793,1.6524726701673131,87.0,90.15959026128267,88.84439833783405,88.31519192344864,-0.5292064143854134,11.5,13.269685273159146,14.028847541670547,10.7408377314886,-3.288009810181947,20.2,20.185807600950117,22.081356967859453,18.465953615654065,-3.615403352205387,5.3,7.953206650831355,8.900714622408184,4.7357989821722315,-4.164915640235953,0.3121812131404548,4.493973919573158,4.333333333333333,0.47618130931264907,0.523818690687351,0.31670514361080254,0.00010340593774810225,7.0,595.0,4.043478260869565,4.436092619548168,False,,,starter_bullpen_sequential,shadow_woba+plat_consol_v1,wOBA,2026-09-17T00:59:30.860754+00:00,2026-09-16T17:15:00Z
823004,2026-09-16,2026-09-16T17:15:00Z,San Francisco Giants @ St. Louis Cardinals,home,Matthew Liberatore,San Francisco Giants,9,measured,628.0,0.3104475367596508,0.3081402326427849,-0.002307304116865916,0.020665402642260803,0.33117047067019445,0.3081402326427849,0.31660173767305444,0.32331832527672444,0.006716587603669999,0.3523134255045404,0.34289748911692447,0.02629575144387003,0.267,0.22887383798140773,0.24291167895530122,0.25157009742738945,0.00865841847208823,0.456,0.3736159362549801,0.3947083781912139,0.4316322539516423,0.03692387576042838,42.4,36.298140770252324,39.034686003270615,39.42752782819225,0.3928418249216321,90.3,87.64406374501993,88.84439833783405,89.0996654071859,0.25526706935184507,15.9,12.270756972111554,14.028847541670547,14.141909430441007,0.11306188877045997,23.2,23.635883134130147,22.081356967859453,24.83327856661955,2.7519215987600987,8.3,8.089933598937584,8.900714622408184,7.543939079019114,-1.3567755433890705,0.30522333622271114,4.931864139359769,4.8951149425287355,0.5510105171428407,0.44898948285715934,0.29929031213895296,-0.017311425534101477,9.0,1682.0135593220339,4.366071428571428,4.3130329138481756,False,,,starter_bullpen_sequential,shadow_woba+plat_consol_v1,wOBA,2026-09-17T00:59:30.860754+00:00,2026-09-16T17:15:00Z
