game_pk,game_date,matchup,side,pitcher,throws,opp_team,n_opp,n_LHB,n_RHB,n_SW,n_platoon_adv,n_low_sample,pit_min_split_bf,pit_low_sample,reliable,opp_OPS_raw,opp_OPS_vs_hand,pit_OPS_raw,pit_OPS_allowed,mx_OPS,edge_OPS,model_tag,snapshot_utc,lineup_status_away,lineup_status_home,lineup_posted_away,lineup_posted_home
824408,2026-07-22,Minnesota Twins @ Cleveland Guardians,home,Slade Cecconi,R,Minnesota Twins,9,3,3,3,6,1,182,False,True,0.743,0.749,0.766,0.765,0.781,0.059,xw+plat_consol_v5,2026-07-22T22:22:06.805596+00:00,posted,posted,9,9
824650,2026-07-22,Detroit Tigers @ Chicago Cubs,away,Keider Montero,R,Chicago Cubs,9,3,5,1,4,0,182,False,True,0.752,0.753,0.594,0.615,0.642,-0.08,xw+plat_consol_v5,2026-07-22T22:22:06.805596+00:00,posted,posted,9,9
824650,2026-07-22,Detroit Tigers @ Chicago Cubs,home,Colin Rea,R,Detroit Tigers,9,6,3,0,6,0,179,False,True,0.728,0.738,0.781,0.776,0.782,0.06,xw+plat_consol_v5,2026-07-22T22:22:06.805596+00:00,posted,posted,9,9
824732,2026-07-22,Baltimore Orioles @ Boston Red Sox,away,Kyle Bradish,R,Boston Red Sox,9,3,5,1,4,0,179,False,True,0.696,0.711,0.704,0.705,0.695,-0.027,xw+plat_consol_v5,2026-07-22T22:22:06.805596+00:00,posted,posted,9,9
824732,2026-07-22,Baltimore Orioles @ Boston Red Sox,home,Eduardo Rivera,L,Baltimore Orioles,9,3,6,0,6,4,17,True,False,0.841,0.72,0.569,0.671,0.678,-0.044,xw+plat_consol_v5,2026-07-22T22:22:06.805596+00:00,posted,posted,9,9
824735,2026-07-22,Baltimore Orioles @ Boston Red Sox,away,Dean Kremer,R,Boston Red Sox,9,4,5,0,4,1,50,False,True,0.692,0.72,0.802,0.78,0.777,0.055,xw+plat_consol_v5,2026-07-22T22:22:06.805596+00:00,posted,posted,9,9
824735,2026-07-22,Baltimore Orioles @ Boston Red Sox,home,Jake Bennett,L,Baltimore Orioles,9,3,5,1,6,1,57,False,True,0.9,0.729,0.544,0.607,0.621,-0.101,xw+plat_consol_v5,2026-07-22T22:22:06.805596+00:00,posted,posted,9,9
824896,2026-07-22,San Diego Padres @ Atlanta Braves,away,Michael King,R,Atlanta Braves,9,5,3,1,6,1,187,False,True,0.809,0.777,0.623,0.641,0.677,-0.045,xw+plat_consol_v5,2026-07-22T22:22:06.805596+00:00,posted,posted,9,9
824896,2026-07-22,San Diego Padres @ Atlanta Braves,home,Martín Pérez,L,San Diego Padres,9,2,6,1,7,2,99,False,True,0.669,0.704,0.679,0.683,0.668,-0.054,xw+plat_consol_v5,2026-07-22T22:22:06.805596+00:00,posted,posted,9,9
825055,2026-07-22,Athletics @ Arizona Diamondbacks,away,Gage Jump,L,Arizona Diamondbacks,9,2,3,4,7,2,63,False,True,0.785,0.766,0.716,0.737,0.786,0.064,xw+plat_consol_v5,2026-07-22T22:22:06.805596+00:00,posted,posted,9,9
825055,2026-07-22,Athletics @ Arizona Diamondbacks,home,Merrill Kelly,R,Athletics,9,4,5,0,4,1,184,False,True,0.773,0.742,0.848,0.83,0.856,0.134,xw+plat_consol_v5,2026-07-22T22:22:06.805596+00:00,posted,posted,9,9
