game_pk,game_date,matchup,side,pitcher,throws,opp_team,n_opp,n_LHB,n_RHB,n_SW,n_platoon_adv,n_low_sample,pit_min_split_bf,pit_low_sample,reliable,opp_OPS_raw,opp_OPS_vs_hand,pit_OPS_raw,pit_OPS_allowed,mx_OPS,edge_OPS,model_tag,snapshot_utc,lineup_status_away,lineup_status_home,lineup_posted_away,lineup_posted_home
822785,2026-07-23,Tampa Bay Rays @ Toronto Blue Jays,away,Casey Legumina,R,Toronto Blue Jays,9,1,8,0,1,1,85,False,True,0.7,0.691,0.873,0.752,0.738,0.016,xw+plat_consol_v6,2026-07-23T19:05:52.230223+00:00,posted,posted,9,9
822785,2026-07-23,Tampa Bay Rays @ Toronto Blue Jays,home,Shane Bieber,R,Tampa Bay Rays,9,5,4,0,5,0,51,False,True,0.773,0.768,0.961,0.844,0.895,0.173,xw+plat_consol_v6,2026-07-23T19:05:52.230223+00:00,posted,posted,9,9
823042,2026-07-23,Arizona Diamondbacks @ St. Louis Cardinals,away,Brandon Pfaadt,R,St. Louis Cardinals,9,5,4,0,5,0,116,False,True,0.708,0.724,0.743,0.741,0.738,0.016,xw+plat_consol_v6,2026-07-23T19:05:52.230223+00:00,posted,posted,9,9
823042,2026-07-23,Arizona Diamondbacks @ St. Louis Cardinals,home,Michael McGreevy,R,Arizona Diamondbacks,9,3,3,3,6,0,156,False,True,0.712,0.722,0.676,0.687,0.677,-0.045,xw+plat_consol_v6,2026-07-23T19:05:52.230223+00:00,posted,posted,9,9
824247,2026-07-23,Kansas City Royals @ Detroit Tigers,away,Randy Dobnak,R,Detroit Tigers,9,5,4,0,5,0,23,True,False,0.76,0.755,0.766,0.733,0.761,0.039,xw+plat_consol_v6,2026-07-23T19:05:52.230223+00:00,projected,projected,0,0
824247,2026-07-23,Kansas City Royals @ Detroit Tigers,home,Troy Melton,R,Kansas City Royals,9,4,4,1,5,0,90,False,True,0.718,0.718,0.557,0.614,0.606,-0.116,xw+plat_consol_v6,2026-07-23T19:05:52.230223+00:00,projected,projected,0,0
824406,2026-07-23,Minnesota Twins @ Cleveland Guardians,away,Taj Bradley,R,Cleveland Guardians,9,5,1,3,8,0,201,False,True,0.718,0.721,0.683,0.696,0.674,-0.048,xw+plat_consol_v6,2026-07-23T19:05:52.230223+00:00,posted,posted,9,9
824406,2026-07-23,Minnesota Twins @ Cleveland Guardians,home,Gavin Williams,R,Minnesota Twins,9,2,5,2,4,0,178,False,True,0.787,0.774,0.729,0.704,0.757,0.035,xw+plat_consol_v6,2026-07-23T19:05:52.230223+00:00,posted,posted,9,9
824893,2026-07-23,San Diego Padres @ Atlanta Braves,away,Kyle Hart,L,Atlanta Braves,9,5,3,1,4,0,68,False,True,0.697,0.719,0.71,0.691,0.711,-0.011,xw+plat_consol_v6,2026-07-23T19:05:52.230223+00:00,posted,posted,9,9
824893,2026-07-23,San Diego Padres @ Atlanta Braves,home,Chris Sale,L,San Diego Padres,9,2,6,1,7,1,112,False,True,0.618,0.68,0.591,0.606,0.573,-0.149,xw+plat_consol_v6,2026-07-23T19:05:52.230223+00:00,posted,posted,9,9
