game_pk,game_date,game_datetime_utc,matchup,side,pitcher,opp_team,n_opp,opp_xwOBA_neutral,opp_xwOBA_vs_sp,platoon_delta_sp,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,starter_xwOBA,mx_xwOBA_sp,edge_xwOBA_sp,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%,bullpen_xwOBA,expected_sp_ip,sp_share,bp_share,mx_xwOBA_bp,edge_xwOBA_bp,bullpen_pitchers,bullpen_relief_bf,sp_bf_per_ip,bp_bf_per_ip,opener,opener_reason,opener_confidence,pitching_basis,model_tag,snapshot_utc,scheduled_start_utc,lineup_status_away,lineup_status_home,lineup_posted_away,lineup_posted_home,lineup_savant_backfill_away,lineup_savant_backfill_home
822867,2026-08-03,2026-08-04T00:05:00Z,San Francisco Giants @ Texas Rangers,away,Logan Webb,Texas Rangers,9,0.3169788962814871,0.3200891220450993,0.0031102257636121955,0.30814722500910996,0.3200891220450993,0.3158083351012423,0.31126220927218634,-0.004546125829055947,0.30850312885686726,0.3126848936153121,-0.0031234414859301896,0.257,0.24466215139442232,0.24375020625604035,0.2579615167271612,0.01421131047112087,0.382,0.3958998671978752,0.3971276901680692,0.3808189481966981,-0.01630874197137111,39.3,40.0206374501992,39.30657693123688,40.01394103954439,0.7073641083075088,88.4,89.2827888446215,88.90825455945561,88.7745342851659,-0.13372027428971478,5.8,11.895830013280214,13.956325876334835,3.7395041369453796,-10.216821739389456,19.1,22.204302788844622,22.154320376525312,19.1430915532083,-3.011228823317012,6.2,8.740451527224435,8.900766093864178,6.088329801874965,-2.8124362919892123,0.307488229690787,5.932017543859649,0.649320977243641,0.350679022756359,0.3086279519370122,-0.007180383164230086,7.0,918.0,4.084033613445378,4.2647071751470795,False,,,starter_bullpen_sequential,xw+plat_consol_v10,2026-08-03T11:48:27.394367+00:00,2026-08-04T00:05:00Z,projected,projected,0,0,0,0
823431,2026-08-03,2026-08-03T22:40:00Z,Washington Nationals @ Philadelphia Phillies,home,Aaron Nola,Washington Nationals,9,0.32126431905010105,0.3246826457433282,0.0034183266932271694,0.3108640507303126,0.3246826457433282,0.3158083351012423,0.31838981233798924,0.002581477236746954,0.32013182861224787,0.32912763074208506,0.013319295640842777,0.249,0.24871235059760957,0.24375020625604035,0.25406901700732454,0.010318810751284185,0.432,0.40630889774236384,0.3971276901680692,0.44198742160340593,0.044859731435336725,41.2,38.82525896414343,39.30657693123688,40.695496637141886,1.3889197059050034,88.6,88.94520584329351,88.90825455945561,88.63695128383789,-0.2713032756177256,14.1,12.856254980079681,13.956325876334835,12.999929103744845,-0.95639677258999,23.3,20.66517928286852,22.154320376525312,21.733850062086848,-0.4204703144384645,7.8,8.805657370517928,8.900766093864178,7.716653461704587,-1.1841126321595903,0.29561597598025735,5.568181818181818,0.6219679559567166,0.3780320440432834,0.3007231116720922,-0.015085223429150085,8.0,1170.9136363636364,4.368421052631579,4.3079854994517985,False,,,starter_bullpen_sequential,xw+plat_consol_v10,2026-08-03T11:48:27.394367+00:00,2026-08-03T22:40:00Z,projected,projected,0,0,0,0
823520,2026-08-03,2026-08-03T23:05:00Z,St. Louis Cardinals @ New York Yankees,away,Michael McGreevy,New York Yankees,9,0.3119334997019148,0.3144089313088205,0.0024754316069057203,0.3393280534379392,0.3144089313088205,0.3158083351012423,0.3367885036714661,0.020980168570223834,0.35305770388422536,0.3514932414085883,0.035684906307346,0.29,0.23648924302788846,0.24375020625604035,0.28136132285380633,0.037611116597765976,0.499,0.3934602921646747,0.3971276901680692,0.4943918307662723,0.0972641405982031,42.6,40.598459495351925,39.30657693123688,44.000126938745595,4.693550007508712,90.2,88.97086321381143,88.90825455945561,90.26260865435582,1.3543540949002022,10.4,14.906799468791501,13.956325876334835,11.350473592456668,-2.6058522838781677,16.2,24.524276228419655,22.154320376525312,17.9329931204466,-4.2213272560787125,6.2,9.128446215139443,8.900766093864178,6.358594972277696,-2.542171121586482,0.31983159274643386,5.404761904761905,0.5867813001242269,0.4132186998757731,0.3159073936685347,9.905856729242046e-05,7.0,1111.0,4.043103448275862,4.2802335345235125,False,,,starter_bullpen_sequential,xw+plat_consol_v10,2026-08-03T11:48:27.394367+00:00,2026-08-03T23:05:00Z,projected,projected,0,0,0,0
823520,2026-08-03,2026-08-03T23:05:00Z,St. Louis Cardinals @ New York Yankees,home,Cam Schlittler,St. Louis Cardinals,9,0.3228356021364949,0.32178115326531304,-0.00105444887118189,0.2790570318740825,0.32178115326531304,0.3158083351012423,0.2846359779100304,-0.031172357191211864,0.272963688887342,0.27812619505930675,-0.03768214004193554,0.212,0.2526387782204515,0.24375020625604035,0.2197307719464072,-0.02401943430963316,0.342,0.40352722443559097,0.3971276901680692,0.3475111763135081,-0.04961651385456112,39.4,41.12494023904383,39.30657693123688,41.22268515655604,1.9161082253191566,88.2,89.28470119521914,88.90825455945561,88.57644663576353,-0.33180792369208234,13.6,11.856573705179283,13.956325876334835,11.500247828844445,-2.45607804749039,30.7,19.230305444887115,22.154320376525312,26.64809243183059,4.4937720553052785,4.8,8.591474103585659,8.900766093864178,4.633205194060732,-4.2675608998034456,0.2927372002556963,6.311594202898551,0.6918431494927938,0.3081568505072062,0.2992510957065226,-0.016557239394719703,7.0,1266.2740740740742,3.936585365853659,4.116499821006117,False,,,starter_bullpen_sequential,xw+plat_consol_v10,2026-08-03T11:48:27.394367+00:00,2026-08-03T23:05:00Z,projected,projected,0,0,0,0
823757,2026-08-03,2026-08-03T23:40:00Z,Pittsburgh Pirates @ Milwaukee Brewers,away,Bubba Chandler,Milwaukee Brewers,9,0.32648532579568723,0.32776819432158355,0.001282868525896319,0.30435115579101696,0.32776819432158355,0.3158083351012423,0.3153525909060235,-0.00045574419521876575,0.3093869156485332,0.32110359169695296,0.005295256595710673,0.222,0.249935192563081,0.24375020625604035,0.22763309045458088,-0.01611711580145947,0.362,0.4144650730411687,0.3971276901680692,0.3778038151341345,-0.01932387503393468,36.8,42.49320053120851,39.30657693123688,39.78341289510161,0.4768359638647297,88.8,90.23551128818062,88.90825455945561,90.12725672872499,1.2190021692693733,16.9,8.456812749003985,13.956325876334835,11.40048687266915,-2.5558390036656853,20.1,22.290756972111556,22.154320376525312,20.223785136473396,-1.930535240051917,12.3,10.547250996015936,8.900766093864178,14.575283282685898,5.674517188821721,0.2977741081063805,5.029166666666667,0.566361550448743,0.43363844955125697,0.3078413895170476,-0.007966945584194696,7.0,767.6086956521739,4.423566878980892,4.289641399848655,False,,,starter_bullpen_sequential,xw+plat_consol_v10,2026-08-03T11:48:27.394367+00:00,2026-08-03T23:40:00Z,projected,projected,0,0,0,0
823757,2026-08-03,2026-08-03T23:40:00Z,Pittsburgh Pirates @ Milwaukee Brewers,home,Brandon Sproat,Pittsburgh Pirates,9,0.3192142549349415,0.3161890225312231,-0.003025232403718381,0.3151322496746377,0.3161890225312231,0.3158083351012423,0.3168427500797688,0.001034414978526521,0.33354384238980767,0.33394590887771275,0.01813757377647046,0.244,0.23997583001328024,0.24375020625604035,0.24022175579918859,-0.003528450456851767,0.41,0.39474369189907044,0.3971276901680692,0.4075387279343935,0.010411037766324294,43.2,38.86786188579018,39.30657693123688,42.71782903923552,3.411252107998635,89.9,88.68741035856574,88.90825455945561,89.67915579911015,0.7709012396545347,13.1,13.055059760956176,13.956325876334835,12.198733884621342,-1.7575919917134932,24.1,22.753173970783532,22.154320376525312,24.75144727422628,2.597126897700967,11.6,9.874794156706507,8.900766093864178,12.869410454091124,3.9686443602269463,0.2945077291899477,4.652777777777778,0.5283446223012794,0.47165537769872057,0.29768392691666123,-0.018124408184581053,8.0,1264.2788235294117,4.294964028776978,4.10362341801441,False,,,starter_bullpen_sequential,xw+plat_consol_v10,2026-08-03T11:48:27.394367+00:00,2026-08-03T23:40:00Z,projected,projected,0,0,0,0
824160,2026-08-03,2026-08-04T00:10:00Z,Toronto Blue Jays @ Houston Astros,away,Shane Bieber,Houston Astros,9,0.325276252396827,0.31972246753626926,-0.005553784860557742,0.3281412640175781,0.31972246753626926,0.3158083351012423,0.3346451616150221,0.018836826513779825,0.36857607265611714,0.3731442090870181,0.05733587398577583,0.307,0.25194794156706507,0.24375020625604035,0.31732493378832666,0.0735747275322863,0.554,0.42149322709163345,0.3971276901680692,0.5879903456491333,0.19086265548106413,45.5,37.66770252324037,39.30657693123688,43.60289291549625,4.2963159842593655,89.0,88.41758300132803,88.90825455945561,88.5093284418724,-0.3989261175832155,8.1,14.126879150066403,13.956325876334835,8.270553273731567,-5.685772602603269,15.6,20.433970783532537,22.154320376525312,14.38861309240954,-7.765707284115772,12.8,8.53195219123506,8.900766093864178,12.269616670759719,3.3688505768955412,0.2853203653101973,4.470238095238096,0.5143298888743312,0.4856701111256688,0.29387425487310875,-0.021934080228133535,8.0,1331.831490326943,4.5,4.193410789408492,False,,,starter_bullpen_sequential,xw+plat_consol_v10,2026-08-03T11:48:27.394367+00:00,2026-08-04T00:10:00Z,projected,projected,0,0,0,0
824160,2026-08-03,2026-08-04T00:10:00Z,Toronto Blue Jays @ Houston Astros,home,Cristian Javier,Toronto Blue Jays,9,0.30681158061888564,0.3064211423718736,-0.0003904382470120149,0.3131103317829229,0.3064211423718736,0.3158083351012423,0.3040352108430024,-0.011773124258239898,0.33751160950310566,0.32747930137612297,0.011670966274880679,0.258,0.2486605577689243,0.24375020625604035,0.2631974138187736,0.019447207562733243,0.419,0.380333598937583,0.3971276901680692,0.40128095295345506,0.004153262785385858,39.7,35.912669322709164,39.30657693123688,36.27212246453661,-3.034454466700275,90.9,87.99450199203187,88.90825455945561,89.98624743257626,1.0779928731206496,23.3,13.360876494023906,13.956325876334835,22.704550617689073,8.748224741354237,20.8,19.054475431606907,22.154320376525312,17.8896523225049,-4.264668054020412,14.9,7.077556440903056,8.900766093864178,11.847922960491264,2.947156866627086,0.29865567459719083,3.0833333333333335,0.37200641860071937,0.6279935813992806,0.29014756546748044,-0.02566076963376185,7.0,1220.1272727272726,4.734375,4.164959680582303,False,,,starter_bullpen_sequential,xw+plat_consol_v10,2026-08-03T11:48:27.394367+00:00,2026-08-04T00:10:00Z,projected,projected,0,0,0,0
824324,2026-08-03,2026-08-04T00:40:00Z,Tampa Bay Rays @ Colorado Rockies,away,Ian Seymour,Colorado Rockies,9,0.31129338323655603,0.31137837659644985,8.499335989381462e-05,0.29876841591180653,0.31137837659644985,0.3158083351012423,0.294535981922607,-0.021272353178635295,0.29228329435017547,0.28818333015765274,-0.02762500494358955,0.208,0.2443646746347942,0.24375020625604035,0.20852434590617966,-0.035225860349860694,0.367,0.3908146082337317,0.3971276901680692,0.361165853635335,-0.035961836532734215,36.8,36.58613545816733,39.30657693123688,34.253040838837315,-5.053536092399568,88.6,87.79787516600267,88.90825455945561,87.48962060654706,-1.41863395290855,22.5,15.773253652058434,13.956325876334835,24.3169277757236,10.360601899388763,27.9,21.7858432934927,22.154320376525312,27.435959106761718,5.281638730236406,8.7,7.621354581673308,8.900766093864178,7.449446953365762,-1.4513191404984154,0.3051151220352574,4.369047619047619,0.4946065579441575,0.5053934420558426,0.3007530456235141,-0.015055289477728162,8.0,850.8571428571429,4.12340425531915,3.9750455502242974,False,,,starter_bullpen_sequential,xw+plat_consol_v10,2026-08-03T11:48:27.394367+00:00,2026-08-04T00:40:00Z,projected,projected,0,0,0,0
824324,2026-08-03,2026-08-04T00:40:00Z,Tampa Bay Rays @ Colorado Rockies,home,Michael Lorenzen,Tampa Bay Rays,9,0.30796006368158557,0.3079892801490491,2.921646746351092e-05,0.33812563730570416,0.3079892801490491,0.3158083351012423,0.3297402432053246,0.013931908104082291,0.3526591918772828,0.3439277516516772,0.028119416550434928,0.294,0.2444714475431607,0.24375020625604035,0.2948699272163513,0.05111972096031095,0.473,0.3644531208499336,0.3971276901680692,0.43408286661920403,0.03695517645113483,46.2,34.33798140770253,39.30657693123688,40.36003297389998,1.0534560426631003,90.9,87.9395219123506,88.90825455945561,89.931267352895,1.023012793439392,11.3,11.165338645418327,13.956325876334835,8.509012769083492,-5.447313107251343,15.9,17.994528552456842,22.154320376525312,12.914546649204762,-9.23977372732055,8.0,8.748286852589642,8.900766093864178,7.8629518046725,-1.0378142891916777,0.32132525423739033,4.642045454545455,0.5361720975318665,0.46382790246813355,0.31333987979045946,-0.0024684553107828244,7.0,1201.750563952177,4.796178343949045,4.41951566705325,False,,,starter_bullpen_sequential,xw+plat_consol_v10,2026-08-03T11:48:27.394367+00:00,2026-08-04T00:40:00Z,projected,projected,0,0,0,0
