season,player_id,player_name,role,pa,woba
2025,455117,"Maldonado, Martín",BAT,161.0,0.251
2025,456781,"Solano, Donovan",BAT,179.0,0.277
2025,457705,"McCutchen, Andrew",BAT,551.0,0.309
2025,457759,"Turner, Justin",BAT,191.0,0.268
2025,467793,"Santana, Carlos",BAT,474.0,0.284
2025,493329,"Gurriel, Yuli",BAT,40.0,0.167
2025,500743,"Rojas, Miguel",BAT,317.0,0.312
2025,502054,"Pham, Tommy",BAT,449.0,0.308
2025,502671,"Goldschmidt, Paul",BAT,534.0,0.316
2025,506702,"León, Sandy",BAT,12.0,0.17
2025,514888,"Altuve, Jose",BAT,654.0,0.331
2025,516782,"Marte, Starling",BAT,329.0,0.326
2025,518595,"d'Arnaud, Travis",BAT,231.0,0.263
2025,518692,"Freeman, Freddie",BAT,627.0,0.37
2025,518792,"Heyward, Jason",BAT,95.0,0.217
2025,518934,"LeMahieu, DJ",BAT,142.0,0.304
2025,519317,"Stanton, Giancarlo",BAT,281.0,0.395
2025,521692,"Perez, Salvador",BAT,641.0,0.311
2025,527038,"Flores, Wilmer",BAT,463.0,0.302
2025,542303,"Ozuna, Marcell",BAT,592.0,0.334
2025,542932,"Berti, Jon",BAT,107.0,0.226
2025,542963,"Brantly, Rob",BAT,7.0,0.378
2025,543309,"Higashioka, Kyle",BAT,327.0,0.301
2025,543510,"McCann, James",BAT,137.0,0.328
2025,543592,"Nola, Austin",BAT,41.0,0.198
2025,543760,"Semien, Marcus",BAT,534.0,0.295
2025,543807,"Springer, George",BAT,586.0,0.408
2025,543877,"Vázquez, Christian",BAT,214.0,0.248
2025,545121,"Vargas, Ildemaro",BAT,121.0,0.292
2025,545341,"Grichuk, Randal",BAT,293.0,0.289
2025,545361,"Trout, Mike",BAT,556.0,0.343
2025,547180,"Harper, Bryce",BAT,580.0,0.361
2025,553869,"Díaz, Elias",BAT,282.0,0.27
2025,553882,"Narváez, Omar",BAT,10.0,0.315
2025,553993,"Suárez, Eugenio",BAT,657.0,0.347
2025,570482,"Urshela, Gio",BAT,197.0,0.271
2025,571448,"Arenado, Nolan",BAT,436.0,0.287
2025,571466,"Barnhart, Tucker",BAT,15.0,0.271
2025,571657,"Farmer, Kyle",BAT,300.0,0.282
2025,571771,"Hernández, Enrique",BAT,256.0,0.268
2025,571912,"Maile, Luke",BAT,54.0,0.316
2025,571970,"Muncy, Max",BAT,388.0,0.366
2025,572138,"Singleton, Jon",BAT,9.0,0.098
2025,572191,"Taylor, Michael A.",BAT,325.0,0.27
2025,572233,"Walker, Christian",BAT,640.0,0.31
2025,573262,"Yastrzemski, Mike",BAT,558.0,0.321
2025,575929,"Contreras, Willson",BAT,563.0,0.344
2025,578428,"Iglesias, Jose",BAT,343.0,0.268
2025,592178,"Bryant, Kris",BAT,41.0,0.181
2025,592192,"Canha, Mark",BAT,125.0,0.244
2025,592206,"Castellanos, Nick",BAT,589.0,0.3
2025,592450,"Judge, Aaron",BAT,679.0,0.463
2025,592518,"Machado, Manny",BAT,678.0,0.341
2025,592626,"Pederson, Joc",BAT,306.0,0.276
2025,592663,"Realmuto, J.T.",BAT,550.0,0.307
2025,592669,"Renfroe, Hunter",BAT,108.0,0.219
2025,592696,"Rosario, Eddie",BAT,8.0,0.11
2025,592885,"Yelich, Christian",BAT,644.0,0.343
2025,593428,"Bogaerts, Xander",BAT,552.0,0.313
2025,593871,"Polanco, Jorge",BAT,524.0,0.35
2025,595751,"Alfaro, Jorge",BAT,39.0,0.245
2025,595777,"Profar, Jurickson",BAT,371.0,0.346
2025,595879,"Báez, Javier",BAT,436.0,0.294
2025,595978,"Hedges, Austin",BAT,180.0,0.239
2025,596019,"Lindor, Francisco",BAT,732.0,0.35
2025,596103,"Slater, Austin",BAT,160.0,0.28
2025,596115,"Story, Trevor",BAT,654.0,0.32
2025,596117,"Stubbs, Garrett",BAT,1.0,0.0
