game_pk,game_date,game_datetime_utc,matchup,side,pitcher,opp_team,n_opp,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%,model_tag,snapshot_utc,scheduled_start_utc
822786,2026-07-19,2026-07-19T16:15:00Z,Chicago White Sox @ Toronto Blue Jays,away,Sean Burke,Toronto Blue Jays,9,0.296,0.302,0.317,0.282,-0.035,0.228,0.25,0.244,0.234,-0.01,0.368,0.373,0.4,0.343,-0.057,36.1,34.664,39.386,31.772,-7.614,88.9,87.681,88.945,87.636,-1.309,17.1,13.576,13.924,16.752,2.828,26.4,18.171,22.135,21.672,-0.463,7.6,7.094,8.973,6.009,-2.964,xw+plat_consol_v3,2026-07-19T17:34:29.889034+00:00,2026-07-19T16:15:00Z
822786,2026-07-19,2026-07-19T16:15:00Z,Chicago White Sox @ Toronto Blue Jays,home,Trey Yesavage,Chicago White Sox,9,0.284,0.343,0.317,0.307,-0.01,0.196,0.255,0.244,0.205,-0.039,0.321,0.449,0.4,0.36,-0.04,35.3,42.612,39.386,38.191,-1.195,88.5,89.161,88.945,88.716,-0.229,21.1,16.088,13.924,23.264,9.34,22.2,22.102,22.135,22.167,0.032,12.5,9.435,8.973,13.144,4.171,xw+plat_consol_v3,2026-07-19T17:34:29.889034+00:00,2026-07-19T16:15:00Z
823113,2026-07-19,2026-07-19T20:10:00Z,San Francisco Giants @ Seattle Mariners,away,Robbie Ray,Seattle Mariners,9,0.331,0.323,0.317,0.337,0.02,0.237,0.248,0.244,0.241,-0.003,0.426,0.398,0.4,0.424,0.024,38.5,38.622,39.386,37.753,-1.633,89.1,88.764,88.945,88.919,-0.026,19.7,13.815,13.924,19.591,5.667,20.3,21.286,22.135,19.521,-2.614,11.7,9.376,8.973,12.225,3.252,xw+plat_consol_v3,2026-07-19T17:34:29.889034+00:00,2026-07-19T20:10:00Z
823113,2026-07-19,2026-07-19T20:10:00Z,San Francisco Giants @ Seattle Mariners,home,Logan Gilbert,San Francisco Giants,9,0.303,0.325,0.317,0.311,-0.006,0.241,0.269,0.244,0.266,0.022,0.406,0.434,0.4,0.441,0.041,43.5,38.516,39.386,42.539,3.153,90.5,89.347,88.945,90.902,1.957,18.3,15.313,13.924,19.689,5.765,26.5,18.138,22.135,21.715,-0.42,5.3,6.209,8.973,3.667,-5.306,xw+plat_consol_v3,2026-07-19T17:34:29.889034+00:00,2026-07-19T20:10:00Z
823439,2026-07-19,2026-07-19T17:35:00Z,New York Mets @ Philadelphia Phillies,away,Nolan McLean,Philadelphia Phillies,9,0.291,0.32,0.317,0.294,-0.023,0.217,0.252,0.244,0.224,-0.02,0.336,0.41,0.4,0.344,-0.056,34.7,41.945,39.386,36.955,-2.431,87.3,89.651,88.945,88.006,-0.939,8.3,12.012,13.924,6.388,-7.536,27.9,21.848,22.135,27.538,5.403,8.7,8.226,8.973,7.976,-0.997,xw+plat_consol_v3,2026-07-19T17:34:29.889034+00:00,2026-07-19T17:35:00Z
823439,2026-07-19,2026-07-19T17:35:00Z,New York Mets @ Philadelphia Phillies,home,Alan Rangel,New York Mets,9,0.291,0.336,0.317,0.308,-0.009,0.213,0.265,0.244,0.231,-0.013,0.336,0.435,0.4,0.365,-0.035,34.0,42.127,39.386,36.366,-3.02,88.3,89.635,88.945,88.99,0.045,21.2,12.098,13.924,19.374,5.45,25.9,20.315,22.135,23.77,1.635,10.6,8.822,8.973,10.422,1.449,xw+plat_consol_v3,2026-07-19T17:34:29.889034+00:00,2026-07-19T17:35:00Z
823523,2026-07-19,2026-07-19T16:35:00Z,Los Angeles Dodgers @ New York Yankees,away,Yoshinobu Yamamoto,New York Yankees,9,0.28,0.335,0.317,0.296,-0.021,0.228,0.254,0.244,0.237,-0.007,0.359,0.421,0.4,0.378,-0.022,35.1,42.039,39.386,37.464,-1.922,87.8,90.138,88.945,88.993,0.048,8.3,15.7,13.924,10.076,-3.848,24.9,22.109,22.135,24.871,2.736,5.9,11.161,8.973,7.339,-1.634,xw+plat_consol_v3,2026-07-19T17:34:29.889034+00:00,2026-07-19T16:35:00Z
823523,2026-07-19,2026-07-19T16:35:00Z,Los Angeles Dodgers @ New York Yankees,home,Cam Schlittler,Los Angeles Dodgers,9,0.27,0.357,0.317,0.304,-0.013,0.215,0.272,0.244,0.24,-0.004,0.352,0.466,0.4,0.41,0.01,38.9,44.127,39.386,43.582,4.196,87.9,90.267,88.945,89.222,0.277,12.6,15.434,13.924,14.11,0.186,29.2,20.194,22.135,26.639,4.504,5.3,10.753,8.973,6.351,-2.622,xw+plat_consol_v3,2026-07-19T17:34:29.889034+00:00,2026-07-19T16:35:00Z
823764,2026-07-19,2026-07-19T18:10:00Z,Miami Marlins @ Milwaukee Brewers,away,Eury Pérez,Milwaukee Brewers,9,0.316,0.336,0.317,0.335,0.018,0.215,0.25,0.244,0.22,-0.024,0.409,0.425,0.4,0.435,0.035,38.8,43.728,39.386,43.077,3.691,88.0,90.593,88.945,89.648,0.703,19.9,8.86,13.924,14.836,0.912,27.2,23.393,22.135,28.746,6.611,9.7,11.354,8.973,12.274,3.301,xw+plat_consol_v3,2026-07-19T17:34:29.889034+00:00,2026-07-19T18:10:00Z
823764,2026-07-19,2026-07-19T18:10:00Z,Miami Marlins @ Milwaukee Brewers,home,Robert Gasser,Miami Marlins,9,0.304,0.317,0.317,0.304,-0.013,0.23,0.248,0.244,0.234,-0.01,0.386,0.377,0.4,0.364,-0.036,30.2,36.641,39.386,28.095,-11.291,86.7,87.997,88.945,85.752,-3.193,22.6,13.482,13.924,22.158,8.234,21.4,17.702,22.135,17.114,-5.021,7.0,10.042,8.973,7.834,-1.139,xw+plat_consol_v3,2026-07-19T17:34:29.889034+00:00,2026-07-19T18:10:00Z
824007,2026-07-19,2026-07-19T20:07:00Z,Detroit Tigers @ Los Angeles Angels,away,Casey Mize,Los Angeles Angels,9,0.274,0.32,0.317,0.277,-0.04,0.221,0.243,0.244,0.22,-0.024,0.348,0.411,0.4,0.358,-0.042,36.1,38.889,39.386,35.644,-3.742,88.5,88.46,88.945,88.015,-0.93,17.5,15.467,13.924,19.043,5.119,25.3,24.081,22.135,27.524,5.389,5.9,8.085,8.973,5.316,-3.657,xw+plat_consol_v3,2026-07-19T17:34:29.889034+00:00,2026-07-19T20:07:00Z
824007,2026-07-19,2026-07-19T20:07:00Z,Detroit Tigers @ Los Angeles Angels,home,Ryan Johnson,Detroit Tigers,9,0.342,0.333,0.317,0.359,0.042,0.264,0.247,0.244,0.267,0.023,0.46,0.434,0.4,0.499,0.099,39.1,42.999,39.386,42.687,3.301,88.6,89.385,88.945,89.04,0.095,16.6,18.272,13.924,20.948,7.024,16.8,24.438,22.135,18.548,-3.587,8.7,9.402,8.973,9.116,0.143,xw+plat_consol_v3,2026-07-19T17:34:29.889034+00:00,2026-07-19T20:07:00Z
824086,2026-07-19,2026-07-19T18:10:00Z,San Diego Padres @ Kansas City Royals,away,Germán Márquez,Kansas City Royals,9,0.362,0.311,0.317,0.355,0.038,0.266,0.239,0.244,0.261,0.017,0.477,0.39,0.4,0.465,0.065,45.5,42.463,39.386,49.055,9.669,89.4,89.513,88.945,89.968,1.023,18.1,14.943,13.924,19.119,5.195,15.5,23.027,22.135,16.125,-6.01,11.0,8.435,8.973,10.34,1.367,xw+plat_consol_v3,2026-07-19T17:34:29.889034+00:00,2026-07-19T18:10:00Z
824086,2026-07-19,2026-07-19T18:10:00Z,San Diego Padres @ Kansas City Royals,home,Noah Cameron,San Diego Padres,9,0.341,0.318,0.317,0.342,0.025,0.272,0.251,0.244,0.28,0.036,0.462,0.4,0.4,0.462,0.062,38.6,43.463,39.386,42.596,3.21,89.3,89.603,88.945,89.958,1.013,15.8,8.722,13.924,10.598,-3.326,21.5,20.411,22.135,19.825,-2.31,7.6,8.476,8.973,7.179,-1.794,xw+plat_consol_v3,2026-07-19T17:34:29.889034+00:00,2026-07-19T18:10:00Z
824168,2026-07-19,2026-07-19T18:10:00Z,Baltimore Orioles @ Houston Astros,away,Brandon Young,Houston Astros,9,0.319,0.34,0.317,0.342,0.025,0.255,0.259,0.244,0.271,0.027,0.405,0.446,0.4,0.452,0.052,42.6,38.435,39.386,41.571,2.185,89.7,88.725,88.945,89.48,0.535,15.2,15.153,13.924,16.429,2.505,18.5,19.163,22.135,16.016,-6.119,8.5,9.659,8.973,9.15,0.177,xw+plat_consol_v3,2026-07-19T17:34:29.889034+00:00,2026-07-19T18:10:00Z
824168,2026-07-19,2026-07-19T18:10:00Z,Baltimore Orioles @ Houston Astros,home,Hunter Brown,Baltimore Orioles,9,0.302,0.325,0.317,0.31,-0.007,0.199,0.239,0.244,0.195,-0.049,0.339,0.409,0.4,0.347,-0.053,38.9,42.533,39.386,42.008,2.622,85.2,89.912,88.945,86.167,-2.778,9.1,14.234,13.924,9.41,-4.514,25.5,25.329,22.135,29.18,7.045,14.4,11.007,8.973,17.664,8.691,xw+plat_consol_v3,2026-07-19T17:34:29.889034+00:00,2026-07-19T18:10:00Z
824330,2026-07-19,2026-07-19T19:10:00Z,Cincinnati Reds @ Colorado Rockies,away,Hunter Greene,Colorado Rockies,9,0.337,0.322,0.317,0.342,0.025,0.274,0.252,0.244,0.283,0.039,0.403,0.399,0.4,0.402,0.002,47.6,37.895,39.386,45.798,6.412,91.4,88.122,88.945,90.577,1.632,20.1,14.625,13.924,20.801,6.877,42.2,20.854,22.135,39.758,17.623,11.1,8.578,8.973,10.611,1.638,xw+plat_consol_v3,2026-07-19T17:34:29.889034+00:00,2026-07-19T19:10:00Z
824330,2026-07-19,2026-07-19T19:10:00Z,Cincinnati Reds @ Colorado Rockies,home,Ryan Feltner,Cincinnati Reds,9,0.346,0.335,0.317,0.366,0.049,0.259,0.245,0.244,0.26,0.016,0.471,0.431,0.4,0.508,0.108,39.0,40.445,39.386,40.049,0.663,87.9,90.163,88.945,89.118,0.173,13.1,16.552,13.924,15.728,1.804,17.6,24.806,22.135,19.724,-2.411,9.0,10.445,8.973,10.476,1.503,xw+plat_consol_v3,2026-07-19T17:34:29.889034+00:00,2026-07-19T19:10:00Z
824411,2026-07-19,2026-07-19T17:40:00Z,Pittsburgh Pirates @ Cleveland Guardians,away,Paul Skenes,Cleveland Guardians,9,0.258,0.307,0.317,0.25,-0.067,0.203,0.246,0.244,0.205,-0.039,0.32,0.366,0.4,0.293,-0.107,37.4,32.749,39.386,31.098,-8.288,87.9,87.808,88.945,86.763,-2.182,15.1,14.158,13.924,15.334,1.41,29.5,19.624,22.135,26.154,4.019,5.5,9.259,8.973,5.675,-3.298,xw+plat_consol_v3,2026-07-19T17:34:29.889034+00:00,2026-07-19T17:40:00Z
