game_pk,game_date,game_datetime_utc,matchup,side,pitcher,opp_team,n_opp,starter_rate_basis,starter_rate_bf,opp_xwOBA_neutral,opp_xwOBA_vs_sp,platoon_delta_sp,opp_xwOBA_sd,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,starter_xwOBA,mx_xwOBA_sp,edge_xwOBA_sp,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%,bullpen_xwOBA,expected_sp_ip,expected_sp_ip_raw,sp_share,bp_share,mx_xwOBA_bp,edge_xwOBA_bp,bullpen_pitchers,bullpen_relief_bf,sp_bf_per_ip,bp_bf_per_ip,opener,opener_reason,opener_confidence,pitching_basis,model_tag,model_metric,snapshot_utc,scheduled_start_utc,lineup_status_away,lineup_status_home,lineup_posted_away,lineup_posted_home,lineup_savant_backfill_away,lineup_savant_backfill_home,selection_rule_tag,hybrid_action,hybrid_selection,pregame_market_utc,pregame_away_ml,pregame_home_ml,pregame_p_home,hybrid_p,hybrid_ml
822848,2026-09-06,2026-09-06T18:35:00Z,Tampa Bay Rays @ Texas Rangers,away,Ian Seymour,Texas Rangers,9,measured,470.0,0.3119854133844741,0.31974796318527093,0.007762549800796825,0.02394659861785503,0.29341407418039644,0.31974796318527093,0.3146003842996791,0.2953962018635899,-0.019204182436089234,0.29266673408766297,0.2974554284951997,-0.017144955804479445,0.219,0.23412669322709162,0.24306804218590652,0.21094400298627985,-0.03212403919962667,0.388,0.39520823373173974,0.3944946334850633,0.38870185212220626,-0.005792781362857047,35.5,40.38887118193892,39.0352779125157,36.731003431619406,-2.3042744808962965,87.9,88.986401062417,88.8561474645207,88.0302535978963,-0.8258938666243978,20.5,14.498379814077026,14.010098384308261,20.988281429768765,6.978183045460504,29.4,22.654501992031875,22.063742755515754,30.187188363553233,8.123445608037478,6.8,8.025869853917664,8.916126284108152,6.1210343222610755,-2.795091961847077,0.2945939205385287,5.408384110002964,5.479166666666666,0.6122118374183276,0.38778816258167237,0.29214524414635157,-0.022455140153327557,7.0,1041.990243902439,4.1618497109826595,3.969692460100062,False,,,starter_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-09-06T19:31:11.057139+00:00,2026-09-06T18:35:00Z,posted,posted,9,9,0,0,xwoba_market_hybrid_v1,FOLLOW,TB,2026-09-06T19:31:11.057139+00:00,-120.0,-101.0,0.47949935261113513,0.5205006473888649,-120.0
822848,2026-09-06,2026-09-06T18:35:00Z,Tampa Bay Rays @ Texas Rangers,home,MacKenzie Gore,Tampa Bay Rays,9,measured,664.0,0.316072274598439,0.32073894126510566,0.004666666666666652,0.030476010520250018,0.29908044653338883,0.32073894126510566,0.3146003842996791,0.3031416815691064,-0.0114587027305727,0.30451837490833494,0.3104602093264814,-0.004140174973197741,0.236,0.25628286852589643,0.24306804218590652,0.24883055965807438,0.005762517472167855,0.372,0.4051110225763612,0.3944946334850633,0.3820110277979545,-0.012483605687108823,41.4,38.02746347941567,39.0352779125157,40.33113307342526,1.2958551609095608,89.1,88.63636122177955,88.8561474645207,88.88021375725883,0.02406629273812655,16.0,11.910411686586986,14.010098384308261,13.900313302278725,-0.10978508202953563,25.5,18.685869853917666,22.063742755515754,21.59604952590294,-0.4676932296128129,9.0,7.360265604249667,8.916126284108152,7.42950338829493,-1.4866228958132224,0.29127758977058116,5.232498077722719,5.25,0.5893046886290165,0.4106953113709835,0.29264036197311316,-0.021960022326565964,8.0,1041.3933333333334,4.327659574468085,4.1887894778265835,False,,,starter_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-09-06T19:31:11.057139+00:00,2026-09-06T18:35:00Z,posted,posted,9,9,0,0,xwoba_market_hybrid_v1,FOLLOW,TB,2026-09-06T19:31:11.057139+00:00,-120.0,-101.0,0.47949935261113513,0.5205006473888649,-120.0
823091,2026-09-06,2026-09-06T20:10:00Z,Athletics @ Seattle Mariners,away,Gage Jump,Seattle Mariners,9,measured,407.0,0.32464131060974105,0.3274259055632603,0.002784594953519237,0.0181950144888951,0.31613265706681043,0.3274259055632603,0.3146003842996791,0.3278660837787861,0.013265699479106996,0.324554316429917,0.3377856362066716,0.0231852519069925,0.258,0.2476933096506809,0.24306804218590652,0.26290940312506855,0.019841360939162028,0.4,0.40077767910005924,0.3944946334850633,0.406370728604838,0.011876095119774721,39.6,40.47069271758436,39.0352779125157,41.056180904055864,2.0209029915401615,89.6,89.10275310834814,88.8561474645207,89.84660564382743,0.990458179306728,15.9,12.875370041444642,14.010098384308261,14.765271657136381,0.7551732728281202,24.3,22.659177027827113,22.063742755515754,24.955784151288153,2.8920413957723987,11.1,10.023268206039077,8.916126284108152,12.478320017218387,3.5621937331102345,0.30487095151379645,5.179199280062038,5.180555555555555,0.5721433098967094,0.42785669010329064,0.3146013489036245,9.64603945385889e-07,9.0,1133.0363636363636,4.392086330935251,4.452178887252811,False,,,starter_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-09-06T19:31:11.057139+00:00,2026-09-06T20:10:00Z,posted,posted,9,9,0,1,xwoba_market_hybrid_v1,FOLLOW,SEA,2026-09-06T19:31:11.057139+00:00,168.0,-205.0,0.6430243445692884,0.6430243445692884,-205.0
823091,2026-09-06,2026-09-06T20:10:00Z,Athletics @ Seattle Mariners,home,Bryan Woo,Athletics,9,measured,606.0,0.3076448050811973,0.30659407466951066,-0.001050730411686629,0.014558664481346182,0.2999825047163639,0.30659407466951066,0.3146003842996791,0.29274749474455636,-0.021852889555122768,0.2986346153398979,0.29103462081980247,-0.023565763479876656,0.238,0.24118273572377158,0.24306804218590652,0.23615400274773704,-0.006914039438169484,0.394,0.3752794156706507,0.3944946334850633,0.37480887501055143,-0.019685758474511872,43.7,38.99402390438247,39.0352779125157,43.65381613115546,4.618538218639756,89.7,88.41883134130146,88.8561474645207,89.26268387678077,0.406536412260067,17.1,11.17569721115538,14.010098384308261,14.265598826847121,0.2555004425388603,24.6,22.619946879150067,22.063742755515754,25.220140544286558,3.1563977887708035,5.1,7.591420982735724,8.916126284108152,4.342272168235091,-4.573854115873061,0.3020399938830509,5.531381335373766,5.639423076923077,0.6041880926347691,0.39581190736523086,0.2953621155032136,-0.019238268796465507,8.0,1296.0,4.085393258426966,4.268031384586431,False,,,starter_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-09-06T19:31:11.057139+00:00,2026-09-06T20:10:00Z,posted,posted,9,9,0,1,xwoba_market_hybrid_v1,FOLLOW,SEA,2026-09-06T19:31:11.057139+00:00,168.0,-205.0,0.6430243445692884,0.6430243445692884,-205.0
823253,2026-09-06,2026-09-06T20:10:00Z,New York Yankees @ San Diego Padres,away,Gerrit Cole,San Diego Padres,9,measured,426.0,0.3246900859585671,0.323484508269324,-0.0012055776892430647,0.021072640838380816,0.29015415224890906,0.323484508269324,0.3146003842996791,0.2987414439026345,-0.015858940397044607,0.2914373354181899,0.2996673489415421,-0.014933035358137003,0.24,0.24670517928286856,0.24306804218590652,0.24359122859352794,0.0005231864076214177,0.367,0.40830464807436917,0.3944946334850633,0.3798475140700923,-0.014647119414970988,43.8,41.60013280212483,39.0352779125157,46.67792607539911,7.642648162883404,90.3,90.1339973439575,88.8561474645207,91.57784987943681,2.721702414916109,18.8,12.019654714475433,14.010098384308261,16.809556330167172,2.7994579458589115,25.8,23.48937583001328,22.063742755515754,27.4670486838794,5.403305928363647,5.2,8.814634794156706,8.916126284108152,5.140808852305269,-3.7753174318028835,0.28784053873981585,5.77614581386166,5.958333333333333,0.6432427840594681,0.3567572159405319,0.29707201240022896,-0.017528371899450168,7.0,1299.846590909091,4.096153846153846,4.07039785220883,False,,,starter_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-09-06T19:31:11.057139+00:00,2026-09-06T20:10:00Z,posted,posted,9,9,0,0,xwoba_market_hybrid_v1,FOLLOW,NYY,2026-09-06T19:31:11.057139+00:00,-102.0,-118.0,0.5173641257162701,0.4826358742837299,-102.0
823253,2026-09-06,2026-09-06T20:10:00Z,New York Yankees @ San Diego Padres,home,Michael King,New York Yankees,9,measured,662.0,0.32012596191357984,0.32342423548595695,0.0032982735723771084,0.024167486835011905,0.30228694061033656,0.32342423548595695,0.3146003842996791,0.30979094647732724,-0.004809437822351881,0.3201601554199054,0.3291399459992766,0.01453956169959747,0.237,0.24695378486055777,0.24306804218590652,0.24078873753048946,-0.0022793046554170637,0.401,0.4138167330677291,0.3944946334850633,0.4206407283521193,0.02614609486705599,32.4,44.30557768924303,39.0352779125157,36.774445934486764,-2.260831978028939,86.9,90.30589641434263,88.8561474645207,88.34974894982194,-0.5063985146987591,14.0,14.691766268260292,14.010098384308261,14.68166788395203,0.6715694996437698,21.3,25.577848605577692,22.063742755515754,24.69246407265183,2.628721317136076,9.5,8.741593625498007,8.916126284108152,9.314038047021421,0.39791176291326913,0.2685253677559494,5.906347162432753,6.127976190476192,0.6538532330976281,0.3461467669023719,0.2732416930844758,-0.0413586912152033,8.0,1636.5203389830508,4.08641975308642,4.130193250127852,False,,,starter_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-09-06T19:31:11.057139+00:00,2026-09-06T20:10:00Z,posted,posted,9,9,0,0,xwoba_market_hybrid_v1,FOLLOW,NYY,2026-09-06T19:31:11.057139+00:00,-102.0,-118.0,0.5173641257162701,0.4826358742837299,-102.0
823336,2026-09-06,2026-09-06T17:35:00Z,Los Angeles Angels @ Pittsburgh Pirates,away,Walbert Ureña,Pittsburgh Pirates,9,measured,525.0,0.321246185091281,0.3207723471098733,-0.00047383798140770983,0.017092988867758622,0.29820042412598635,0.3207723471098733,0.3146003842996791,0.30425708842457544,-0.010343295875103686,0.2905760614879486,0.2962767050171312,-0.01832367928254791,0.205,0.2377258964143426,0.24306804218590652,0.2004945130864509,-0.04257352909945564,0.307,0.4048879150066401,0.3944946334850633,0.31508816434063075,-0.07940646914443256,35.1,41.903107569721115,39.0352779125157,37.678714085077274,-1.3565638274384284,87.4,89.7247277556441,88.8561474645207,88.2685802911234,-0.5875671733973036,5.8,12.645285524568393,14.010098384308261,4.435187140260133,-9.574911244048128,22.9,25.14876494023904,22.063742755515754,26.10195031337111,4.038207557855355,12.2,9.747543160690572,8.916126284108152,13.33763371795043,4.421507433842278,0.3076915778703948,5.0281087753891525,4.983695652173913,0.5545350506714857,0.4454649493285143,0.3141914330321496,-0.0004089512675295448,9.0,831.0,4.2153846153846155,4.286758921318282,False,,,starter_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-09-06T19:31:11.057139+00:00,2026-09-06T17:35:00Z,posted,posted,9,9,0,0,xwoba_market_hybrid_v1,FOLLOW,PIT,2026-09-06T19:31:11.057139+00:00,148.0,-179.0,0.614065180102916,0.614065180102916,-179.0
823336,2026-09-06,2026-09-06T17:35:00Z,Los Angeles Angels @ Pittsburgh Pirates,home,Paul Skenes,Los Angeles Angels,9,measured,619.0,0.3047543669967516,0.3041479924947596,-0.0006063745019920241,0.026614199366799304,0.2870636792820455,0.3041479924947596,0.3146003842996791,0.27777152061466837,-0.03682886368501076,0.2839513747287454,0.27451727620144295,-0.040083108098236175,0.216,0.226659229747676,0.24306804218590652,0.20141847190283044,-0.04164957028307609,0.345,0.3610345285524569,0.3944946334850633,0.31573791321375144,-0.07875672027131186,39.1,34.53808764940239,39.0352779125157,34.59535321147665,-4.439924701039054,88.4,87.65614873837981,88.8561474645207,87.20000127385912,-1.6561461906615875,16.0,14.459707835325366,14.010098384308261,16.449609451017107,2.439511066708846,28.9,24.581328021248343,22.063742755515754,32.1976369868835,10.133894231367748,7.1,8.549907038512616,8.916126284108152,6.808375973951518,-2.107750310156634,0.29106814180661833,5.139986593211681,5.129464285714286,0.5626800035402671,0.43731999645973285,0.28195861078383044,-0.03264177351584868,7.0,1205.3591954022988,4.129032258064516,4.273259859582904,False,,,starter_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-09-06T19:31:11.057139+00:00,2026-09-06T17:35:00Z,posted,posted,9,9,0,0,xwoba_market_hybrid_v1,FOLLOW,PIT,2026-09-06T19:31:11.057139+00:00,148.0,-179.0,0.614065180102916,0.614065180102916,-179.0
823417,2026-09-06,2026-09-06T17:10:00Z,Atlanta Braves @ Philadelphia Phillies,away,Tyler Mahle,Philadelphia Phillies,9,measured,521.0,0.32059982636873324,0.32193315970206665,0.0013333333333334085,0.029427865769271627,0.3023589459116786,0.32193315970206665,0.3146003842996791,0.30895596310572815,-0.005644421193950977,0.31493564964568105,0.3222762394869731,0.007675855187293967,0.252,0.2562531208499336,0.24306804218590652,0.26566958730343315,0.022601545117526628,0.401,0.4069540504648074,0.3944946334850633,0.41366487750350245,0.019170244018439142,38.6,38.586799468791504,39.0352779125157,38.156522488028614,-0.878755424487089,90.0,89.19527224435592,88.8561474645207,90.33912477983522,1.482977315314514,13.2,12.710491367861884,14.010098384308261,11.900392983553623,-2.1097054007546383,23.2,20.74932270916335,22.063742755515754,21.81788884083357,-0.24585391468218276,8.1,8.738645418326692,8.916126284108152,7.938764619631716,-0.9773616644764367,0.281610927694072,5.677427171237965,5.829710144927536,0.6226013902752107,0.37739860972478934,0.28698125948967396,-0.02761912481000517,8.0,1145.9607843137255,3.880733944954128,4.019584306623522,False,,,starter_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-09-06T19:31:11.057139+00:00,2026-09-06T17:10:00Z,posted,posted,9,9,0,0,xwoba_market_hybrid_v1,FOLLOW,ATL,2026-09-06T19:31:11.057139+00:00,-107.0,-112.0,0.5054504229528212,0.49454957704717883,-107.0
823417,2026-09-06,2026-09-06T17:10:00Z,Atlanta Braves @ Philadelphia Phillies,home,Aaron Nola,Atlanta Braves,9,measured,638.0,0.32357799823203004,0.32320960513774055,-0.0003683930942894875,0.025467703036059747,0.30151970920225435,0.32320960513774055,0.3146003842996791,0.3099029633865795,-0.004697420913099604,0.3123523555961625,0.32090005783308817,0.006299673533409045,0.241,0.24817901726427619,0.24306804218590652,0.24606749049694082,0.0029994483110342973,0.413,0.423264807436919,0.3944946334850633,0.4431197553364596,0.04862512185139628,40.8,42.57609561752988,39.0352779125157,44.50089237454254,5.465614462026835,88.5,89.77022576361223,88.8561474645207,89.41407829909154,0.5579308345708398,13.6,14.301513944223109,14.010098384308261,13.891415559914847,-0.11868282439341371,24.6,22.819229747675962,22.063742755515754,25.442331249646895,3.37858849413114,8.0,8.24183266932271,8.916126284108152,7.394989623700343,-1.5211366604078096,0.28496641067681133,5.410668344188423,5.482142857142858,0.604445038292118,0.39555496170788196,0.2930983728307647,-0.02150201146891445,8.0,1389.811320754717,4.27741935483871,4.219579508371117,False,,,starter_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-09-06T19:31:11.057139+00:00,2026-09-06T17:10:00Z,posted,posted,9,9,0,0,xwoba_market_hybrid_v1,FOLLOW,ATL,2026-09-06T19:31:11.057139+00:00,-107.0,-112.0,0.5054504229528212,0.49454957704717883,-107.0
