game_pk,game_date,matchup,side,pitcher,throws,opp_team,n_opp,n_LHB,n_RHB,n_SW,n_platoon_adv,n_low_sample,pit_min_split_bf,pit_low_sample,reliable,opp_OPS_raw,opp_OPS_vs_hand,pit_OPS_raw,pit_OPS_allowed,mx_OPS,edge_OPS,model_tag,snapshot_utc
822790,2026-07-18,Chicago White Sox @ Toronto Blue Jays,away,Davis Martin,R,Toronto Blue Jays,9,3,5,1,4,1,166,False,True,0.718,0.714,0.694,0.694,0.695,-0.026,xw+plat_consol_v3,2026-07-18T16:49:44.976741+00:00
822790,2026-07-18,Chicago White Sox @ Toronto Blue Jays,home,Shane Bieber,R,Chicago White Sox,9,6,2,1,7,0,40,True,False,0.803,0.794,1.026,0.879,0.951,0.23,xw+plat_consol_v3,2026-07-18T16:49:44.976741+00:00
823116,2026-07-18,San Francisco Giants @ Seattle Mariners,away,Logan Webb,R,Seattle Mariners,9,6,2,1,7,0,159,False,True,0.734,0.737,0.659,0.672,0.67,-0.051,xw+plat_consol_v3,2026-07-18T16:49:44.976741+00:00
823116,2026-07-18,San Francisco Giants @ Seattle Mariners,home,Bryan Woo,R,San Francisco Giants,9,5,4,0,5,0,176,False,True,0.792,0.784,0.625,0.645,0.695,-0.026,xw+plat_consol_v3,2026-07-18T16:49:44.976741+00:00
823441,2026-07-18,New York Mets @ Philadelphia Phillies,away,Sean Manaea,L,Philadelphia Phillies,9,4,5,0,5,0,106,False,True,0.704,0.711,0.732,0.743,0.745,0.024,xw+plat_consol_v3,2026-07-18T16:49:44.976741+00:00
823441,2026-07-18,New York Mets @ Philadelphia Phillies,home,Jesús Luzardo,L,New York Mets,9,3,5,1,6,0,112,False,True,0.733,0.727,0.615,0.655,0.668,-0.053,xw+plat_consol_v3,2026-07-18T16:49:44.976741+00:00
823523,2026-07-18,Los Angeles Dodgers @ New York Yankees,away,Emmet Sheehan,R,New York Yankees,9,6,3,0,6,0,160,False,True,0.754,0.755,0.775,0.769,0.787,0.066,xw+plat_consol_v3,2026-07-18T16:49:44.976741+00:00
823523,2026-07-18,Los Angeles Dodgers @ New York Yankees,home,Ryan Weathers,L,Los Angeles Dodgers,9,5,3,1,4,0,91,False,True,0.771,0.762,0.752,0.709,0.777,0.056,xw+plat_consol_v3,2026-07-18T16:49:44.976741+00:00
823763,2026-07-18,Miami Marlins @ Milwaukee Brewers,away,Max Meyer,R,Milwaukee Brewers,9,5,4,0,5,0,192,False,True,0.789,0.781,0.624,0.64,0.685,-0.036,xw+plat_consol_v3,2026-07-18T16:49:44.976741+00:00
823763,2026-07-18,Miami Marlins @ Milwaukee Brewers,home,Shane Drohan,L,Miami Marlins,9,4,4,1,5,0,93,False,True,0.755,0.748,0.671,0.674,0.709,-0.012,xw+plat_consol_v3,2026-07-18T16:49:44.976741+00:00
824008,2026-07-18,Detroit Tigers @ Los Angeles Angels,away,Tarik Skubal,L,Los Angeles Angels,9,2,7,0,7,1,76,False,True,0.759,0.744,0.616,0.638,0.656,-0.065,xw+plat_consol_v3,2026-07-18T16:49:44.976741+00:00
824008,2026-07-18,Detroit Tigers @ Los Angeles Angels,home,Grayson Rodriguez,R,Detroit Tigers,9,5,4,0,5,0,64,False,True,0.748,0.748,0.932,0.847,0.869,0.148,xw+plat_consol_v3,2026-07-18T16:49:44.976741+00:00
824088,2026-07-18,San Diego Padres @ Kansas City Royals,away,Griffin Canning,R,Kansas City Royals,9,4,4,1,5,0,98,False,True,0.721,0.722,0.795,0.787,0.783,0.062,xw+plat_consol_v3,2026-07-18T16:49:44.976741+00:00
824088,2026-07-18,San Diego Padres @ Kansas City Royals,home,Randy Dobnak,R,San Diego Padres,9,2,6,1,3,0,9,True,False,0.67,0.677,0.473,0.689,0.655,-0.066,xw+plat_consol_v3,2026-07-18T16:49:44.976741+00:00
824169,2026-07-18,Baltimore Orioles @ Houston Astros,away,Trevor Rogers,L,Houston Astros,9,2,7,0,7,1,96,False,True,0.714,0.741,0.728,0.731,0.749,0.028,xw+plat_consol_v3,2026-07-18T16:49:44.976741+00:00
824169,2026-07-18,Baltimore Orioles @ Houston Astros,home,Spencer Arrighetti,R,Baltimore Orioles,9,3,4,2,5,0,149,False,True,0.733,0.733,0.704,0.714,0.722,0.001,xw+plat_consol_v3,2026-07-18T16:49:44.976741+00:00
824331,2026-07-18,Cincinnati Reds @ Colorado Rockies,away,Rhett Lowder,R,Colorado Rockies,9,4,4,1,5,0,122,False,True,0.771,0.765,0.757,0.756,0.796,0.075,xw+plat_consol_v3,2026-07-18T16:49:44.976741+00:00
824331,2026-07-18,Cincinnati Reds @ Colorado Rockies,home,Tomoyuki Sugano,R,Cincinnati Reds,9,1,6,2,3,0,170,False,True,0.723,0.734,0.783,0.78,0.804,0.083,xw+plat_consol_v3,2026-07-18T16:49:44.976741+00:00
824412,2026-07-18,Pittsburgh Pirates @ Cleveland Guardians,home,Logan Allen,L,Pittsburgh Pirates,9,2,5,2,7,0,9,True,False,0.737,0.741,0.666,0.707,0.732,0.011,xw+plat_consol_v3,2026-07-18T16:49:44.976741+00:00
824414,2026-07-18,Pittsburgh Pirates @ Cleveland Guardians,away,Jared Jones,R,Cleveland Guardians,9,5,2,2,7,0,59,False,True,0.709,0.712,0.769,0.741,0.709,-0.012,xw+plat_consol_v3,2026-07-18T16:49:44.976741+00:00
824414,2026-07-18,Pittsburgh Pirates @ Cleveland Guardians,home,Gavin Williams,R,Pittsburgh Pirates,9,4,3,2,6,0,170,False,True,0.817,0.807,0.677,0.687,0.755,0.034,xw+plat_consol_v3,2026-07-18T16:49:44.976741+00:00
824657,2026-07-18,Minnesota Twins @ Chicago Cubs,away,Taj Bradley,R,Chicago Cubs,9,2,5,2,4,0,185,False,True,0.745,0.744,0.679,0.683,0.708,-0.013,xw+plat_consol_v3,2026-07-18T16:49:44.976741+00:00
824657,2026-07-18,Minnesota Twins @ Chicago Cubs,home,Matthew Boyd,L,Minnesota Twins,9,2,4,3,7,0,46,True,False,0.709,0.723,0.746,0.738,0.738,0.017,xw+plat_consol_v3,2026-07-18T16:49:44.976741+00:00
824738,2026-07-18,Tampa Bay Rays @ Boston Red Sox,away,Ian Seymour,L,Boston Red Sox,9,1,7,1,8,1,109,False,True,0.818,0.774,0.638,0.673,0.727,0.006,xw+plat_consol_v3,2026-07-18T16:49:44.976741+00:00
824738,2026-07-18,Tampa Bay Rays @ Boston Red Sox,home,Patrick Sandoval,L,Tampa Bay Rays,9,4,4,1,5,1,4,True,False,0.669,0.697,0.685,0.691,0.678,-0.043,xw+plat_consol_v3,2026-07-18T16:49:44.976741+00:00
824899,2026-07-18,Texas Rangers @ Atlanta Braves,away,MacKenzie Gore,L,Atlanta Braves,9,4,4,1,5,1,103,False,True,0.742,0.744,0.724,0.697,0.737,0.016,xw+plat_consol_v3,2026-07-18T16:49:44.976741+00:00
824899,2026-07-18,Texas Rangers @ Atlanta Braves,home,Owen Murphy,R,Texas Rangers,9,4,5,0,4,0,5,True,False,0.734,0.733,0.374,0.679,0.692,-0.029,xw+plat_consol_v3,2026-07-18T16:49:44.976741+00:00
