game_pk,game_date,game_datetime_utc,matchup,side,pitcher,opp_team,n_opp,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%,model_tag,snapshot_utc,scheduled_start_utc
822789,2026-07-17,2026-07-17T23:15:00Z,Chicago White Sox @ Toronto Blue Jays,away,Anthony Kay,Toronto Blue Jays,9,0.349,0.306,0.318,0.336,0.018,0.268,0.248,0.245,0.271,0.026,0.417,0.378,0.4,0.394,-0.006,38.8,35.991,39.395,35.447,-3.948,88.6,87.769,88.956,87.413,-1.543,12.6,13.604,13.921,12.283,-1.638,17.6,17.446,22.102,13.892,-8.21,8.7,8.395,8.987,8.127,-0.86,xw+plat_consol_v3,2026-07-17T21:32:05.615997+00:00,2026-07-17T23:15:00Z
822789,2026-07-17,2026-07-17T23:15:00Z,Chicago White Sox @ Toronto Blue Jays,home,Spencer Miles,Chicago White Sox,9,0.283,0.338,0.318,0.301,-0.017,0.235,0.253,0.245,0.243,-0.002,0.34,0.434,0.4,0.369,-0.031,34.7,41.971,39.395,36.969,-2.426,86.6,89.04,88.956,86.684,-2.272,5.7,15.103,13.921,6.882,-7.039,23.5,22.573,22.102,24.001,1.899,7.8,9.789,8.987,8.496,-0.491,xw+plat_consol_v3,2026-07-17T21:32:05.615997+00:00,2026-07-17T23:15:00Z
823115,2026-07-17,2026-07-18T02:10:00Z,San Francisco Giants @ Seattle Mariners,away,Landen Roupp,Seattle Mariners,9,0.286,0.326,0.318,0.293,-0.025,0.226,0.251,0.245,0.232,-0.013,0.32,0.41,0.4,0.328,-0.072,28.2,38.606,39.395,27.635,-11.76,86.5,89.109,88.956,86.653,-2.303,10.6,13.46,13.921,10.139,-3.782,25.3,21.652,22.102,24.785,2.683,10.2,8.697,8.987,9.871,0.884,xw+plat_consol_v3,2026-07-17T21:32:05.615997+00:00,2026-07-18T02:10:00Z
823115,2026-07-17,2026-07-18T02:10:00Z,San Francisco Giants @ Seattle Mariners,home,Bryce Miller,San Francisco Giants,9,0.236,0.323,0.318,0.24,-0.078,0.19,0.266,0.245,0.206,-0.039,0.319,0.427,0.4,0.341,-0.059,28.4,38.039,39.395,27.422,-11.973,85.9,88.979,88.956,85.923,-3.033,16.2,15.165,13.921,17.444,3.523,30.2,18.243,22.102,24.927,2.825,4.2,6.327,8.987,2.957,-6.03,xw+plat_consol_v3,2026-07-17T21:32:05.615997+00:00,2026-07-18T02:10:00Z
823524,2026-07-17,2026-07-17T23:05:00Z,Los Angeles Dodgers @ New York Yankees,away,Roki Sasaki,New York Yankees,9,0.332,0.324,0.318,0.338,0.02,0.244,0.246,0.245,0.245,-0.0,0.433,0.415,0.4,0.449,0.049,44.9,40.594,39.395,46.267,6.872,90.3,89.139,88.956,90.483,1.527,13.5,15.351,13.921,14.93,1.009,22.7,22.641,22.102,23.254,1.152,9.4,9.946,8.987,10.403,1.416,xw+plat_consol_v3,2026-07-17T21:32:05.615997+00:00,2026-07-17T23:05:00Z
823524,2026-07-17,2026-07-17T23:05:00Z,Los Angeles Dodgers @ New York Yankees,home,Gerrit Cole,Los Angeles Dodgers,9,0.291,0.358,0.318,0.328,0.01,0.24,0.272,0.245,0.266,0.021,0.379,0.466,0.4,0.442,0.042,40.3,44.075,39.395,45.088,5.693,89.5,90.263,88.956,90.807,1.851,18.9,15.308,13.921,20.287,6.366,22.7,20.06,22.102,20.603,-1.499,5.3,10.806,8.987,6.373,-2.614,xw+plat_consol_v3,2026-07-17T21:32:05.615997+00:00,2026-07-17T23:05:00Z
823766,2026-07-17,2026-07-17T23:40:00Z,Miami Marlins @ Milwaukee Brewers,away,Sandy Alcantara,Milwaukee Brewers,9,0.301,0.329,0.318,0.311,-0.007,0.256,0.255,0.245,0.266,0.021,0.37,0.418,0.4,0.387,-0.013,34.7,41.889,39.395,36.897,-2.498,88.2,90.004,88.956,89.248,0.292,11.9,8.798,13.921,6.777,-7.144,18.4,20.971,22.102,17.458,-4.644,6.1,10.132,8.987,6.877,-2.11,xw+plat_consol_v3,2026-07-17T21:32:05.615997+00:00,2026-07-17T23:40:00Z
823766,2026-07-17,2026-07-17T23:40:00Z,Miami Marlins @ Milwaukee Brewers,home,Logan Henderson,Miami Marlins,9,0.272,0.321,0.318,0.275,-0.043,0.219,0.257,0.245,0.23,-0.015,0.339,0.394,0.4,0.334,-0.066,31.9,37.589,39.395,30.438,-8.957,87.5,88.217,88.956,86.761,-2.195,21.7,12.349,13.921,20.128,6.207,30.6,16.719,22.102,23.147,1.045,6.3,9.08,8.987,6.365,-2.622,xw+plat_consol_v3,2026-07-17T21:32:05.615997+00:00,2026-07-17T23:40:00Z
824009,2026-07-17,2026-07-18T01:38:00Z,Detroit Tigers @ Los Angeles Angels,away,Troy Melton,Los Angeles Angels,9,0.269,0.323,0.318,0.273,-0.045,0.216,0.241,0.245,0.212,-0.033,0.339,0.417,0.4,0.353,-0.047,36.3,40.303,39.395,37.137,-2.258,89.0,88.857,88.956,88.901,-0.055,13.6,16.47,13.921,16.149,2.228,21.7,23.632,22.102,23.202,1.1,5.8,8.582,8.987,5.539,-3.448,xw+plat_consol_v3,2026-07-17T21:32:05.615997+00:00,2026-07-18T01:38:00Z
824009,2026-07-17,2026-07-18T01:38:00Z,Detroit Tigers @ Los Angeles Angels,home,Reid Detmers,Detroit Tigers,9,0.287,0.331,0.318,0.299,-0.019,0.221,0.251,0.245,0.226,-0.019,0.358,0.426,0.4,0.381,-0.019,38.1,40.383,39.395,39.056,-0.339,89.8,88.78,88.956,89.624,0.668,18.5,17.625,13.921,22.204,8.283,27.2,21.937,22.102,26.997,4.895,7.7,9.442,8.987,8.09,-0.897,xw+plat_consol_v3,2026-07-17T21:32:05.615997+00:00,2026-07-18T01:38:00Z
