game_pk,game_date,matchup,side,pitcher,throws,opp_team,n_opp,n_LHB,n_RHB,n_SW,n_platoon_adv,n_low_sample,pit_min_split_bf,pit_low_sample,reliable,opp_OPS_raw,opp_OPS_vs_hand,pit_OPS_raw,pit_OPS_allowed,mx_OPS,edge_OPS,model_tag,model_metric,snapshot_utc,lineup_status_away,lineup_status_home,lineup_posted_away,lineup_posted_home,lineup_savant_backfill_away,lineup_savant_backfill_home,selection_rule_tag,hybrid_action,hybrid_selection,pregame_market_utc,hybrid_price_source,pregame_away_ml,pregame_home_ml,pregame_p_home,hybrid_p,hybrid_ml
822844,2026-09-20,Toronto Blue Jays @ Texas Rangers,away,Spencer Miles,R,Texas Rangers,9,4,5,0,4,0,167,False,True,0.7141389110225765,0.7155042639537459,0.5458374501992032,0.5877126385776674,0.5830820893413359,-0.13695802927615686,xw+starter_blend_v13,xwOBA,2026-09-20T17:22:23.846820+00:00,posted,posted,9,9,0,0,lean,,,2026-09-20T17:22:23.846820+00:00,saved_pregame,149.0,-181.0,0.6159575776626715,,
822844,2026-09-20,Toronto Blue Jays @ Texas Rangers,home,Jacob deGrom,R,Toronto Blue Jays,9,5,3,1,6,0,248,False,True,0.7123614873837981,0.7180195090296292,0.6280000000000001,0.6385776338186221,0.6290240118161596,-0.0910161068013331,xw+starter_blend_v13,xwOBA,2026-09-20T17:22:23.846820+00:00,posted,posted,9,9,0,0,lean,,,2026-09-20T17:22:23.846820+00:00,saved_pregame,149.0,-181.0,0.6159575776626715,,
822922,2026-09-20,Boston Red Sox @ Tampa Bay Rays,away,Patrick Sandoval,L,Tampa Bay Rays,9,2,6,1,7,0,79,False,True,0.7305644090305445,0.7319352278905477,0.8318446215139442,0.8004819372288348,0.815905618915982,0.09586550029848928,xw+starter_blend_v13,xwOBA,2026-09-20T17:22:23.846820+00:00,posted,posted,9,9,0,0,lean,,,2026-09-20T17:22:23.846820+00:00,saved_pregame,127.0,-153.0,0.5785510819409971,,
822922,2026-09-20,Boston Red Sox @ Tampa Bay Rays,home,Griffin Jax,R,Boston Red Sox,9,2,4,3,5,1,170,False,True,0.7331912350597609,0.7239465894560786,0.6917516600265605,0.6988142440921299,0.6980282495383747,-0.022011869079118007,xw+starter_blend_v13,xwOBA,2026-09-20T17:22:23.846820+00:00,posted,posted,9,9,0,0,lean,,,2026-09-20T17:22:23.846820+00:00,saved_pregame,127.0,-153.0,0.5785510819409971,,
823001,2026-09-20,Washington Nationals @ St. Louis Cardinals,away,Jake Irvin,R,St. Louis Cardinals,9,4,4,1,5,0,170,False,True,0.7424722443559097,0.7388138629840384,0.7717944223107569,0.7609012868899931,0.775663686400182,0.05562356778268929,xw+starter_blend_v13,xwOBA,2026-09-20T17:22:23.846820+00:00,posted,posted,9,9,0,0,lean,,,2026-09-20T17:22:23.846820+00:00,saved_pregame,108.0,-131.0,0.541193294669103,,
823001,2026-09-20,Washington Nationals @ St. Louis Cardinals,home,Quinn Mathews,L,Washington Nationals,9,3,5,1,6,0,42,True,False,0.7777452855245685,0.7495825204554324,0.6836594953519256,0.6933819342315184,0.7307234632853512,0.010683344667858474,xw+starter_blend_v13,xwOBA,2026-09-20T17:22:23.846820+00:00,posted,posted,9,9,0,0,lean,,,2026-09-20T17:22:23.846820+00:00,saved_pregame,108.0,-131.0,0.541193294669103,,
823247,2026-09-20,Miami Marlins @ San Diego Padres,away,Sandy Alcantara,R,San Diego Padres,9,4,5,0,4,1,340,False,True,0.7582013280212484,0.7473966415416593,0.6710462151394422,0.6809759154585939,0.7068028097803515,-0.013237308837141248,xw+starter_blend_v13,xwOBA,2026-09-20T17:22:23.846820+00:00,projected,posted,0,9,0,0,lean,,,2026-09-20T17:22:23.846820+00:00,saved_pregame,129.0,-156.0,0.5825451699171612,,
823247,2026-09-20,Miami Marlins @ San Diego Padres,home,Walker Buehler,R,Miami Marlins,9,4,4,1,5,0,259,False,True,0.754792828685259,0.7532763518167048,0.753130411686587,0.7524937702219094,0.7828434214080588,0.06280330279056612,xw+starter_blend_v13,xwOBA,2026-09-20T17:22:23.846820+00:00,projected,posted,0,9,0,0,lean,,,2026-09-20T17:22:23.846820+00:00,saved_pregame,129.0,-156.0,0.5825451699171612,,
823329,2026-09-20,Kansas City Royals @ Pittsburgh Pirates,away,Michael Wacha,R,Pittsburgh Pirates,9,4,3,2,6,0,321,False,True,0.7943152722443558,0.7864651106019777,0.672715272244356,0.6792558768155648,0.732467630661892,0.012427512044399291,xw+starter_blend_v13,xwOBA,2026-09-20T17:22:23.846820+00:00,posted,posted,9,9,0,0,lean,,,2026-09-20T17:22:23.846820+00:00,saved_pregame,100.0,-120.0,0.5217391304347826,,
823329,2026-09-20,Kansas City Royals @ Pittsburgh Pirates,home,Lake Bachar,R,Kansas City Royals,9,3,6,0,3,1,145,False,True,0.7043686586985392,0.7235565413379511,0.6099673306772908,0.6437992832370476,0.6533405261580291,-0.06669959245946366,xw+starter_blend_v13,xwOBA,2026-09-20T17:22:23.846820+00:00,posted,posted,9,9,0,0,lean,,,2026-09-20T17:22:23.846820+00:00,saved_pregame,100.0,-120.0,0.5217391304347826,,
823570,2026-09-20,Philadelphia Phillies @ New York Mets,away,Cristopher Sánchez,L,New York Mets,9,2,6,1,7,1,180,False,True,0.6756491367861885,0.7163999482810198,0.6765487383798142,0.6953052603722017,0.6904698172490815,-0.02957030136841121,xw+starter_blend_v13,xwOBA,2026-09-20T17:22:23.846820+00:00,posted,posted,9,9,0,0,lean,,,2026-09-20T17:22:23.846820+00:00,saved_pregame,-160.0,132.0,0.41191381495564006,,
823570,2026-09-20,Philadelphia Phillies @ New York Mets,home,Jonah Tong,R,Philadelphia Phillies,9,6,3,0,6,0,38,True,False,0.7547490039840639,0.7520602236890034,0.6120000000000001,0.6792429586745972,0.7008075067730933,-0.019232611844399394,xw+starter_blend_v13,xwOBA,2026-09-20T17:22:23.846820+00:00,posted,posted,9,9,0,0,lean,,,2026-09-20T17:22:23.846820+00:00,saved_pregame,-160.0,132.0,0.41191381495564006,,
823896,2026-09-20,San Francisco Giants @ Los Angeles Dodgers,away,Matt Wilkinson,L,Los Angeles Dodgers,9,4,4,1,5,1,20,True,False,0.7068454183266932,0.7329195034912039,0.6176693227091634,0.7077531678585113,0.7339020033758261,0.013861884758333387,xw+starter_blend_v13,xwOBA,2026-09-20T17:22:23.846820+00:00,posted,posted,9,9,0,0,,,,,,,,,,
823975,2026-09-20,Minnesota Twins @ Los Angeles Angels,away,Dean Kremer,R,Los Angeles Angels,9,3,6,0,3,0,123,False,True,0.685261620185923,0.6908001295934884,0.7723181938911023,0.7229169918468076,0.7001600477307193,-0.01988007088677346,xw+starter_blend_v13,xwOBA,2026-09-20T17:22:23.846820+00:00,posted,projected,9,0,0,0,lean,,,2026-09-20T17:22:23.846820+00:00,saved_pregame,-117.0,-103.0,0.48481627695110846,,
823975,2026-09-20,Minnesota Twins @ Los Angeles Angels,home,Ryan Johnson,R,Minnesota Twins,9,4,2,3,7,2,155,False,True,0.6675590969455513,0.718051937755737,0.7656706507304119,0.7629696115111352,0.745559782219539,0.025519663602046272,xw+starter_blend_v13,xwOBA,2026-09-20T17:22:23.846820+00:00,posted,projected,9,0,0,0,lean,,,2026-09-20T17:22:23.846820+00:00,saved_pregame,-117.0,-103.0,0.48481627695110846,,
824139,2026-09-20,Atlanta Braves @ Houston Astros,away,Martín Pérez,L,Houston Astros,9,1,8,0,8,0,166,False,True,0.7520868525896415,0.7465528539009172,0.6511713147410358,0.6587886635159369,0.681881732887984,-0.03815838572950869,xw+starter_blend_v13,xwOBA,2026-09-20T17:22:23.846820+00:00,posted,posted,9,9,0,0,lean,,,2026-09-20T17:22:23.846820+00:00,saved_pregame,130.0,-157.0,0.5842096748099014,,
824139,2026-09-20,Atlanta Braves @ Houston Astros,home,Hunter Brown,R,Atlanta Braves,9,4,4,1,5,0,168,False,True,0.7728889774236388,0.7602893267257848,0.6558664010624171,0.6674368187331766,0.7002817167531589,-0.019758401864333863,xw+starter_blend_v13,xwOBA,2026-09-20T17:22:23.846820+00:00,posted,posted,9,9,0,0,lean,,,2026-09-20T17:22:23.846820+00:00,saved_pregame,130.0,-157.0,0.5842096748099014,,
824300,2026-09-20,Seattle Mariners @ Colorado Rockies,away,Kade Anderson,L,Colorado Rockies,9,2,5,2,7,1,22,True,False,0.7740486055776893,0.75058172138668,0.8079243027888446,0.7478802763440678,0.7834118806469809,0.06337176202948813,xw+starter_blend_v13,xwOBA,2026-09-20T17:22:23.846820+00:00,posted,posted,9,9,0,0,lean,,,2026-09-20T17:22:23.846820+00:00,saved_pregame,-163.0,134.0,0.4081189286490177,,
824300,2026-09-20,Seattle Mariners @ Colorado Rockies,home,Tomoyuki Sugano,R,Seattle Mariners,9,5,2,2,7,1,274,False,True,0.7762501992031873,0.7458622569364964,0.8710146082337317,0.858901194759666,0.8729538586956217,0.15291374007812897,xw+starter_blend_v13,xwOBA,2026-09-20T17:22:23.846820+00:00,posted,posted,9,9,0,0,lean,,,2026-09-20T17:22:23.846820+00:00,saved_pregame,-163.0,134.0,0.4081189286490177,,
824381,2026-09-20,Athletics @ Cleveland Guardians,away,Jack Perkins,R,Cleveland Guardians,9,4,1,4,8,0,229,False,True,0.713313678618858,0.7212138254880736,0.8247585657370518,0.8158892312301338,0.7960776049768437,0.07603748635935093,xw+starter_blend_v13,xwOBA,2026-09-20T17:22:23.846820+00:00,posted,posted,9,9,0,0,lean,,,2026-09-20T17:22:23.846820+00:00,saved_pregame,201.0,-249.0,0.6822911451173884,,
824381,2026-09-20,Athletics @ Cleveland Guardians,home,Gavin Williams,R,Athletics,9,2,6,1,3,0,278,False,True,0.6643468791500664,0.691854206620502,0.7057861885790173,0.6874168474205431,0.6671079166614639,-0.05293220195602888,xw+starter_blend_v13,xwOBA,2026-09-20T17:22:23.846820+00:00,posted,posted,9,9,0,0,lean,,,2026-09-20T17:22:23.846820+00:00,saved_pregame,201.0,-249.0,0.6822911451173884,,
824462,2026-09-20,Chicago Cubs @ Cincinnati Reds,away,David Peterson,L,Cincinnati Reds,9,1,6,2,8,2,186,False,True,0.6753459026128266,0.7391821134223006,0.7761197875166003,0.7743893536577381,0.7914689334403401,0.07142881482284735,xw+starter_blend_v13,xwOBA,2026-09-20T17:22:23.846820+00:00,posted,posted,9,9,0,0,lean,,,2026-09-20T17:22:23.846820+00:00,saved_pregame,-163.0,134.0,0.4081189286490177,,
824462,2026-09-20,Chicago Cubs @ Cincinnati Reds,home,Rhett Lowder,R,Chicago Cubs,9,3,4,2,5,0,213,False,True,0.7769763612217796,0.7765623662669636,0.7988478087649403,0.7934732180514195,0.8511365626781352,0.13109644406064247,xw+starter_blend_v13,xwOBA,2026-09-20T17:22:23.846820+00:00,posted,posted,9,9,0,0,lean,,,2026-09-20T17:22:23.846820+00:00,saved_pregame,-163.0,134.0,0.4081189286490177,,
824546,2026-09-20,Detroit Tigers @ Chicago White Sox,away,Troy Melton,R,Chicago White Sox,9,5,3,1,6,0,185,False,True,0.7176347941567066,0.7265434958323762,0.6765832669322709,0.6836010711733091,0.6808095241565819,-0.03923059446091082,xw+starter_blend_v13,xwOBA,2026-09-20T17:22:23.846820+00:00,posted,posted,9,9,0,0,lean,,,2026-09-20T17:22:23.846820+00:00,saved_pregame,-102.0,-118.0,0.5173641257162701,,
