game_pk,game_date,game_datetime_utc,matchup,side,pitcher,opp_team,n_opp,starter_rate_basis,starter_rate_bf,starter_rate_primary,starter_rate_blend_in,starter_rate_blended,starter_rate_prevelo,starter_velo_dv,starter_velo_last,starter_velo_base,starter_velo_starts,opp_xwOBA_neutral,opp_xwOBA_vs_sp,platoon_delta_sp,opp_xwOBA_sd,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,starter_xwOBA,mx_xwOBA_sp,edge_xwOBA_sp,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%,bullpen_xwOBA,expected_sp_ip,expected_sp_ip_raw,sp_share,bp_share,mx_xwOBA_bp,edge_xwOBA_bp,bullpen_pitchers,bullpen_relief_bf,sp_bf_per_ip,bp_bf_per_ip,opener,opener_reason,opener_confidence,pitching_basis,model_tag,model_metric,snapshot_utc,scheduled_start_utc,lineup_status_away,lineup_status_home,lineup_posted_away,lineup_posted_home,lineup_savant_backfill_away,lineup_savant_backfill_home,selection_rule_tag,hybrid_action,hybrid_selection,pregame_market_utc,hybrid_price_source,pregame_away_ml,pregame_home_ml,pregame_p_home,hybrid_p,hybrid_ml,game_type
822842,2026-09-24,2026-09-24T18:35:00Z,New York Mets @ Texas Rangers,away,Zac Thornton,Texas Rangers,9,measured,318.0,0.3254638248626852,0.3137909283281153,True,0.3185837303526514,0.7514086956521879,92.98260869565217,92.23119999999999,14.0,0.3160522275680735,0.3170219486836113,0.0009697211155377805,0.021467430186410504,0.31315192386653484,0.3170219486836113,0.3142187879260241,0.3155636445810539,0.0013448566550298136,0.3150746517439557,0.3178854477033846,0.003666659777360526,0.266,0.24421434262948208,0.24270970058680089,0.2676490267277556,0.024939326140954704,0.45,0.3991575033200532,0.3940179937422752,0.4558697301816954,0.06185173643942021,41.4,40.870332005312086,38.94589547876338,43.44570138187116,4.499805903107777,89.0,89.28135458167331,88.8200552295478,89.46129935212552,0.6412441225777172,15.1,13.379203187250997,14.005623169686105,14.47358001756489,0.467956847878785,18.6,22.714422310756976,22.119958580836954,19.099866459338283,-3.0200921214986707,5.3,8.536892430278884,8.882010499535147,5.0940639940524814,-3.7879465054826653,0.31025433974480426,5.573269773008972,5.75,0.6011196209375349,0.3988803790624651,0.31206464717218796,-0.0021541407538361312,10.0,1305.0513196480938,3.9960474308300395,4.3126335232548145,False,,,starter_bullpen_sequential,xw+starter_velo_v14,xwOBA,2026-09-25T05:43:45.913079+00:00,2026-09-24T18:35:00Z,posted,posted,9,9,0,0,lean,FOLLOW,NYM,2026-09-25T05:43:45.913079+00:00,saved_pregame,110.0,-132.0,0.5443833464257659,0.4556166535742341,110.0,R
822842,2026-09-24,2026-09-24T18:35:00Z,New York Mets @ Texas Rangers,home,Kumar Rocker,New York Mets,9,measured,627.0,0.32610437247950813,0.33070372495344186,True,0.3273604024737261,-0.13629807692308304,94.27307692307691,94.409375,26.0,0.3275822618068691,0.3272661927497642,-0.0003160690571049063,0.027308782561031,0.3107128333953413,0.3272661927497642,0.3142187879260241,0.3237553234113202,0.009536535485296094,0.3279969144929569,0.34161643276738546,0.027397644841361368,0.254,0.2597620185922975,0.24270970058680089,0.2718455527855885,0.029135852198787587,0.417,0.41844807436918985,0.3940179937422752,0.4428550213016081,0.04883702755933289,40.2,42.627596281540505,38.94589547876338,44.00025598210587,5.054360503342487,89.2,89.84172642762285,88.8200552295478,90.22167119807504,1.4016159685272385,12.8,12.946533864541834,14.005623169686105,11.74091069485573,-2.2647124748303753,21.4,21.705763612217797,22.119958580836954,20.99928621493311,-1.1206723659038431,9.4,9.069003984063746,8.882010499535147,9.597898747660887,0.71588824812574,0.2919164869861036,4.61781036959861,4.5576923076923075,0.5209568652053073,0.47904313479469274,0.30433146183523724,-0.009887326090786852,9.0,1408.1134484074812,4.358108108108108,4.2229484707138,False,,,starter_bullpen_sequential,xw+starter_velo_v14,xwOBA,2026-09-25T05:43:45.913079+00:00,2026-09-24T18:35:00Z,posted,posted,9,9,0,0,lean,FOLLOW,NYM,2026-09-25T05:43:45.913079+00:00,saved_pregame,110.0,-132.0,0.5443833464257659,0.4556166535742341,110.0,R
823087,2026-09-24,2026-09-25T01:40:00Z,Los Angeles Angels @ Seattle Mariners,away,Grayson Rodriguez,Seattle Mariners,9,measured,421.0,0.34878863491862266,0.3540376353956856,True,0.35036948891440534,-0.39951219512195735,95.755,96.15451219512195,19.0,0.3202128363000998,0.3216077898193561,0.0013949535192563367,0.020132682566464416,0.33654145633527516,0.3216077898193561,0.3142187879260241,0.3438805983809325,0.0296618104549084,0.35223521086562487,0.36051818674101094,0.04629939881498685,0.276,0.23557901726427624,0.24270970058680089,0.26789126519352713,0.025181564606726242,0.468,0.398932005312085,0.3940179937422752,0.47383668119526356,0.07981868745298837,45.1,38.209614873837985,38.94589547876338,44.24737471371682,5.30147923495344,90.2,89.33144754316069,88.8200552295478,90.7113923136129,1.8913370840650998,14.3,15.427649402390438,14.005623169686105,15.722026232704335,1.7164030630182303,19.7,23.98300132802125,22.119958580836954,21.359222913343352,-0.7607356674936021,9.0,9.820796812749006,8.882010499535147,9.951257242869385,1.0692467433342383,0.31415566478997414,5.21828443156081,5.307017543859649,0.5878691804999009,0.4121308195000991,0.32014850902494185,0.005929721098917762,9.0,1100.0,4.5,4.353171726516089,False,,,starter_bullpen_sequential,xw+starter_velo_v14,xwOBA,2026-09-25T05:43:45.913079+00:00,2026-09-25T01:40:00Z,posted,posted,9,9,0,0,lean,FOLLOW,SEA,2026-09-25T05:43:45.913079+00:00,saved_pregame,163.0,-198.0,0.6360260888682611,0.6360260888682611,-198.0,R
823087,2026-09-24,2026-09-25T01:40:00Z,Los Angeles Angels @ Seattle Mariners,home,Bryan Woo,Los Angeles Angels,9,measured,684.0,0.29570647805178873,0.2855033265831023,True,0.2895612560746967,0.4415197529275474,96.46315789473684,96.02163814180929,29.0,0.30689583562000394,0.3045011477049973,-0.0023946879150066325,0.02777986949626533,0.2940167329252551,0.3045011477049973,0.3142187879260241,0.28581429955906235,-0.028404488366961744,0.287499358828525,0.27860805302433733,-0.03561073490168676,0.238,0.2275649402390438,0.24270970058680089,0.22314911866294723,-0.019560581923853654,0.384,0.3816494023904382,0.3940179937422752,0.37194588279079444,-0.02207211095148076,42.8,39.75235059760956,38.94589547876338,43.68626230472574,4.740366825962354,89.4,88.71561752988048,88.8200552295478,89.29556230033266,0.47550707078485743,16.4,14.41144754316069,14.005623169686105,16.805824373474586,2.8002012037884807,24.4,26.43559096945551,22.119958580836954,29.160471404025046,7.040512823188092,5.3,8.575883134130144,8.882010499535147,5.117330205055327,-3.7646802944798194,0.3044838855818785,5.64120056299931,5.834770114942529,0.616275790819823,0.383724209180177,0.2973878077604825,-0.016830980165541576,9.0,1535.0,4.104046242774566,4.291842801009808,False,,,starter_bullpen_sequential,xw+starter_velo_v14,xwOBA,2026-09-25T05:43:45.913079+00:00,2026-09-25T01:40:00Z,posted,posted,9,9,0,0,lean,FOLLOW,SEA,2026-09-25T05:43:45.913079+00:00,saved_pregame,163.0,-198.0,0.6360260888682611,0.6360260888682611,-198.0,R
823326,2026-09-24,2026-09-24T16:35:00Z,St. Louis Cardinals @ Pittsburgh Pirates,away,Kyle Leahy,Pittsburgh Pirates,9,measured,587.0,0.33368395748559304,0.3254433887061895,True,0.3285200268531424,0.25520043877143905,94.48260869565217,94.22740825688074,29.0,0.31252506388937334,0.31213914091460576,-0.00038592297476758297,0.02170337476268,0.32184556717234664,0.31213914091460576,0.3142187879260241,0.31993442816624934,0.00571564024022525,0.3273282408040798,0.3251618292975174,0.010943041371493323,0.272,0.24128207171314742,0.24270970058680089,0.27040008432833584,0.027690383741534957,0.445,0.37574661354581673,0.3940179937422752,0.4243644850830282,0.030346491340753012,47.0,36.92507304116866,38.94589547876338,44.56126663928571,5.615371160522329,91.1,88.30254980079681,88.8200552295478,90.582494571249,1.7624393417011959,9.8,11.750039840637449,14.005623169686105,7.544416670951344,-6.461206498734761,22.0,23.836626826029217,22.119958580836954,23.707358594556684,1.58740001371973,7.0,7.6183532536520575,8.882010499535147,6.004099272158643,-2.8779112273765035,0.31756316884114494,3.9648068303564328,3.742816091954023,0.43854242420909395,0.561457575790906,0.3158514176891169,0.0016326297630928077,8.0,1735.8196721311476,4.257142857142857,4.2917009638424215,False,,,starter_bullpen_sequential,xw+starter_velo_v14,xwOBA,2026-09-25T05:43:45.913079+00:00,2026-09-24T16:35:00Z,posted,posted,9,9,0,0,lean,FOLLOW,PIT,2026-09-25T05:43:45.913079+00:00,saved_pregame,138.0,-167.0,0.5981699425097071,0.5981699425097071,-167.0,R
823326,2026-09-24,2026-09-24T16:35:00Z,St. Louis Cardinals @ Pittsburgh Pirates,home,Paul Skenes,St. Louis Cardinals,9,measured,689.0,0.28433698199315893,0.30032016228282915,True,0.29128492589524524,,,,,0.32491952832385745,0.3245057169028747,-0.0004138114209827348,0.02243919746622833,0.2886006120537849,0.3245057169028747,0.3142187879260241,0.29819781144625923,-0.01602097647976486,0.29128492589524524,0.30082104359364664,-0.013397744332377448,0.217,0.25764329349269594,0.24270970058680089,0.23035171051154704,-0.012357990075253844,0.347,0.4177925630810093,0.3940179937422752,0.367937560445366,-0.026080433296909178,37.9,41.795458167330686,38.94589547876338,40.67303742972326,1.7271419509598758,87.9,89.60921646746347,88.8200552295478,88.68916123791568,-0.1308939916321208,16.4,12.512828685258965,14.005623169686105,14.90720551557286,0.9015823458867551,27.9,19.777954847277556,22.119958580836954,24.946020501009684,2.82606192017273,6.8,8.26515272244356,8.882010499535147,6.327738355584884,-2.5542721439502625,0.2845324554673813,5.49895074032955,5.657258064516129,0.6024693673024358,0.39753063269756417,0.29422222596395436,-0.019996561962069725,9.0,1477.780758457229,4.084130019120459,4.232693267103143,False,,,starter_bullpen_sequential,xw+starter_velo_v14,xwOBA,2026-09-25T05:43:45.913079+00:00,2026-09-24T16:35:00Z,posted,posted,9,9,0,0,lean,FOLLOW,PIT,2026-09-25T05:43:45.913079+00:00,saved_pregame,138.0,-167.0,0.5981699425097071,0.5981699425097071,-167.0,R
823411,2026-09-24,2026-09-24T22:05:00Z,Milwaukee Brewers @ Philadelphia Phillies,away,Shane Drohan,Philadelphia Phillies,9,measured,510.0,0.30400307998787274,0.3235747672805774,True,0.3127452773914763,0.5964163150492396,95.33200000000001,94.73558368495077,18.0,0.3265284748238691,0.32739939115853045,0.0008709163346613535,0.0238011597599277,0.2997783092358449,0.32739939115853045,0.3142187879260241,0.31198780415409755,-0.0022309837719265424,0.30996001320019634,0.3229619726912248,0.008743184765200696,0.232,0.25897131474103585,0.24270970058680089,0.24754406138140028,0.004834360794599396,0.378,0.41412775564409027,0.3940179937422752,0.3972922407595887,0.003274247017313492,38.3,39.33782204515272,38.94589547876338,38.68542668766973,-0.2604687910936505,88.6,89.29354581673307,88.8200552295478,89.07349058718528,0.25343535763747127,13.8,12.307649402390439,14.005623169686105,12.102026232704334,-1.9035969369817707,23.7,19.369428950863213,22.119958580836954,20.75299844969641,-1.3669601311405444,8.2,8.572934926958832,8.882010499535147,7.914656980504759,-0.9673535190303877,0.28773585473048374,4.794176531876867,4.777777777777778,0.5418632395810542,0.4581367604189458,0.29900805873965314,-0.015210729186370953,8.0,1603.0824240389459,4.252032520325203,4.097934480576742,False,,,starter_bullpen_sequential,xw+starter_velo_v14,xwOBA,2026-09-25T05:43:45.913079+00:00,2026-09-24T22:05:00Z,posted,posted,9,9,0,0,lean,FOLLOW,MIL,2026-09-25T05:43:45.913079+00:00,saved_pregame,109.0,-131.0,0.5423839616474178,0.45761603835258224,109.0,R
823411,2026-09-24,2026-09-24T22:05:00Z,Milwaukee Brewers @ Philadelphia Phillies,home,Andrew Painter,Milwaukee Brewers,9,measured,528.0,0.32328324648503565,0.3370678471992869,True,0.32913190059941244,0.8015009380863063,97.06410256410257,96.26260162601626,22.0,0.3289296515976925,0.3285437286229249,-0.00038592297476758297,0.022351082082373658,0.31047974777684795,0.3285437286229249,0.3142187879260241,0.32477777072505754,0.010558982799033445,0.3253888912185494,0.3402230664787296,0.026004278552705484,0.252,0.2537811420982736,0.24270970058680089,0.26349522764910394,0.02078552706230305,0.421,0.4105019920318725,0.3940179937422752,0.4386128080192696,0.04459481427699441,35.5,41.47739707835325,38.94589547876338,37.80751676603364,-1.1383787127297396,87.6,89.72018592297478,88.8200552295478,88.50013069342695,-0.31992453612085114,14.3,9.79601593625498,14.005623169686105,10.090392766568874,-3.9152304031172314,20.3,21.73484727755644,22.119958580836954,19.94657440799337,-2.1733841728435834,8.3,11.319760956175298,8.882010499535147,10.578012257604536,1.6960017580693894,0.2885757224816074,5.315258374971717,5.428030303030303,0.5950051583921344,0.4049948416078656,0.30208604801115396,-0.012132739914870128,9.0,1508.433023510115,4.3578947368421055,4.278808369860326,False,,,starter_bullpen_sequential,xw+starter_velo_v14,xwOBA,2026-09-25T05:43:45.913079+00:00,2026-09-24T22:05:00Z,posted,posted,9,9,0,0,lean,FOLLOW,MIL,2026-09-25T05:43:45.913079+00:00,saved_pregame,109.0,-131.0,0.5423839616474178,0.45761603835258224,109.0,R
823493,2026-09-24,2026-09-24T23:05:00Z,Tampa Bay Rays @ New York Yankees,away,Ian Seymour,New York Yankees,9,measured,534.0,0.2980313545624644,0.31689054896080787,True,0.30641730551888735,0.07576687116565495,90.88333333333333,90.80756646216767,15.0,0.3173232979612696,0.3186306020781354,0.001307304116865804,0.022409216493984866,0.3036786754605433,0.3186306020781354,0.3142187879260241,0.3073871257249615,-0.006831662201062572,0.30606347423054375,0.3103607830451032,-0.0038580048809209178,0.221,0.24324302788844626,0.24270970058680089,0.22148562267341876,-0.021224077913382128,0.402,0.40726427622841965,0.3940179937422752,0.41551462533183986,0.021496631589564663,37.3,40.96698539176627,38.94589547876338,39.23567647702734,0.2897809982639572,88.3,89.3601593625498,88.8200552295478,88.84010413300199,0.020048903454181755,20.5,13.327357237715804,14.005623169686105,19.8217340680297,5.816110898343593,29.0,24.168685258964146,22.119958580836954,31.68594868514625,9.565990104309297,6.7,8.897875166002654,8.882010499535147,6.711967252835139,-2.1700432467000077,0.30069153107269414,4.9455432187253905,4.966666666666667,0.5560640349450243,0.4439359650549757,0.30366239058714267,-0.010556397338881418,9.0,1384.9336291038153,4.156171284634761,4.047345573404032,False,,,starter_bullpen_sequential,xw+starter_velo_v14,xwOBA,2026-09-25T05:43:45.913079+00:00,2026-09-24T23:05:00Z,posted,posted,9,9,0,0,lean,FOLLOW,NYY,2026-09-25T05:43:45.913079+00:00,saved_pregame,123.0,-149.0,0.5716276429198135,0.5716276429198135,-149.0,R
823493,2026-09-24,2026-09-24T23:05:00Z,Tampa Bay Rays @ New York Yankees,home,Cam Schlittler,Tampa Bay Rays,9,measured,747.0,0.26816514615419407,0.25165479107574046,True,0.2588663223722184,0.3956597584924708,98.34807692307693,97.95241716458446,32.0,0.30806075233590396,0.30682595817919744,-0.0012347941567065202,0.029048819056927303,0.26822737803187224,0.30682595817919744,0.3142187879260241,0.26230290258468447,-0.05191588534133962,0.25701859130005855,0.2509715477741383,-0.06324724015188576,0.206,0.2520501992031873,0.24270970058680089,0.21392775365106373,-0.028781946935737157,0.327,0.37627968127490036,0.3940179937422752,0.3122787733835689,-0.08173922035870629,38.4,34.41094289508633,38.94589547876338,33.928612782619005,-5.0172826961443775,88.4,87.33891102257637,88.8200552295478,86.91885579302856,-1.9011994365192493,13.3,11.475405046480743,14.005623169686105,10.769781876794637,-3.235841292891468,31.3,17.076759628154054,22.119958580836954,24.163814521075743,2.043855940238789,6.3,7.552908366533865,8.882010499535147,5.357269360541028,-3.524741138994119,0.2900980640907664,6.028204576312899,6.317708333333333,0.6611558230467837,0.33884417695321634,0.2844127445874766,-0.029806043338547472,7.0,1489.2614089499334,3.9294320137693632,4.085028127732276,False,,,starter_bullpen_sequential,xw+starter_velo_v14,xwOBA,2026-09-25T05:43:45.913079+00:00,2026-09-24T23:05:00Z,posted,posted,9,9,0,0,lean,FOLLOW,NYY,2026-09-25T05:43:45.913079+00:00,saved_pregame,123.0,-149.0,0.5716276429198135,0.5716276429198135,-149.0,R
