game_pk,game_date,game_datetime_utc,matchup,side,pitcher,opp_team,n_opp,starter_rate_basis,starter_rate_bf,opp_xwOBA_neutral,opp_xwOBA_vs_sp,platoon_delta_sp,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,starter_xwOBA,mx_xwOBA_sp,edge_xwOBA_sp,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%,bullpen_xwOBA,expected_sp_ip,expected_sp_ip_raw,sp_share,bp_share,mx_xwOBA_bp,edge_xwOBA_bp,bullpen_pitchers,bullpen_relief_bf,sp_bf_per_ip,bp_bf_per_ip,opener,opener_reason,opener_confidence,pitching_basis,model_tag,model_metric,snapshot_utc,scheduled_start_utc
822777,2026-08-14,2026-08-14T23:15:00Z,New York Yankees @ Toronto Blue Jays,away,Gerrit Cole,Toronto Blue Jays,9,measured,329.0,0.30970411597161956,0.3086241690924695,-0.0010799468791500844,0.29212274344542993,0.3086241690924695,0.31636602120491053,0.28530703514353345,-0.03105898606137708,0.2953790259218905,0.2881507504987122,-0.028215270706198337,0.239,0.24698618857901727,0.24343892127113034,0.24248258562007322,-0.0009563356510571275,0.376,0.3685606905710492,0.39633008783228185,0.3496550575119545,-0.046675030320327326,43.3,33.54225763612218,39.17678783247826,37.07245631914828,-2.1043315133299814,90.2,87.82347941567066,88.89232734153263,89.13115207413803,0.23882473260539427,20.6,12.65527224435591,14.01658030711011,19.238691937245797,5.222111630135688,26.4,19.448871181938912,22.099220643133144,23.233860030386676,1.1346393872535323,5.2,7.247277556440902,8.931771708836349,4.219302118549387,-4.712469590286962,0.2858344026933713,5.943784023187121,6.1190476190476195,0.6588359332266929,0.34116406677330713,0.2798154196941692,-0.036550601510741354,7.0,1356.631417624521,4.073076923076923,4.1019238680696075,False,,,starter_bullpen_sequential,shadow_woba+plat_consol_v1,wOBA,2026-08-15T03:41:11.310977+00:00,2026-08-14T23:15:00Z
822777,2026-08-14,2026-08-14T23:15:00Z,New York Yankees @ Toronto Blue Jays,home,Shane Bieber,New York Yankees,9,measured,195.0,0.321449941758187,0.32415937070905015,0.0027094289508631797,0.3211743198618815,0.32415937070905015,0.31636602120491053,0.3280850036923374,0.011718982487426866,0.3531410241372578,0.3618402877777386,0.04547426657282805,0.302,0.25088950863213816,0.24343892127113034,0.31124288265522804,0.0678039613840977,0.547,0.4385136786188579,0.39633008783228185,0.6052202181178374,0.2088901302855556,44.3,46.79758300132802,39.17678783247826,52.917378929167,13.740591096688739,89.5,91.12948207171316,88.89232734153263,91.7371547301805,2.8448273886478717,11.0,13.794820717131474,14.01658030711011,10.778240410021363,-3.2383398970887463,16.4,25.658539176626828,22.099220643133144,19.041397400022543,-3.057823243110601,11.8,9.519681274900398,8.931771708836349,12.576702887814806,3.6449311789784566,0.2773070865920036,5.019172674871053,4.902777777777778,0.5784644011620782,0.4215355988379218,0.2817633401167181,-0.03460268108819242,7.0,1220.6349377394636,4.458904109589041,4.096797986077045,False,,,starter_bullpen_sequential,shadow_woba+plat_consol_v1,wOBA,2026-08-15T03:41:11.310977+00:00,2026-08-14T23:15:00Z
822942,2026-08-14,2026-08-14T23:10:00Z,Baltimore Orioles @ Tampa Bay Rays,away,Chris Bassitt,Tampa Bay Rays,9,measured,261.0,0.33123512207681965,0.3312537143742964,1.8592297476749398e-05,0.3288097950911594,0.3312537143742964,0.31636602120491053,0.3442756047432226,0.027909583538312077,0.3522509754030223,0.36882735873408934,0.05246133752917881,0.284,0.25160770252324044,0.24343892127113034,0.2935298396143295,0.05009091834319915,0.407,0.4050191235059761,0.39633008783228185,0.4159229599966432,0.01959287216436134,34.5,38.00278884462152,39.17678783247826,33.46614890291031,-5.710638929567949,87.4,88.89954847277556,88.89232734153263,87.40722113124293,-1.4851062102897004,9.8,13.599123505976095,14.01658030711011,9.382543198865987,-4.634037108244122,14.2,18.66714475431607,22.099220643133144,11.994696998224416,-10.104523644908728,8.4,8.629003984063745,8.931771708836349,8.115258184938405,-0.8165135238979442,0.2973930726388049,4.947375774088271,4.808333333333334,0.5726927364938736,0.42730726350612636,0.31137045105268096,-0.004995570152229567,8.0,995.0,4.621621621621622,4.2097038871429415,False,,,starter_bullpen_sequential,shadow_woba+plat_consol_v1,wOBA,2026-08-15T03:41:11.310977+00:00,2026-08-14T23:10:00Z
822942,2026-08-14,2026-08-14T23:10:00Z,Baltimore Orioles @ Tampa Bay Rays,home,Steven Matz,Baltimore Orioles,9,measured,265.0,0.3135041971178459,0.31658919047773965,0.0030849933598937618,0.2968913940312128,0.31658919047773965,0.31636602120491053,0.29508413738829686,-0.021281883816613667,0.3211824715629892,0.32140903843117297,0.005043017226262436,0.274,0.23746932270916338,0.24343892127113034,0.2672809840043729,0.023842062733242547,0.466,0.42948180610889775,0.39633008783228185,0.5049793790357914,0.10864929120350952,35.9,42.283877822045156,39.17678783247826,38.74720970750386,-0.4295781249743982,87.9,90.04066401062417,88.89232734153263,89.04833666909154,0.1560093275589054,14.5,15.56990703851262,14.01658030711011,16.053326731402507,2.0367464242923976,18.1,25.455298804780877,22.099220643133144,20.848740134630006,-1.2504805085031379,7.5,9.350438247011953,8.931771708836349,7.8515538841202765,-1.0802178247160725,0.2874231184981086,2.432372573138495,1.5,0.28046377295523284,0.7195362270447672,0.2848231098101833,-0.03154291139472726,8.0,1157.657894736842,4.209424083769633,3.999633192659851,True,reliever_spot_start,medium,opener_bullpen_sequential,shadow_woba+plat_consol_v1,wOBA,2026-08-15T03:41:11.310977+00:00,2026-08-14T23:10:00Z
823185,2026-08-14,2026-08-15T02:15:00Z,Colorado Rockies @ San Francisco Giants,away,Kyle Freeland,San Francisco Giants,9,measured,509.0,0.3135149532373948,0.31775346585359665,0.004238512616201839,0.3513023946405435,0.31775346585359665,0.31636602120491053,0.35126796904546953,0.034901947840559,0.36620788525532194,0.36781391478013953,0.051447893575229,0.283,0.19845258964143428,0.24343892127113034,0.23070297294809042,-0.012735948323039925,0.479,0.3332416998671979,0.39633008783228185,0.40275209765032177,0.00642200981803992,42.5,34.96523240371846,39.17678783247826,37.931194959431956,-1.2455928730463057,90.1,87.54836653386454,88.89232734153263,88.7560391923319,-0.1362881492007375,14.3,22.3257636122178,14.01658030711011,22.609183305107685,8.592602997997576,18.9,25.78905710491368,22.099220643133144,22.05567278384189,-0.043547859291255264,5.1,4.743373173970784,8.931771708836349,2.7084439656376618,-6.223327743198688,0.3250026387304777,5.735633344447123,5.845238095238095,0.6382623119172135,0.3617376880827865,0.3220737381832145,0.005707716978303967,7.0,946.3333333333333,4.478753541076487,4.459992927536959,False,,,starter_bullpen_sequential,shadow_woba+plat_consol_v1,wOBA,2026-08-15T03:41:11.310977+00:00,2026-08-15T02:15:00Z
823185,2026-08-14,2026-08-15T02:15:00Z,Colorado Rockies @ San Francisco Giants,home,Landen Roupp,Colorado Rockies,9,measured,522.0,0.32567061960351884,0.32776490911215095,0.002094289508632108,0.2998243022796662,0.32776490911215095,0.31636602120491053,0.30982473855790826,-0.006541282647002267,0.30095273652812066,0.31179627306215113,-0.0045697481427594,0.226,0.24375883134130147,0.24343892127113034,0.22629699308344434,-0.017141928187686006,0.327,0.4596047808764941,0.39633008783228185,0.37920604052199364,-0.017124047310288215,29.0,41.38499335989376,39.17678783247826,30.634589353493674,-8.542198478984588,86.1,88.75508632138114,88.89232734153263,85.96275897984849,-2.9295683616841472,9.7,19.653227091633468,14.01658030711011,15.336646784523358,1.3200664774132491,23.6,22.933917662682603,22.099220643133144,24.491382098014768,2.3921614548816237,10.9,6.472403718459495,8.931771708836349,7.8986793248883655,-1.0330923839479835,0.2981769658035962,5.358876681132293,5.349637681159421,0.5934699366613775,0.4065300633386225,0.3069466083459634,-0.009419412858947152,8.0,819.5837837837838,4.237113402061856,4.271716345507809,False,,,starter_bullpen_sequential,shadow_woba+plat_consol_v1,wOBA,2026-08-15T03:41:11.310977+00:00,2026-08-15T02:15:00Z
823346,2026-08-14,2026-08-14T22:40:00Z,Boston Red Sox @ Pittsburgh Pirates,away,Jake Bennett,Pittsburgh Pirates,9,measured,305.0,0.3266212552856518,0.32969110920331446,0.0030698539176626793,0.28063404772358636,0.32969110920331446,0.31636602120491053,0.29139597798138134,-0.024970043223529192,0.2739175360999779,0.28545472729053906,-0.030911293914371474,0.225,0.23867250996015937,0.24343892127113034,0.2205946134686736,-0.022844307802456748,0.352,0.3818395750332005,0.39633008783228185,0.33913027180657773,-0.05719981602570412,35.5,36.48775564409031,39.17678783247826,33.063336660066,-6.113451172412262,87.8,87.78887118193892,88.89232734153263,86.69654384040628,-2.195783501126357,11.7,14.002177954847278,14.01658030711011,11.68559764773717,-2.330982659372939,18.0,23.18358565737052,22.099220643133144,18.883224371187847,-3.215996271945297,5.2,9.085737051792828,8.931771708836349,5.289637286920536,-3.642134421915813,0.2918959060946809,5.729019861343344,5.836538461538462,0.626411536441436,0.373588463558564,0.3013579236426152,-0.01500809756229532,7.0,900.4662162162163,4.0041322314049586,4.182582741907917,False,,,starter_bullpen_sequential,shadow_woba+plat_consol_v1,wOBA,2026-08-15T03:41:11.310977+00:00,2026-08-14T22:40:00Z
823346,2026-08-14,2026-08-14T22:40:00Z,Boston Red Sox @ Pittsburgh Pirates,home,Bubba Chandler,Boston Red Sox,9,measured,508.0,0.3257701216982345,0.32490026778057185,-0.0008698539176626441,0.3032577526685938,0.32490026778057185,0.31636602120491053,0.3117738730113502,-0.0045921481935603525,0.3077049376981761,0.31600554406817516,-0.00036047713673537096,0.231,0.2516525896414343,0.24343892127113034,0.23879397716533185,-0.004644944105798493,0.368,0.39353333333333335,0.39633008783228185,0.36540316042811116,-0.03092692740417069,37.4,36.22913678618858,39.17678783247826,34.586033995369036,-4.590753837109226,88.9,87.85564409030546,88.89232734153263,87.86331674877282,-1.0290105927598177,16.8,13.829057104913678,14.01658030711011,16.612476797803566,2.595896490693457,20.3,18.94531208499336,22.099220643133144,17.402868704551725,-4.696351938581419,12.2,9.704913678618858,8.931771708836349,13.256042668669537,4.324270959833187,0.2968840928362467,5.264414762437905,5.225378787878789,0.589016838673229,0.41098316132677104,0.30570908558757964,-0.010656935617330887,8.0,748.795918367347,4.351648351648352,4.278992836466916,False,,,starter_bullpen_sequential,shadow_woba+plat_consol_v1,wOBA,2026-08-15T03:41:11.310977+00:00,2026-08-14T22:40:00Z
823591,2026-08-14,2026-08-14T23:10:00Z,Washington Nationals @ New York Mets,away,Andrew Alvarez,New York Mets,9,measured,296.0,0.3147631191588781,0.3175463860911491,0.002783266932270989,0.30608858170762165,0.3175463860911491,0.31636602120491053,0.3060819039467324,-0.010284117258178127,0.3108601063648764,0.31201992862609146,-0.004346092578819072,0.258,0.25261567065073043,0.24343892127113034,0.26772564833747314,0.0242867270663428,0.368,0.4103779548472776,0.39633008783228185,0.38104371083657446,-0.015286376995707396,42.3,42.33614873837982,39.17678783247826,45.711228273514685,6.534440441036423,89.7,89.38177954847278,88.89232734153263,90.18945220694015,1.2971248654075112,7.9,12.297397078353255,14.01658030711011,6.180816771243146,-7.835763535866963,22.0,21.873413014608236,22.099220643133144,21.775206198093162,-0.3240144450399818,10.8,8.508818061088977,8.931771708836349,10.28857857717607,1.3568068683397208,0.2999005294579946,5.114197984730615,5.027777777777778,0.564625103888948,0.43537489611105196,0.2983810515746126,-0.017984969630297942,9.0,737.9310344827586,4.226666666666667,4.289415005838402,False,,,starter_bullpen_sequential,shadow_woba+plat_consol_v1,wOBA,2026-08-15T03:41:11.310977+00:00,2026-08-14T23:10:00Z
823591,2026-08-14,2026-08-14T23:10:00Z,Washington Nationals @ New York Mets,home,Robert Stock,Washington Nationals,9,measured,41.0,0.3180647609568992,0.3195532071720386,0.0014884462151394384,0.32200057977393265,0.3195532071720386,0.31636602120491053,0.324588229361131,0.00822220815622049,0.34882696539355357,0.35234117467817866,0.03597515347326813,0.255,0.25226879150066406,0.24343892127113034,0.2642492067282181,0.020810285457087768,0.453,0.42259840637450197,0.39633008783228185,0.4830243374524251,0.08669424962014327,29.6,39.377822045152726,39.17678783247826,29.75189128625372,-9.424896546224542,86.3,88.70193891102257,88.89232734153263,86.10961156948993,-2.7827157720427067,15.1,12.945365205843293,14.01658030711011,14.028784898733184,0.012204591623074634,19.5,21.052244355909696,22.099220643133144,18.57616481456322,-3.523055828569923,12.2,7.27543160690571,8.931771708836349,9.937587804269299,1.0058160954329498,0.29256392389847863,4.332878770329762,4.0,0.5231970240718467,0.47680297592815335,0.2941348573559697,-0.022231163848940805,7.0,211.0,5.027027027027026,4.253166343924637,False,,,starter_bullpen_sequential,shadow_woba+plat_consol_v1,wOBA,2026-08-15T03:41:11.310977+00:00,2026-08-14T23:10:00Z
