game_pk,game_date,matchup,side,pitcher,throws,opp_team,n_opp,n_LHB,n_RHB,n_SW,n_platoon_adv,n_low_sample,pit_min_split_bf,pit_low_sample,reliable,opp_OPS_raw,opp_OPS_vs_hand,pit_OPS_raw,pit_OPS_allowed,mx_OPS,edge_OPS,model_tag,model_metric,snapshot_utc,lineup_status_away,lineup_status_home,lineup_posted_away,lineup_posted_home,lineup_savant_backfill_away,lineup_savant_backfill_home,selection_rule_tag,hybrid_action,hybrid_selection,pregame_market_utc,pregame_away_ml,pregame_home_ml,pregame_p_home,hybrid_p,hybrid_ml
823175,2026-09-07,St. Louis Cardinals @ San Francisco Giants,away,Michael McGreevy,R,San Francisco Giants,9,6,3,0,6,0,223,False,True,0.723809561752988,0.7343959718451811,0.7330608233731739,0.7343830677957232,0.7407159682418137,0.02182274095960901,xw+plat_consol_v12,xwOBA,2026-09-07T18:31:20.293130+00:00,projected,projected,0,0,0,0,xwoba_market_hybrid_v1,,,2026-09-07T18:31:20.293130+00:00,109.0,-131.0,0.5423839616474178,,
823175,2026-09-07,St. Louis Cardinals @ San Francisco Giants,home,Logan Webb,R,St. Louis Cardinals,9,5,4,0,5,0,248,False,True,0.6945508632138114,0.7029901688533142,0.6446693227091634,0.6541853773155902,0.6371926461588326,-0.08170058112337208,xw+plat_consol_v12,xwOBA,2026-09-07T18:31:20.293130+00:00,projected,projected,0,0,0,0,xwoba_market_hybrid_v1,,,2026-09-07T18:31:20.293130+00:00,109.0,-131.0,0.5423839616474178,,
823254,2026-09-07,Washington Nationals @ San Diego Padres,away,Jake Irvin,R,San Diego Padres,9,3,6,0,3,0,141,False,True,0.7066509960159363,0.706060335537567,0.7906374501992032,0.7610107856466964,0.7575596247099609,0.03866639742775613,xw+plat_consol_v12,xwOBA,2026-09-07T18:31:20.293130+00:00,projected,projected,0,0,0,0,xwoba_market_hybrid_v1,,,2026-09-07T18:31:20.293130+00:00,157.0,-192.0,0.6282338561825219,,
823254,2026-09-07,Washington Nationals @ San Diego Padres,home,Nick Pivetta,R,Washington Nationals,9,4,3,2,6,0,31,True,False,0.7228289508632139,0.7288299861037666,0.5772281540504648,0.6683910824279499,0.6701042110841308,-0.048789016198073965,xw+plat_consol_v12,xwOBA,2026-09-07T18:31:20.293130+00:00,projected,projected,0,0,0,0,xwoba_market_hybrid_v1,,,2026-09-07T18:31:20.293130+00:00,157.0,-192.0,0.6282338561825219,,
823415,2026-09-07,Atlanta Braves @ Philadelphia Phillies,away,Grant Holmes,R,Philadelphia Phillies,9,6,3,0,6,0,224,False,True,0.7619763612217796,0.758001850852824,0.705,0.7053405244123999,0.7341014070513956,0.015208179769190866,xw+plat_consol_v12,xwOBA,2026-09-07T18:31:20.293130+00:00,posted,posted,9,9,0,0,xwoba_market_hybrid_v1,,,2026-09-07T18:31:20.293130+00:00,153.0,-187.0,0.6224230703450817,,
823415,2026-09-07,Atlanta Braves @ Philadelphia Phillies,home,Jesús Luzardo,L,Atlanta Braves,9,3,5,1,6,0,166,False,True,0.6922796812749004,0.7138141407915145,0.5960932270916335,0.6269477161193101,0.623039676014666,-0.0958535512675387,xw+plat_consol_v12,xwOBA,2026-09-07T18:31:20.293130+00:00,posted,posted,9,9,0,0,xwoba_market_hybrid_v1,,,2026-09-07T18:31:20.293130+00:00,153.0,-187.0,0.6224230703450817,,
823742,2026-09-07,Chicago Cubs @ Milwaukee Brewers,away,Matthew Boyd,L,Milwaukee Brewers,9,3,5,1,6,0,114,False,True,0.7166127490039842,0.7303404312749835,0.7006666666666668,0.7115173212904853,0.7309100922923975,0.012016865010192723,xw+plat_consol_v12,xwOBA,2026-09-07T18:31:20.293130+00:00,posted,posted,9,9,0,0,xwoba_market_hybrid_v1,,,2026-09-07T18:31:20.293130+00:00,0.0,0.0,,,
823742,2026-09-07,Chicago Cubs @ Milwaukee Brewers,home,Robert Gasser,L,Chicago Cubs,9,1,6,2,8,1,121,False,True,0.8540610889774237,0.8215962866732713,0.7975320053120849,0.7741746179614185,0.8766865850525357,0.157793357770331,xw+plat_consol_v12,xwOBA,2026-09-07T18:31:20.293130+00:00,posted,posted,9,9,0,0,xwoba_market_hybrid_v1,,,2026-09-07T18:31:20.293130+00:00,0.0,0.0,,,
823820,2026-09-07,New York Mets @ Miami Marlins,away,Jonah Tong,R,Miami Marlins,9,6,3,0,6,0,21,True,False,0.7506618857901727,0.7501418241595995,0.5955609561752987,0.7061492188076803,0.7288850223993811,0.009991795117176405,xw+plat_consol_v12,xwOBA,2026-09-07T18:31:20.293130+00:00,posted,posted,9,9,0,0,xwoba_market_hybrid_v1,,,2026-09-07T18:31:20.293130+00:00,117.0,-141.0,0.5593908258222572,,
823820,2026-09-07,New York Mets @ Miami Marlins,home,Eury Pérez,R,New York Mets,9,4,4,1,5,1,244,False,True,0.7215197875166003,0.731127790920655,0.6688061088977423,0.6781162766289278,0.6840224614485715,-0.034870765833633244,xw+plat_consol_v12,xwOBA,2026-09-07T18:31:20.293130+00:00,posted,posted,9,9,0,0,xwoba_market_hybrid_v1,,,2026-09-07T18:31:20.293130+00:00,117.0,-141.0,0.5593908258222572,,
823902,2026-09-07,Cincinnati Reds @ Los Angeles Dodgers,away,Chase Burns,R,Los Angeles Dodgers,9,4,3,2,6,0,214,False,True,0.7740018592297476,0.7696750232775862,0.6573784860557769,0.6689531646258248,0.7079111812981698,-0.01098204598403496,xw+plat_consol_v12,xwOBA,2026-09-07T18:31:20.293130+00:00,projected,projected,0,0,0,0,,,,,,,,,
824062,2026-09-07,Arizona Diamondbacks @ Kansas City Royals,away,Derek Law,R,Kansas City Royals,9,5,4,0,5,1,8,True,False,0.7584270916334662,0.7279909031490595,0.62541593625498,0.7006973869946405,0.7063782817731921,-0.012514945509012665,xw+plat_consol_v12,xwOBA,2026-09-07T18:31:20.293130+00:00,posted,posted,9,9,0,0,xwoba_market_hybrid_v1,,,2026-09-07T18:31:20.293130+00:00,0.0,0.0,,,
824062,2026-09-07,Arizona Diamondbacks @ Kansas City Royals,home,Noah Cameron,L,Arizona Diamondbacks,9,0,6,3,9,0,490,False,True,0.7620626826029216,0.7482282879824761,0.659,0.6718140625518807,0.6882536909506932,-0.030639536331511508,xw+plat_consol_v12,xwOBA,2026-09-07T18:31:20.293130+00:00,posted,posted,9,9,0,0,xwoba_market_hybrid_v1,,,2026-09-07T18:31:20.293130+00:00,0.0,0.0,,,
824229,2026-09-07,Minnesota Twins @ Detroit Tigers,away,Joe Ryan,R,Detroit Tigers,9,5,4,0,5,1,222,False,True,0.7474618857901727,0.7481536733461767,0.6877861885790173,0.6932227238375281,0.7176498059216981,-0.0012434213605065914,xw+plat_consol_v12,xwOBA,2026-09-07T18:31:20.293130+00:00,posted,posted,9,9,0,0,xwoba_market_hybrid_v1,,,2026-09-07T18:31:20.293130+00:00,105.0,-126.0,0.533347098905637,,
824229,2026-09-07,Minnesota Twins @ Detroit Tigers,home,Troy Melton,R,Minnesota Twins,9,3,4,2,5,1,164,False,True,0.7642114209827358,0.7616625082218269,0.6269389110225764,0.6488308890826604,0.6832348918159626,-0.035658335466242086,xw+plat_consol_v12,xwOBA,2026-09-07T18:31:20.293130+00:00,posted,posted,9,9,0,0,xwoba_market_hybrid_v1,,,2026-09-07T18:31:20.293130+00:00,105.0,-126.0,0.533347098905637,,
824715,2026-09-07,Los Angeles Angels @ Boston Red Sox,away,Grayson Rodriguez,R,Boston Red Sox,9,3,4,2,5,0,143,False,True,0.7488172642762285,0.7363291839520575,0.8399484727755644,0.8309199957461552,0.8469101294332039,0.12801690215099915,xw+plat_consol_v12,xwOBA,2026-09-07T18:31:20.293130+00:00,posted,posted,9,9,0,0,xwoba_market_hybrid_v1,,,2026-09-07T18:31:20.293130+00:00,149.0,-181.0,0.6159575776626715,,
824715,2026-09-07,Los Angeles Angels @ Boston Red Sox,home,Brayan Bello,R,Los Angeles Angels,9,3,5,1,4,1,191,False,True,0.665900828892836,0.687568253725441,0.7547569721115538,0.7520743013246799,0.721043539647201,0.0021503123649962985,xw+plat_consol_v12,xwOBA,2026-09-07T18:31:20.293130+00:00,posted,posted,9,9,0,0,xwoba_market_hybrid_v1,,,2026-09-07T18:31:20.293130+00:00,149.0,-181.0,0.6159575776626715,,
824793,2026-09-07,Cleveland Guardians @ Baltimore Orioles,away,Joey Cantillo,L,Baltimore Orioles,9,4,5,0,5,1,151,False,True,0.7035195219123507,0.7343388667378262,0.7408167330677291,0.735543434408522,0.7642461090378774,0.04535288175567265,xw+plat_consol_v12,xwOBA,2026-09-07T18:31:20.293130+00:00,posted,posted,9,9,0,0,xwoba_market_hybrid_v1,,,2026-09-07T18:31:20.293130+00:00,118.0,-142.0,0.5612444702298934,,
824793,2026-09-07,Cleveland Guardians @ Baltimore Orioles,home,Trevor Rogers,L,Cleveland Guardians,9,2,3,4,7,0,152,False,True,0.6764414342629482,0.7002438681184122,0.7149713147410359,0.7197565426559905,0.7047766231683239,-0.014116604113880826,xw+plat_consol_v12,xwOBA,2026-09-07T18:31:20.293130+00:00,posted,posted,9,9,0,0,xwoba_market_hybrid_v1,,,2026-09-07T18:31:20.293130+00:00,118.0,-142.0,0.5612444702298934,,
824958,2026-09-07,Toronto Blue Jays @ Athletics,away,Dylan Cease,R,Athletics,9,4,4,1,5,0,258,False,True,0.6988756972111554,0.708368236078486,0.5289490039840639,0.5478339331694462,0.5373909880117569,-0.18150223927044784,xw+plat_consol_v12,xwOBA,2026-09-07T18:31:20.293130+00:00,projected,projected,0,0,0,0,xwoba_market_hybrid_v1,,,2026-09-07T18:31:20.293130+00:00,-206.0,169.0,0.355756039714465,,
824958,2026-09-07,Toronto Blue Jays @ Athletics,home,Jacob Lopez,L,Toronto Blue Jays,9,3,6,0,6,0,120,False,True,0.6478507304116866,0.6859936205999259,0.739689508632138,0.7493134098727114,0.7232925454010007,0.004399318118796014,xw+plat_consol_v12,xwOBA,2026-09-07T18:31:20.293130+00:00,projected,projected,0,0,0,0,xwoba_market_hybrid_v1,,,2026-09-07T18:31:20.293130+00:00,-206.0,169.0,0.355756039714465,,
