game_pk,game_date,matchup,side,pitcher,opp_team,n_opp,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%
822709,2026-07-10,New York Yankees @ Washington Nationals,away,Ryan Weathers,Washington Nationals,9,0.331,0.338,0.318,0.352,0.034,0.255,0.258,0.245,0.269,0.024,0.451,0.444,0.4,0.501,0.101,42.7,42.059,39.409,45.571,6.162,89.7,90.017,88.953,90.764,1.811,11.8,13.135,13.94,10.995,-2.945,26.9,20.347,22.115,24.749,2.634,7.0,8.777,8.996,6.83,-2.166
822709,2026-07-10,New York Yankees @ Washington Nationals,home,Carson Palmquist,New York Yankees,9,0.298,0.322,0.318,0.302,-0.016,0.228,0.244,0.245,0.227,-0.018,0.354,0.41,0.4,0.363,-0.037,27.8,39.621,39.409,27.95,-11.459,90.1,89.087,88.953,90.234,1.281,12.2,15.521,13.94,13.781,-0.159,25.0,22.086,22.115,24.967,2.852,7.1,9.905,8.996,7.817,-1.179
822878,2026-07-10,Houston Astros @ Texas Rangers,away,Hunter Brown,Texas Rangers,9,0.288,0.325,0.318,0.294,-0.024,0.192,0.255,0.245,0.2,-0.045,0.317,0.412,0.4,0.327,-0.073,37.8,43.309,39.409,41.541,2.132,85.2,89.809,88.953,86.056,-2.897,9.6,12.323,13.94,7.983,-5.957,27.3,21.989,22.115,27.144,5.029,13.3,8.321,8.996,12.302,3.306
822878,2026-07-10,Houston Astros @ Texas Rangers,home,Cal Quantrill,Houston Astros,9,0.339,0.334,0.318,0.356,0.038,0.256,0.255,0.245,0.266,0.021,0.454,0.438,0.4,0.497,0.097,35.7,39.628,39.409,35.898,-3.511,87.7,88.828,88.953,87.575,-1.378,20.1,14.428,13.94,20.588,6.648,15.9,20.642,22.115,14.841,-7.274,7.1,9.037,8.996,7.132,-1.864
822955,2026-07-10,Seattle Mariners @ Tampa Bay Rays,away,Luis Castillo,Tampa Bay Rays,9,0.329,0.319,0.318,0.33,0.012,0.261,0.251,0.245,0.267,0.022,0.429,0.385,0.4,0.413,0.013,44.3,35.522,39.409,39.931,0.522,90.4,88.8,88.953,90.247,1.294,16.8,12.415,13.94,15.275,1.335,21.1,18.218,22.115,17.382,-4.733,7.4,10.113,8.996,8.319,-0.677
822955,2026-07-10,Seattle Mariners @ Tampa Bay Rays,home,Nick Martinez,Seattle Mariners,9,0.333,0.332,0.318,0.348,0.03,0.281,0.254,0.245,0.291,0.046,0.446,0.42,0.4,0.468,0.068,33.1,39.905,39.409,33.517,-5.892,87.2,89.395,88.953,87.642,-1.311,16.6,13.778,13.94,16.438,2.498,15.0,21.364,22.115,14.491,-7.624,4.4,8.886,8.996,4.346,-4.65
823033,2026-07-10,Atlanta Braves @ St. Louis Cardinals,away,Chris Sale,St. Louis Cardinals,9,0.289,0.342,0.318,0.311,-0.007,0.234,0.265,0.245,0.253,0.008,0.348,0.433,0.4,0.377,-0.023,32.8,43.533,39.409,36.232,-3.177,87.1,89.964,88.953,88.111,-0.842,10.6,12.371,13.94,9.031,-4.909,28.6,18.047,22.115,23.339,1.224,6.1,8.533,8.996,5.786,-3.21
823033,2026-07-10,Atlanta Braves @ St. Louis Cardinals,home,Kyle Leahy,Atlanta Braves,9,0.359,0.327,0.318,0.369,0.051,0.279,0.256,0.245,0.292,0.047,0.474,0.43,0.4,0.51,0.11,50.4,40.703,39.409,52.055,12.646,91.8,89.51,88.953,92.357,3.404,9.7,14.985,13.94,10.745,-3.195,19.3,19.721,22.115,17.211,-4.904,8.7,7.639,8.996,7.388,-1.608
823200,2026-07-10,Colorado Rockies @ San Francisco Giants,away,Tanner Gordon,San Francisco Giants,9,0.339,0.322,0.318,0.343,0.025,0.261,0.265,0.245,0.282,0.037,0.487,0.427,0.4,0.52,0.12,45.6,37.994,39.409,43.963,4.554,91.6,88.879,88.953,91.526,2.573,19.2,15.327,13.94,20.587,6.647,22.4,18.338,22.115,18.574,-3.541,4.9,6.244,8.996,3.401,-5.595
823200,2026-07-10,Colorado Rockies @ San Francisco Giants,home,Robbie Ray,Colorado Rockies,9,0.329,0.318,0.318,0.329,0.011,0.237,0.25,0.245,0.242,-0.003,0.428,0.392,0.4,0.419,0.019,37.5,36.837,39.409,35.053,-4.356,89.0,87.958,88.953,88.005,-0.948,19.6,14.478,13.94,20.138,6.198,20.5,21.232,22.115,19.681,-2.434,11.0,8.416,8.996,10.291,1.295
