game_pk,game_date,matchup,side,pitcher,throws,opp_team,n_opp,n_LHB,n_RHB,n_SW,n_platoon_adv,n_low_sample,pit_min_split_bf,pit_low_sample,reliable,opp_OPS_raw,opp_OPS_vs_hand,pit_OPS_raw,pit_OPS_allowed,mx_OPS,edge_OPS,model_tag,snapshot_utc,lineup_status_away,lineup_status_home,lineup_posted_away,lineup_posted_home,lineup_savant_backfill_away,lineup_savant_backfill_home
822783,2026-08-02,St. Louis Cardinals @ Toronto Blue Jays,away,Matthew Liberatore,L,Toronto Blue Jays,9,2,7,0,7,0,115,False,True,0.6630092961487384,0.6945859436131039,0.8165513944223107,0.7982202104636235,0.7743018098489688,0.054474975338683174,xw+plat_consol_v10,2026-08-02T22:30:28.126860+00:00,posted,posted,9,9,0,0
822783,2026-08-02,St. Louis Cardinals @ Toronto Blue Jays,home,Max Scherzer,R,St. Louis Cardinals,9,4,5,0,4,0,48,True,False,0.710708100929615,0.7159490868451258,0.8251274900398406,0.8118792221096122,0.8091863023976896,0.08935946788740401,xw+plat_consol_v10,2026-08-02T22:30:28.126860+00:00,posted,posted,9,9,0,0
822943,2026-08-02,Chicago White Sox @ Tampa Bay Rays,away,Anthony Kay,L,Tampa Bay Rays,9,4,5,0,5,0,133,False,True,0.7048605577689242,0.716222264937476,0.7068029216467463,0.7305887961453607,0.7483101907344885,0.028483356224202838,xw+plat_consol_v10,2026-08-02T22:30:28.126860+00:00,posted,posted,9,9,0,0
822943,2026-08-02,Chicago White Sox @ Tampa Bay Rays,home,Griffin Jax,R,Chicago White Sox,9,5,4,0,5,0,149,False,True,0.7630369189907039,0.7608681729358969,0.6988743691899071,0.7066282219712702,0.7413829520749688,0.02155611756468323,xw+plat_consol_v10,2026-08-02T22:30:28.126860+00:00,posted,posted,9,9,0,0
823107,2026-08-02,Minnesota Twins @ Seattle Mariners,away,Taj Bradley,R,Seattle Mariners,9,4,3,2,6,0,209,False,True,0.6753147410358565,0.6952549856897146,0.6668618857901727,0.6773369426585869,0.6460511713735532,-0.07377566313673245,xw+plat_consol_v10,2026-08-02T22:30:28.126860+00:00,posted,posted,9,9,0,0
823107,2026-08-02,Minnesota Twins @ Seattle Mariners,home,George Kirby,R,Minnesota Twins,9,3,4,2,5,0,236,False,True,0.7271078353253653,0.7432221318181966,0.7607003984063746,0.7521742716427586,0.7709600006081276,0.05113316609784202,xw+plat_consol_v10,2026-08-02T22:30:28.126860+00:00,posted,posted,9,9,0,0
823270,2026-08-02,San Francisco Giants @ San Diego Padres,away,Landen Roupp,R,San Diego Padres,9,3,5,1,4,0,200,False,True,0.699527224435591,0.711576760955537,0.665995219123506,0.672990391478749,0.6667544931222817,-0.053072341388003874,xw+plat_consol_v10,2026-08-02T22:30:28.126860+00:00,posted,posted,9,9,0,0
823270,2026-08-02,San Francisco Giants @ San Diego Padres,home,Kyle Hart,L,San Francisco Giants,9,6,3,0,3,2,85,False,True,0.5402010624169987,0.6872154755547707,0.677281540504648,0.6623709028343255,0.6578734836343774,-0.06195335087590825,xw+plat_consol_v10,2026-08-02T22:30:28.126860+00:00,posted,posted,9,9,0,0
823592,2026-08-02,Miami Marlins @ New York Mets,away,Sandy Alcantara,R,New York Mets,9,3,4,2,5,0,262,False,True,0.670334395750332,0.6855667780775027,0.6802257636122179,0.6842079359508882,0.6467680676639332,-0.07305876684635237,xw+plat_consol_v10,2026-08-02T22:30:28.126860+00:00,posted,posted,9,9,0,0
823592,2026-08-02,Miami Marlins @ New York Mets,home,Robert Stock,R,Miami Marlins,9,6,2,1,7,0,6,True,False,0.7934427622841966,0.7817625852880887,0.5876494023904383,0.7140999019327182,0.7586462826802184,0.03881944816993277,xw+plat_consol_v10,2026-08-02T22:30:28.126860+00:00,posted,posted,9,9,0,0
823919,2026-08-02,Boston Red Sox @ Los Angeles Dodgers,away,Jake Bennett,L,Los Angeles Dodgers,9,5,3,1,4,0,63,False,True,0.7767017264276228,0.7647806961124863,0.4859450199203187,0.5892639990704964,0.6437611055581093,-0.07606572895217634,xw+plat_consol_v10,2026-08-02T22:30:28.126860+00:00,posted,posted,9,9,0,0
823919,2026-08-02,Boston Red Sox @ Los Angeles Dodgers,home,Emmet Sheehan,R,Boston Red Sox,9,3,5,1,4,0,176,False,True,0.7043604249667995,0.709941118339738,0.7662470119521914,0.7607857054443885,0.7502501735863394,0.030423339076053768,xw+plat_consol_v10,2026-08-02T22:30:28.126860+00:00,posted,posted,9,9,0,0
