game_pk,game_date,game_datetime_utc,matchup,side,pitcher,opp_team,n_opp,starter_rate_basis,starter_rate_bf,opp_xwOBA_neutral,opp_xwOBA_vs_sp,platoon_delta_sp,opp_xwOBA_sd,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,starter_xwOBA,mx_xwOBA_sp,edge_xwOBA_sp,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%,bullpen_xwOBA,expected_sp_ip,expected_sp_ip_raw,sp_share,bp_share,mx_xwOBA_bp,edge_xwOBA_bp,bullpen_pitchers,bullpen_relief_bf,sp_bf_per_ip,bp_bf_per_ip,opener,opener_reason,opener_confidence,pitching_basis,model_tag,model_metric,snapshot_utc,scheduled_start_utc,lineup_status_away,lineup_status_home,lineup_posted_away,lineup_posted_home,lineup_savant_backfill_away,lineup_savant_backfill_home
822858,2026-08-22,2026-08-22T23:05:00Z,Los Angeles Angels @ Texas Rangers,away,Ryan Johnson,Texas Rangers,9,measured,271.0,0.3115544208711012,0.3117921366745541,0.000237715803452887,0.025623168501839343,0.327583263118998,0.3117921366745541,0.3151151042958309,0.3240197796109371,0.008904675315106192,0.3471711871417334,0.3435101801059387,0.028395075810107806,0.265,0.2290175298804781,0.2433335193298614,0.24940931107833195,0.00607579174847056,0.479,0.373529614873838,0.39554720867432697,0.4523371208312139,0.056789912156886946,37.5,38.76831341301462,39.16381115749735,37.12130433735218,-2.042506820145171,88.3,88.81410358565738,88.88942150696161,88.22468207869576,-0.6647394282658468,19.9,13.382310756972114,14.034434011009074,19.247876745963033,5.21344273495396,17.3,23.263851261620186,22.11918244192775,18.195275882491128,-3.923906559436624,10.7,9.180929614873838,8.921847703287318,11.010717751094802,2.088870047807484,0.30573730397360793,4.677995006969193,4.479166666666667,0.527248654362086,0.472751345637914,0.30228258620305526,-0.012832518092775635,8.0,370.0,4.381188118811881,4.251906292768187,False,,,starter_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-08-23T06:34:04.324400+00:00,2026-08-22T23:05:00Z,posted,posted,9,9,1,0
822858,2026-08-22,2026-08-22T23:05:00Z,Los Angeles Angels @ Texas Rangers,home,Cody Bradford,Los Angeles Angels,9,measured,65.0,0.31166457916954193,0.3182380187445751,0.0065734395750331465,0.023649658055935757,0.3192071214181363,0.3182380187445751,0.3151151042958309,0.3197336012104559,0.004618496914625014,0.3363424874520187,0.3396757736051457,0.02456066930931483,0.298,0.22733690795352995,0.2433335193298614,0.27840964432982757,0.03507612499996618,0.511,0.3889502532022639,0.39554720867432697,0.5024775172917482,0.1069303086174212,42.0,42.08927613941018,39.16381115749735,45.137323095196706,5.973511937699357,92.7,89.51829014000596,88.88942150696161,93.32886863304435,4.43944712608274,20.6,15.929282097110518,14.034434011009074,22.49484808610144,8.460414075092368,15.4,28.528418230563002,22.11918244192775,19.862291108820052,-2.256891333107699,6.2,8.418022043491213,8.921847703287318,5.84987980128994,-3.071967901997378,0.2961927193809229,5.153010707186851,5.111111111111112,0.5732138227164912,0.42678617728350876,0.2929493952542309,-0.02216570904159998,9.0,1441.6703061930573,4.209677419354838,4.198388034621425,False,,,starter_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-08-23T06:34:04.324400+00:00,2026-08-22T23:05:00Z,posted,posted,9,9,1,0
823100,2026-08-22,2026-08-22T23:15:00Z,Chicago Cubs @ Seattle Mariners,away,David Peterson,Seattle Mariners,9,measured,507.0,0.31999865732737076,0.32136890965140796,0.0013702523240372022,0.025709386108818275,0.32527472801070245,0.32136890965140796,0.3151151042958309,0.3312015083258114,0.016086404029980517,0.3359003466714714,0.34256665799173786,0.02745155369590696,0.275,0.2358756972111554,0.2433335193298614,0.2665716458287691,0.02323812649890769,0.417,0.3811458167330678,0.39554720867432697,0.4018175380642122,0.006270329389885254,41.2,36.96223107569721,39.16381115749735,38.883956267550296,-0.2798548899470532,89.3,88.74998671978753,88.88942150696161,89.1605652128259,0.27114370586429004,7.8,14.681221779548475,14.034434011009074,8.4467877685394,-5.587646242469674,18.7,22.529163346613547,22.11918244192775,19.04660607089582,-3.072576371031932,9.3,10.425019920318725,8.921847703287318,10.866884134688966,1.9450364314016486,0.30890213513626613,5.4198807915124325,5.466145833333334,0.6064324984300059,0.3935675015699941,0.31368940156027614,-0.001425702735554757,7.0,934.3191489361702,4.231788079470199,4.157697808215601,False,,,starter_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-08-23T06:34:04.324400+00:00,2026-08-22T23:15:00Z,posted,posted,9,9,0,0
823100,2026-08-22,2026-08-22T23:15:00Z,Chicago Cubs @ Seattle Mariners,home,Kade Anderson,Chicago Cubs,9,prior_only,0.0,0.32185918636216204,0.3264514838389217,0.004592297476759655,0.014554426223070158,,0.3264514838389217,0.3151151042958309,,,0.3151151042958309,,,,0.24819973439575035,0.2433335193298614,,,,0.39958857901726424,0.39554720867432697,,,,38.09646746347942,39.16381115749735,,,,88.67070385126164,88.88942150696161,,,,15.17683930942895,14.034434011009074,,,,22.97389110225764,22.11918244192775,,,,10.02414342629482,8.921847703287318,,,0.2987749639535696,5.219826102382303,5.2,0.5557377604836703,0.4442622395163297,0.3051693349272198,-0.00994576936861108,6.0,979.0,3.8823529411764706,4.285571694610685,False,,,starter_unmeasured_no_lean,xw+plat_consol_v12,xwOBA,2026-08-23T06:34:04.324400+00:00,2026-08-22T23:15:00Z,posted,posted,9,9,0,0
823261,2026-08-22,2026-08-23T00:40:00Z,Minnesota Twins @ San Diego Padres,away,Dean Kremer,San Diego Padres,9,measured,217.0,0.32441322881536017,0.32275931115267753,-0.0016539176626826357,0.01871430696193245,0.3089553460336514,0.32275931115267753,0.3151151042958309,0.31713498176874955,0.002019877472918652,0.3150363105034167,0.32267860594427583,0.007563501648444937,0.236,0.25039282868525903,0.2433335193298614,0.24284655781275832,-0.0004869615171030628,0.44,0.40416626826029217,0.39554720867432697,0.4495876955636594,0.05404048688933244,33.8,42.58448871181939,39.16381115749735,36.752187182986944,-2.4116239745104053,87.0,89.59487383798141,88.88942150696161,87.70545233101981,-1.1839691759417974,15.0,10.44249667994688,14.034434011009074,11.408062668937804,-2.6263713420712698,24.4,20.33776892430279,22.11918244192775,22.434896183700864,0.31571374177311284,7.4,9.879707835325364,8.921847703287318,8.194472760891205,-0.7273749423961124,0.3010082749693908,5.382688628171214,5.416666666666667,0.5665134683316466,0.4334865316683534,0.3098901482402023,-0.005224956055628616,8.0,1102.6,3.7941176470588234,4.320057495356354,False,,,starter_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-08-23T06:34:04.324400+00:00,2026-08-23T00:40:00Z,posted,posted,9,9,0,0
823261,2026-08-22,2026-08-23T00:40:00Z,Minnesota Twins @ San Diego Padres,home,Casey Mize,Minnesota Twins,9,measured,408.0,0.3202046793482178,0.31788462622736785,-0.0023200531208499298,0.01964979943235955,0.28154775918640207,0.31788462622736785,0.3151151042958309,0.2848313238936074,-0.030283780402223515,0.2893218709243761,0.2918646981512364,-0.023250406144594504,0.23,0.2445832669322709,0.2433335193298614,0.23118126737880504,-0.012152251951056348,0.361,0.4138541832669323,0.39554720867432697,0.37770803808748876,-0.017839170586838204,36.9,39.312563081009294,39.16381115749735,37.0401535196745,-2.123657637822852,88.8,88.86892430278884,88.88942150696161,88.77950279582723,-0.10991871113438378,18.3,16.3404780876494,14.034434011009074,20.606044076640323,6.5716100656312495,23.3,20.109189907038513,22.11918244192775,21.18270537639104,-0.9364770655367103,6.1,8.79851261620186,8.921847703287318,6.015673966173612,-2.906173737113706,0.27020609223847863,5.142021332977074,5.0964912280701755,0.5933144097493996,0.40668559025060036,0.2745703203167647,-0.04054478397906619,7.0,1450.6015274034141,4.444444444444445,4.060368245688202,False,,,starter_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-08-23T06:34:04.324400+00:00,2026-08-23T00:40:00Z,posted,posted,9,9,0,0
823422,2026-08-22,2026-08-22T22:05:00Z,St. Louis Cardinals @ Philadelphia Phillies,away,Quinn Mathews,Philadelphia Phillies,9,measured,41.0,0.3285900697333228,0.32265992365098545,-0.005930146082337329,0.024257348181371593,0.307270128791201,0.32265992365098545,0.3151151042958309,0.31729208974064677,0.002176985444815871,0.30286886829491555,0.31012047530592063,-0.004994628989910266,0.194,0.2641267021906453,0.2433335193298614,0.21057756599296862,-0.03275595333689277,0.265,0.4263546477205447,0.39554720867432697,0.2856396889377862,-0.10990751973654078,24.0,40.4858496151569,39.16381115749735,24.81015922725782,-14.35365193023953,85.6,89.45559502664298,88.88942150696161,86.16617351968137,-2.7232479872802458,20.7,13.465216104203671,14.034434011009074,20.130782093194597,6.096348082185523,24.4,19.813558318531673,22.11918244192775,21.85663164727885,-0.2625507946489023,14.6,8.784665482534043,8.921847703287318,14.375510579242478,5.45366287595516,0.31258396009248635,4.693654865218128,4.5,0.5469666588857163,0.4530333411142837,0.325950688634341,0.010835584338510118,9.0,1444.0,4.714285714285714,4.255861920956166,False,,,starter_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-08-23T06:34:04.324400+00:00,2026-08-22T22:05:00Z,posted,posted,9,9,0,1
823422,2026-08-22,2026-08-22T22:05:00Z,St. Louis Cardinals @ Philadelphia Phillies,home,Andrew Painter,St. Louis Cardinals,9,measured,383.0,0.32745837283685475,0.32759967429767806,0.00014130146082330652,0.026031947833942012,0.3133193775654317,0.32759967429767806,0.3151151042958309,0.32567391222133335,0.010558807925502456,0.33801969033039975,0.3514117189205964,0.03629661462476552,0.267,0.252731208499336,0.2433335193298614,0.2773117031108579,0.03397818378099651,0.445,0.43434156706507304,0.39554720867432697,0.48864457416281726,0.09309736548849029,35.5,42.59742363877822,39.16381115749735,38.612394822742786,-0.5514163347545633,87.3,90.24509960159364,88.88942150696161,88.65567809463201,-0.23374341232960205,15.7,14.026799468791499,14.034434011009074,15.692365457782424,1.6579314467733504,18.5,20.2270385126162,22.11918244192775,16.91745223702703,-5.20173020490072,8.9,8.751155378486056,8.921847703287318,8.729725664318224,-0.19212203896909408,0.28450988007373734,4.736719475402694,4.557291666666667,0.5383965548281384,0.4616034451718616,0.29565432159510524,-0.019460782700725654,8.0,1250.76,4.44043321299639,4.229858765237194,False,,,starter_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-08-23T06:34:04.324400+00:00,2026-08-22T22:05:00Z,posted,posted,9,9,0,1
823509,2026-08-22,2026-08-22T17:35:00Z,Toronto Blue Jays @ New York Yankees,away,Dylan Cease,New York Yankees,9,measured,553.0,0.32093362411842613,0.3223604501476426,0.0014268260292164547,0.023201492288488904,0.26885444529288727,0.3223604501476426,0.3151151042958309,0.2746260680981247,-0.04048903619770622,0.26335912776352693,0.26941446417192344,-0.045700640123907454,0.184,0.24509774236387785,0.2433335193298614,0.18533404160328187,-0.05799947772657951,0.276,0.4218106241699867,0.39554720867432697,0.29432575863977417,-0.1012214500345528,32.4,44.21290836653387,39.16381115749735,36.57708963294973,-2.5867215245476203,85.8,90.05625498007967,88.88942150696161,86.96683347311804,-1.9225880338435672,13.2,13.600690571049139,14.034434011009074,12.766256560040064,-1.2681774509690094,36.3,25.129800796812752,22.11918244192775,41.24075432350387,19.12157188157612,10.7,8.935192563081008,8.921847703287318,10.716004532305552,1.7941568290182346,0.280371919762916,6.13027664370727,6.411231884057971,0.676989083887132,0.32301091611286803,0.28554891556730655,-0.029566188728524345,8.0,1387.8998102466794,4.011547344110855,4.088721187968666,False,,,starter_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-08-23T06:34:04.324400+00:00,2026-08-22T17:35:00Z,posted,posted,9,9,0,0
823509,2026-08-22,2026-08-22T17:35:00Z,Toronto Blue Jays @ New York Yankees,home,Ryan Weathers,Toronto Blue Jays,9,measured,551.0,0.3056915347853769,0.3137093302701047,0.008017795484727808,0.014552198220645211,0.3058287174989102,0.3137093302701047,0.3151151042958309,0.3019285984378855,-0.013186505857945396,0.31586407132040417,0.3144549560445287,-0.0006601482513021728,0.251,0.25229136786188583,0.2433335193298614,0.2602400750530805,0.016906555723219113,0.417,0.38352802124834,0.39554720867432697,0.4043289431786556,0.00878173450432862,41.1,31.17965471447544,39.16381115749735,32.721121129183544,-6.442690028313805,89.4,87.05877822045153,88.88942150696161,87.56935671348992,-1.320064793471687,9.3,12.127596281540505,14.034434011009074,7.393162270531432,-6.641271740477642,25.4,18.90998671978752,22.11918244192775,21.71480179900999,-0.40438064291776143,6.9,6.70921646746348,8.921847703287318,5.188789941845881,-3.7330577614414366,0.28696783384274077,5.860314304763694,6.052083333333334,0.6527107091623533,0.3472892908376467,0.27838601312829253,-0.036729091167538364,8.0,1473.8530612244897,4.135922330097087,4.107501798436339,False,,,starter_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-08-23T06:34:04.324400+00:00,2026-08-22T17:35:00Z,posted,posted,9,9,0,0
