game_pk,game_date,matchup,side,pitcher,throws,opp_team,n_opp,n_LHB,n_RHB,n_SW,n_platoon_adv,n_low_sample,pit_min_split_bf,pit_low_sample,reliable,opp_OPS_raw,opp_OPS_vs_hand,pit_OPS_raw,pit_OPS_allowed,mx_OPS,edge_OPS,model_tag,model_metric,snapshot_utc,lineup_status_away,lineup_status_home,lineup_posted_away,lineup_posted_home,lineup_savant_backfill_away,lineup_savant_backfill_home,selection_rule_tag,hybrid_action,hybrid_selection,pregame_market_utc,hybrid_price_source,pregame_away_ml,pregame_home_ml,pregame_p_home,hybrid_p,hybrid_ml
822843,2026-09-19,Toronto Blue Jays @ Texas Rangers,away,José Soriano,R,Texas Rangers,9,4,5,0,4,0,295,False,True,0.7113402390438247,0.7134892782079423,0.631724833997344,0.6607357053524014,0.6552031101699217,-0.06454676124836312,xw+starter_blend_v13,xwOBA,2026-09-19T22:46:44.597910+00:00,posted,posted,9,9,0,0,lean,,,2026-09-19T22:46:44.597910+00:00,saved_pregame,-106.0,-114.0,0.5086640097036909,,
822843,2026-09-19,Toronto Blue Jays @ Texas Rangers,home,Cal Quantrill,R,Toronto Blue Jays,9,4,5,0,4,0,195,False,True,0.7400268260292165,0.7319858344650234,0.6113715803452855,0.6336765727475905,0.6455953006590658,-0.07415457075921905,xw+starter_blend_v13,xwOBA,2026-09-19T22:46:44.597910+00:00,posted,posted,9,9,0,0,lean,,,2026-09-19T22:46:44.597910+00:00,saved_pregame,-106.0,-114.0,0.5086640097036909,,
822921,2026-09-19,Boston Red Sox @ Tampa Bay Rays,away,Brayan Bello,R,Tampa Bay Rays,9,7,2,0,7,0,208,False,True,0.7753245683930943,0.7719605172498277,0.776002390438247,0.7601841189822247,0.7989663022288481,0.07921643081056329,xw+starter_blend_v13,xwOBA,2026-09-19T22:46:44.597910+00:00,posted,posted,9,9,0,0,lean,,,2026-09-19T22:46:44.597910+00:00,saved_pregame,125.0,-151.0,0.5751163774862462,,
822921,2026-09-19,Boston Red Sox @ Tampa Bay Rays,home,Freddy Peralta,R,Boston Red Sox,9,2,4,3,5,1,253,False,True,0.7373946879150066,0.7314314242214673,0.7386188579017264,0.7135213633084468,0.7206884053489566,0.000938533930671781,xw+starter_blend_v13,xwOBA,2026-09-19T22:46:44.597910+00:00,posted,posted,9,9,0,0,lean,,,2026-09-19T22:46:44.597910+00:00,saved_pregame,125.0,-151.0,0.5751163774862462,,
823003,2026-09-19,Washington Nationals @ St. Louis Cardinals,away,Andrew Alvarez,L,St. Louis Cardinals,9,2,6,1,7,1,113,False,True,0.7352966799468792,0.7185497026656054,0.6377027888446215,0.645255830407028,0.644998767931157,-0.07475110348712788,xw+starter_blend_v13,xwOBA,2026-09-19T22:46:44.597910+00:00,posted,posted,9,9,0,0,lean,,,2026-09-19T22:46:44.597910+00:00,saved_pregame,-104.0,-115.0,0.5120034919249236,,
823003,2026-09-19,Washington Nationals @ St. Louis Cardinals,home,Michael McGreevy,R,Washington Nationals,9,5,2,2,7,0,245,False,True,0.7556231075697212,0.7522887916781276,0.7376826029216468,0.7386419112520551,0.756647292201906,0.03689742078362113,xw+starter_blend_v13,xwOBA,2026-09-19T22:46:44.597910+00:00,posted,posted,9,9,0,0,lean,,,2026-09-19T22:46:44.597910+00:00,saved_pregame,-104.0,-115.0,0.5120034919249236,,
823249,2026-09-19,Miami Marlins @ San Diego Padres,away,Eury Pérez,R,San Diego Padres,9,3,6,0,3,0,264,False,True,0.7535134130146083,0.7440193484372547,0.7206573705179282,0.7068292598676436,0.7401502484363268,0.020400377018041982,xw+starter_blend_v13,xwOBA,2026-09-19T22:46:44.597910+00:00,posted,posted,9,9,0,0,lean,,,2026-09-19T22:46:44.597910+00:00,saved_pregame,131.0,-159.0,0.5864535598524646,,
823249,2026-09-19,Miami Marlins @ San Diego Padres,home,Casey Mize,R,Miami Marlins,9,3,5,1,4,0,221,False,True,0.7295086321381142,0.7315967233833665,0.7123362549800798,0.7442672029223057,0.7589432191312137,0.03919334771292882,xw+starter_blend_v13,xwOBA,2026-09-19T22:46:44.597910+00:00,posted,posted,9,9,0,0,lean,,,2026-09-19T22:46:44.597910+00:00,saved_pregame,131.0,-159.0,0.5864535598524646,,
823330,2026-09-19,Kansas City Royals @ Pittsburgh Pirates,away,Noah Cameron,L,Pittsburgh Pirates,9,3,3,3,6,1,163,False,True,0.7372201859229749,0.7416432079446932,0.6826069057104913,0.6706858530397948,0.6994811602552206,-0.02026871116306428,xw+starter_blend_v13,xwOBA,2026-09-19T22:46:44.597910+00:00,posted,posted,9,9,0,0,lean,,,2026-09-19T22:46:44.597910+00:00,saved_pregame,-101.0,-119.0,0.5195490681610843,,
823330,2026-09-19,Kansas City Royals @ Pittsburgh Pirates,home,Bubba Chandler,R,Kansas City Royals,9,6,2,1,7,0,282,False,True,0.757124037184595,0.7534104695073307,0.7203609561752987,0.7163287264286222,0.7351619374248257,0.015412066006540881,xw+starter_blend_v13,xwOBA,2026-09-19T22:46:44.597910+00:00,posted,posted,9,9,0,0,lean,,,2026-09-19T22:46:44.597910+00:00,saved_pregame,-101.0,-119.0,0.5195490681610843,,
