game_pk,game_date,matchup,side,pitcher,opp_team,n_opp,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%
824091,2026-07-05,Philadelphia Phillies @ Kansas City Royals,home,Luinder Avila,Philadelphia Phillies,9,0.331,0.323,0.318,0.336,0.018,0.233,0.256,0.245,0.243,-0.002,0.38,0.418,0.401,0.396,-0.005,33.3,42.596,39.503,35.907,-3.596,87.5,89.679,88.994,88.185,-0.809,12.2,11.883,13.966,10.117,-3.849,20.9,21.867,22.101,20.679,-1.422,14.6,8.101,9.016,13.118,4.102
824172,2026-07-05,Tampa Bay Rays @ Houston Astros,away,Mason Englert,Houston Astros,9,0.349,0.332,0.318,0.364,0.046,0.28,0.25,0.245,0.286,0.041,0.506,0.434,0.401,0.548,0.147,38.3,38.879,39.503,37.695,-1.808,89.5,88.923,88.994,89.429,0.435,19.1,15.792,13.966,20.926,6.96,17.3,20.444,22.101,16.003,-6.098,5.5,9.7,9.016,5.917,-3.099
824172,2026-07-05,Tampa Bay Rays @ Houston Astros,home,Peter Lambert,Tampa Bay Rays,9,0.298,0.324,0.318,0.304,-0.014,0.211,0.256,0.245,0.22,-0.025,0.363,0.392,0.401,0.355,-0.046,39.3,36.541,39.503,36.353,-3.15,89.0,89.105,88.994,89.111,0.117,18.3,11.1,13.966,15.434,1.468,21.9,17.555,22.101,17.395,-4.706,10.0,10.162,9.016,11.271,2.255
824333,2026-07-05,San Francisco Giants @ Colorado Rockies,away,Tyler Mahle,Colorado Rockies,9,0.322,0.32,0.318,0.324,0.006,0.248,0.251,0.245,0.254,0.009,0.41,0.407,0.401,0.416,0.015,36.1,37.556,39.503,34.321,-5.182,89.5,88.184,88.994,88.69,-0.304,12.1,15.443,13.966,13.577,-0.389,22.3,21.629,22.101,21.824,-0.277,10.1,8.397,9.016,9.407,0.391
824333,2026-07-05,San Francisco Giants @ Colorado Rockies,home,Tanner Gordon,San Francisco Giants,9,0.333,0.322,0.318,0.337,0.019,0.262,0.268,0.245,0.287,0.042,0.473,0.426,0.401,0.502,0.101,45.1,38.229,39.503,43.645,4.142,91.6,88.998,88.994,91.604,2.61,19.3,15.711,13.966,21.045,7.079,21.4,17.725,22.101,17.163,-4.938,4.4,5.88,9.016,2.87,-6.146
824413,2026-07-05,Chicago White Sox @ Cleveland Guardians,away,Chris Murphy,Cleveland Guardians,9,0.281,0.304,0.318,0.269,-0.049,0.207,0.239,0.245,0.202,-0.043,0.303,0.36,0.401,0.272,-0.129,37.7,33.447,39.503,31.92,-7.583,86.9,88.061,88.994,85.967,-3.027,22.0,13.785,13.966,21.819,7.853,22.0,21.51,22.101,21.412,-0.689,12.2,10.021,9.016,13.56,4.544
824413,2026-07-05,Chicago White Sox @ Cleveland Guardians,home,Tanner Bibee,Chicago White Sox,9,0.328,0.335,0.318,0.346,0.028,0.259,0.255,0.245,0.27,0.025,0.439,0.425,0.401,0.465,0.064,42.8,40.61,39.503,43.999,4.496,89.8,88.678,88.994,89.484,0.49,16.2,15.001,13.966,17.235,3.269,20.2,22.016,22.101,20.122,-1.979,7.1,9.147,9.016,7.203,-1.813
824497,2026-07-05,Baltimore Orioles @ Cincinnati Reds,away,Kyle Bradish,Cincinnati Reds,9,0.31,0.328,0.318,0.32,0.002,0.228,0.242,0.245,0.225,-0.02,0.375,0.42,0.401,0.393,-0.008,37.5,39.395,39.503,37.397,-2.106,88.4,90.052,88.994,89.458,0.464,9.3,16.479,13.966,11.813,-2.153,24.0,24.457,22.101,26.558,4.457,11.8,9.945,9.016,13.016,4.0
824497,2026-07-05,Baltimore Orioles @ Cincinnati Reds,home,Nick Lodolo,Baltimore Orioles,9,0.374,0.326,0.318,0.383,0.065,0.287,0.243,0.245,0.285,0.04,0.469,0.409,0.401,0.478,0.077,38.6,43.402,39.503,42.41,2.907,90.2,90.167,88.994,91.373,2.379,13.0,15.122,13.966,14.156,0.19,18.2,23.64,22.101,19.467,-2.634,9.5,10.808,9.016,11.388,2.372
824656,2026-07-05,St. Louis Cardinals @ Chicago Cubs,away,Matthew Liberatore,Chicago Cubs,9,0.359,0.327,0.318,0.369,0.051,0.282,0.243,0.245,0.28,0.035,0.482,0.399,0.401,0.48,0.079,42.9,39.485,39.503,42.88,3.377,91.1,88.517,88.994,90.623,1.629,15.2,16.006,13.966,17.24,3.274,21.5,20.35,22.101,19.797,-2.304,9.0,11.381,9.016,11.361,2.345
824656,2026-07-05,St. Louis Cardinals @ Chicago Cubs,home,Javier Assad,St. Louis Cardinals,9,0.339,0.344,0.318,0.367,0.049,0.274,0.267,0.245,0.299,0.054,0.454,0.435,0.401,0.492,0.091,50.0,42.016,39.503,53.181,13.678,90.5,89.757,88.994,91.263,2.269,13.8,11.763,13.966,11.597,-2.369,15.0,18.204,22.101,12.355,-9.746,6.3,8.98,9.016,6.275,-2.741
824902,2026-07-05,New York Mets @ Atlanta Braves,away,Nolan McLean,Atlanta Braves,9,0.29,0.331,0.318,0.302,-0.016,0.214,0.259,0.245,0.226,-0.019,0.332,0.437,0.401,0.362,-0.039,35.0,40.851,39.503,36.194,-3.309,87.1,89.715,88.994,87.821,-1.173,8.6,14.968,13.966,9.602,-4.364,28.5,19.322,22.101,24.916,2.815,9.1,7.731,9.016,7.803,-1.213
824902,2026-07-05,New York Mets @ Atlanta Braves,home,Martín Pérez,New York Mets,9,0.323,0.333,0.318,0.338,0.02,0.253,0.264,0.245,0.273,0.028,0.397,0.44,0.401,0.436,0.035,36.8,42.843,39.503,39.911,0.408,87.9,89.908,88.994,88.814,-0.18,8.2,12.169,13.966,6.403,-7.563,19.5,20.473,22.101,18.064,-4.037,9.6,8.09,9.016,8.614,-0.402
824980,2026-07-05,Miami Marlins @ Athletics,away,Eury Pérez,Athletics,9,0.334,0.336,0.318,0.353,0.035,0.22,0.253,0.245,0.227,-0.018,0.441,0.434,0.401,0.477,0.076,39.9,44.8,39.503,45.25,5.747,88.5,90.567,88.994,90.073,1.079,20.8,12.116,13.966,18.95,4.984,26.8,23.237,22.101,28.178,6.077,10.6,9.903,9.016,11.643,2.627
824980,2026-07-05,Miami Marlins @ Athletics,home,Gage Jump,Miami Marlins,9,0.294,0.317,0.318,0.293,-0.025,0.247,0.257,0.245,0.259,0.014,0.365,0.378,0.401,0.344,-0.057,36.1,35.493,39.503,32.435,-7.068,89.4,87.825,88.994,88.231,-0.763,16.7,12.082,13.966,14.816,0.85,25.0,15.336,22.101,17.348,-4.753,6.3,9.073,9.016,6.34,-2.676
825061,2026-07-05,Milwaukee Brewers @ Arizona Diamondbacks,away,Brandon Sproat,Arizona Diamondbacks,9,0.332,0.333,0.318,0.348,0.03,0.24,0.264,0.245,0.259,0.014,0.408,0.408,0.401,0.415,0.014,42.2,38.293,39.503,40.907,1.404,90.3,88.732,88.994,90.038,1.044,14.9,12.439,13.966,13.373,-0.593,25.3,15.657,22.101,17.923,-4.178,10.8,9.639,9.016,11.546,2.53
825061,2026-07-05,Milwaukee Brewers @ Arizona Diamondbacks,home,Eduardo Rodriguez,Milwaukee Brewers,9,0.34,0.33,0.318,0.353,0.035,0.264,0.245,0.245,0.264,0.019,0.449,0.413,0.401,0.462,0.061,37.4,42.34,39.503,40.086,0.583,88.7,90.284,88.994,89.99,0.996,12.9,8.697,13.966,7.631,-6.335,17.1,23.928,22.101,18.514,-3.587,9.2,11.558,9.016,11.794,2.778
