game_pk,game_date,matchup,side,pitcher,opp_team,n_opp,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%
822713,2026-07-07,Houston Astros @ Washington Nationals,away,Tatsuya Imai,Washington Nationals,9,0.34,0.33,0.318,0.353,0.035,0.231,0.257,0.245,0.242,-0.003,0.41,0.429,0.4,0.44,0.04,46.3,39.514,39.466,46.356,6.89,90.6,89.148,88.977,90.771,1.794,11.9,13.801,13.976,11.725,-2.251,27.9,19.277,22.095,24.342,2.247,14.0,8.287,9.003,12.887,3.884
822713,2026-07-07,Houston Astros @ Washington Nationals,home,Andrew Alvarez,Houston Astros,9,0.313,0.326,0.318,0.321,0.003,0.258,0.245,0.245,0.258,0.013,0.371,0.426,0.4,0.395,-0.005,45.0,38.583,39.466,43.993,4.527,90.3,88.721,88.977,90.044,1.067,6.5,15.582,13.976,8.106,-5.87,27.6,21.236,22.095,26.527,4.432,9.2,9.427,9.003,9.633,0.63
822881,2026-07-07,Los Angeles Angels @ Texas Rangers,away,José Soriano,Texas Rangers,9,0.322,0.321,0.318,0.325,0.007,0.239,0.252,0.245,0.246,0.001,0.385,0.401,0.4,0.386,-0.014,37.3,41.081,39.466,38.826,-0.64,88.4,89.417,88.977,88.84,-0.137,6.8,11.794,13.976,4.618,-9.358,26.2,20.967,22.095,24.862,2.767,11.6,8.395,9.003,10.817,1.814
822881,2026-07-07,Los Angeles Angels @ Texas Rangers,home,Jacob deGrom,Los Angeles Angels,9,0.289,0.304,0.318,0.276,-0.042,0.231,0.235,0.245,0.222,-0.023,0.399,0.39,0.4,0.389,-0.011,43.7,38.229,39.466,42.33,2.864,90.8,88.29,88.977,90.113,1.136,16.4,15.103,13.976,17.527,3.551,30.3,25.07,22.095,34.38,12.285,5.3,6.758,9.003,3.978,-5.025
822956,2026-07-07,New York Yankees @ Tampa Bay Rays,away,Will Warren,Tampa Bay Rays,9,0.312,0.318,0.318,0.312,-0.006,0.249,0.249,0.245,0.253,0.008,0.397,0.381,0.4,0.378,-0.022,38.5,34.884,39.466,34.03,-5.436,89.8,88.763,88.977,89.586,0.609,13.7,12.452,13.976,12.176,-1.8,23.4,18.252,22.095,19.33,-2.765,7.5,10.272,9.003,8.557,-0.446
822956,2026-07-07,New York Yankees @ Tampa Bay Rays,home,Ian Seymour,New York Yankees,9,0.285,0.33,0.318,0.296,-0.022,0.207,0.247,0.245,0.209,-0.036,0.366,0.42,0.4,0.384,-0.016,35.6,39.29,39.466,35.441,-4.025,87.9,89.095,88.977,88.018,-0.959,22.3,15.61,13.976,23.934,9.958,26.1,21.308,22.095,25.17,3.075,9.1,10.485,9.003,10.598,1.595
823035,2026-07-07,Milwaukee Brewers @ St. Louis Cardinals,away,Robert Gasser,St. Louis Cardinals,9,0.283,0.342,0.318,0.304,-0.014,0.206,0.266,0.245,0.224,-0.021,0.347,0.432,0.4,0.375,-0.025,29.4,42.669,39.466,31.786,-7.68,86.7,89.756,88.977,87.479,-1.498,22.7,12.055,13.976,20.779,6.803,23.4,17.896,22.095,18.953,-3.142,8.4,8.728,9.003,8.143,-0.86
823035,2026-07-07,Milwaukee Brewers @ St. Louis Cardinals,home,Hunter Dobbins,Milwaukee Brewers,9,0.358,0.331,0.318,0.373,0.055,0.276,0.257,0.245,0.29,0.045,0.482,0.407,0.4,0.49,0.09,53.2,40.02,39.466,53.947,14.481,91.5,89.358,88.977,91.881,2.904,9.0,9.008,13.976,4.032,-9.944,26.0,18.581,22.095,21.865,-0.23,9.6,10.986,9.003,11.714,2.711
823062,2026-07-07,Milwaukee Brewers @ St. Louis Cardinals,away,Jacob Misiorowski,St. Louis Cardinals,9,0.226,0.342,0.318,0.243,-0.075,0.174,0.266,0.245,0.189,-0.056,0.246,0.433,0.4,0.266,-0.134,33.3,42.134,39.466,35.551,-3.915,87.3,89.709,88.977,88.032,-0.945,11.4,11.951,13.976,9.375,-4.601,39.3,18.204,22.095,32.379,10.284,6.8,8.96,9.003,6.768,-2.235
823062,2026-07-07,Milwaukee Brewers @ St. Louis Cardinals,home,Matt Svanson,Milwaukee Brewers,9,0.365,0.336,0.318,0.386,0.068,0.291,0.259,0.245,0.308,0.063,0.458,0.427,0.4,0.489,0.089,44.9,42.768,39.466,48.657,9.191,91.0,90.252,88.977,92.275,3.298,17.6,8.859,13.976,12.483,-1.493,21.5,20.701,22.095,20.144,-1.951,10.7,10.496,9.003,12.474,3.471
823203,2026-07-07,Toronto Blue Jays @ San Francisco Giants,away,Spencer Miles,San Francisco Giants,9,0.283,0.326,0.318,0.29,-0.028,0.233,0.269,0.245,0.256,0.011,0.344,0.438,0.4,0.377,-0.023,35.2,39.216,39.466,34.977,-4.489,86.2,89.346,88.977,86.569,-2.408,5.1,15.433,13.976,6.557,-7.419,25.3,18.139,22.095,20.77,-1.325,7.8,5.761,9.003,4.991,-4.012
823203,2026-07-07,Toronto Blue Jays @ San Francisco Giants,home,Trevor McDonald,Toronto Blue Jays,9,0.306,0.304,0.318,0.293,-0.025,0.241,0.25,0.245,0.246,0.001,0.349,0.376,0.4,0.328,-0.072,39.6,35.48,39.466,35.6,-3.866,89.2,87.926,88.977,88.149,-0.828,2.9,13.312,13.976,2.236,-11.74,20.2,18.569,22.095,16.976,-5.119,7.7,7.3,9.003,6.243,-2.76
823280,2026-07-07,Arizona Diamondbacks @ San Diego Padres,away,Zac Gallen,San Diego Padres,9,0.378,0.32,0.318,0.38,0.062,0.309,0.246,0.245,0.31,0.065,0.522,0.397,0.4,0.518,0.118,44.4,42.528,39.466,47.845,8.379,90.6,89.207,88.977,90.83,1.853,12.2,9.698,13.976,7.922,-6.054,13.5,22.104,22.095,13.505,-8.59,6.8,9.836,9.003,7.429,-1.574
823280,2026-07-07,Arizona Diamondbacks @ San Diego Padres,home,Germán Márquez,Arizona Diamondbacks,9,0.371,0.333,0.318,0.389,0.071,0.271,0.259,0.245,0.286,0.041,0.5,0.41,0.4,0.512,0.112,45.7,39.505,39.466,45.745,6.279,89.3,88.875,88.977,89.198,0.221,20.7,13.517,13.976,20.241,6.265,14.2,17.457,22.095,11.219,-10.876,10.6,10.1,9.003,11.892,2.889
823361,2026-07-07,Atlanta Braves @ Pittsburgh Pirates,away,Hurston Waldrep,Pittsburgh Pirates,9,0.303,0.324,0.318,0.309,-0.009,0.203,0.253,0.245,0.21,-0.035,0.301,0.403,0.4,0.303,-0.097,33.3,40.437,39.466,34.119,-5.347,89.5,88.474,88.977,88.997,0.02,-7.3,10.335,13.976,-10.941,-24.917,20.6,22.392,22.095,20.877,-1.218,14.7,9.007,9.003,14.707,5.704
823361,2026-07-07,Atlanta Braves @ Pittsburgh Pirates,home,Paul Skenes,Atlanta Braves,9,0.26,0.329,0.318,0.269,-0.049,0.202,0.257,0.245,0.212,-0.033,0.323,0.433,0.4,0.35,-0.05,37.4,40.807,39.466,38.671,-0.795,88.1,89.614,88.977,88.737,-0.24,15.0,14.886,13.976,15.91,1.934,30.1,19.495,22.095,26.558,4.463,5.6,7.62,9.003,4.74,-4.263
823607,2026-07-07,Kansas City Royals @ New York Mets,away,Seth Lugo,New York Mets,9,0.353,0.34,0.318,0.377,0.059,0.281,0.268,0.245,0.307,0.062,0.482,0.44,0.4,0.53,0.13,43.1,43.434,39.466,47.433,7.967,90.6,90.132,88.977,91.755,2.778,15.3,11.136,13.976,12.46,-1.516,18.7,20.068,22.095,16.984,-5.111,7.4,8.862,9.003,7.284,-1.719
823607,2026-07-07,Kansas City Royals @ New York Mets,home,Cionel Pérez,Kansas City Royals,9,0.371,0.325,0.318,0.379,0.061,0.283,0.252,0.245,0.291,0.046,0.515,0.415,0.4,0.534,0.134,51.0,44.202,39.466,57.12,17.654,91.7,90.336,88.977,93.059,4.082,4.1,15.682,13.976,5.806,-8.17,20.4,21.323,22.095,19.687,-2.408,8.8,8.459,9.003,8.268,-0.735
823687,2026-07-07,Cleveland Guardians @ Minnesota Twins,away,Joey Cantillo,Minnesota Twins,9,0.318,0.312,0.318,0.312,-0.006,0.236,0.239,0.245,0.23,-0.015,0.388,0.388,0.4,0.376,-0.024,35.9,36.26,39.466,32.984,-6.482,87.3,88.464,88.977,86.787,-2.19,12.3,15.042,13.976,13.366,-0.61,23.2,19.531,22.095,20.508,-1.587,11.5,8.642,9.003,11.039,2.036
823687,2026-07-07,Cleveland Guardians @ Minnesota Twins,home,Taj Bradley,Cleveland Guardians,9,0.309,0.304,0.318,0.295,-0.023,0.227,0.237,0.245,0.22,-0.025,0.383,0.354,0.4,0.339,-0.061,46.8,33.359,39.466,39.558,0.092,91.8,87.691,88.977,90.514,1.537,17.4,14.827,13.976,18.251,4.275,26.9,20.273,22.095,24.682,2.587,10.0,10.274,9.003,11.412,2.409
823847,2026-07-07,Seattle Mariners @ Miami Marlins,away,Bryan Woo,Miami Marlins,9,0.285,0.32,0.318,0.287,-0.031,0.235,0.256,0.245,0.246,0.001,0.38,0.391,0.4,0.371,-0.029,43.2,37.746,39.466,41.317,1.851,89.5,88.196,88.977,88.719,-0.258,18.2,12.328,13.976,16.552,2.576,24.3,17.931,22.095,19.72,-2.375,4.8,8.999,9.003,4.798,-4.205
823847,2026-07-07,Seattle Mariners @ Miami Marlins,home,Max Meyer,Seattle Mariners,9,0.301,0.327,0.318,0.31,-0.008,0.227,0.25,0.245,0.232,-0.013,0.374,0.413,0.4,0.386,-0.014,41.7,38.467,39.466,40.644,1.178,89.3,88.986,88.977,89.309,0.332,13.8,13.735,13.976,13.559,-0.417,26.3,21.71,22.095,25.842,3.747,8.5,8.618,9.003,8.137,-0.866
823929,2026-07-07,Colorado Rockies @ Los Angeles Dodgers,away,Michael Lorenzen,Los Angeles Dodgers,9,0.36,0.357,0.318,0.404,0.086,0.294,0.27,0.245,0.324,0.079,0.473,0.46,0.4,0.544,0.144,46.5,43.926,39.466,51.755,12.289,90.4,90.047,88.977,91.47,2.493,11.5,14.441,13.976,11.965,-2.011,16.2,20.352,22.095,14.922,-7.173,7.7,11.17,9.003,9.553,0.55
823929,2026-07-07,Colorado Rockies @ Los Angeles Dodgers,home,Justin Wrobleski,Colorado Rockies,9,0.32,0.314,0.318,0.316,-0.002,0.269,0.243,0.245,0.267,0.022,0.43,0.403,0.4,0.433,0.033,44.6,37.271,39.466,42.119,2.653,90.6,88.205,88.977,89.828,0.851,14.6,16.221,13.976,16.845,2.869,17.3,23.285,22.095,18.232,-3.863,4.9,7.546,9.003,4.107,-4.896
824254,2026-07-07,Athletics @ Detroit Tigers,away,J.T. Ginn,Detroit Tigers,9,0.313,0.333,0.318,0.328,0.01,0.241,0.252,0.245,0.248,0.003,0.373,0.429,0.4,0.4,0.0,35.7,41.252,39.466,37.316,-2.15,87.1,88.985,88.977,87.108,-1.869,9.5,17.847,13.976,13.371,-0.605,20.9,22.122,22.095,20.926,-1.169,10.4,9.602,9.003,11.092,2.089
