game_pk,game_date,game_datetime_utc,matchup,side,pitcher,opp_team,n_opp,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%,starter_xwOBA,bullpen_xwOBA,expected_sp_ip,bullpen_pitchers,bullpen_relief_bf,opener,opener_reason,opener_confidence,pitching_basis,model_tag,snapshot_utc,scheduled_start_utc,lineup_status_away,lineup_status_home,lineup_posted_away,lineup_posted_home,lineup_savant_backfill_away,lineup_savant_backfill_home
822707,2026-07-24,2026-07-24T22:45:00Z,Arizona Diamondbacks @ Washington Nationals,away,Eduardo Rodriguez,Washington Nationals,9,0.3237605056573049,0.3372661982179015,0.3170900757445343,0.3443610608744408,0.0272709851299065,0.269,0.24748366533864546,0.24432470304699605,0.2724779981142154,0.028153295067219364,0.465,0.4529609561752988,0.3993258908590119,0.5274560188632472,0.12813012800423534,37.5,45.279150066401066,39.40825485909067,43.08661049725103,3.6783556381603617,88.7,89.17051792828686,88.94419749685815,88.9263204314287,-0.017877065429445338,13.4,14.644116865869854,13.95112934047205,14.092987525397803,0.14185818492575208,17.2,24.441699867197876,22.15435961439146,18.975824399036732,-3.178535215354728,8.6,9.466746347941568,8.943594422447925,9.103053509219158,0.15945908677123377,0.33387981043604054,0.30603560875187624,5.729166666666666,8.0,1087.0,False,,,starter_bullpen_blend,xw+plat_consol_v7,2026-07-25T01:06:00.734885+00:00,2026-07-24T22:45:00Z,posted,posted,9,9,0,0
822707,2026-07-24,2026-07-24T22:45:00Z,Arizona Diamondbacks @ Washington Nationals,home,Carson Palmquist,Arizona Diamondbacks,9,0.3157593945630035,0.3240594140933758,0.3170900757445343,0.322699485804799,0.005609410060264719,0.249,0.25143532536520585,0.24432470304699605,0.2562466882601457,0.011921985213149633,0.375,0.41566613545816733,0.3993258908590119,0.39034483955323285,-0.008981051305779031,29.4,39.10905710491368,39.40825485909067,29.176787528291822,-10.231467330798846,89.3,88.67853917662681,88.94419749685815,89.03434167976866,0.09014418291050674,16.7,13.758884462151393,13.95112934047205,16.50775512167934,2.5566257812072912,25.9,18.803107569721117,22.15435961439146,21.982151347738423,-0.1722082666530369,5.6,10.800929614873839,8.943594422447925,6.762963858410103,-2.1806305640378216,0.3164940950159153,0.31551449441203294,2.25,7.0,397.0,True,repeated_short_starts,high,opener_bullpen_blend,xw+plat_consol_v7,2026-07-25T01:06:00.734885+00:00,2026-07-24T22:45:00Z,posted,posted,9,9,0,0
822872,2026-07-24,2026-07-25T00:05:00Z,Seattle Mariners @ Texas Rangers,away,Bryce Miller,Texas Rangers,9,0.29622068271684526,0.3169288091219107,0.3170900757445343,0.2960700299127774,-0.021020045831756873,0.199,0.24751660026560424,0.24432470304699605,0.20159976800782545,-0.0427249350391706,0.331,0.39028525896414346,0.3993258908590119,0.3235062480903399,-0.07581964276867198,29.6,37.86244355909695,39.40825485909067,28.438923097624585,-10.969331761466083,86.4,88.48780876494024,88.94419749685815,85.9436112680821,-3.000586228776058,16.6,13.054528552456839,13.95112934047205,15.703399211984788,1.7522698715127376,29.5,21.46406374501992,22.15435961439146,28.58082524158215,6.426465627190691,4.1,7.609402390438248,8.943594422447925,3.4883681355775917,-5.455226286870333,0.28636368307247767,0.31348612795379494,5.729166666666666,7.0,885.0,False,,,starter_bullpen_blend,xw+plat_consol_v7,2026-07-25T01:06:00.734885+00:00,2026-07-25T00:05:00Z,posted,posted,9,9,0,0
822872,2026-07-24,2026-07-25T00:05:00Z,Seattle Mariners @ Texas Rangers,home,MacKenzie Gore,Seattle Mariners,9,0.31104243861339387,0.3185767329071989,0.3170900757445343,0.31250074180428217,-0.004589333940252127,0.238,0.23335166002656046,0.24432470304699605,0.2273110102814232,-0.017013692765572852,0.383,0.39108764940239044,0.3993258908590119,0.3750985677359948,-0.024227323123017064,44.1,39.11073041168659,39.40825485909067,43.76705381455142,4.358798955460749,89.8,89.1049667994688,88.94419749685815,89.96076930261066,1.0165718057525055,16.6,14.574528552456842,13.95112934047205,17.22339921198479,3.2722698715127407,25.7,24.036308100929617,22.15435961439146,27.883140336523745,5.728780722132285,8.8,9.392695883134131,8.943594422447925,9.241890884957739,0.2982964625098141,0.31163549734800355,0.31018919927263294,5.30952380952381,9.0,1082.5041067041068,False,,,starter_bullpen_blend,xw+plat_consol_v7,2026-07-25T01:06:00.734885+00:00,2026-07-25T00:05:00Z,posted,posted,9,9,0,0
822952,2026-07-24,2026-07-24T23:10:00Z,Cleveland Guardians @ Tampa Bay Rays,away,Joey Cantillo,Tampa Bay Rays,9,0.3108428749979659,0.3175632688274332,0.3170900757445343,0.311306745391803,-0.00578333035273132,0.229,0.25334316069057106,0.24432470304699605,0.23745279570433542,-0.0068719073426606325,0.367,0.38649030544488716,0.3993258908590119,0.3552034700107964,-0.04412242084821549,37.0,35.55144754316069,39.40825485909067,33.37888378463705,-6.029371074453621,87.6,88.38366533864541,88.94419749685815,87.03946784178726,-1.904729655070895,11.7,12.082310756972113,13.95112934047205,9.831181416500062,-4.1199479239719885,24.6,18.024302788844622,22.15435961439146,20.0140223560128,-2.1403372583786613,11.4,9.047091633466136,8.943594422447925,11.531923268193626,2.5883288457457017,0.3111400394076011,0.31044665578511904,5.142857142857142,8.0,1142.0,False,,,starter_bullpen_blend,xw+plat_consol_v7,2026-07-25T01:06:00.734885+00:00,2026-07-24T23:10:00Z,posted,posted,9,9,0,0
822952,2026-07-24,2026-07-24T23:10:00Z,Cleveland Guardians @ Tampa Bay Rays,home,Shane McClanahan,Cleveland Guardians,9,0.3147624514178957,0.3076460327612253,0.3170900757445343,0.30538773316554263,-0.011702342578991665,0.244,0.23042523240371848,0.24432470304699605,0.23011900149815234,-0.014205701548843708,0.405,0.366451261620186,0.3993258908590119,0.3716582479460986,-0.027667642912913293,40.7,37.630119521912356,39.40825485909067,38.86357997881596,-0.5446748802747052,89.4,88.2816733067729,88.94419749685815,88.73747580991474,-0.20672168694341053,10.0,15.481965471447543,13.95112934047205,11.530836130975494,-2.420293209496556,22.5,24.078300132802127,22.15435961439146,24.4539568020788,2.29959718768734,8.2,8.499893758300132,8.943594422447925,7.793189798848676,-1.1504046235992487,0.3159526429998487,0.31308022532720237,5.270833333333333,9.0,1177.8692307692309,False,,,starter_bullpen_blend,xw+plat_consol_v7,2026-07-25T01:06:00.734885+00:00,2026-07-24T23:10:00Z,posted,posted,9,9,0,0
823031,2026-07-24,2026-07-25T00:15:00Z,Cincinnati Reds @ St. Louis Cardinals,away,Rhett Lowder,St. Louis Cardinals,9,0.3295691818433278,0.3289206492704183,0.3170900757445343,0.34186534856664136,0.024775272822107064,0.276,0.256994422310757,0.24432470304699605,0.29031227572647617,0.045987572679480115,0.465,0.4252788844621514,0.3993258908590119,0.49522128617681027,0.0958953953177984,39.6,44.24929614873838,39.40825485909067,44.46459590143021,5.05634104233954,90.6,90.27171314741037,88.94419749685815,91.92751565055221,2.983318153694057,14.9,11.434980079681274,13.95112934047205,12.383850739209223,-1.567278601262828,18.2,20.301381142098272,22.15435961439146,16.677761994355784,-5.476597620035676,10.4,8.59195219123506,8.943594422447925,9.99109514230266,1.0475007198547353,0.33915124876571157,0.3190985357046123,4.699404761904763,8.0,959.8333333333334,False,,,starter_bullpen_blend,xw+plat_consol_v7,2026-07-25T01:06:00.734885+00:00,2026-07-25T00:15:00Z,posted,posted,9,9,0,0
823031,2026-07-24,2026-07-25T00:15:00Z,Cincinnati Reds @ St. Louis Cardinals,home,Dustin May,Cincinnati Reds,9,0.3171098428943853,0.3316974609680236,0.3170900757445343,0.33171813873096134,0.014628062986427048,0.245,0.254593625498008,0.24432470304699605,0.25529730505807263,0.010972602011076582,0.368,0.43890756972111555,0.3993258908590119,0.40447661760653764,0.005150726747525758,45.4,39.35907038512616,39.40825485909067,45.3433373762433,5.93508251715263,90.0,89.95009296148739,88.94419749685815,91.00589546462922,2.0616979677710674,11.7,16.541885790172643,13.95112934047205,14.290756449700591,0.339627109228541,22.9,24.738884462151397,22.15435961439146,25.571511162762544,3.417151548371084,7.7,10.006826029216468,8.943594422447925,8.615390723842436,-0.32820369860548837,0.3108057087800613,0.3220986666173314,3.975877192982456,7.0,1165.923076923077,False,,,starter_bullpen_blend,xw+plat_consol_v7,2026-07-25T01:06:00.734885+00:00,2026-07-25T00:15:00Z,posted,posted,9,9,0,0
823196,2026-07-24,2026-07-25T02:15:00Z,Los Angeles Angels @ San Francisco Giants,away,Grayson Rodriguez,San Francisco Giants,9,0.3282913455714475,0.31942447554013587,0.3170900757445343,0.33070820850290417,0.013618132758369872,0.313,0.26167118193891103,0.24432470304699605,0.33522226334651484,0.09089756029951879,0.543,0.4193317397078353,0.3993258908590119,0.570203785613657,0.17087789475464515,55.0,39.4062416998672,39.40825485909067,54.99719034101645,15.58893548192578,92.3,89.13867197875167,88.94419749685815,92.49447448189352,3.5502769850353673,17.6,14.735750332005313,13.95112934047205,18.384620991533268,4.4334916510612175,16.1,20.304940239043827,22.15435961439146,14.755991305487584,-7.398368308903876,10.1,6.57519256308101,8.943594422447925,7.42536409303559,-1.5182303294123347,0.34687378499385346,0.31185693077147886,4.223958333333334,8.0,1246.111111111111,False,,,starter_bullpen_blend,xw+plat_consol_v7,2026-07-25T01:06:00.734885+00:00,2026-07-25T02:15:00Z,posted,posted,9,9,0,0
823196,2026-07-24,2026-07-25T02:15:00Z,Los Angeles Angels @ San Francisco Giants,home,Logan Webb,Los Angeles Angels,9,0.3116342773139148,0.3206864162067697,0.3170900757445343,0.31516873974794707,-0.0019213359965872256,0.257,0.24588366533864542,0.24432470304699605,0.25863983954122244,0.014315136494226388,0.382,0.39842310756972116,0.3993258908590119,0.38113638653439874,-0.018189504324613137,39.8,37.04921646746348,39.40825485909067,37.41751114525429,-1.9907437138363804,88.6,87.8428154050465,88.94419749685815,87.49861790818832,-1.4455795886698297,6.9,14.010438247011955,13.95112934047205,6.959308906539903,-6.991820433932148,19.4,23.34499335989376,22.15435961439146,20.442607191757418,-1.7117524226340421,6.2,8.826401062417,8.943594422447925,6.118757627205454,-2.8248367952424704,0.3112333095725687,0.31257915376472845,6.318627450980393,8.0,851.0,False,,,starter_bullpen_blend,xw+plat_consol_v7,2026-07-25T01:06:00.734885+00:00,2026-07-25T02:15:00Z,posted,posted,9,9,0,0
