game_pk,game_date,matchup,side,pitcher,throws,opp_team,n_opp,n_LHB,n_RHB,n_SW,n_platoon_adv,n_low_sample,pit_min_split_bf,pit_low_sample,reliable,opp_OPS_raw,opp_OPS_vs_hand,pit_OPS_raw,pit_OPS_allowed,mx_OPS,edge_OPS,model_tag,model_metric,snapshot_utc,lineup_status_away,lineup_status_home,lineup_posted_away,lineup_posted_home,lineup_savant_backfill_away,lineup_savant_backfill_home,selection_rule_tag,hybrid_action,hybrid_selection,pregame_market_utc,hybrid_price_source,pregame_away_ml,pregame_home_ml,pregame_p_home,hybrid_p,hybrid_ml,game_type
822681,2026-09-25,New York Mets @ Washington Nationals,away,Jefry Yan,L,Washington Nationals,9,4,5,0,5,2,44,True,False,0.7473248339973441,0.7497492287289836,0.7727941567065073,0.7318149624675597,0.778748684746235,0.05982495243669805,xw+starter_velo_v14,xwOBA,2026-09-26T05:32:28.289794+00:00,posted,posted,9,9,0,0,lean,,,2026-09-26T05:32:28.289794+00:00,saved_pregame,-108.0,-112.0,0.5043297540699688,,,R
822681,2026-09-25,New York Mets @ Washington Nationals,home,Andrew Alvarez,L,New York Mets,9,4,4,1,5,0,125,False,True,0.6956127490039841,0.7036998252240664,0.6783675962815405,0.6641894376245249,0.6639035704659177,-0.05502016184361924,xw+starter_velo_v14,xwOBA,2026-09-26T05:32:28.289794+00:00,posted,posted,9,9,0,0,lean,,,2026-09-26T05:32:28.289794+00:00,saved_pregame,-108.0,-112.0,0.5043297540699688,,,R
822760,2026-09-25,Cincinnati Reds @ Toronto Blue Jays,away,Nick Lodolo,L,Toronto Blue Jays,9,2,6,1,7,0,115,False,True,0.6890231075697212,0.7010520756285918,0.8632318725099603,0.837102396960628,0.8188982812973333,0.09997454898779634,xw+starter_velo_v14,xwOBA,2026-09-26T05:32:28.289794+00:00,posted,posted,9,9,0,0,lean,,,2026-09-26T05:32:28.289794+00:00,saved_pregame,143.0,-174.0,0.6067851094974311,,,R
822760,2026-09-25,Cincinnati Reds @ Toronto Blue Jays,home,José Soriano,R,Cincinnati Reds,9,3,4,2,5,0,313,False,True,0.6645017264276228,0.6959628925890424,0.665388047808765,0.6906105985082884,0.6647203825634146,-0.0542033497461224,xw+starter_velo_v14,xwOBA,2026-09-26T05:32:28.289794+00:00,posted,posted,9,9,0,0,lean,,,2026-09-26T05:32:28.289794+00:00,saved_pregame,143.0,-174.0,0.6067851094974311,,,R
823085,2026-09-25,Los Angeles Angels @ Seattle Mariners,away,Reid Detmers,L,Seattle Mariners,9,3,5,1,6,1,207,False,True,0.7134247011952192,0.7121306316454283,0.6075051792828685,0.6119368063364399,0.6138778717874062,-0.10504586052213083,xw+starter_velo_v14,xwOBA,2026-09-26T05:32:28.289794+00:00,posted,posted,9,9,0,0,lean,,,2026-09-26T05:32:28.289794+00:00,saved_pregame,-105.0,-115.0,0.5108342361863488,,,R
823085,2026-09-25,Los Angeles Angels @ Seattle Mariners,home,Bryce Miller,R,Los Angeles Angels,9,3,6,0,3,0,220,False,True,0.6769559096945551,0.6885396568996501,0.6758355909694557,0.6905555824968505,0.6672538215082446,-0.05166991080129235,xw+starter_velo_v14,xwOBA,2026-09-26T05:32:28.289794+00:00,posted,posted,9,9,0,0,lean,,,2026-09-26T05:32:28.289794+00:00,saved_pregame,-105.0,-115.0,0.5108342361863488,,,R
823167,2026-09-25,Los Angeles Dodgers @ San Francisco Giants,away,Tarik Skubal,L,San Francisco Giants,9,4,5,0,5,4,144,False,True,0.6775495351925631,0.6668628098610376,0.6254953519256308,0.6205429675802762,0.5874541743863521,-0.13146955792318493,xw+starter_velo_v14,xwOBA,2026-09-26T05:32:28.289794+00:00,posted,posted,9,9,0,0,lean,,,2026-09-26T05:32:28.289794+00:00,saved_pregame,-337.0,264.0,0.26267070590498176,,,R
823167,2026-09-25,Los Angeles Dodgers @ San Francisco Giants,home,Yunior Marte,R,Los Angeles Dodgers,9,4,5,0,4,0,50,False,True,0.7974236387782204,0.7845966643675863,0.8256786188579017,0.7703292863736609,0.8407863208000627,0.12186258849052567,xw+starter_velo_v14,xwOBA,2026-09-26T05:32:28.289794+00:00,posted,posted,9,9,0,0,lean,,,2026-09-26T05:32:28.289794+00:00,saved_pregame,-337.0,264.0,0.26267070590498176,,,R
823248,2026-09-25,Arizona Diamondbacks @ San Diego Padres,away,Brandon Pfaadt,R,San Diego Padres,9,3,6,0,3,0,261,False,True,0.6388807436918991,0.688557342890036,0.6492138114209828,0.6651131758550165,0.6420719484955735,-0.07685178381396351,xw+starter_velo_v14,xwOBA,2026-09-26T05:32:28.289794+00:00,posted,posted,9,9,0,0,lean,,,2026-09-26T05:32:28.289794+00:00,saved_pregame,-115.0,-105.0,0.4891657638136511,,,R
823248,2026-09-25,Arizona Diamondbacks @ San Diego Padres,home,Casey Mize,R,Arizona Diamondbacks,9,2,4,3,5,0,240,False,True,0.7525660026560425,0.7463242897694119,0.7354780876494024,0.7819266265389115,0.8136743438466983,0.09475061153716136,xw+starter_velo_v14,xwOBA,2026-09-26T05:32:28.289794+00:00,posted,posted,9,9,0,0,lean,,,2026-09-26T05:32:28.289794+00:00,saved_pregame,-115.0,-105.0,0.4891657638136511,,,R
