game_pk,game_date,matchup,side,pitcher,throws,opp_team,n_opp,n_LHB,n_RHB,n_SW,n_platoon_adv,n_low_sample,pit_min_split_bf,pit_low_sample,reliable,opp_OPS_raw,opp_OPS_vs_hand,pit_OPS_raw,pit_OPS_allowed,mx_OPS,edge_OPS,model_tag,snapshot_utc,lineup_status_away,lineup_status_home,lineup_posted_away,lineup_posted_home,lineup_savant_backfill_away,lineup_savant_backfill_home
822703,2026-07-28,Toronto Blue Jays @ Washington Nationals,away,Shane Bieber,R,Washington Nationals,9,5,2,2,7,0,64,False,True,0.7590018592297477,0.7689010388437707,0.8018579017264277,0.8010766344647031,0.832340082203586,0.1111134804899434,xw+plat_consol_v9,2026-07-29T04:40:12.217371+00:00,posted,posted,9,9,0,0
822703,2026-07-28,Toronto Blue Jays @ Washington Nationals,home,Cade Cavalli,R,Toronto Blue Jays,9,3,5,1,4,0,202,False,True,0.7162239043824703,0.7150683149204627,0.6663824701195219,0.6815304303953297,0.6770645334841682,-0.04416206822947444,xw+plat_consol_v9,2026-07-29T04:40:12.217371+00:00,posted,posted,9,9,0,0
822949,2026-07-28,Texas Rangers @ Tampa Bay Rays,away,Cal Quantrill,R,Tampa Bay Rays,9,5,4,0,5,0,110,False,True,0.7680541832669323,0.7641573937039075,0.7045747675962817,0.7133852541687271,0.7493169891700092,0.028090387456366606,xw+plat_consol_v9,2026-07-29T04:40:12.217371+00:00,posted,posted,9,9,0,0
822949,2026-07-28,Texas Rangers @ Tampa Bay Rays,home,Griffin Jax,R,Texas Rangers,9,5,4,0,5,0,142,False,True,0.6936799468791501,0.7277493771935373,0.708114475431607,0.7130526266254625,0.715411603321688,-0.005814998391954651,xw+plat_consol_v9,2026-07-29T04:40:12.217371+00:00,posted,posted,9,9,0,0
823026,2026-07-28,Chicago Cubs @ St. Louis Cardinals,away,Colin Rea,R,St. Louis Cardinals,9,4,5,0,4,1,197,False,True,0.7251463479415672,0.739132143867987,0.7654079681274901,0.7600074400685244,0.7798066541573694,0.05858005244372677,xw+plat_consol_v9,2026-07-29T04:40:12.217371+00:00,posted,posted,9,9,0,0
823026,2026-07-28,Chicago Cubs @ St. Louis Cardinals,home,Michael McGreevy,R,Chicago Cubs,9,3,5,1,4,2,175,False,True,0.7344260292164675,0.7646471398192995,0.713265604249668,0.7133799697186413,0.7574674117567466,0.03624081004310398,xw+plat_consol_v9,2026-07-29T04:40:12.217371+00:00,posted,posted,9,9,0,0
823193,2026-07-28,Milwaukee Brewers @ San Francisco Giants,away,Logan Henderson,R,San Francisco Giants,9,6,3,0,6,2,53,False,True,0.7427840637450199,0.7571243241186856,0.5891585657370518,0.6395602812248677,0.6609815844565851,-0.060245017257057554,xw+plat_consol_v9,2026-07-29T04:40:12.217371+00:00,posted,posted,9,9,0,0
823193,2026-07-28,Milwaukee Brewers @ San Francisco Giants,home,Landen Roupp,R,Milwaukee Brewers,9,4,4,1,5,0,192,False,True,0.7956424966799469,0.7737601788795537,0.6570974767596283,0.6675381634084966,0.7127547314062311,-0.008471870307411478,xw+plat_consol_v9,2026-07-29T04:40:12.217371+00:00,posted,posted,9,9,0,0
823275,2026-07-28,Colorado Rockies @ San Diego Padres,away,Michael Lorenzen,R,San Diego Padres,9,3,5,1,4,0,217,False,True,0.6899771580345286,0.6932808859681127,0.8874212483399736,0.8759774628714126,0.8419989489516579,0.12077234723801533,xw+plat_consol_v9,2026-07-29T04:40:12.217371+00:00,posted,posted,9,9,0,0
823275,2026-07-28,Colorado Rockies @ San Diego Padres,home,Michael King,R,Colorado Rockies,9,5,2,2,7,0,196,False,True,0.8188950863213811,0.8064120348644538,0.6098114209827357,0.6362822687616112,0.6960000166183694,-0.025226585095273202,xw+plat_consol_v9,2026-07-29T04:40:12.217371+00:00,posted,posted,9,9,0,0
823350,2026-07-28,Arizona Diamondbacks @ Pittsburgh Pirates,away,Brandon Pfaadt,R,Pittsburgh Pirates,9,2,4,3,5,1,137,False,True,0.7802416998671979,0.7861635146533447,0.7214754316069057,0.7253865111484928,0.7862653039501905,0.06503870223654784,xw+plat_consol_v9,2026-07-29T04:40:12.217371+00:00,posted,posted,9,9,0,0
823350,2026-07-28,Arizona Diamondbacks @ Pittsburgh Pirates,home,Bubba Chandler,R,Arizona Diamondbacks,9,2,4,3,5,1,215,False,True,0.7290905710491368,0.7303396099175895,0.7120239043824702,0.714978694854619,0.7172177416749889,-0.00400886003865375,xw+plat_consol_v9,2026-07-29T04:40:12.217371+00:00,posted,posted,9,9,0,0
823598,2026-07-28,Atlanta Braves @ New York Mets,away,Chris Sale,L,New York Mets,9,4,4,1,5,1,112,False,True,0.66691208499336,0.6892554865253596,0.5857187250996015,0.5995113541407631,0.5850850862659702,-0.1361415154476724,xw+plat_consol_v9,2026-07-29T04:40:12.217371+00:00,projected,projected,0,0,0,0
823598,2026-07-28,Atlanta Braves @ New York Mets,home,Christian Scott,R,Atlanta Braves,9,5,3,1,6,0,106,False,True,0.7866377158034529,0.7769253730232367,0.6670937583001328,0.6850840680269563,0.7273935107450941,0.006166909031451451,xw+plat_consol_v9,2026-07-29T04:40:12.217371+00:00,projected,projected,0,0,0,0
823676,2026-07-28,Kansas City Royals @ Minnesota Twins,away,Seth Lugo,R,Minnesota Twins,9,3,5,1,4,0,186,False,True,0.7693484727755644,0.7643122230196683,0.7850980079681276,0.7765432567292501,0.8255310572499224,0.10430445553627976,xw+plat_consol_v9,2026-07-29T04:40:12.217371+00:00,posted,posted,9,9,0,0
823676,2026-07-28,Kansas City Royals @ Minnesota Twins,home,Taj Bradley,R,Kansas City Royals,9,4,4,1,5,0,209,False,True,0.7183102257636123,0.7163301654862372,0.6706547144754316,0.6767075660749539,0.6679081907933402,-0.05331841092030243,xw+plat_consol_v9,2026-07-29T04:40:12.217371+00:00,posted,posted,9,9,0,0
