game_pk,game_date,matchup,side,pitcher,opp_team,n_opp,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%
822884,2026-07-02,Detroit Tigers @ Texas Rangers,away,Framber Valdez,Texas Rangers,9,0.321,0.327,0.318,0.33,0.012,0.251,0.256,0.245,0.262,0.017,0.401,0.406,0.401,0.406,0.005,41.9,43.429,39.505,46.062,6.557,90.0,89.909,88.995,90.914,1.919,7.6,12.504,13.984,6.12,-7.864,18.5,21.547,22.115,18.025,-4.09,8.2,9.147,9.018,8.317,-0.701
822884,2026-07-02,Detroit Tigers @ Texas Rangers,home,Nathan Eovaldi,Detroit Tigers,9,0.312,0.333,0.318,0.327,0.009,0.246,0.253,0.245,0.254,0.009,0.413,0.43,0.401,0.443,0.042,38.0,41.192,39.505,39.623,0.118,88.5,89.025,88.995,88.53,-0.465,9.8,17.617,13.984,13.433,-0.551,24.4,21.671,22.115,23.91,1.795,5.6,9.446,9.018,5.866,-3.152
823119,2026-07-02,Los Angeles Angels @ Seattle Mariners,away,Walbert Ureña,Seattle Mariners,9,0.283,0.337,0.318,0.3,-0.018,0.205,0.259,0.245,0.217,-0.028,0.303,0.433,0.401,0.327,-0.074,33.7,40.518,39.505,34.564,-4.941,87.1,89.416,88.995,87.521,-1.474,6.0,13.797,13.984,5.813,-8.171,22.0,21.466,22.115,21.354,-0.761,11.8,8.64,9.018,11.305,2.287
823119,2026-07-02,Los Angeles Angels @ Seattle Mariners,home,Bryce Miller,Los Angeles Angels,9,0.237,0.309,0.318,0.23,-0.088,0.191,0.238,0.245,0.186,-0.059,0.338,0.394,0.401,0.332,-0.069,27.9,38.613,39.505,27.27,-12.235,86.0,88.5,88.995,85.505,-3.49,16.3,15.42,13.984,17.736,3.752,33.1,23.904,22.115,35.778,13.663,3.1,7.056,9.018,2.426,-6.592
823442,2026-07-02,Pittsburgh Pirates @ Philadelphia Phillies,away,Jared Jones,Philadelphia Phillies,9,0.338,0.32,0.318,0.34,0.022,0.259,0.254,0.245,0.269,0.024,0.457,0.413,0.401,0.471,0.07,40.8,41.67,39.505,43.036,3.531,90.3,89.471,88.995,90.776,1.781,11.0,12.529,13.984,9.545,-4.439,22.7,21.597,22.115,22.168,0.053,8.2,7.978,9.018,7.254,-1.764
823442,2026-07-02,Pittsburgh Pirates @ Philadelphia Phillies,home,Alan Rangel,Pittsburgh Pirates,9,0.27,0.33,0.318,0.28,-0.038,0.22,0.256,0.245,0.23,-0.015,0.346,0.416,0.401,0.359,-0.042,25.7,41.052,39.505,26.706,-12.799,85.9,88.881,88.995,85.786,-3.209,25.3,11.639,13.984,22.955,8.971,25.5,23.219,22.115,26.773,4.658,3.9,9.376,9.018,4.055,-4.963
823765,2026-07-02,Cincinnati Reds @ Milwaukee Brewers,away,Chase Burns,Milwaukee Brewers,9,0.27,0.326,0.318,0.277,-0.041,0.203,0.249,0.245,0.206,-0.039,0.34,0.411,0.401,0.348,-0.053,36.0,41.061,39.505,37.418,-2.087,88.8,89.887,88.995,89.692,0.697,19.6,9.266,13.984,14.882,0.898,30.5,21.514,22.115,29.671,7.556,7.9,10.554,9.018,9.246,0.228
823765,2026-07-02,Cincinnati Reds @ Milwaukee Brewers,home,Jacob Misiorowski,Cincinnati Reds,9,0.228,0.332,0.318,0.238,-0.08,0.175,0.248,0.245,0.177,-0.068,0.244,0.428,0.401,0.26,-0.141,33.2,39.632,39.505,33.307,-6.198,87.1,89.733,88.995,87.838,-1.157,10.8,15.838,13.984,12.654,-1.33,38.8,24.85,22.115,43.598,21.483,7.2,10.119,9.018,8.079,-0.939
823935,2026-07-02,San Diego Padres @ Los Angeles Dodgers,away,Randy Vásquez,Los Angeles Dodgers,9,0.397,0.355,0.318,0.443,0.125,0.308,0.268,0.245,0.337,0.092,0.562,0.461,0.401,0.646,0.245,47.0,44.11,39.505,52.479,12.974,91.9,90.209,88.995,93.114,4.119,17.4,14.831,13.984,18.247,4.263,17.0,21.13,22.115,16.243,-5.872,7.4,10.862,9.018,8.913,-0.105
823935,2026-07-02,San Diego Padres @ Los Angeles Dodgers,home,Roki Sasaki,San Diego Padres,9,0.331,0.319,0.318,0.332,0.014,0.244,0.247,0.245,0.246,0.001,0.423,0.4,0.401,0.422,0.021,45.1,42.688,39.505,48.734,9.229,90.2,89.461,88.995,90.666,1.671,13.4,9.947,13.984,9.363,-4.621,23.2,20.827,22.115,21.849,-0.266,9.6,8.743,9.018,9.307,0.289
