game_pk,game_date,matchup,side,pitcher,throws,opp_team,n_opp,n_LHB,n_RHB,n_SW,n_platoon_adv,n_low_sample,pit_min_split_bf,pit_low_sample,reliable,opp_OPS_raw,opp_OPS_vs_hand,pit_OPS_raw,pit_OPS_allowed,mx_OPS,edge_OPS
822711,2026-07-11,New York Yankees @ Washington Nationals,away,Cam Schlittler,R,Washington Nationals,9,5,2,2,7,0,181,False,True,0.785,0.789,0.586,0.607,0.645,-0.077
822711,2026-07-11,New York Yankees @ Washington Nationals,home,PJ Poulin,L,New York Yankees,9,4,4,1,5,1,67,False,True,0.78,0.758,0.66,0.679,0.735,0.013
822875,2026-07-11,Houston Astros @ Texas Rangers,away,Peter Lambert,R,Texas Rangers,9,4,5,0,4,0,147,False,True,0.741,0.741,0.646,0.653,0.674,-0.048
822875,2026-07-11,Houston Astros @ Texas Rangers,home,Kumar Rocker,R,Houston Astros,9,3,6,0,3,1,158,False,True,0.804,0.792,0.616,0.661,0.743,0.021
822953,2026-07-11,Seattle Mariners @ Tampa Bay Rays,away,Logan Gilbert,R,Tampa Bay Rays,9,4,5,0,4,0,178,False,True,0.78,0.774,0.631,0.642,0.69,-0.032
822953,2026-07-11,Seattle Mariners @ Tampa Bay Rays,home,Griffin Jax,R,Seattle Mariners,9,6,2,1,7,0,104,False,True,0.741,0.743,0.736,0.74,0.742,0.02
823030,2026-07-11,Atlanta Braves @ St. Louis Cardinals,away,Reynaldo López,R,St. Louis Cardinals,9,4,5,0,4,0,102,False,True,0.773,0.765,0.681,0.694,0.738,0.016
823030,2026-07-11,Atlanta Braves @ St. Louis Cardinals,home,Matthew Liberatore,L,Atlanta Braves,9,5,3,1,4,0,94,False,True,0.742,0.742,0.872,0.811,0.857,0.135
823198,2026-07-11,Colorado Rockies @ San Francisco Giants,away,Kyle Freeland,L,San Francisco Giants,9,5,4,0,4,2,86,False,True,0.709,0.726,0.894,0.857,0.89,0.168
823198,2026-07-11,Colorado Rockies @ San Francisco Giants,home,Tyler Mahle,R,Colorado Rockies,9,6,3,0,6,0,145,False,True,0.806,0.795,0.797,0.79,0.859,0.137
823276,2026-07-11,Toronto Blue Jays @ San Diego Padres,away,Trey Yesavage,R,San Diego Padres,9,3,5,1,4,0,130,False,True,0.678,0.683,0.612,0.633,0.604,-0.118
823276,2026-07-11,Toronto Blue Jays @ San Diego Padres,home,Walker Buehler,R,Toronto Blue Jays,9,3,5,1,4,0,172,False,True,0.713,0.714,0.752,0.743,0.74,0.018
823356,2026-07-11,Milwaukee Brewers @ Pittsburgh Pirates,away,Shane Drohan,L,Pittsburgh Pirates,9,2,6,1,7,3,87,False,True,0.746,0.737,0.671,0.677,0.7,-0.022
823356,2026-07-11,Milwaukee Brewers @ Pittsburgh Pirates,home,Bubba Chandler,R,Milwaukee Brewers,9,5,4,0,5,0,188,False,True,0.789,0.782,0.73,0.728,0.781,0.059
823357,2026-07-11,Milwaukee Brewers @ Pittsburgh Pirates,away,Brandon Sproat,R,Pittsburgh Pirates,9,3,4,2,5,1,167,False,True,0.81,0.802,0.771,0.773,0.844,0.122
823357,2026-07-11,Milwaukee Brewers @ Pittsburgh Pirates,home,Braxton Ashcraft,R,Milwaukee Brewers,9,4,4,1,5,1,194,False,True,0.821,0.809,0.675,0.685,0.76,0.038
823603,2026-07-11,Boston Red Sox @ New York Mets,away,Eduardo Rivera,L,New York Mets,9,4,3,2,5,3,4,True,False,0.716,0.725,0.173,0.659,0.685,-0.037
823603,2026-07-11,Boston Red Sox @ New York Mets,home,Freddy Peralta,R,Boston Red Sox,9,4,4,1,5,1,154,False,True,0.65,0.67,0.738,0.748,0.693,-0.029
823682,2026-07-11,Los Angeles Angels @ Minnesota Twins,away,Ryan Johnson,R,Minnesota Twins,9,4,2,3,7,1,59,False,True,0.754,0.753,0.866,0.814,0.83,0.108
823682,2026-07-11,Los Angeles Angels @ Minnesota Twins,home,Joe Ryan,R,Los Angeles Angels,9,2,7,0,2,0,178,False,True,0.729,0.724,0.589,0.611,0.628,-0.094
823844,2026-07-11,Cleveland Guardians @ Miami Marlins,away,Tanner Bibee,R,Miami Marlins,9,5,3,1,6,0,195,False,True,0.783,0.777,0.702,0.71,0.752,0.03
823844,2026-07-11,Cleveland Guardians @ Miami Marlins,home,Eury Pérez,R,Cleveland Guardians,9,6,1,2,8,0,146,False,True,0.693,0.705,0.653,0.692,0.65,-0.072
823926,2026-07-11,Arizona Diamondbacks @ Los Angeles Dodgers,away,Brandon Pfaadt,R,Los Angeles Dodgers,9,5,3,1,6,0,96,False,True,0.816,0.807,0.824,0.785,0.864,0.142
823926,2026-07-11,Arizona Diamondbacks @ Los Angeles Dodgers,home,Yoshinobu Yamamoto,R,Arizona Diamondbacks,9,1,4,4,5,0,199,False,True,0.7,0.716,0.559,0.587,0.576,-0.146
824249,2026-07-11,Philadelphia Phillies @ Detroit Tigers,away,Cristopher Sánchez,L,Detroit Tigers,9,3,6,0,6,2,116,False,True,0.744,0.735,0.581,0.644,0.666,-0.056
824249,2026-07-11,Philadelphia Phillies @ Detroit Tigers,home,Casey Mize,R,Philadelphia Phillies,9,5,4,0,5,0,120,False,True,0.774,0.767,0.594,0.624,0.652,-0.07
824492,2026-07-11,Chicago Cubs @ Cincinnati Reds,away,Javier Assad,R,Cincinnati Reds,9,3,4,2,5,0,109,False,True,0.716,0.726,0.695,0.704,0.707,-0.015
824492,2026-07-11,Chicago Cubs @ Cincinnati Reds,home,Nick Lodolo,L,Chicago Cubs,9,3,5,1,6,1,65,False,True,0.779,0.751,0.813,0.776,0.817,0.095
824576,2026-07-11,Athletics @ Chicago White Sox,away,Gage Jump,L,Chicago White Sox,9,3,5,1,6,1,51,False,True,0.792,0.78,0.726,0.706,0.773,0.051
824576,2026-07-11,Athletics @ Chicago White Sox,home,Bryan Hudson,L,Athletics,9,4,4,1,5,2,78,False,True,0.766,0.737,0.628,0.654,0.676,-0.046
824813,2026-07-11,Kansas City Royals @ Baltimore Orioles,away,Noah Cameron,L,Baltimore Orioles,9,3,4,2,6,0,99,False,True,0.693,0.711,0.775,0.753,0.748,0.026
824813,2026-07-11,Kansas City Royals @ Baltimore Orioles,home,Kyle Bradish,R,Kansas City Royals,9,4,4,1,5,0,168,False,True,0.727,0.727,0.73,0.729,0.728,0.006
