game_pk,game_date,matchup,side,pitcher,throws,opp_team,n_opp,n_LHB,n_RHB,n_SW,n_platoon_adv,n_low_sample,pit_min_split_bf,pit_low_sample,reliable,opp_OPS_raw,opp_OPS_vs_hand,pit_OPS_raw,pit_OPS_allowed,mx_OPS,edge_OPS,model_tag,model_metric,snapshot_utc,lineup_status_away,lineup_status_home,lineup_posted_away,lineup_posted_home,lineup_savant_backfill_away,lineup_savant_backfill_home,selection_rule_tag,hybrid_action,hybrid_selection,pregame_market_utc,pregame_away_ml,pregame_home_ml,pregame_p_home,hybrid_p,hybrid_ml
822853,2026-09-03,Tampa Bay Rays @ Texas Rangers,away,Shane McClanahan,L,Texas Rangers,9,5,4,0,4,0,105,False,True,0.6956738379814077,0.7142880701634506,0.5613859229747675,0.5928002799318502,0.6046150632636595,-0.11468328278831807,xw+plat_consol_v12,xwOBA,2026-09-03T17:31:16.198482+00:00,projected,projected,0,0,0,0,xwoba_market_hybrid_v1,,,2026-09-03T17:31:16.198482+00:00,-131.0,109.0,0.45761603835258224,,
822853,2026-09-03,Tampa Bay Rays @ Texas Rangers,home,Cal Quantrill,R,Tampa Bay Rays,9,5,3,1,6,0,164,False,True,0.7735609561752987,0.767324014744147,0.6606127490039839,0.6715637556764447,0.7070570618760493,-0.012241284175928291,xw+plat_consol_v12,xwOBA,2026-09-03T17:31:16.198482+00:00,projected,projected,0,0,0,0,xwoba_market_hybrid_v1,,,2026-09-03T17:31:16.198482+00:00,-131.0,109.0,0.45761603835258224,,
823095,2026-09-03,Athletics @ Seattle Mariners,away,Jack Perkins,R,Seattle Mariners,9,4,4,1,5,0,207,False,True,0.7127686586985392,0.7141080639118885,0.8179976095617529,0.8042920274532228,0.7956646607659656,0.07636631471398803,xw+plat_consol_v12,xwOBA,2026-09-03T17:31:16.198482+00:00,projected,projected,0,0,0,0,xwoba_market_hybrid_v1,,,2026-09-03T17:31:16.198482+00:00,177.0,-217.0,0.654717947042229,,
823095,2026-09-03,Athletics @ Seattle Mariners,home,Kade Anderson,L,Athletics,9,4,4,1,5,2,9,True,False,0.7347128818061089,0.7232177035142687,0.8642483399734396,0.7185173019900708,0.7356317440745529,0.016333398022575274,xw+plat_consol_v12,xwOBA,2026-09-03T17:31:16.198482+00:00,projected,projected,0,0,0,0,xwoba_market_hybrid_v1,,,2026-09-03T17:31:16.198482+00:00,177.0,-217.0,0.654717947042229,,
823337,2026-09-03,San Francisco Giants @ Pittsburgh Pirates,away,Blade Tidwell,R,Pittsburgh Pirates,9,4,3,2,6,0,70,False,True,0.7591601593625499,0.7588629929571159,0.7585930942895086,0.7300184501026982,0.7608520463712286,0.041553700319250986,xw+plat_consol_v12,xwOBA,2026-09-03T17:31:16.198482+00:00,posted,posted,9,9,0,0,xwoba_market_hybrid_v1,,,2026-09-03T17:31:16.198482+00:00,144.0,-175.0,0.6082621082621081,,
823337,2026-09-03,San Francisco Giants @ Pittsburgh Pirates,home,Lake Bachar,R,San Francisco Giants,9,5,4,0,5,3,135,False,True,0.8225614873837981,0.7441521818533849,0.6428034528552458,0.6633827185530135,0.6829277564253677,-0.036370589626609884,xw+plat_consol_v12,xwOBA,2026-09-03T17:31:16.198482+00:00,posted,posted,9,9,0,0,xwoba_market_hybrid_v1,,,2026-09-03T17:31:16.198482+00:00,144.0,-175.0,0.6082621082621081,,
823907,2026-09-03,St. Louis Cardinals @ Los Angeles Dodgers,away,Quinn Mathews,L,Los Angeles Dodgers,9,5,2,2,4,0,15,True,False,0.720717662682603,0.7373761223066438,0.6768201859229748,0.7030303722786236,0.7410104890088405,0.021712142956862857,xw+plat_consol_v12,xwOBA,2026-09-03T17:31:16.198482+00:00,projected,projected,0,0,0,0,xwoba_market_hybrid_v1,,,2026-09-03T17:31:16.198482+00:00,246.0,-311.0,0.7236157249875593,,
823907,2026-09-03,St. Louis Cardinals @ Los Angeles Dodgers,home,Tarik Skubal,L,St. Louis Cardinals,9,5,4,0,4,1,118,False,True,0.6435891102257636,0.6732122372887729,0.6627981407702523,0.6445614776290454,0.6149215897423105,-0.10437675630966714,xw+plat_consol_v12,xwOBA,2026-09-03T17:31:16.198482+00:00,projected,projected,0,0,0,0,xwoba_market_hybrid_v1,,,2026-09-03T17:31:16.198482+00:00,246.0,-311.0,0.7236157249875593,,
824069,2026-09-03,Miami Marlins @ Kansas City Royals,away,Sandy Alcantara,R,Kansas City Royals,9,5,3,1,6,0,314,False,True,0.7384347941567065,0.7370326891464325,0.6655203187250995,0.6708863257892109,0.679906415753642,-0.03939193029833565,xw+plat_consol_v12,xwOBA,2026-09-03T17:31:16.198482+00:00,projected,projected,0,0,0,0,xwoba_market_hybrid_v1,,,2026-09-03T17:31:16.198482+00:00,-102.0,-118.0,0.5173641257162701,,
824069,2026-09-03,Miami Marlins @ Kansas City Royals,home,Michael Wacha,R,Miami Marlins,9,5,4,0,5,0,280,False,True,0.7577590969455511,0.7534461834654649,0.6896409030544489,0.6863764144108049,0.7157679887976796,-0.0035303572542980666,xw+plat_consol_v12,xwOBA,2026-09-03T17:31:16.198482+00:00,projected,projected,0,0,0,0,xwoba_market_hybrid_v1,,,2026-09-03T17:31:16.198482+00:00,-102.0,-118.0,0.5173641257162701,,
