game_pk,game_date,matchup,side,pitcher,throws,opp_team,n_opp,n_LHB,n_RHB,n_SW,n_platoon_adv,n_low_sample,pit_min_split_bf,pit_low_sample,reliable,opp_OPS_raw,opp_OPS_vs_hand,pit_OPS_raw,pit_OPS_allowed,mx_OPS,edge_OPS,model_tag,model_metric,snapshot_utc,lineup_status_away,lineup_status_home,lineup_posted_away,lineup_posted_home,lineup_savant_backfill_away,lineup_savant_backfill_home
822695,2026-08-24,Colorado Rockies @ Washington Nationals,away,Ryan Feltner,R,Washington Nationals,9,4,3,2,6,0,195,False,True,0.6722159362549801,0.6867030708428055,0.8810334661354582,0.8598943375276249,0.8100304838330934,0.09094160960473474,xw+plat_consol_v12,xwOBA,2026-08-24T09:08:11.515652+00:00,projected,projected,0,0,0,0
822695,2026-08-24,Colorado Rockies @ Washington Nationals,home,Cade Cavalli,R,Colorado Rockies,9,5,2,2,7,0,244,False,True,0.7707266932270916,0.765796216172067,0.7000151394422311,0.7017400099085787,0.7339495252612105,0.014860651032851835,xw+plat_consol_v12,xwOBA,2026-08-24T09:08:11.515652+00:00,projected,projected,0,0,0,0
823097,2026-08-24,Philadelphia Phillies @ Seattle Mariners,away,Zack Wheeler,R,Seattle Mariners,9,3,4,2,5,0,190,False,True,0.6917771580345285,0.698778711209925,0.6083681274900399,0.6294282348144962,0.6076811441449709,-0.11140773008338778,xw+plat_consol_v12,xwOBA,2026-08-24T09:08:11.515652+00:00,projected,projected,0,0,0,0
823097,2026-08-24,Philadelphia Phillies @ Seattle Mariners,home,Logan Gilbert,R,Philadelphia Phillies,9,6,3,0,6,0,255,False,True,0.7778714475431607,0.7724673314998127,0.6413333333333333,0.6528900579616794,0.6906511302805962,-0.02843774394776244,xw+plat_consol_v12,xwOBA,2026-08-24T09:08:11.515652+00:00,projected,projected,0,0,0,0
823183,2026-08-24,Cincinnati Reds @ San Francisco Giants,away,Chase Burns,R,San Francisco Giants,9,5,4,0,5,0,199,False,True,0.7468146082337318,0.7367699632785943,0.6031827357237716,0.6268470000841571,0.6396577594784685,-0.07943111474989017,xw+plat_consol_v12,xwOBA,2026-08-24T09:08:11.515652+00:00,projected,projected,0,0,0,0
823260,2026-08-24,Pittsburgh Pirates @ San Diego Padres,away,Braxton Ashcraft,R,San Diego Padres,9,3,5,1,4,0,256,False,True,0.709105710491368,0.7082023416522495,0.6480446215139442,0.6633410614911073,0.6535156178390307,-0.06557325638932798,xw+plat_consol_v12,xwOBA,2026-08-24T09:08:11.515652+00:00,projected,projected,0,0,0,0
823260,2026-08-24,Pittsburgh Pirates @ San Diego Padres,home,Robbie Ray,L,Pittsburgh Pirates,9,3,4,2,6,0,150,False,True,0.7017803452855246,0.716148831397372,0.6938804780876494,0.6895200532027819,0.6947585536238859,-0.02433032060447271,xw+plat_consol_v12,xwOBA,2026-08-24T09:08:11.515652+00:00,projected,projected,0,0,0,0
823828,2026-08-24,Boston Red Sox @ Miami Marlins,away,Ranger Suarez,L,Miami Marlins,9,4,4,1,5,0,125,False,True,0.7228257636122177,0.7378019979210406,0.6638788844621513,0.6442991017572948,0.6701166262657998,-0.048972247962558835,xw+plat_consol_v12,xwOBA,2026-08-24T09:08:11.515652+00:00,projected,projected,0,0,0,0
823828,2026-08-24,Boston Red Sox @ Miami Marlins,home,Sandy Alcantara,R,Boston Red Sox,9,2,6,1,3,0,298,False,True,0.7285317397078354,0.7330772972125581,0.6532438247011954,0.6591892142380953,0.6777837602234079,-0.04130511400495074,xw+plat_consol_v12,xwOBA,2026-08-24T09:08:11.515652+00:00,projected,projected,0,0,0,0
823992,2026-08-24,Cleveland Guardians @ Los Angeles Angels,away,Parker Messick,L,Los Angeles Angels,9,2,6,1,7,0,161,False,True,0.6391128818061089,0.688570629032176,0.6044541832669323,0.610513456003245,0.5843505489453645,-0.13473832528299412,xw+plat_consol_v12,xwOBA,2026-08-24T09:08:11.515652+00:00,projected,projected,0,0,0,0
823992,2026-08-24,Cleveland Guardians @ Los Angeles Angels,home,George Klassen,R,Cleveland Guardians,9,4,1,4,8,0,46,True,False,0.7042916334661354,0.7111616436392986,0.7095922974767597,0.7229865857564868,0.6965666611925967,-0.022522213035761962,xw+plat_consol_v12,xwOBA,2026-08-24T09:08:11.515652+00:00,projected,projected,0,0,0,0
824235,2026-08-24,Tampa Bay Rays @ Detroit Tigers,away,Drew Rasmussen,R,Detroit Tigers,9,4,5,0,4,0,202,False,True,0.7601258964143426,0.7543361627281099,0.557149535192563,0.582702876651827,0.6120638594889187,-0.10702501473943993,xw+plat_consol_v12,xwOBA,2026-08-24T09:08:11.515652+00:00,projected,projected,0,0,0,0
824235,2026-08-24,Tampa Bay Rays @ Detroit Tigers,home,Framber Valdez,L,Tampa Bay Rays,9,5,3,1,4,0,140,False,True,0.6455641434262949,0.6822893749946719,0.7017856573705179,0.6981933211585806,0.6817937364853027,-0.03729513774305593,xw+plat_consol_v12,xwOBA,2026-08-24T09:08:11.515652+00:00,projected,projected,0,0,0,0
824557,2026-08-24,Texas Rangers @ Chicago White Sox,away,Kumar Rocker,R,Chicago White Sox,9,5,3,1,6,0,234,False,True,0.7576486055776893,0.7600271989669549,0.7778478087649402,0.7701788132302095,0.8050331306474436,0.08594425641908499,xw+plat_consol_v12,xwOBA,2026-08-24T09:08:11.515652+00:00,projected,projected,0,0,0,0
824964,2026-08-24,Minnesota Twins @ Athletics,away,Zebby Matthews,R,Athletics,9,4,4,1,5,0,183,False,True,0.6825458167330678,0.6973936081466057,0.7969442231075697,0.7868412496730578,0.7581918353357583,0.039102961107399636,xw+plat_consol_v12,xwOBA,2026-08-24T09:08:11.515652+00:00,projected,projected,0,0,0,0
824964,2026-08-24,Minnesota Twins @ Athletics,home,Jeffrey Springs,L,Minnesota Twins,9,2,4,3,7,0,148,False,True,0.7086005312084992,0.7245684320784869,0.8638010624169986,0.843387920436019,0.8519842094807213,0.13289533525236263,xw+plat_consol_v12,xwOBA,2026-08-24T09:08:11.515652+00:00,projected,projected,0,0,0,0
825041,2026-08-24,Chicago Cubs @ Arizona Diamondbacks,away,Kevin Gausman,R,Arizona Diamondbacks,9,2,5,2,4,0,260,False,True,0.7329081009296149,0.7339720997060448,0.7256650730411687,0.7200983514844675,0.7367018493443821,0.017612975116023444,xw+plat_consol_v12,xwOBA,2026-08-24T09:08:11.515652+00:00,projected,projected,0,0,0,0
825041,2026-08-24,Chicago Cubs @ Arizona Diamondbacks,home,Merrill Kelly,R,Chicago Cubs,9,3,5,1,4,0,223,False,True,0.7502456839309429,0.7525702886320406,0.8292911022576362,0.8246978203330745,0.865352618716607,0.1462637444882483,xw+plat_consol_v12,xwOBA,2026-08-24T09:08:11.515652+00:00,projected,projected,0,0,0,0
