game_pk,game_date,matchup,side,pitcher,throws,opp_team,n_opp,n_LHB,n_RHB,n_SW,n_platoon_adv,n_low_sample,pit_min_split_bf,pit_low_sample,reliable,opp_OPS_raw,opp_OPS_vs_hand,pit_OPS_raw,pit_OPS_allowed,mx_OPS,edge_OPS,model_tag,snapshot_utc
822788,2026-07-20,Tampa Bay Rays @ Toronto Blue Jays,away,Nick Martinez,R,Toronto Blue Jays,9,3,6,0,3,0,176,False,True,0.693,0.697,0.671,0.676,0.66,-0.062,xw+plat_consol_v4,2026-07-21T00:13:05.882145+00:00
822788,2026-07-20,Tampa Bay Rays @ Toronto Blue Jays,home,Dylan Cease,R,Tampa Bay Rays,9,5,3,1,6,0,172,False,True,0.758,0.756,0.549,0.583,0.602,-0.12,xw+plat_consol_v4,2026-07-21T00:13:05.882145+00:00
822874,2026-07-20,Chicago White Sox @ Texas Rangers,away,Erick Fedde,R,Texas Rangers,9,4,5,0,4,0,173,False,True,0.736,0.74,0.783,0.763,0.786,0.064,xw+plat_consol_v4,2026-07-21T00:13:05.882145+00:00
822874,2026-07-20,Chicago White Sox @ Texas Rangers,home,Jacob deGrom,R,Chicago White Sox,9,6,2,1,7,0,166,False,True,0.797,0.789,0.619,0.646,0.69,-0.032,xw+plat_consol_v4,2026-07-21T00:13:05.882145+00:00
823112,2026-07-20,Cincinnati Reds @ Seattle Mariners,away,Andrew Abbott,L,Seattle Mariners,9,4,4,1,5,1,127,False,True,0.646,0.687,0.742,0.725,0.705,-0.017,xw+plat_consol_v4,2026-07-21T00:13:05.882145+00:00
823112,2026-07-20,Cincinnati Reds @ Seattle Mariners,home,George Kirby,R,Cincinnati Reds,9,1,6,2,3,0,214,False,True,0.681,0.702,0.753,0.741,0.729,0.007,xw+plat_consol_v4,2026-07-21T00:13:05.882145+00:00
823436,2026-07-20,Los Angeles Dodgers @ Philadelphia Phillies,away,Emmet Sheehan,R,Philadelphia Phillies,9,6,3,0,6,0,160,False,True,0.738,0.745,0.767,0.768,0.782,0.06,xw+plat_consol_v4,2026-07-21T00:13:05.882145+00:00
823436,2026-07-20,Los Angeles Dodgers @ Philadelphia Phillies,home,Cristopher Sánchez,L,Los Angeles Dodgers,9,3,5,1,6,1,126,False,True,0.826,0.778,0.625,0.668,0.725,0.003,xw+plat_consol_v4,2026-07-21T00:13:05.882145+00:00
823522,2026-07-20,Pittsburgh Pirates @ New York Yankees,away,Braxton Ashcraft,R,New York Yankees,9,6,2,1,7,0,194,False,True,0.724,0.736,0.702,0.71,0.708,-0.014,xw+plat_consol_v4,2026-07-21T00:13:05.882145+00:00
823522,2026-07-20,Pittsburgh Pirates @ New York Yankees,home,Ryan Weathers,L,Pittsburgh Pirates,9,2,6,1,7,1,91,False,True,0.76,0.746,0.718,0.715,0.742,0.02,xw+plat_consol_v4,2026-07-21T00:13:05.882145+00:00
823762,2026-07-20,New York Mets @ Milwaukee Brewers,away,Freddy Peralta,R,Milwaukee Brewers,9,4,5,0,4,0,163,False,True,0.774,0.769,0.747,0.755,0.806,0.084,xw+plat_consol_v4,2026-07-21T00:13:05.882145+00:00
