game_pk,game_date,game_datetime_utc,matchup,side,pitcher,opp_team,n_opp,starter_rate_basis,starter_rate_bf,opp_xwOBA_neutral,opp_xwOBA_vs_sp,platoon_delta_sp,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,starter_xwOBA,mx_xwOBA_sp,edge_xwOBA_sp,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%,bullpen_xwOBA,expected_sp_ip,sp_share,bp_share,mx_xwOBA_bp,edge_xwOBA_bp,bullpen_pitchers,bullpen_relief_bf,sp_bf_per_ip,bp_bf_per_ip,opener,opener_reason,opener_confidence,pitching_basis,model_tag,model_metric,snapshot_utc,scheduled_start_utc
822777,2026-08-14,2026-08-14T23:15:00Z,New York Yankees @ Toronto Blue Jays,away,Gerrit Cole,Toronto Blue Jays,9,measured,329.0,0.31215483803945476,0.3111391673887244,-0.0010156706507303825,0.28734353290734355,0.3111391673887244,0.3154982790112137,0.28367161781833183,-0.031826661192881855,0.28686648715862223,0.28290296937908027,-0.03259530963213342,0.239,0.24741062416998671,0.24343892127113034,0.24289928195487465,-0.0005396393162556967,0.376,0.36413625498007973,0.39633008783228185,0.34545757709530617,-0.050872510736975685,43.3,33.50363877822045,39.17678783247826,37.029772969142776,-2.1470148633354853,90.2,87.58034528552459,88.89232734153263,88.88801794399195,-0.004309397540680493,20.6,12.010491367861887,14.01658030711011,18.59391106075178,4.57733075364167,26.4,17.949189907038512,22.099220643133144,21.44232238764755,-0.6568982554855936,5.2,7.066135458167332,8.931771708836349,4.113842760459135,-4.817928948377214,0.288351531894588,6.1190476190476195,0.6787667487935469,0.3212332512064531,0.2852957740976602,-0.030202504913553474,7.0,1351.5940438871473,4.078512396694214,4.0996754179410795,False,,,starter_bullpen_sequential,shadow_xw+plat_consol_v1,xwOBA,2026-08-14T20:49:27.951564+00:00,2026-08-14T23:15:00Z
822777,2026-08-14,2026-08-14T23:15:00Z,New York Yankees @ Toronto Blue Jays,home,Shane Bieber,New York Yankees,9,measured,195.0,0.32425668264019364,0.3269661115910568,0.0027094289508631797,0.3110981225792056,0.3269661115910568,0.3154982790112137,0.3213805505585875,0.005882271547373807,0.3355463545761799,0.3477429010331561,0.03224462202194239,0.302,0.25088950863213816,0.24343892127113034,0.31124288265522804,0.0678039613840977,0.547,0.4385136786188579,0.39633008783228185,0.6052202181178374,0.2088901302855556,44.3,46.79758300132802,39.17678783247826,52.917378929167,13.740591096688739,89.5,91.12948207171316,88.89232734153263,91.7371547301805,2.8448273886478717,11.0,13.794820717131474,14.01658030711011,10.778240410021363,-3.2383398970887463,16.4,25.658539176626828,22.099220643133144,19.041397400022543,-3.057823243110601,11.8,9.519681274900398,8.931771708836349,12.576702887814806,3.6449311789784566,0.27852135012012397,4.902777777777778,0.5712717214110113,0.42872827858898865,0.28625325411429375,-0.029245024896919936,7.0,1210.5769020251778,4.5703125,4.104289527768574,False,,,starter_bullpen_sequential,shadow_xw+plat_consol_v1,xwOBA,2026-08-14T20:49:27.951564+00:00,2026-08-14T23:15:00Z
822942,2026-08-14,2026-08-14T23:10:00Z,Baltimore Orioles @ Tampa Bay Rays,away,Chris Bassitt,Tampa Bay Rays,9,measured,261.0,0.3173144882478563,0.31921488665423076,0.0019003984063744594,0.3152141379618985,0.31921488665423076,0.3154982790112137,0.3181367376390287,0.0026384586278150324,0.329325335077955,0.3332048271031599,0.017706548091946217,0.284,0.24412563081009298,0.24343892127113034,0.28480112706730315,0.04136220579617281,0.407,0.37834130146082334,0.39633008783228185,0.38852692344598905,-0.007803164386292805,34.5,34.35096945551129,39.17678783247826,30.250270932949316,-8.926516899528945,87.4,88.1126427622842,88.89232734153263,86.62031542075157,-2.2720119207810683,9.8,13.813173970783534,14.01658030711011,9.596593663673426,-4.419986643436683,14.2,17.689402390438246,22.099220643133144,11.366442192714828,-10.732778450418316,8.4,9.599282868525897,8.931771708836349,9.027769486746399,0.09599777791004982,0.29735836321260567,4.808333333333334,0.5585694767869979,0.44143052321300214,0.2990701475289964,-0.01642813148221728,8.0,977.0,4.633136094674556,4.2001813803151045,False,,,starter_bullpen_sequential,shadow_xw+plat_consol_v1,xwOBA,2026-08-14T20:49:27.951564+00:00,2026-08-14T23:10:00Z
822942,2026-08-14,2026-08-14T23:10:00Z,Baltimore Orioles @ Tampa Bay Rays,home,Steven Matz,Baltimore Orioles,9,measured,265.0,0.3171872581390571,0.3202722514989509,0.0030849933598937618,0.29784062048324816,0.3202722514989509,0.3154982790112137,0.2999859654120232,-0.015512313599190475,0.32208684746170024,0.3269605150876004,0.01146223607638669,0.274,0.23277556440903058,0.24343892127113034,0.26199797598116525,0.01855905471003491,0.466,0.42299043824701194,0.39633008783228185,0.4973469092422821,0.10101682141000023,35.9,42.14406374501993,39.17678783247826,38.619089827265896,-0.5576980052123659,87.9,90.24039840637451,88.89232734153263,89.24807106484188,0.35574372330924575,14.5,16.548605577689244,14.01658030711011,17.032025270579133,3.015444963469024,18.1,26.83346613545817,22.099220643133144,21.977505220425467,-0.12171542270767688,7.5,9.7399203187251,8.931771708836349,8.17860160019196,-0.7531701086443885,0.2927003572006328,1.5,0.1749192651776261,0.8250807348223739,0.2942672906101384,-0.02123098840107529,8.0,1135.657894736842,4.2287234042553195,3.9893126811395176,True,reliever_spot_start,medium,opener_bullpen_sequential,shadow_xw+plat_consol_v1,xwOBA,2026-08-14T20:49:27.951564+00:00,2026-08-14T23:10:00Z
823185,2026-08-14,2026-08-15T02:15:00Z,Colorado Rockies @ San Francisco Giants,away,Kyle Freeland,San Francisco Giants,9,measured,509.0,0.3142968370131583,0.3115531451140879,-0.0027436918990704218,0.331877758949963,0.3115531451140879,0.3154982790112137,0.3286592795809628,0.013161000569749115,0.34452696356793205,0.34021884180351075,0.024720562792297063,0.283,0.23900796812749003,0.24343892127113034,0.2778489759439346,0.03441005467280425,0.479,0.387264807436919,0.39633008783228185,0.46804380605285667,0.07171371822057482,42.5,37.72491367861886,39.17678783247826,40.924969096423204,1.748181263944943,90.1,87.96682602921648,88.89232734153263,89.17449868768385,0.2821713461512161,14.3,14.162868525896414,14.01658030711011,14.446288218786306,0.4297079116761964,18.9,22.093386454183264,22.099220643133144,18.89501040453266,-3.204210238600485,5.1,7.100132802124834,8.931771708836349,4.0541427245630155,-4.877628984273334,0.3081374152104928,5.845238095238095,0.6523945696241893,0.3476054303758107,0.30696400395460144,-0.00853427505661225,7.0,946.3333333333333,4.517751479289941,4.459992927536959,False,,,starter_bullpen_sequential,shadow_xw+plat_consol_v1,xwOBA,2026-08-14T20:49:27.951564+00:00,2026-08-15T02:15:00Z
823185,2026-08-14,2026-08-15T02:15:00Z,Colorado Rockies @ San Francisco Giants,home,Landen Roupp,Colorado Rockies,9,measured,522.0,0.3083408973265036,0.3104351868351357,0.002094289508632108,0.302702671656868,0.3104351868351357,0.3154982790112137,0.29702213683598583,-0.01847614217522786,0.3021904233397963,0.29734089461053487,-0.018157384400678822,0.226,0.24375883134130147,0.24343892127113034,0.22629699308344434,-0.017141928187686006,0.327,0.4596047808764941,0.39633008783228185,0.37920604052199364,-0.017124047310288215,29.0,41.38499335989376,39.17678783247826,30.634589353493674,-8.542198478984588,86.1,88.75508632138114,88.89232734153263,85.96275897984849,-2.9295683616841472,9.7,19.653227091633468,14.01658030711011,15.336646784523358,1.3200664774132491,23.6,22.933917662682603,22.099220643133144,24.491382098014768,2.3921614548816237,10.9,6.472403718459495,8.931771708836349,7.8986793248883655,-1.0330923839479835,0.30344446747095394,5.349637681159421,0.5915228943348011,0.4084771056651989,0.2965605380859508,-0.018937740925262903,8.0,819.5837837837838,4.221024258760108,4.271716345507809,False,,,starter_bullpen_sequential,shadow_xw+plat_consol_v1,xwOBA,2026-08-14T20:49:27.951564+00:00,2026-08-15T02:15:00Z
823346,2026-08-14,2026-08-14T22:40:00Z,Boston Red Sox @ Pittsburgh Pirates,away,Jake Bennett,Pittsburgh Pirates,9,measured,305.0,0.3131691203379924,0.3196039144946988,0.006434794156706447,0.2902633511423055,0.3196039144946988,0.3154982790112137,0.29197511818409994,-0.023523160827113754,0.2966798746162915,0.30054062284058614,-0.014957656170627553,0.225,0.2449192563081009,0.24343892127113034,0.2263682092476388,-0.01707071202349153,0.352,0.3924775564409031,0.39633008783228185,0.3485783797612176,-0.04775170807106427,35.5,38.15322709163347,39.17678783247826,34.57250164420405,-4.604286188274209,87.8,88.27261620185924,88.89232734153263,87.1802888603266,-1.7120384812060365,11.7,12.56913678618858,14.01658030711011,10.25255647907847,-3.7640238280316396,18.0,21.43660026560425,22.099220643133144,17.460290161896445,-4.638930481236699,5.2,10.544515272244356,8.931771708836349,6.138925311024795,-2.7928463978115543,0.27900225482653224,5.836538461538462,0.6370255978860285,0.3629744021139715,0.27694252719912915,-0.03855575181208454,7.0,883.5,3.9782608695652173,4.182203542879959,False,,,starter_bullpen_sequential,shadow_xw+plat_consol_v1,xwOBA,2026-08-14T20:49:27.951564+00:00,2026-08-14T22:40:00Z
823346,2026-08-14,2026-08-14T22:40:00Z,Boston Red Sox @ Pittsburgh Pirates,home,Bubba Chandler,Boston Red Sox,9,measured,508.0,0.32283393533144417,0.3219640814137815,-0.0008698539176626441,0.3023792778219931,0.3219640814137815,0.3154982790112137,0.30891165409623633,-0.006586624914977357,0.30837165923332166,0.31469140912673954,-0.0008068698844741484,0.231,0.2516525896414343,0.24343892127113034,0.23879397716533185,-0.004644944105798493,0.368,0.39353333333333335,0.39633008783228185,0.36540316042811116,-0.03092692740417069,37.4,36.22913678618858,39.17678783247826,34.586033995369036,-4.590753837109226,88.9,87.85564409030546,88.89232734153263,87.86331674877282,-1.0290105927598177,16.8,13.829057104913678,14.01658030711011,16.612476797803566,2.595896490693457,20.3,18.94531208499336,22.099220643133144,17.402868704551725,-4.696351938581419,12.2,9.704913678618858,8.931771708836349,13.256042668669537,4.324270959833187,0.2938960896462658,5.225378787878789,0.5860348447575415,0.41396515524245847,0.30072947306205305,-0.014768805949160635,8.0,729.4791666666667,4.366762177650431,4.270161388372161,False,,,starter_bullpen_sequential,shadow_xw+plat_consol_v1,xwOBA,2026-08-14T20:49:27.951564+00:00,2026-08-14T22:40:00Z
823591,2026-08-14,2026-08-14T23:10:00Z,Washington Nationals @ New York Mets,away,Andrew Alvarez,New York Mets,9,measured,296.0,0.321366228924641,0.324149495856912,0.002783266932270989,0.3077058115706959,0.324149495856912,0.3154982790112137,0.31495428954372007,-0.0005439894674936219,0.30947407484733214,0.31796010316424406,0.0024618241530303675,0.258,0.25261567065073043,0.24343892127113034,0.26772564833747314,0.0242867270663428,0.368,0.4103779548472776,0.39633008783228185,0.38104371083657446,-0.015286376995707396,42.3,42.33614873837982,39.17678783247826,45.711228273514685,6.534440441036423,89.7,89.38177954847278,88.89232734153263,90.18945220694015,1.2971248654075112,7.9,12.297397078353255,14.01658030711011,6.180816771243146,-7.835763535866963,22.0,21.873413014608236,22.099220643133144,21.775206198093162,-0.3240144450399818,10.8,8.508818061088977,8.931771708836349,10.28857857717607,1.3568068683397208,0.30546666556214974,5.027777777777778,0.5587515148067117,0.4412484851932883,0.31114803757900517,-0.004350241432208524,9.0,723.9310344827586,4.269230769230769,4.267334453548582,False,,,starter_bullpen_sequential,shadow_xw+plat_consol_v1,xwOBA,2026-08-14T20:49:27.951564+00:00,2026-08-14T23:10:00Z
823591,2026-08-14,2026-08-14T23:10:00Z,Washington Nationals @ New York Mets,home,Robert Stock,Washington Nationals,9,measured,41.0,0.3095118748482701,0.3110483954325995,0.0015365205843294039,0.3125112671881269,0.3110483954325995,0.3154982790112137,0.3073527010139324,-0.008145577997281273,0.32507232957121374,0.3204874106748118,0.004989131663598101,0.255,0.2548509960159363,0.24343892127113034,0.26695404187929517,0.023515120608164825,0.453,0.41878671978751664,0.39633008783228185,0.4786676305636081,0.08233754273132626,29.6,38.14236387782204,39.17678783247826,28.818441563183995,-10.358346269294266,86.3,88.4334395750332,88.89232734153263,85.84111223350057,-3.0512151080320677,15.1,12.707304116865869,14.01658030711011,13.79072380975576,-0.22585649735434998,19.5,20.305444887118195,22.099220643133144,17.917200868431514,-4.1820197747016294,12.2,7.296892430278885,8.931771708836349,9.966901366425585,1.035129657589236,0.3005817543086803,4.0,0.48710627462053846,0.5128937253794615,0.2948783828958859,-0.020619896115327774,7.0,199.0,5.125,4.317054375236591,False,,,starter_bullpen_sequential,shadow_xw+plat_consol_v1,xwOBA,2026-08-14T20:49:27.951564+00:00,2026-08-14T23:10:00Z
