game_pk,game_date,matchup,side,pitcher,throws,opp_team,n_opp,n_LHB,n_RHB,n_SW,n_platoon_adv,n_low_sample,pit_min_split_bf,pit_low_sample,reliable,opp_OPS_raw,opp_OPS_vs_hand,pit_OPS_raw,pit_OPS_allowed,mx_OPS,edge_OPS,model_tag,model_metric,snapshot_utc,lineup_status_away,lineup_status_home,lineup_posted_away,lineup_posted_home,lineup_savant_backfill_away,lineup_savant_backfill_home
822693,2026-08-25,Colorado Rockies @ Washington Nationals,away,Mason Adams,R,Washington Nationals,9,4,4,1,5,1,0,True,False,0.7347545816733068,0.7151298816894812,,0.7300432145973431,0.7217707172169782,0.002647706020749485,xw+plat_consol_v12,xwOBA,2026-08-26T00:25:36.289793+00:00,posted,posted,9,9,0,0
822693,2026-08-25,Colorado Rockies @ Washington Nationals,home,Andrew Alvarez,L,Colorado Rockies,9,3,4,2,6,1,97,False,True,0.6844289508632138,0.7433244651838984,0.6765713147410358,0.6788843957289645,0.7116300980758657,-0.007492913120362932,xw+plat_consol_v12,xwOBA,2026-08-26T00:25:36.289793+00:00,posted,posted,9,9,0,0
822773,2026-08-25,Kansas City Royals @ Toronto Blue Jays,away,Seth Lugo,R,Toronto Blue Jays,9,4,4,1,5,0,223,False,True,0.7001513944223108,0.7096156724128075,0.7793059760956176,0.7766665221116963,0.7617895610922789,0.04266654989605023,xw+plat_consol_v12,xwOBA,2026-08-26T00:25:36.289793+00:00,posted,posted,9,9,0,0
822773,2026-08-25,Kansas City Royals @ Toronto Blue Jays,home,Max Scherzer,R,Kansas City Royals,9,5,3,1,6,0,71,False,True,0.7203383798140771,0.7227636398780961,0.8552557768924304,0.8141583618722028,0.8080135489182962,0.08889053772206756,xw+plat_consol_v12,xwOBA,2026-08-26T00:25:36.289793+00:00,posted,posted,9,9,0,0
823016,2026-08-25,Baltimore Orioles @ St. Louis Cardinals,away,Chris Bassitt,R,St. Louis Cardinals,9,4,5,0,4,1,115,False,True,0.6286690571049137,0.7068903822739263,0.7660597609561753,0.779062159364604,0.7682023818079089,0.04907937061168022,xw+plat_consol_v12,xwOBA,2026-08-26T00:25:36.289793+00:00,posted,posted,9,9,0,0
823016,2026-08-25,Baltimore Orioles @ St. Louis Cardinals,home,Matthew Liberatore,L,Baltimore Orioles,9,4,4,1,5,1,128,False,True,0.7068656042496679,0.7087835072335843,0.8214183266932271,0.7812068941124104,0.7854945003202195,0.06637148912399082,xw+plat_consol_v12,xwOBA,2026-08-26T00:25:36.289793+00:00,posted,posted,9,9,0,0
823098,2026-08-25,Philadelphia Phillies @ Seattle Mariners,away,Aaron Nola,R,Seattle Mariners,9,4,3,2,6,1,227,False,True,0.7302000000000001,0.7291809232080285,0.8312775564409031,0.8229980748308615,0.8249232782988685,0.10580026710263979,xw+plat_consol_v12,xwOBA,2026-08-26T00:25:36.289793+00:00,posted,posted,9,9,0,0
823098,2026-08-25,Philadelphia Phillies @ Seattle Mariners,home,George Kirby,R,Philadelphia Phillies,9,7,2,0,7,0,278,False,True,0.746675962815405,0.7630760033107593,0.7856254980079683,0.7814011158113684,0.8130278547236566,0.0939048435274279,xw+plat_consol_v12,xwOBA,2026-08-26T00:25:36.289793+00:00,posted,posted,9,9,0,0
823181,2026-08-25,Cincinnati Reds @ San Francisco Giants,away,Brady Singer,R,San Francisco Giants,9,7,2,0,7,3,209,False,True,0.640970517928287,0.7206645364510944,0.8291235059760955,0.82068183776643,0.8062759983703056,0.08715298717407693,xw+plat_consol_v12,xwOBA,2026-08-26T00:25:36.289793+00:00,posted,posted,9,9,0,0
823181,2026-08-25,Cincinnati Reds @ San Francisco Giants,home,Adrian Houser,R,Cincinnati Reds,9,3,5,1,4,0,182,False,True,0.6690483399734396,0.6851353260302346,0.7045277556440903,0.7289001170415533,0.6946332061399174,-0.024489805056311265,xw+plat_consol_v12,xwOBA,2026-08-26T00:25:36.289793+00:00,posted,posted,9,9,0,0
