gamePk,date,away,home,venue,pythag_tag,pythag_basis,home_prior_games_all,away_prior_games_all,home_prior_games_split,away_prior_games_split,home_rs_hat,home_ra_hat,away_rs_hat,away_ra_hat,home_strength,away_strength,league_hfa_p,pythag_p_home,pythag_p_away,pythag_split_p_home,pythag_lean,pythag_lean_p,final_home_runs,final_away_runs,home_win,pythag_grade_fg,is_doubleheader_pair,pythag_split_basis
824216,2026-03-27,Los Angeles Angels,Houston Astros,Daikin Park,pythag_v1,league,1.0,1.0,1.0,1.0,4.87603305785124,4.900826446280992,4.900826446280992,4.87603305785124,0.497679639747713,0.502320360252287,0.529126213592233,0.529126213592233,0.470873786407767,0.529126213592233,Houston Astros,0.529126213592233,2.0,6.0,0.0,L,False,league
824946,2026-03-27,Kansas City Royals,Atlanta Braves,Truist Park,pythag_v1,league,0.0,0.0,0.0,0.0,4.916666666666667,4.916666666666667,4.916666666666667,4.916666666666667,0.5,0.5,0.529126213592233,0.529126213592233,0.470873786407767,0.529126213592233,Atlanta Braves,0.529126213592233,6.0,0.0,1.0,W,False,league
822838,2026-03-28,Athletics,Toronto Blue Jays,Rogers Centre,pythag_v1,league,1.0,1.0,1.0,1.0,4.115702479338843,4.107438016528926,4.107438016528926,4.115702479338843,0.5009195972626812,0.49908040273731885,0.530952380952381,0.530952380952381,0.46904761904761905,0.530952380952381,Toronto Blue Jays,0.530952380952381,8.0,7.0,1.0,W,False,league
823082,2026-03-28,Tampa Bay Rays,St. Louis Cardinals,Busch Stadium,pythag_v1,league,1.0,1.0,1.0,1.0,4.1652892561983474,4.148760330578512,4.148760330578512,4.1652892561983474,0.501819079857716,0.498180920142284,0.530952380952381,0.530952380952381,0.46904761904761905,0.530952380952381,St. Louis Cardinals,0.530952380952381,6.0,5.0,1.0,W,False,league
823161,2026-03-28,Cleveland Guardians,Seattle Mariners,T-Mobile Park,pythag_v1,league,2.0,2.0,2.0,2.0,4.131147540983607,4.114754098360656,4.114754098360656,4.131147540983607,0.501819079857716,0.4981809201422841,0.530952380952381,0.530952380952381,0.46904761904761905,0.530952380952381,Seattle Mariners,0.530952380952381,5.0,6.0,0.0,L,False,league
823241,2026-03-28,New York Yankees,San Francisco Giants,Oracle Park,pythag_v1,league,2.0,2.0,2.0,2.0,4.057377049180328,4.139344262295082,4.139344262295082,4.057377049180328,0.49085071636152083,0.5091492836384791,0.530952380952381,0.530952380952381,0.46904761904761905,0.530952380952381,San Francisco Giants,0.530952380952381,1.0,3.0,0.0,L,False,league
823323,2026-03-28,Detroit Tigers,San Diego Padres,Petco Park,pythag_v1,league,2.0,2.0,2.0,2.0,4.090163934426229,4.163934426229508,4.163934426229508,4.090163934426229,0.4918227557101128,0.5081772442898871,0.530952380952381,0.530952380952381,0.46904761904761905,0.530952380952381,San Diego Padres,0.530952380952381,3.0,0.0,1.0,W,False,league
823488,2026-03-28,Texas Rangers,Philadelphia Phillies,Citizens Bank Park,pythag_v1,league,1.0,1.0,1.0,1.0,4.132231404958677,4.115702479338843,4.115702479338843,4.132231404958677,0.5018336615688445,0.4981663384311555,0.530952380952381,0.530952380952381,0.46904761904761905,0.530952380952381,Philadelphia Phillies,0.530952380952381,4.0,5.0,0.0,L,False,league
823651,2026-03-28,Pittsburgh Pirates,New York Mets,Citi Field,pythag_v1,league,1.0,1.0,1.0,1.0,4.181818181818182,4.148760330578512,4.148760330578512,4.181818181818182,0.5036309076139838,0.49636909238601623,0.530952380952381,0.530952380952381,0.46904761904761905,0.530952380952381,New York Mets,0.530952380952381,4.0,2.0,1.0,W,False,league
823811,2026-03-28,Chicago White Sox,Milwaukee Brewers,American Family Field,pythag_v1,league,1.0,1.0,1.0,1.0,4.206611570247934,4.107438016528926,4.107438016528926,4.206611570247934,0.5109132971047561,0.4890867028952439,0.530952380952381,0.530952380952381,0.46904761904761905,0.530952380952381,Milwaukee Brewers,0.530952380952381,6.0,1.0,1.0,W,False,league
823892,2026-03-28,Colorado Rockies,Miami Marlins,loanDepot park,pythag_v1,league,1.0,1.0,1.0,1.0,4.107438016528926,4.099173553719008,4.099173553719008,4.107438016528926,0.5009214494193858,0.4990785505806143,0.530952380952381,0.530952380952381,0.46904761904761905,0.530952380952381,Miami Marlins,0.530952380952381,4.0,3.0,1.0,W,False,league
823973,2026-03-28,Arizona Diamondbacks,Los Angeles Dodgers,UNIQLO Field at Dodger Stadium,pythag_v1,league,2.0,2.0,2.0,2.0,4.163934426229508,4.10655737704918,4.10655737704918,4.163934426229508,0.5063476299728017,0.4936523700271984,0.530952380952381,0.530952380952381,0.46904761904761905,0.530952380952381,Los Angeles Dodgers,0.530952380952381,3.0,2.0,1.0,W,False,league
824213,2026-03-28,Los Angeles Angels,Houston Astros,Daikin Park,pythag_v1,league,2.0,2.0,2.0,2.0,4.073770491803279,4.131147540983607,4.131147540983607,4.073770491803279,0.4936016435869934,0.5063983564130067,0.530952380952381,0.530952380952381,0.46904761904761905,0.530952380952381,Houston Astros,0.530952380952381,11.0,9.0,1.0,W,False,league
824540,2026-03-28,Boston Red Sox,Cincinnati Reds,Great American Ball Park,pythag_v1,league,1.0,1.0,1.0,1.0,4.090909090909091,4.115702479338843,4.115702479338843,4.090909090909091,0.49723566930184687,0.5027643306981531,0.530952380952381,0.530952380952381,0.46904761904761905,0.530952380952381,Cincinnati Reds,0.530952380952381,6.0,5.0,1.0,W,False,league
824701,2026-03-28,Washington Nationals,Chicago Cubs,Wrigley Field,pythag_v1,league,1.0,1.0,1.0,1.0,4.12396694214876,4.1735537190082646,4.1735537190082646,4.12396694214876,0.49453202540926444,0.5054679745907356,0.530952380952381,0.530952380952381,0.46904761904761905,0.530952380952381,Chicago Cubs,0.530952380952381,10.0,2.0,1.0,W,False,league
824862,2026-03-28,Minnesota Twins,Baltimore Orioles,Oriole Park at Camden Yards,pythag_v1,league,1.0,1.0,1.0,1.0,4.107438016528926,4.099173553719008,4.099173553719008,4.107438016528926,0.5009214494193858,0.4990785505806143,0.530952380952381,0.530952380952381,0.46904761904761905,0.530952380952381,Baltimore Orioles,0.530952380952381,1.0,4.0,0.0,L,False,league
824945,2026-03-28,Kansas City Royals,Atlanta Braves,Truist Park,pythag_v1,league,1.0,1.0,1.0,1.0,4.140495867768595,4.090909090909091,4.090909090909091,4.140495867768595,0.5055118915795408,0.49448810842045915,0.530952380952381,0.530952380952381,0.46904761904761905,0.530952380952381,Atlanta Braves,0.530952380952381,6.0,2.0,1.0,W,False,league
822837,2026-03-29,Athletics,Toronto Blue Jays,Rogers Centre,pythag_v1,league,2.0,2.0,2.0,2.0,4.291569086651053,4.275175644028103,4.275175644028103,4.291569086651053,0.5017509517867383,0.49824904821326166,0.5379310344827586,0.5379310344827586,0.4620689655172414,0.5379310344827586,Toronto Blue Jays,0.5379310344827586,5.0,2.0,1.0,W,False,league
823079,2026-03-29,Tampa Bay Rays,St. Louis Cardinals,Busch Stadium,pythag_v1,league,2.0,2.0,2.0,2.0,4.3243559718969555,4.299765807962529,4.299765807962529,4.3243559718969555,0.5026089446960723,0.4973910553039277,0.5379310344827586,0.5379310344827586,0.4620689655172414,0.5379310344827586,St. Louis Cardinals,0.5379310344827586,7.0,11.0,0.0,L,False,league
823160,2026-03-29,Cleveland Guardians,Seattle Mariners,T-Mobile Park,pythag_v1,league,3.0,3.0,3.0,3.0,4.281068524970964,4.272938443670151,4.272938443670151,4.281068524970964,0.5008696531527289,0.49913034684727103,0.5379310344827586,0.5379310344827586,0.4620689655172414,0.5379310344827586,Seattle Mariners,0.5379310344827586,8.0,0.0,1.0,W,False,league
823487,2026-03-29,Texas Rangers,Philadelphia Phillies,Citizens Bank Park,pythag_v1,league,2.0,2.0,2.0,2.0,4.275175644028103,4.2669789227166275,4.2669789227166275,4.275175644028103,0.5008779979962292,0.4991220020037707,0.5379310344827586,0.5379310344827586,0.4620689655172414,0.5379310344827586,Philadelphia Phillies,0.5379310344827586,3.0,8.0,0.0,L,False,league
823647,2026-03-29,Pittsburgh Pirates,New York Mets,Citi Field,pythag_v1,league,2.0,2.0,2.0,2.0,4.3243559718969555,4.275175644028103,4.275175644028103,4.3243559718969555,0.5052327091375849,0.49476729086241517,0.5379310344827586,0.5379310344827586,0.4620689655172414,0.5379310344827586,New York Mets,0.5379310344827586,3.0,4.0,0.0,L,False,league
823810,2026-03-29,Chicago White Sox,Milwaukee Brewers,American Family Field,pythag_v1,league,2.0,2.0,2.0,2.0,4.365339578454332,4.22599531615925,4.22599531615925,4.365339578454332,0.5148374781948526,0.48516252180514746,0.5379310344827586,0.5379310344827586,0.4620689655172414,0.5379310344827586,Milwaukee Brewers,0.5379310344827586,9.0,7.0,1.0,W,False,league
823891,2026-03-29,Colorado Rockies,Miami Marlins,loanDepot park,pythag_v1,league,2.0,2.0,2.0,2.0,4.250585480093677,4.234192037470726,4.234192037470726,4.250585480093677,0.5017678667621758,0.4982321332378242,0.5379310344827586,0.5379310344827586,0.4620689655172414,0.5379310344827586,Miami Marlins,0.5379310344827586,4.0,3.0,1.0,W,False,league
824215,2026-03-29,Los Angeles Angels,Houston Astros,Daikin Park,pythag_v1,league,3.0,3.0,3.0,3.0,4.272938443670151,4.313588850174216,4.313588850174216,4.272938443670151,0.4956682756632956,0.5043317243367044,0.5379310344827586,0.5379310344827586,0.4620689655172414,0.5379310344827586,Houston Astros,0.5379310344827586,9.0,7.0,1.0,W,False,league
824538,2026-03-29,Boston Red Sox,Cincinnati Reds,Great American Ball Park,pythag_v1,league,2.0,2.0,2.0,2.0,4.250585480093677,4.2669789227166275,4.2669789227166275,4.250585480093677,0.498238938294416,0.501761061705584,0.5379310344827586,0.5379310344827586,0.4620689655172414,0.5379310344827586,Cincinnati Reds,0.5379310344827586,3.0,2.0,1.0,W,False,league
824700,2026-03-29,Washington Nationals,Chicago Cubs,Wrigley Field,pythag_v1,league,2.0,2.0,2.0,2.0,4.31615925058548,4.299765807962529,4.299765807962529,4.31615925058548,0.5017409572832122,0.4982590427167878,0.5379310344827586,0.5379310344827586,0.4620689655172414,0.5379310344827586,Chicago Cubs,0.5379310344827586,3.0,6.0,0.0,L,False,league
824864,2026-03-29,Minnesota Twins,Baltimore Orioles,Oriole Park at Camden Yards,pythag_v1,league,2.0,2.0,2.0,2.0,4.22599531615925,4.242388758782202,4.242388758782202,4.22599531615925,0.4982287109494433,0.5017712890505568,0.5379310344827586,0.5379310344827586,0.4620689655172414,0.5379310344827586,Baltimore Orioles,0.5379310344827586,8.0,6.0,1.0,W,False,league
824944,2026-03-29,Kansas City Royals,Atlanta Braves,Truist Park,pythag_v1,league,2.0,2.0,2.0,2.0,4.299765807962529,4.217798594847775,4.217798594847775,4.299765807962529,0.5088046956430546,0.4911953043569453,0.5379310344827586,0.5379310344827586,0.4620689655172414,0.5379310344827586,Atlanta Braves,0.5379310344827586,1.0,4.0,0.0,L,False,league
822834,2026-03-30,Colorado Rockies,Toronto Blue Jays,Rogers Centre,pythag_v1,league,3.0,3.0,3.0,3.0,4.509946376059505,4.46929596955544,4.4367756443521875,4.461165888254627,0.5041422787868683,0.49749189834535784,0.5391498881431768,0.5391498881431768,0.46085011185682323,0.5391498881431768,Toronto Blue Jays,0.5391498881431768,5.0,14.0,0.0,L,False,league
823080,2026-03-30,New York Mets,St. Louis Cardinals,Busch Stadium,pythag_v1,league,3.0,3.0,3.0,0.0,4.558726863864383,4.566856945165196,4.526206538661131,4.485556132157066,0.49918481711166296,0.5041273312168689,0.5391498881431768,0.5391498881431768,0.46085011185682323,0.5391498881431768,St. Louis Cardinals,0.5391498881431768,2.0,4.0,0.0,L,False,league
823159,2026-03-30,New York Yankees,Seattle Mariners,T-Mobile Park,pythag_v1,league,4.0,3.0,4.0,3.0,4.521962937542896,4.449382292381606,4.485556132157066,4.387995156547309,0.5074022217845259,0.5100590892732043,0.5391498881431768,0.5391498881431768,0.46085011185682323,0.5391498881431768,Seattle Mariners,0.5391498881431768,2.0,1.0,1.0,W,False,league
823320,2026-03-30,San Francisco Giants,San Diego Padres,Petco Park,pythag_v1,league,3.0,3.0,3.0,0.0,4.4367756443521875,4.485556132157066,4.387995156547309,4.485556132157066,0.49499759671663146,0.48994091072679563,0.5391498881431768,0.5391498881431768,0.46085011185682323,0.5391498881431768,San Diego Padres,0.5391498881431768,2.0,3.0,0.0,L,False,league
823484,2026-03-30,Washington Nationals,Philadelphia Phillies,Citizens Bank Park,pythag_v1,league,3.0,3.0,3.0,3.0,4.477426050856253,4.509946376059505,4.526206538661131,4.518076457360318,0.49668915550555315,0.5008225107161054,0.5391498881431768,0.5391498881431768,0.46085011185682323,0.5391498881431768,Philadelphia Phillies,0.5391498881431768,2.0,13.0,0.0,L,False,league
823809,2026-03-30,Tampa Bay Rays,Milwaukee Brewers,American Family Field,pythag_v1,league,3.0,3.0,3.0,3.0,4.6156374329700744,4.461165888254627,4.566856945165196,4.558726863864383,0.5155681922478832,0.500815182888337,0.5391498881431768,0.5391498881431768,0.46085011185682323,0.5391498881431768,Milwaukee Brewers,0.5391498881431768,2.0,3.0,0.0,L,False,league
823890,2026-03-30,Chicago White Sox,Miami Marlins,loanDepot park,pythag_v1,league,3.0,3.0,3.0,3.0,4.461165888254627,4.4367756443521875,4.461165888254627,4.6156374329700744,0.5025081016546422,0.48443180775211675,0.5391498881431768,0.5391498881431768,0.46085011185682323,0.5391498881431768,Miami Marlins,0.5391498881431768,4.0,9.0,0.0,L,False,league
823972,2026-03-30,Cleveland Guardians,Los Angeles Dodgers,UNIQLO Field at Dodger Stadium,pythag_v1,league,3.0,4.0,3.0,4.0,4.509946376059505,4.444905725653001,4.449382292381606,4.521962937542896,0.5066455298677333,0.4925977782154742,0.5391498881431768,0.5391498881431768,0.46085011185682323,0.5391498881431768,Los Angeles Dodgers,0.5391498881431768,2.0,4.0,0.0,L,False,league
824135,2026-03-30,Minnesota Twins,Kansas City Royals,Kauffman Stadium,pythag_v1,league,3.0,3.0,0.0,3.0,4.428645563051375,4.485556132157066,4.46929596955544,4.46929596955544,0.4941585897689801,0.5,0.5391498881431768,0.5391498881431768,0.46085011185682323,0.5391498881431768,Kansas City Royals,0.5391498881431768,3.0,1.0,1.0,W,False,league
824214,2026-03-30,Boston Red Sox,Houston Astros,Daikin Park,pythag_v1,league,4.0,3.0,4.0,3.0,4.521962937542896,4.546156485929993,4.461165888254627,4.453035806953814,0.49755881320418766,0.5008345132631846,0.5391498881431768,0.5391498881431768,0.46085011185682323,0.5391498881431768,Houston Astros,0.5391498881431768,8.0,1.0,1.0,W,False,league
824539,2026-03-30,Pittsburgh Pirates,Cincinnati Reds,Great American Ball Park,pythag_v1,league,3.0,3.0,3.0,3.0,4.453035806953814,4.461165888254627,4.485556132157066,4.526206538661131,0.4991654867368153,0.495872668783131,0.5391498881431768,0.5391498881431768,0.46085011185682323,0.5391498881431768,Cincinnati Reds,0.5391498881431768,2.0,0.0,1.0,W,False,league
