game_pk,game_date,matchup,side,pitcher,throws,opp_team,n_opp,n_LHB,n_RHB,n_SW,n_platoon_adv,n_low_sample,pit_min_split_bf,pit_low_sample,reliable,opp_OPS_raw,opp_OPS_vs_hand,pit_OPS_raw,pit_OPS_allowed,mx_OPS,edge_OPS,model_tag,model_metric,snapshot_utc,lineup_status_away,lineup_status_home,lineup_posted_away,lineup_posted_home,lineup_savant_backfill_away,lineup_savant_backfill_home
822689,2026-08-31,Miami Marlins @ Washington Nationals,away,Ryan Gusto,R,Washington Nationals,9,4,3,2,6,0,118,False,True,0.7149763612217794,0.7078045716465599,0.7261901726427623,0.7267398972961999,0.7074087211980068,-0.011009830170273682,xw+plat_consol_v12,xwOBA,2026-09-01T01:17:44.203990+00:00,posted,posted,9,9,0,0
822689,2026-08-31,Miami Marlins @ Washington Nationals,home,Will Dion,L,Miami Marlins,9,3,6,0,6,0,55,False,True,0.7255832669322709,0.7321292524312978,0.6894478087649403,0.6683419372561684,0.6870746616362906,-0.03134388973198987,xw+plat_consol_v12,xwOBA,2026-09-01T01:17:44.203990+00:00,posted,posted,9,9,0,0
822855,2026-08-31,Athletics @ Texas Rangers,away,Gage Jump,L,Texas Rangers,9,2,7,0,7,0,99,False,True,0.8102839309428952,0.7681531960653287,0.7522836653386455,0.7497740795146727,0.8050150385352394,0.08659648716695889,xw+plat_consol_v12,xwOBA,2026-09-01T01:17:44.203990+00:00,posted,posted,9,9,0,0
822855,2026-08-31,Athletics @ Texas Rangers,home,Jacob deGrom,R,Athletics,9,3,5,1,4,0,220,False,True,0.6626977423638779,0.6786480294585179,0.6751482071713146,0.6698577466099324,0.6347372070397421,-0.08368134432853835,xw+plat_consol_v12,xwOBA,2026-09-01T01:17:44.203990+00:00,posted,posted,9,9,0,0
822932,2026-08-31,New York Mets @ Tampa Bay Rays,away,Robert Stock,R,Tampa Bay Rays,9,4,5,0,4,1,42,True,False,0.7558653386454184,0.7729301909016183,0.8186146082337317,0.7571735430063106,0.8166360983488131,0.09821754698053264,xw+plat_consol_v12,xwOBA,2026-09-01T01:17:44.203990+00:00,posted,posted,9,9,0,0
822932,2026-08-31,New York Mets @ Tampa Bay Rays,home,Ian Seymour,L,New York Mets,9,3,5,1,6,1,158,False,True,0.6135702523240373,0.6963539300081231,0.7149657370517929,0.7061136616772389,0.6938250163510574,-0.024593535017223056,xw+plat_consol_v12,xwOBA,2026-09-01T01:17:44.203990+00:00,posted,posted,9,9,0,0
823663,2026-08-31,Detroit Tigers @ Minnesota Twins,away,Jackson Jobe,R,Minnesota Twins,9,3,4,2,5,1,28,True,False,0.7846913678618859,0.7613554183673555,0.7668844621513946,0.7592196585900223,0.800288312677624,0.08186976130934354,xw+plat_consol_v12,xwOBA,2026-09-01T01:17:44.203990+00:00,posted,posted,9,9,0,0
823663,2026-08-31,Detroit Tigers @ Minnesota Twins,home,Taj Bradley,R,Detroit Tigers,9,5,4,0,5,1,258,False,True,0.7463051792828687,0.746421379288913,0.6860741035856575,0.6898285063816473,0.712991252390698,-0.005427298977582429,xw+plat_consol_v12,xwOBA,2026-09-01T01:17:44.203990+00:00,posted,posted,9,9,0,0
823982,2026-08-31,New York Yankees @ Los Angeles Angels,away,Elmer Rodríguez,R,Los Angeles Angels,9,3,5,1,4,0,46,True,False,0.6504273572377158,0.6775027840254484,0.7195790172642763,0.7185822259300465,0.6798625840598707,-0.03855596730840982,xw+plat_consol_v12,xwOBA,2026-09-01T01:17:44.203990+00:00,posted,posted,9,9,0,0
823982,2026-08-31,New York Yankees @ Los Angeles Angels,home,Walbert Ureña,R,New York Yankees,9,7,2,0,7,0,227,False,True,0.7723367861885791,0.7613990190861418,0.6304940239043825,0.6408201811290174,0.66537190103051,-0.05304665033777045,xw+plat_consol_v12,xwOBA,2026-09-01T01:17:44.203990+00:00,posted,posted,9,9,0,0
824149,2026-08-31,Chicago White Sox @ Houston Astros,away,Anthony Kay,L,Houston Astros,9,2,7,0,7,0,160,False,True,0.7496844621513944,0.7402143322575003,0.7768424966799469,0.7741466397360682,0.7980984242506246,0.07967987288234413,xw+plat_consol_v12,xwOBA,2026-09-01T01:17:44.203990+00:00,posted,posted,9,9,0,0
824149,2026-08-31,Chicago White Sox @ Houston Astros,home,Peter Lambert,R,Chicago White Sox,9,5,3,1,6,0,242,False,True,0.7514972111553786,0.756136855633655,0.619588047808765,0.6397232754515265,0.6625006238266381,-0.055917927541642376,xw+plat_consol_v12,xwOBA,2026-09-01T01:17:44.203990+00:00,posted,posted,9,9,0,0
824314,2026-08-31,Baltimore Orioles @ Colorado Rockies,away,Cade Povich,L,Colorado Rockies,9,4,4,1,5,0,42,True,False,0.7220116865869854,0.7212946358477519,0.850183266932271,0.7341259569152085,0.7544996922531583,0.036081140884877794,xw+plat_consol_v12,xwOBA,2026-09-01T01:17:44.203990+00:00,posted,posted,9,9,0,0
824314,2026-08-31,Baltimore Orioles @ Colorado Rockies,home,Tanner Gordon,R,Baltimore Orioles,9,5,3,1,6,0,155,False,True,0.7356098273572378,0.7352653508228879,0.8850879150066402,0.853987779581958,0.863264576270068,0.14484602490178755,xw+plat_consol_v12,xwOBA,2026-09-01T01:17:44.203990+00:00,posted,posted,9,9,0,0
824473,2026-08-31,San Diego Padres @ Cincinnati Reds,away,Michael King,R,Cincinnati Reds,9,3,4,2,5,0,243,False,True,0.7052841965471448,0.710590997993637,0.6504414342629482,0.6560012452062369,0.645932911996659,-0.07248563937162145,xw+plat_consol_v12,xwOBA,2026-09-01T01:17:44.203990+00:00,posted,posted,9,9,0,0
824473,2026-08-31,San Diego Padres @ Cincinnati Reds,home,Brady Singer,R,San Diego Padres,9,4,5,0,4,0,215,False,True,0.7189365205843293,0.7185968635592278,0.7624541832669324,0.7762388347274899,0.7752033244557992,0.056784773087518725,xw+plat_consol_v12,xwOBA,2026-09-01T01:17:44.203990+00:00,posted,posted,9,9,0,0
824635,2026-08-31,Milwaukee Brewers @ Chicago Cubs,away,Kyle Harrison,L,Chicago Cubs,9,2,7,0,7,0,121,False,True,0.8546762284196548,0.8107768427031266,0.669150332005312,0.6911795529662842,0.7831457600600018,0.06472720869172133,xw+plat_consol_v12,xwOBA,2026-09-01T01:17:44.203990+00:00,posted,posted,9,9,0,0
824635,2026-08-31,Milwaukee Brewers @ Chicago Cubs,home,Clay Holmes,R,Milwaukee Brewers,9,6,3,0,6,0,121,False,True,0.769523240371846,0.7631390928252026,0.5573333333333335,0.6105560354727629,0.6400147823366013,-0.07840376903167923,xw+plat_consol_v12,xwOBA,2026-09-01T01:17:44.203990+00:00,posted,posted,9,9,0,0
824719,2026-08-31,Seattle Mariners @ Boston Red Sox,away,George Kirby,R,Boston Red Sox,9,3,4,2,5,0,285,False,True,0.7207938911022577,0.7234214709774509,0.7587503320053122,0.7604814973647009,0.7607217384475257,0.042303187079245186,xw+plat_consol_v12,xwOBA,2026-09-01T01:17:44.203990+00:00,posted,posted,9,9,0,0
824719,2026-08-31,Seattle Mariners @ Boston Red Sox,home,Payton Tolle,L,Seattle Mariners,9,4,4,1,5,0,142,False,True,0.7017907038512616,0.6987004409437599,0.66458406374502,0.6512713014427215,0.6466761964908643,-0.0717423548774162,xw+plat_consol_v12,xwOBA,2026-09-01T01:17:44.203990+00:00,posted,posted,9,9,0,0
