game_pk,game_date,matchup,side,pitcher,throws,opp_team,n_opp,n_LHB,n_RHB,n_SW,n_platoon_adv,n_low_sample,pit_min_split_bf,pit_low_sample,reliable,opp_OPS_raw,opp_OPS_vs_hand,pit_OPS_raw,pit_OPS_allowed,mx_OPS,edge_OPS,model_tag,model_metric,snapshot_utc,lineup_status_away,lineup_status_home,lineup_posted_away,lineup_posted_home,lineup_savant_backfill_away,lineup_savant_backfill_home,selection_rule_tag,hybrid_action,hybrid_selection,pregame_market_utc,hybrid_price_source,pregame_away_ml,pregame_home_ml,pregame_p_home,hybrid_p,hybrid_ml,game_type
822681,2026-09-25,New York Mets @ Washington Nationals,away,Jefry Yan,L,Washington Nationals,9,4,4,1,5,1,39,True,False,0.74526401062417,0.7495644842407793,0.7608764940239044,0.7300811056780211,0.7774046236664339,0.05875412781785294,xw+starter_velo_v14,xwOBA,2026-09-26T01:22:05.460603+00:00,posted,posted,9,9,0,0,lean,,,2026-09-26T01:22:05.460603+00:00,saved_pregame,-108.0,-112.0,0.5043297540699688,,,R
822681,2026-09-25,New York Mets @ Washington Nationals,home,Andrew Alvarez,L,New York Mets,9,4,4,1,5,0,117,False,True,0.6879768924302789,0.6988905327138252,0.6445715803452855,0.6489699271889564,0.643895219108487,-0.07475527674009397,xw+starter_velo_v14,xwOBA,2026-09-26T01:22:05.460603+00:00,posted,posted,9,9,0,0,lean,,,2026-09-26T01:22:05.460603+00:00,saved_pregame,-108.0,-112.0,0.5043297540699688,,,R
822760,2026-09-25,Cincinnati Reds @ Toronto Blue Jays,away,Nick Lodolo,L,Toronto Blue Jays,9,2,7,0,7,0,112,False,True,0.6844629482071714,0.697976470348411,0.8560467463479418,0.8332375499340278,0.8114164931539887,0.09276599730540769,xw+starter_velo_v14,xwOBA,2026-09-26T01:22:05.460603+00:00,posted,posted,9,9,0,0,lean,,,2026-09-26T01:22:05.460603+00:00,saved_pregame,143.0,-174.0,0.6067851094974311,,,R
822760,2026-09-25,Cincinnati Reds @ Toronto Blue Jays,home,José Soriano,R,Cincinnati Reds,9,3,4,2,5,0,308,False,True,0.6585625498007969,0.6938542979302641,0.6517219123505976,0.6821999618874114,0.6551531060747552,-0.0634973897738258,xw+starter_velo_v14,xwOBA,2026-09-26T01:22:05.460603+00:00,posted,posted,9,9,0,0,lean,,,2026-09-26T01:22:05.460603+00:00,saved_pregame,143.0,-174.0,0.6067851094974311,,,R
823085,2026-09-25,Los Angeles Angels @ Seattle Mariners,away,Reid Detmers,L,Seattle Mariners,9,3,5,1,6,1,199,False,True,0.719199203187251,0.7164869374896408,0.6168215139442232,0.6214368803496162,0.6270206269641864,-0.09162986888439462,xw+starter_velo_v14,xwOBA,2026-09-26T01:22:05.460603+00:00,posted,posted,9,9,0,0,lean,,,2026-09-26T01:22:05.460603+00:00,saved_pregame,-104.0,-116.0,0.5130072840790842,,,R
823085,2026-09-25,Los Angeles Angels @ Seattle Mariners,home,Bryce Miller,R,Los Angeles Angels,9,3,6,0,3,1,203,False,True,0.6174305444887118,0.6730085423345338,0.6670703851261621,0.6841535136544955,0.646669707206845,-0.07198078864173596,xw+starter_velo_v14,xwOBA,2026-09-26T01:22:05.460603+00:00,posted,posted,9,9,0,0,lean,,,2026-09-26T01:22:05.460603+00:00,saved_pregame,-104.0,-116.0,0.5130072840790842,,,R
823167,2026-09-25,Los Angeles Dodgers @ San Francisco Giants,away,Tarik Skubal,L,San Francisco Giants,9,3,6,0,6,4,137,False,True,0.7758177954847278,0.6937438849978876,0.6242382470119522,0.6309556561414867,0.6177170534464343,-0.10093344240214663,xw+starter_velo_v14,xwOBA,2026-09-26T01:22:05.460603+00:00,posted,posted,9,9,0,0,lean,,,2026-09-26T01:22:05.460603+00:00,saved_pregame,-337.0,264.0,0.26267070590498176,,,R
823167,2026-09-25,Los Angeles Dodgers @ San Francisco Giants,home,Yunior Marte,R,Los Angeles Dodgers,9,4,5,0,4,0,41,True,False,0.7978464807436919,0.7843386517465947,0.7812642762284198,0.7447662351889539,0.8134188134902696,0.09476831764168858,xw+starter_velo_v14,xwOBA,2026-09-26T01:22:05.460603+00:00,posted,posted,9,9,0,0,lean,,,2026-09-26T01:22:05.460603+00:00,saved_pregame,-337.0,264.0,0.26267070590498176,,,R
823248,2026-09-25,Arizona Diamondbacks @ San Diego Padres,away,Brandon Pfaadt,R,San Diego Padres,9,3,6,0,3,0,240,False,True,0.7529596281540505,0.7462072832418857,0.6483333333333333,0.6648687508141736,0.6947811674457995,-0.023869328402781442,xw+starter_velo_v14,xwOBA,2026-09-26T01:22:05.460603+00:00,posted,posted,9,9,0,0,lean,,,2026-09-26T01:22:05.460603+00:00,saved_pregame,111.0,-133.0,0.5463660611724392,,,R
823248,2026-09-25,Arizona Diamondbacks @ San Diego Padres,home,Casey Mize,R,Arizona Diamondbacks,9,3,4,2,5,0,231,False,True,0.7338557768924303,0.7393038873472098,0.7070916334661353,0.7518194472234792,0.7733387409756546,0.0546882451270736,xw+starter_velo_v14,xwOBA,2026-09-26T01:22:05.460603+00:00,posted,posted,9,9,0,0,lean,,,2026-09-26T01:22:05.460603+00:00,saved_pregame,111.0,-133.0,0.5463660611724392,,,R
823409,2026-09-25,Tampa Bay Rays @ Philadelphia Phillies,away,Freddy Peralta,R,Philadelphia Phillies,9,5,4,0,5,0,269,False,True,0.7642677290836654,0.7478539114760838,0.7267243027888447,0.7044471373726728,0.7293704591589634,0.010719963310382385,xw+starter_velo_v14,xwOBA,2026-09-26T01:22:05.460603+00:00,posted,posted,9,9,0,0,lean,,,2026-09-26T01:22:05.460603+00:00,saved_pregame,152.0,-184.0,0.6201583565161567,,,R
